species_name,Maximum longevity (yrs),SSD
Echinops_telfairi,19.0,0.0
Bison_bison,33.5,0.75
Bos_taurus,20.0,0.23
Capra_hircus,20.8,0.53
Ovis_aries,22.8,0.38
Camelus_bactrianus,35.4,0.239
Camelus_dromedarius,28.4,0.152
Vicugna_pacos,25.8,0.085
Odocoileus_virginianus,23.0,0.859
Sus_scrofa,27.0,0.8
Canis_lupus,20.6,0.541
Vulpes_vulpes,21.3,0.25
Acinonyx_jubatus,20.5,0.279
Felis_catus,30.0,0.36
Lynx_canadensis,26.8,0.233
Panthera_pardus,27.3,0.529
Panthera_tigris,26.3,0.519
Puma_concolor,27.0,0.329
Suricata_suricatta,20.6,-0.005
Enhydra_lutris,27.0,0.536
Lontra_canadensis,27.0,0.092
Mustela_erminea,12.5,0.721
Mustela_putorius,11.1,0.771
Eumetopias_jubatus,32.8,1.317
Zalophus_californianus,35.7,1.204
Phoca_vitulina,47.6,0.227
Ailuropoda_melanoleuca,36.8,0.27
Ursus_arctos,40.0,0.796
Ursus_maritimus,43.8,1.26
Balaenoptera_acutorostrata,50.0,-0.093
Globicephala_melas,60.0,0.897
Lagenorhynchus_obliquidens,46.0,0.103
Orcinus_orca,90.0,0.441
Tursiops_truncatus,51.6,0.41
Lipotes_vexillifer,24.0,-0.489
Delphinapterus_leucas,40.0,0.152
Monodon_monoceros,50.0,0.228
Desmodus_rotundus,29.2,0.0
Phyllostomus_discolor,9.0,0.168
Pteropus_alecto,20.3,0.0
Pteropus_vampyrus,20.9,0.365
Rousettus_aegyptiacus,22.9,0.187
Rhinolophus_ferrumequinum,30.5,-0.124
Eptesicus_fuscus,19.0,-0.099
Myotis_brandtii,41.0,0.051
Myotis_lucifugus,34.0,-0.14
Dasypus_novemcinctus,22.3,0.459
Sarcophilus_harrisii,13.0,0.43
Monodelphis_domestica,5.1,0.15
Phascolarctos_cinereus,22.1,0.34
Vombatus_ursinus,30.0,-0.002
Erinaceus_europaeus,11.7,0.113
Oryctolagus_cuniculus,13.0,0.0
Ornithorhynchus_anatinus,22.6,0.806
Equus_caballus,57.0,0.18
Ceratotherium_simum,45.0,0.354
Callithrix_jacchus,22.8,-0.02
Cebus_capucinus,54.0,0.415
Saimiri_boliviensis,30.3,0.358
Sapajus_apella,46.0,0.559
Macaca_fascicularis,39.0,0.57
Macaca_mulatta,40.0,0.78
Macaca_nemestrina,37.6,0.51
Mandrillus_leucophaeus,39.0,0.77
Rhinopithecus_roxellana,29.5,0.918
Theropithecus_gelada,36.0,0.587
Trachypithecus_francoisi,26.3,0.441
Microcebus_murinus,18.2,0.03
Otolemur_garnettii,20.0,0.113
Gorilla_gorilla,60.1,0.78
Homo_sapiens,122.5,0.22
Pan_paniscus,55.0,0.33
Pan_troglodytes,68.0,0.27
Hylobates_moloch,45.0,0.171
Nomascus_leucogenys,44.1,-0.074
Loxodonta_africana,65.0,0.83
Heterocephalus_glaber,31.0,0.0
Castor_canadensis,23.4,-0.017
Cavia_porcellus,12.0,0.37
Chinchilla_lanigera,17.2,-0.02
Mesocricetus_auratus,3.9,0.18
Microtus_ochrogaster,5.3,0.0
Peromyscus_leucopus,7.9,0.0
Peromyscus_maniculatus,8.3,-0.046
Jaculus_jaculus,7.3,0.036
Dipodomys_ordii,9.9,-0.08
Arvicanthis_niloticus,6.7,0.238
Meriones_unguiculatus,6.3,0.179
Mus_musculus,4.0,0.25
Rattus_norvegicus,3.8,0.14
Rattus_rattus,4.2,0.051
Octodon_degus,14.0,0.15
Ictidomys_tridecemlineatus,7.9,-0.055
Marmota_flaviventris,21.2,0.478
Marmota_marmota,17.4,0.049
Tupaia_glis,12.4,0.0
Trichechus_inunguis,40.0,-0.127
Sorex_araneus,3.2,0.048
Condylura_cristata,2.5,0.123
Orycteropus_afer,29.8,-0.003
