"","F_value Intercept","p_value Intercept","F_value Brain.mass..g.","p_value Brain.mass..g.","Coefficient Intercept","Coefficient Brain.mass..g.","Coef SE Intercept","Coef SE Brain.mass..g.","Coef tval Intercept","Coef tval Brain.mass..g.","Coef pval Intercept","Coef pval Brain.mass..g.","R t value Brain.mass..g.","p.adjusted GFS vs.Brain.mass..g."
"PTHR10000_SF7",1.53413565319935,0.220398209384851,0.114999290665958,0.735726828078643,0.958769281445158,-0.000112120759402272,0.753357151249688,0.00033062710151261,1.27266234860149,-0.339115453298663,0.208130349721941,0.735726828078643,-0.0441061079859192,0.999797905066956
"PTHR10003_SF27",93.1454129550302,9.55692941402148e-14,0.0515358829407721,0.821196721198211,1.05234954445354,-1.09261641557009e-05,0.109666839063943,4.81296674115515e-05,9.59587741778485,-0.227015160156259,1.17814157688295e-13,0.821196721198211,-0.0295419569979212,0.999797905066956
"PTHR10003_SF33",9.67740233310498,0.00287298379070454,0.0183365885180889,0.892746555553346,1.3998061586028,-2.68239389385678e-05,0.451362783945297,0.000198090333036522,3.10128838352,-0.135412660110083,0.00295380675355658,0.892746555553346,-0.0176264879006549,0.999797905066956
"PTHR10005_SF15",10.4636180698612,0.00199677083194593,0.00142156276903724,0.970051276948113,0.881623803601372,-4.54305205352581e-06,0.274553609656068,0.000120493797689224,3.21111714650475,-0.0377036174529346,0.00214160727917108,0.970051276948113,-0.00490853376278754,0.999797905066956
"PTHR10005_SF7",8.4880556222377,0.00504228256588854,0.31317179559206,0.577858768976188,0.972949471468135,8.49373966587868e-05,0.345835912734616,0.000151777580177927,2.81332688607949,0.559617544035264,0.00665028087686645,0.577858768976188,0.0726634053048297,0.999797905066956
"PTHR10010",52.0694918447886,1.16555674535563e-09,0.100789797403458,0.752004728260932,3.74734353706545,7.34357106779105e-05,0.527061727774286,0.000231312453971098,7.10987601564241,0.317474089341883,1.76275149909401e-09,0.752004728260932,0.0412963476980837,0.999797905066956
"PTHR10014_SF9",14.0967421721754,0.000399232779028511,0.436389044689209,0.511441605312171,0.982755519617865,-7.48006449256824e-05,0.258006642974983,0.000113231802998502,3.80903184618063,-0.660597490677348,0.000334841952083842,0.511441605312171,-0.0856861660776286,0.999797905066956
"PTHR10015_SF142",16.5512685603671,0.000142515152432285,4.74068047149717,0.0334691637463182,1.09028617310862,0.000278326457384122,0.291270576263764,0.000127830400529481,3.74320738845003,2.17731037555448,0.000414076438272223,0.0334691637463182,0.272716864068888,0.284285827737663
"PTHR10019",17.8599459545206,8.36634265840675e-05,8.86463003450592,0.00421265366977104,0.94328251762582,0.000324926725918537,0.248666677856694,0.000109132757027854,3.79336116023326,2.97735285690257,0.000352267862381211,0.00421265366977104,0.36141698995499,0.0626875271090159
"PTHR10024_SF10",30.7022734019305,7.36465271204084e-07,0.0063329667297405,0.9368406615818,1.28062180304214,8.15972522706885e-06,0.233633113464249,0.000102534951707719,5.48133688779566,0.0795799392418749,9.20885078218573e-07,0.9368406615818,0.0103598696347246,0.999797905066956
"PTHR10024_SF173",4.16342219694502,0.045789184383483,29.4549208041578,1.12723711206205e-06,0.73127221859271,0.00133801748398613,0.561752901270438,0.000246537426777259,1.30176847674288,5.42723878267373,0.198055377893957,1.12723711206205e-06,0.577055959716212,0.000872256077313615
"PTHR10024_SF176",9.26229361391655,0.00349018737142504,0.0100235416881234,0.920590358985006,0.723786909317296,-1.04966876701999e-05,0.2388933935639,0.000104843539552949,3.0297485356107,-0.100117639245657,0.00362931453900139,0.920590358985006,-0.0130330993702545,0.999797905066956
"PTHR10024_SF177",142.794757271447,2.14867361763591e-17,0.0281783398763303,0.867264317060658,1.01338306771175,6.31528837755323e-06,0.0857231162786766,3.76214461106956e-05,11.8215845585612,0.167864051769074,3.37502578422965e-17,0.867264317060658,0.0218488212280855,0.999797905066956
