"","x"
"1","Nomascus_leucogenys"
"2","Ailuropoda_melanoleuca"
"3","Macaca_nemestrina"
"4","Phascolarctos_cinereus"
"5","Canis_familiaris"
"6","Capra_hircus"
"7","Dipodomys_ordii"
"8","Ursus_maritimus"
"9","Vulpes_vulpes"
"10","Microtus_ochrogaster"
"11","Peromyscus_maniculatus_bairdii"
"12","Equus_asinus_asinus"
"13","Pteropus_vampyrus"
"14","Castor_canadensis"
"15","Pan_paniscus"
"16","Macaca_fascicularis"
"17","Equus_caballus"
"18","Bos_taurus"
"19","Octodon_degus"
"20","Chinchilla_lanigera"
"21","Myotis_lucifugus"
"22","Cebus_capucinus_imitator"
"23","Sus_scrofa"
"24","Pongo_abelii"
"25","Tursiops_truncatus"
"26","Gorilla_gorilla"
"27","Vombatus_ursinus"
"28","Mus_musculus"
"29","Saimiri_boliviensis_boliviensis"
"30","Felis_catus"
"31","Sarcophilus_harrisii"
"32","Monodelphis_domestica"
"33","Marmota"
"34","Microcebus_murinus"
"35","Dasypus_novemcinctus"
"36","Rattus_norvegicus"
"37","Macaca_mulatta"
"38","Panthera_pardus"
"39","Callithrix_jacchus"
"40","Ovis_aries"
"41","Mus_caroli"
"42","Panthera_tigris_altaica"
"43","Papio_anubis"
"44","Chlorocebus_sabaeus"
"45","Ictidomys_tridecemlineatus"
"46","Mustela_putorius_furo"
"47","Bison_bison"
"48","Mesocricetus_auratus"
"49","Carlito_syrichta"
"50","Cercocebus_atys"
