"","x"
"1","Neovison_vison"
"2","Carlito_syrichta"
"3","Ursus_americanus"
"4","Chlorocebus_sabaeus"
"5","Homo_sapiens"
"6","Phascolarctos_cinereus"
"7","Octodon_degus"
"8","Vombatus_ursinus"
"9","Colobus_angolensis_palliatus"
"10","Saimiri_boliviensis_boliviensis"
"11","Panthera_pardus"
"12","Equus_caballus"
"13","Pan_paniscus"
"14","Cercocebus_atys"
"15","Papio_anubis"
"16","Marmota"
"17","Microcebus_murinus"
"18","Cavia_porcellus"
"19","Macaca_mulatta"
"20","Macaca_fascicularis"
"21","Canis_familiaris"
"22","Ovis_aries"
"23","Jaculus_jaculus"
"24","Pan_troglodytes"
"25","Oryctolagus_cuniculus"
"26","Loxodonta_africana"
"27","Mus_musculus"
"28","Rattus_norvegicus"
"29","Pongo_abelii"
"30","Microtus_ochrogaster"
"31","Meriones_unguiculatus"
"32","Gorilla_gorilla"
"33","Tursiops_truncatus"
"34","Ursus_maritimus"
"35","Myotis_lucifugus"
"36","Otolemur_garnettii"
"37","Sarcophilus_harrisii"
"38","Felis_catus"
"39","Cebus_capucinus_imitator"
"40","Panthera_tigris_altaica"
"41","Castor_canadensis"
"42","Peromyscus_maniculatus_bairdii"
"43","Mus_caroli"
"44","Macaca_nemestrina"
"45","Sus_scrofa"
"46","Vulpes_vulpes"
"47","Equus_asinus_asinus"
"48","Callithrix_jacchus"
"49","Capra_hircus"
"50","Dasypus_novemcinctus"
