"","x"
"1","Mus_caroli"
"2","Marmota"
"3","Ovis_aries"
"4","Dipodomys_ordii"
"5","Bison_bison"
"6","Mus_musculus"
"7","Sarcophilus_harrisii"
"8","Equus_asinus_asinus"
"9","Capra_hircus"
"10","Felis_catus"
"11","Chinchilla_lanigera"
"12","Saimiri_boliviensis_boliviensis"
"13","Gorilla_gorilla"
"14","Meriones_unguiculatus"
"15","Neovison_vison"
"16","Bos_taurus"
"17","Mustela_putorius_furo"
"18","Panthera_pardus"
"19","Colobus_angolensis_palliatus"
"20","Nomascus_leucogenys"
"21","Equus_caballus"
"22","Carlito_syrichta"
"23","Ictidomys_tridecemlineatus"
"24","Ursus_maritimus"
"25","Vulpes_vulpes"
"26","Dasypus_novemcinctus"
"27","Tursiops_truncatus"
"28","Homo_sapiens"
"29","Macaca_fascicularis"
"30","Mesocricetus_auratus"
"31","Ursus_americanus"
"32","Ailuropoda_melanoleuca"
"33","Canis_familiaris"
"34","Cercocebus_atys"
"35","Sus_scrofa"
"36","Pan_troglodytes"
"37","Monodelphis_domestica"
"38","Jaculus_jaculus"
"39","Oryctolagus_cuniculus"
"40","Otolemur_garnettii"
"41","Pan_paniscus"
"42","Octodon_degus"
"43","Macaca_nemestrina"
"44","Papio_anubis"
"45","Panthera_tigris_altaica"
"46","Rattus_norvegicus"
"47","Cavia_porcellus"
"48","Pongo_abelii"
"49","Pteropus_vampyrus"
"50","Cebus_capucinus_imitator"
