"Iteration","Removed_Species","Success","Error_Message"
1,"Cebus_capucinus_imitator",TRUE,NA
2,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
3,"Monodelphis_domestica",FALSE,"non-numeric argument to binary operator"
4,"Phascolarctos_cinereus",FALSE,"non-numeric argument to binary operator"
5,"Heterocephalus_glaber",FALSE,"non-numeric argument to binary operator"
6,"Sus_scrofa",FALSE,"non-numeric argument to binary operator"
7,"Vombatus_ursinus",FALSE,"non-numeric argument to binary operator"
8,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
9,"Macaca_nemestrina",TRUE,NA
10,"Canis_familiaris",FALSE,"non-numeric argument to binary operator"
11,"Mus_musculus",FALSE,"non-numeric argument to binary operator"
12,"Bos_taurus",FALSE,"non-numeric argument to binary operator"
13,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
14,"Panthera_pardus",TRUE,NA
15,"Tursiops_truncatus",TRUE,NA
16,"Heterocephalus_glaber",FALSE,"non-numeric argument to binary operator"
17,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
18,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
19,"Monodelphis_domestica",FALSE,"non-numeric argument to binary operator"
20,"Panthera_pardus",TRUE,NA
21,"Equus_caballus",FALSE,"non-numeric argument to binary operator"
22,"Bos_taurus",FALSE,"non-numeric argument to binary operator"
23,"Dasypus_novemcinctus",FALSE,"non-numeric argument to binary operator"
24,"Phascolarctos_cinereus",FALSE,"non-numeric argument to binary operator"
25,"Octodon_degus",FALSE,"non-numeric argument to binary operator"
26,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
27,"Macaca_nemestrina",TRUE,NA
28,"Mustela_putorius_furo",FALSE,"non-numeric argument to binary operator"
29,"Nomascus_leucogenys",FALSE,"non-numeric argument to binary operator"
30,"Nomascus_leucogenys",FALSE,"non-numeric argument to binary operator"
31,"Canis_familiaris",FALSE,"non-numeric argument to binary operator"
32,"Dasypus_novemcinctus",FALSE,"non-numeric argument to binary operator"
33,"Macaca_nemestrina",TRUE,NA
34,"Octodon_degus",FALSE,"non-numeric argument to binary operator"
35,"Equus_caballus",FALSE,"non-numeric argument to binary operator"
36,"Rattus_norvegicus",FALSE,"non-numeric argument to binary operator"
37,"Otolemur_garnettii",FALSE,"non-numeric argument to binary operator"
38,"Vulpes_vulpes",FALSE,"non-numeric argument to binary operator"
39,"Mus_musculus",FALSE,"non-numeric argument to binary operator"
40,"Tursiops_truncatus",TRUE,NA
41,"Macaca_fascicularis",TRUE,NA
42,"Rattus_norvegicus",FALSE,"non-numeric argument to binary operator"
43,"Octodon_degus",FALSE,"non-numeric argument to binary operator"
44,"Ailuropoda_melanoleuca",TRUE,NA
45,"Felis_catus",TRUE,NA
46,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
47,"Macaca_mulatta",TRUE,NA
48,"Macaca_fascicularis",TRUE,NA
49,"Vulpes_vulpes",FALSE,"non-numeric argument to binary operator"
50,"Sus_scrofa",FALSE,"non-numeric argument to binary operator"
51,"Papio_anubis",TRUE,NA
52,"Macaca_nemestrina",TRUE,NA
53,"Otolemur_garnettii",FALSE,"non-numeric argument to binary operator"
54,"Macaca_fascicularis",TRUE,NA
55,"Macaca_nemestrina",TRUE,NA
56,"Dasypus_novemcinctus",FALSE,"non-numeric argument to binary operator"
57,"Meriones_unguiculatus",FALSE,"non-numeric argument to binary operator"
58,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
59,"Chinchilla_lanigera",FALSE,"non-numeric argument to binary operator"
60,"Oryctolagus_cuniculus",FALSE,"non-numeric argument to binary operator"
61,"Homo_sapiens",FALSE,"non-numeric argument to binary operator"
62,"Dasypus_novemcinctus",FALSE,"non-numeric argument to binary operator"
63,"Equus_caballus",FALSE,"non-numeric argument to binary operator"
64,"Microcebus_murinus",FALSE,"non-numeric argument to binary operator"
65,"Meriones_unguiculatus",FALSE,"non-numeric argument to binary operator"
66,"Macaca_mulatta",TRUE,NA
67,"Pan_paniscus",TRUE,NA
68,"Neovison_vison",TRUE,NA
69,"Vombatus_ursinus",FALSE,"non-numeric argument to binary operator"
70,"Ovis_aries",FALSE,"non-numeric argument to binary operator"
71,"Panthera_pardus",TRUE,NA
72,"Pan_paniscus",TRUE,NA
73,"Dasypus_novemcinctus",FALSE,"non-numeric argument to binary operator"
74,"Otolemur_garnettii",FALSE,"non-numeric argument to binary operator"
75,"Bos_taurus",FALSE,"non-numeric argument to binary operator"
76,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
77,"Heterocephalus_glaber",FALSE,"non-numeric argument to binary operator"
