X,MLSP_Ei_1,MLSP_Ei_2,MLSP_Ei_3,MLSP_Ei_4,MLSP_Ei_5,MLSP_Ei_6,MLSP_Ei_7,MLSP_Ei_8,MLSP_Ei_9,MLSP_Ei_10,MLSP_Ei_11,MLSP_Ei_12,MLSP_Ei_13,MLSP_Ei_14,MLSP_Ei_15
actin cytoskeleton organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008512429,NA,NA
adaptive immune response,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65129707128141e-42,2.33032151011504e-05,NA,5.15594900558942e-36,NA
angiogenesis,NA,NA,NA,NA,NA,NA,NA,0.014900749,NA,NA,NA,0.019013029,0.002367928,NA,NA
apoptotic process,0.000273401,NA,0.000536324,NA,NA,NA,2.97458154780413e-108,3.53664301992356e-12,NA,NA,NA,NA,1.38559711960526e-14,NA,NA
autophagy,NA,NA,NA,NA,NA,NA,6.09136406644463e-12,NA,NA,NA,NA,NA,NA,NA,NA
biological_process,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003443699,NA,NA,0.004728313,NA
brain development,NA,NA,NA,NA,NA,NA,NA,0.04795365,NA,NA,NA,NA,NA,NA,NA
cell adhesion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64994983399124e-11,8.79966038093909e-05,NA,NA
cell differentiation,NA,NA,NA,NA,NA,NA,NA,0.043550677,NA,NA,NA,NA,0.000189672,NA,NA
cell division,2.99981583558034e-21,NA,5.96618891650966e-17,NA,NA,NA,NA,2.88625915475651e-06,NA,NA,NA,NA,NA,NA,NA
cell migration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.53247066757538e-09,NA,NA
cell population proliferation,NA,NA,NA,NA,NA,NA,9.41149305182169e-09,1.50850801940927e-10,NA,NA,NA,0.000155311,5.23104778488448e-26,NA,NA
cell surface receptor signaling pathway,NA,NA,NA,NA,NA,NA,NA,0.030016233,NA,NA,7.26805234327361e-10,2.99186874423621e-09,2.90556508167397e-23,8.343779716679e-17,NA
cell-cell adhesion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023685545,NA,NA
cell-cell signaling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.61161167666998e-08,NA,NA,2.82096683204278e-06,NA
cellular response to lipopolysaccharide,0.003260469,NA,0.000218612,NA,NA,NA,NA,NA,NA,NA,0.001826876,0.000138457,0.020812367,0.008434902,NA
chromatin organization,NA,NA,NA,NA,NA,NA,NA,1.11714900055389e-13,NA,5.77607400616276e-07,NA,NA,0.001202755,NA,NA
chromatin remodeling,NA,NA,NA,NA,NA,NA,NA,6.58128004325201e-23,NA,0.018133355,NA,NA,1.84994884637092e-09,NA,NA
defense response to bacterium,NA,NA,NA,NA,NA,1.53394455031146e-05,NA,NA,NA,NA,NA,5.32010361480487e-05,NA,NA,NA
defense response to virus,4.33834557697271e-11,NA,1.05115209556209e-10,NA,NA,NA,9.84747804871313e-13,NA,NA,NA,NA,NA,NA,NA,NA
DNA damage response,5.63698125389073e-10,NA,6.22313818592945e-08,NA,NA,NA,5.33339780186519e-13,4.47240234056322e-22,NA,4.88524824468729e-143,NA,0.02996966,1.01919169717705e-06,NA,NA
DNA repair,2.50038583172264e-13,NA,4.36374060008931e-10,NA,NA,NA,NA,3.39251891480592e-14,NA,0,NA,NA,NA,NA,NA
endocytosis,NA,NA,NA,NA,NA,NA,NA,NA,7.98135940192433e-06,NA,NA,NA,0.030072654,NA,NA
G protein-coupled receptor signaling pathway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012011392,NA,NA
gene expression,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.23652641667974e-08,NA,NA
