"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","3","2.8809","1.69316327333979","0.0703417100260351","0.471960842453008","0.476299604028163","0.5516","1"
"GO:1902600","proton transmembrane transport","0","1.4956","1.21298300597213","-1.23299336646631","0.108789119543208","0.419661439100593","1","1"
"GO:0032981","mitochondrial respiratory chain complex I assembly","0","0.5721","0.753563783523075","-0.759192536198207","0.223868695123908","0.419661439100593","1","1"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","0","0.3961","0.628207174764382","-0.630524476497046","0.26417574690825","0.419661439100593","1","1"
"GO:0009060","aerobic respiration","0","0.6254","0.79255135717846","-0.7890971283255","0.215027620115304","0.419661439100593","1","1"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","0","0.5592","0.745621187397189","-0.749978688175497","0.226633770216264","0.419661439100593","1","1"
"GO:0001666","response to hypoxia","0","1.6178","1.26904854454846","-1.27481332920612","0.101187660850945","0.419661439100593","1","1"
"GO:0009410","response to xenobiotic stimulus","2","2.4684","1.54610493953296","-0.302954856441693","0.38096213255368","0.419661439100593","0.7087","1"
"GO:0014070","response to organic cyclic compound","0","1.1872","1.07957061245238","-1.09969647775344","0.135732194967176","0.419661439100593","1","1"
"GO:0072593","reactive oxygen species metabolic process","1","0.3407","0.573285596921466","1.15003761395791","0.125064189726538","0.419661439100593","0.2938","1"
"GO:0006119","oxidative phosphorylation","0","0.2236","0.468641656812826","-0.477123611931291","0.316637050921496","0.419661439100593","1","1"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","0","0.1631","0.404863904884235","-0.402851422496249","0.343528764673267","0.419661439100593","1","1"
"GO:0045333","cellular respiration","0","0.3207","0.563279005754504","-0.569344848154649","0.284561068439867","0.419661439100593","1","1"
"GO:0006979","response to oxidative stress","3","1.2595","1.11914476208386","1.55520542021675","0.0599485769177409","0.363369288311215","0.1325","1"
"GO:0021549","cerebellum development","1","0.4678","0.680006912420881","0.782639103042826","0.216919536058016","0.419661439100593","0.3761","1"
"GO:0022900","electron transport chain","0","0.1333","0.364341027662887","-0.365866015296357","0.357232528317695","0.419661439100593","1","1"
"GO:0007595","lactation","0","0.359","0.595612689125716","-0.602740684599864","0.273340605833302","0.419661439100593","1","1"
"GO:0015986","proton motive force-driven ATP synthesis","0","0.2095","0.455884341750517","-0.459546382302924","0.322920926218422","0.419661439100593","1","1"
"GO:0006754","ATP biosynthetic process","0","0.2005","0.445779790885804","-0.449773641827927","0.326436832667925","0.419661439100593","1","1"
"GO:0022904","respiratory electron transport chain","0","0.1778","0.424034362421307","-0.419305640667262","0.33749638735933","0.419661439100593","1","1"
"GO:0009725","response to hormone","0","0.4576","0.671451654799054","-0.681508484980868","0.247774899845828","0.419661439100593","1","1"
"GO:0071385","cellular response to glucocorticoid stimulus","0","0.2214","0.462388819438803","-0.478817805907831","0.316034124148293","0.419661439100593","1","1"
"GO:0001701","in utero embryonic development","3","2.2915","1.48160293760727","0.478198295924141","0.316254537640812","0.419661439100593","0.4005","1"
"GO:0035094","response to nicotine","0","0.3724","0.6007947531675","-0.619845626208682","0.267679713276834","0.419661439100593","1","1"
"GO:0045471","response to ethanol","1","1.0185","0.997425303330287","-0.0185477548426239","0.492600940625616","0.494352188256077","0.6441","1"
"GO:0042542","response to hydrogen peroxide","1","0.3438","0.577265002826559","1.13673962008252","0.127823575623612","0.419661439100593","0.2937","1"
"GO:0042220","response to cocaine","0","0.4262","0.649612006951779","-0.656083932315058","0.255885061035994","0.419661439100593","1","1"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","0","0.1076","0.328683804444848","-0.327366297167389","0.371695427140088","0.419661439100593","1","1"
