"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","6","2.4883","1.53743275623619","2.28413241864122","0.0111818749218202","0.28549824976198","0.0376","0.872773333333333"
"GO:1902600","proton transmembrane transport","3","1.2898","1.13628564828895","1.50507929284794","0.0661518460209148","0.28549824976198","0.1423","0.872773333333333"
"GO:0009410","response to xenobiotic stimulus","2","2.1287","1.43886877245093","-0.089445265936779","0.464364025297687","0.477543420209836","0.6335","1"
"GO:0001701","in utero embryonic development","4","1.9603","1.3899342076912","1.46747953155863","0.0711228266662969","0.28549824976198","0.1341","0.872773333333333"
"GO:0000244","spliceosomal tri-snRNP complex assembly","0","0.128","0.355849213665404","-0.359702916529008","0.359534655381219","0.445661960810784","1","1"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","5","2.9475","1.68600949368658","1.21737155554923","0.111731440184778","0.327985840542413","0.175","0.894444444444444"
"GO:0000395","mRNA 5'-splice site recognition","0","0.0527","0.230060867598729","-0.229069813350087","0.409407327571722","0.466210147702172","1","1"
"GO:0002250","adaptive immune response","0","1.4594","1.18494390129023","-1.23161948714274","0.109045629012996","0.327985840542413","1","1"
"GO:0007186","G protein-coupled receptor signaling pathway","1","4.2231","2.0114499703195","-1.60237641878214","0.0545361980860127","0.28549824976198","0.9848","1"
"GO:0006468","protein phosphorylation","3","4.2715","2.04147116326708","-0.622835150884594","0.266696428301888","0.429484943130193","0.8027","1"
"GO:0043066","negative regulation of apoptotic process","3","3.8737","1.93145576240726","-0.452353099152045","0.325507314381683","0.429484943130193","0.7471","1"
"GO:0045892","negative regulation of DNA-templated transcription","9","4.68","2.10124761133771","2.05592143290994","0.0198950449229893","0.28549824976198","0.0444","0.872773333333333"
"GO:0008284","positive regulation of cell population proliferation","2","3.914","1.92509080239342","-0.99423881596669","0.160053307438218","0.364491237460332","0.9092","1"
"GO:0006915","apoptotic process","8","5.8342","2.35793688351378","0.918514831818799","0.179174698802932","0.388211847406352","0.2283","0.95105"
"GO:0030154","cell differentiation","11","6.6657","2.50710431917117","1.7288072007442","0.0419218034920769","0.28549824976198","0.0717","0.872773333333333"
"GO:0001525","angiogenesis","3","2.2503","1.47840064828438","0.507102050360971","0.306041608224471","0.429484943130193","0.3935","1"
"GO:0006914","autophagy","1","1.7724","1.29644371903745","-0.595783672409219","0.275659876327965","0.429484943130193","0.838","1"
"GO:0051607","defense response to virus","0","1.7789","1.33010966058101","-1.33740852556695","0.0905446615325585","0.305169044424549","1","1"
"GO:0045087","innate immune response","4","3.7545","1.90693297977116","0.128740759431126","0.448781391199221","0.477543420209836","0.5184","1"
"GO:0034220","monoatomic ion transmembrane transport","3","2.1465","1.4372349544982","0.593848623934973","0.276306682000201","0.429484943130193","0.3657","1"
"GO:0045944","positive regulation of transcription by RNA polymerase II","7","9.3631","2.9545103322091","-0.799827969541437","0.21190523778328","0.410284609325074","0.8319","1"
"GO:0016567","protein ubiquitination","3","4.2571","2.03283369493993","-0.618397856710629","0.26815655514441","0.429484943130193","0.8026","1"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","4","2.0654","1.44379059878132","1.33994500423605","0.0901316126333099","0.305169044424549","0.1554","0.89355"
"GO:0015031","protein transport","8","5.4093","2.23554764595339","1.15886592920061","0.123255419289063","0.344424360596459","0.1736","0.894444444444444"
"GO:0030030","cell projection organization","1","1.6053","1.25947232484628","-0.480598094979082","0.315401084829036","0.429484943130193","0.8012","1"
"GO:0060271","cilium assembly","4","1.8245","1.33382069925675","1.63102881910009","0.0514421193345388","0.28549824976198","0.1109","0.872773333333333"
"GO:0006897","endocytosis","3","1.7207","1.2875780736443","0.993570818101249","0.160215928553992","0.364491237460332","0.2481","0.95105"
"GO:0016192","vesicle-mediated transport","4","2.4366","1.53922622175435","1.01570514970704","0.154884907503896","0.364491237460332","0.2274","0.95105"
"GO:0007608","sensory perception of smell","1","0.4398","0.655300619479479","0.854874821337694","0.1963102254951","0.396982900445646","0.3583","1"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","0","0.2836","0.527066238609521","-0.538072787109603","0.295263399411728","0.429484943130193","1","1"
"GO:0010628","positive regulation of gene expression","2","3.7019","1.90115697136848","-0.895191730946312","0.185342302156366","0.39223603479603","0.8892","1"
"GO:0030335","positive regulation of cell migration","0","2.0693","1.41742668940654","-1.4598991365588","0.0721588982914893","0.28549824976198","1","1"
"GO:0042981","regulation of apoptotic process","2","1.7987","1.33796761012088","0.150452072589271","0.440203980389627","0.476887645422096","0.5335","1"
"GO:0016055","Wnt signaling pathway","2","1.7203","1.30492842478788","0.214341257870496","0.415140473221965","0.466210147702172","0.5145","1"
"GO:0055085","transmembrane transport","4","4.1124","1.99573658994709","-0.0563200577501963","0.477543420209836","0.477543420209836","0.5872","1"
"GO:0007399","nervous system development","8","4.163","1.99480047195009","1.92350064778609","0.0272086026104474","0.28549824976198","0.0594","0.872773333333333"
"GO:0045893","positive regulation of DNA-templated transcription","7","6.3062","2.43364619930308","0.285086632641459","0.387788885454086","0.4524203663631","0.4405","1"
"GO:0007165","signal transduction","11","10.6296","3.09088323880401","0.119836296418406","0.45230641436527","0.477543420209836","0.4975","1"
