"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","1","1.0839","1.04449503923604","-0.0803258961013025","0.467989031322876","0.478625145671123","0.6625","1"
"GO:1902600","proton transmembrane transport","1","0.5135","0.709554858210189","0.68564113735641","0.246469716861286","0.462198120110464","0.4042","1"
"GO:0009410","response to xenobiotic stimulus","1","0.7025","0.820768613015636","0.362465127542995","0.358502239258062","0.478625145671123","0.5094","1"
"GO:0001701","in utero embryonic development","2","0.7706","0.870891201671319","1.41165738916718","0.0790254328008711","0.462198120110464","0.1797","1"
"GO:0000244","spliceosomal tri-snRNP complex assembly","0","0.051","0.226283274706818","-0.225381217706336","0.410841360942425","0.478625145671123","1","1"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","0","1.2675","1.10764003026419","-1.14432483963014","0.126244472785765","0.462198120110464","1","1"
"GO:0000395","mRNA 5'-splice site recognition","0","0.0282","0.167951126099457","-0.167905989408493","0.433328619080415","0.478625145671123","1","1"
"GO:0002250","adaptive immune response","0","0.3365","0.575934822781197","-0.584267501615959","0.279520176601582","0.463101521774052","1","1"
"GO:0007186","G protein-coupled receptor signaling pathway","1","0.7587","0.86460919779198","0.279085626912398","0.390089556570406","0.478625145671123","0.5356","1"
"GO:0006468","protein phosphorylation","0","1.6854","1.27270924365382","-1.32426161623639","0.0927080867753246","0.462198120110464","1","1"
"GO:0043066","negative regulation of apoptotic process","0","1.3608","1.1544507939551","-1.17874231376978","0.119250400476405","0.462198120110464","1","1"
"GO:0045892","negative regulation of DNA-templated transcription","2","1.8185","1.32035301461705","0.137463237475655","0.445332324546962","0.478625145671123","0.5474","1"
"GO:0008284","positive regulation of cell population proliferation","0","1.117","1.04576305252968","-1.06811958722198","0.142733285723607","0.462198120110464","1","1"
"GO:0006915","apoptotic process","4","2.2571","1.47309761783093","1.18315309108051","0.118374240003322","0.462198120110464","0.1902","1"
"GO:0030154","cell differentiation","4","2.0982","1.41808245732947","1.34110678132319","0.0899428929493376","0.462198120110464","0.154","1"
"GO:0001525","angiogenesis","1","0.7681","0.867984867248835","0.267170556481048","0.394668922463094","0.478625145671123","0.5386","1"
"GO:0006914","autophagy","0","0.7908","0.87527822502169","-0.903484146404309","0.183134499270295","0.462198120110464","1","1"
"GO:0051607","defense response to virus","0","0.6966","0.831635498136158","-0.837626582272165","0.201120229313725","0.462198120110464","1","1"
"GO:0045087","innate immune response","1","1.282","1.12205253896153","-0.251325129802739","0.400781373884432","0.478625145671123","0.7274","1"
"GO:0034220","monoatomic ion transmembrane transport","2","0.5114","0.703931525049984","2.11469432327853","0.0172280042556428","0.462198120110464","0.0927","1"
"GO:0045944","positive regulation of transcription by RNA polymerase II","1","3.1972","1.72852854795462","-1.27113897112082","0.101839606633","0.462198120110464","0.963","1"
"GO:0016567","protein ubiquitination","2","1.8669","1.36109134409293","0.097789175265604","0.461049851535599","0.478625145671123","0.5539","1"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","0","0.8951","0.927028547668743","-0.965558182917844","0.167132654324776","0.462198120110464","1","1"
"GO:0015031","protein transport","6","2.4235","1.53159470103315","2.33514780221389","0.00976785042956167","0.439553269330275","0.0357","1"
"GO:0030030","cell projection organization","1","0.7119","0.837119147342052","0.344156504978712","0.365364295250789","0.478625145671123","0.5125","1"
"GO:0060271","cilium assembly","1","0.8196","0.900076026614068","0.200427513527534","0.42057312167127","0.478625145671123","0.562","1"
"GO:0006897","endocytosis","2","0.6949","0.810727893914966","1.60978795696511","0.0537220776070435","0.462198120110464","0.1507","1"
"GO:0016192","vesicle-mediated transport","2","1.0951","1.03747945828466","0.87221004018348","0.191546901602252","0.462198120110464","0.2994","1"
"GO:0007608","sensory perception of smell","1","0.0574","0.241062338628643","3.91019188381839","4.61114153834941e-05","0.00415002738451447","0.0556","1"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","0","0","0","NaN","NaN","NaN","1","1"
