"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","0","0.1945","0.437137116801912","-0.44494048325834","0.328181382802109","0.429939954395905","1","1"
"GO:1902600","proton transmembrane transport","2","0.0913","0.297276213839472","6.42062805950122","6.78566240439904e-11","6.17495278800313e-09","0.0027","0.1472"
"GO:0009410","response to xenobiotic stimulus","0","0.0826","0.28702870683584","-0.287776093585096","0.386759069080698","0.429939954395905","1","1"
"GO:0001701","in utero embryonic development","0","0.0638","0.252063312664416","-0.253111011378875","0.400091215014563","0.429939954395905","1","1"
"GO:0000244","spliceosomal tri-snRNP complex assembly","0","0.017","0.130815562037271","-0.129953957581564","0.448301427109415","0.463584430306327","1","1"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","0","0.139","0.36863612039371","-0.377065600222641","0.353062427318385","0.429939954395905","1","1"
"GO:0000395","mRNA 5'-splice site recognition","0","0.004","0.0631220915357213","-0.0633692563519757","0.474736233954342","0.480011080998279","1","1"
"GO:0002250","adaptive immune response","0","0.1527","0.388584366362027","-0.392964857103222","0.347172718832879","0.429939954395905","1","1"
"GO:0007186","G protein-coupled receptor signaling pathway","1","0.5856","0.735069161825788","0.563756475609316","0.286459938235864","0.429939954395905","0.4581","1"
"GO:0006468","protein phosphorylation","0","0.1733","0.408758875600076","-0.423966329160653","0.335795184690286","0.429939954395905","1","1"
"GO:0043066","negative regulation of apoptotic process","2","0.2073","0.446706463649751","4.0131499001671","2.9956919351541e-05","0.000908693220330078","0.0156","0.4784"
"GO:0045892","negative regulation of DNA-templated transcription","0","0.2289","0.472786572053682","-0.484150806157011","0.314139423292474","0.429939954395905","1","1"
"GO:0008284","positive regulation of cell population proliferation","1","0.2117","0.454206715465588","1.7355533794606","0.0413214176678254","0.221191118104242","0.1927","1"
"GO:0006915","apoptotic process","1","0.3109","0.539879928348613","1.27639492378948","0.100907974881672","0.429939954395905","0.2745","1"
"GO:0030154","cell differentiation","0","0.2951","0.53277047068831","-0.553897064938203","0.289824646959981","0.429939954395905","1","1"
"GO:0001525","angiogenesis","0","0.0744","0.270318233189549","-0.275231156707917","0.391569325689597","0.429939954395905","1","1"
"GO:0006914","autophagy","0","0.0977","0.308162629824971","-0.317040388886515","0.375606477969745","0.429939954395905","1","1"
"GO:0051607","defense response to virus","0","0.0907","0.298801670416724","-0.303545826479167","0.380736964644505","0.429939954395905","1","1"
"GO:0045087","innate immune response","0","0.2266","0.467840066083211","-0.484353556755219","0.314067486487758","0.429939954395905","1","1"
"GO:0034220","monoatomic ion transmembrane transport","0","0.1126","0.330048683095875","-0.341161791478171","0.366490892785025","0.429939954395905","1","1"
"GO:0045944","positive regulation of transcription by RNA polymerase II","1","0.3673","0.590953155980452","1.07064323728043","0.142164937232711","0.429939954395905","0.3132","1"
"GO:0016567","protein ubiquitination","0","0.2366","0.47816660729335","-0.494806614245332","0.310368317510723","0.429939954395905","1","1"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","0","0.1335","0.365637961803628","-0.365115261395365","0.357512684613312","0.429939954395905","1","1"
"GO:0015031","protein transport","0","0.2889","0.526938854570097","-0.548260955696082","0.291756366354166","0.429939954395905","1","1"
"GO:0030030","cell projection organization","0","0.071","0.26337413805015","-0.269578480733293","0.393742278747177","0.429939954395905","1","1"
"GO:0060271","cilium assembly","0","0.0737","0.265094959465006","-0.27801358482536","0.390500965253134","0.429939954395905","1","1"
"GO:0006897","endocytosis","1","0.0737","0.269954806513527","3.43131508552556","0.000300331241765853","0.00390430614295609","0.0714","0.89585"
"GO:0016192","vesicle-mediated transport","0","0.1416","0.375184643011458","-0.377414168297063","0.352932919656575","0.429939954395905","1","1"
"GO:0007608","sensory perception of smell","0","0.2888","0.528793458972617","-0.546148964401156","0.292481772156438","0.429939954395905","1","1"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","0","0.2847","0.526377827574202","-0.540866246802287","0.294299888612383","0.429939954395905","1","1"
"GO:0010628","positive regulation of gene expression","1","0.1638","0.411079625675932","2.03415578824917","0.0209679452985392","0.146775617089775","0.1487","0.977171428571429"
"GO:0030335","positive regulation of cell migration","1","0.1048","0.323152290321876","2.77021090925376","0.00280100024638432","0.0254891022420973","0.0995","0.9154"
"GO:0042981","regulation of apoptotic process","0","0.086","0.289158021220446","-0.297415232117791","0.383074757996828","0.429939954395905","1","1"
"GO:0016055","Wnt signaling pathway","0","0.078","0.279506372702373","-0.27906340469402","0.390098083358858","0.429939954395905","1","1"
"GO:0055085","transmembrane transport","0","0.219","0.459630423288756","-0.476469765497695","0.316869871108194","0.429939954395905","1","1"
"GO:0007399","nervous system development","0","0.147","0.376038748686956","-0.390917160833269","0.34792923440023","0.429939954395905","1","1"
"GO:0045893","positive regulation of DNA-templated transcription","0","0.2723","0.509292301006786","-0.534663491793825","0.296441285461946","0.429939954395905","1","1"
"GO:0007165","signal transduction","2","0.6003","0.744308611753857","1.8805371560888","0.0300174537074973","0.195113449098732","0.1161","0.971018181818182"
"GO:0006511","ubiquitin-dependent protein catabolic process","0","0.1165","0.336955640864478","-0.345742839327791","0.36476799314412","0.429939954395905","1","1"
"GO:0006954","inflammatory response","1","0.2019","0.444922673751925","1.79379484814702","0.0364229597790253","0.220965955992754","0.1841","1"
"GO:0051301","cell division","0","0.1645","0.402064566446186","-0.409138267154456","0.341219097380468","0.429939954395905","1","1"
"GO:0035556","intracellular signal transduction","1","0.1394","0.370649940156226","2.32186736530232","0.0101200392666322","0.0837203248421387","0.1311","0.977171428571429"
"GO:0030036","actin cytoskeleton organization","0","0.0886","0.29691557029834","-0.298401326380341","0.38269843842426","0.429939954395905","1","1"
"GO:0030182","neuron differentiation","0","0.0562","0.235046984044618","-0.239101132177607","0.405513581942345","0.429939954395905","1","1"
"GO:0051726","regulation of cell cycle","0","0.0999","0.316749148384491","-0.315391534624538","0.376232196749548","0.429939954395905","1","1"
"GO:0007166","cell surface receptor signaling pathway","0","0.1268","0.352894054103129","-0.359314639976746","0.359679861759619","0.429939954395905","1","1"
"GO:0032259","methylation","0","0.0665","0.257457527444516","-0.258295030873903","0.398089610487583","0.429939954395905","1","1"
"GO:0008150","biological_process","0","0.218","0.466152045767234","-0.467658571874755","0.320014385836732","0.429939954395905","1","1"
"GO:0006629","lipid metabolic process","0","0.1706","0.410502729892415","-0.415587979268033","0.338855762156619","0.429939954395905","1","1"
"GO:0006355","regulation of DNA-templated transcription","0","0.4009","0.623552781893546","-0.642928732965611","0.260135172154525","0.429939954395905","1","1"
"GO:0006357","regulation of transcription by RNA polymerase II","0","0.4343","0.643369957715037","-0.675039290834218","0.249825401228599","0.429939954395905","1","1"
"GO:0007155","cell adhesion","1","0.215","0.451215424754023","1.73974548948086","0.0409518589505344","0.221191118104242","0.1987","1"
"GO:0006397","mRNA processing","0","0.2282","0.475339199662171","-0.480078226584688","0.315585884942949","0.429939954395905","1","1"
"GO:0008380","RNA splicing","0","0.1881","0.433055589635293","-0.43435532181541","0.332015218225109","0.429939954395905","1","1"
"GO:0006508","proteolysis","0","0.1907","0.431453502955442","-0.441994325445759","0.329246656108471","0.429939954395905","1","1"
"GO:0007601","visual perception","0","0.0555","0.234147886010641","-0.237029686432777","0.406316879978547","0.429939954395905","1","1"
"GO:0016477","cell migration","0","0.1032","0.320562062639359","-0.321934539447055","0.373751143142533","0.429939954395905","1","1"
"GO:0007283","spermatogenesis","0","0.1776","0.416983965594309","-0.42591565780443","0.335084652523387","0.429939954395905","1","1"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","0","0.0312","0.176152385638959","-0.177119372450324","0.429707312740642","0.449463970797683","1","1"
"GO:0098609","cell-cell adhesion","1","0.0713","0.266126647179936","3.48969188106924","0.00024178887725418","0.00373717942952066","0.069","0.89585"
"GO:0006396","RNA processing","0","0.0694","0.262660501510801","-0.264219399570233","0.395805431692841","0.429939954395905","1","1"
"GO:0006325","chromatin organization","0","0.1661","0.409789681127131","-0.405329874444715","0.342617524903671","0.429939954395905","1","1"
"GO:0000122","negative regulation of transcription by RNA polymerase II","0","0.2635","0.508225913701708","-0.518470217468398","0.302065117197656","0.429939954395905","1","1"
"GO:0007420","brain development","0","0.0645","0.254059450956783","-0.253877585569418","0.399795065853725","0.429939954395905","1","1"
"GO:0010629","negative regulation of gene expression","0","0.112","0.329343053190239","-0.340070934896281","0.366901554661561","0.429939954395905","1","1"
"GO:0010468","regulation of gene expression","0","0.1224","0.346453810809323","-0.3532938480719","0.361934078541022","0.429939954395905","1","1"
"GO:0050821","protein stabilization","0","0.0948","0.306956645535202","-0.308838402357144","0.378722227647251","0.429939954395905","1","1"
"GO:0007268","chemical synaptic transmission","0","0.0747","0.273728702806765","-0.272897943233719","0.392465833798505","0.429939954395905","1","1"
"GO:0006281","DNA repair","0","0.1536","0.386292586255832","-0.397626062381312","0.345452923122415","0.429939954395905","1","1"
"GO:0000398","mRNA splicing, via spliceosome","0","0.1248","0.356423433245314","-0.35014532816675","0.363114817219748","0.429939954395905","1","1"
"GO:0008285","negative regulation of cell population proliferation","1","0.1484","0.376552279453884","2.26157175634438","0.0118619373276413","0.0899530247346128","0.1409","0.977171428571429"
"GO:0035195","miRNA-mediated post-transcriptional gene silencing","0","0.0025","0.049939957948921","-0.0500601142387229","0.480037242045069","0.480037242045069","1","1"
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","2","0.0977","0.307512871952772","6.18608251394484","3.08388660061025e-10","1.40316840327766e-08","0.0032","0.1472"
"GO:0006955","immune response","1","0.326","0.562632789273391","1.19793942487858","0.115470300004728","0.429939954395905","0.2816","1"
"GO:0043065","positive regulation of apoptotic process","0","0.129","0.355769106536412","-0.362594721210841","0.358453827078948","0.429939954395905","1","1"
"GO:0006886","intracellular protein transport","0","0.1318","0.361997049969221","-0.364091364863903","0.35789489239733","0.429939954395905","1","1"
"GO:0007507","heart development","0","0.0646","0.252652376443073","-0.255687284281514","0.399096157273181","0.429939954395905","1","1"
"GO:0042742","defense response to bacterium","0","0.0598","0.241308480949796","-0.247815575170114","0.402138551755928","0.429939954395905","1","1"
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","1","0.0803","0.280463502041884","3.27921456198124","0.000520482286863352","0.00592048601307063","0.0779","0.89585"
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","1","0.0719","0.266340916399217","3.48463169890455","0.00024640743491345","0.00373717942952066","0.0698","0.89585"
"GO:0006869","lipid transport","0","0.081","0.283631882383611","-0.285581435060421","0.38759936210497","0.429939954395905","1","1"
"GO:0007267","cell-cell signaling","1","0.093","0.303249395744826","2.99093753434289","0.00139061189638076","0.0140606313967388","0.0892","0.911822222222222"
"GO:0006811","monoatomic ion transport","0","0.1042","0.318359066542049","-0.327303384608452","0.371719216376494","0.429939954395905","1","1"
"GO:0006366","transcription by RNA polymerase II","0","0.0914","0.299424457084838","-0.30525228596842","0.380087006483606","0.429939954395905","1","1"
"GO:0006974","DNA damage response","0","0.1362","0.364229084893873","-0.373940483198054","0.354224298252918","0.429939954395905","1","1"
"GO:0010467","gene expression","0","0.0667","0.257794018114419","-0.258733699439045","0.397920358141751","0.429939954395905","1","1"
"GO:0043410","positive regulation of MAPK cascade","1","0.0631","0.251246298420986","3.72901016209258","9.61167002866362e-05","0.00218665493152097","0.0612","0.89585"
"GO:0008283","cell population proliferation","0","0.0678","0.25886262956653","-0.261914978278372","0.396693495810867","0.429939954395905","1","1"
"GO:0006617","SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition","0","0.0067","0.0815829368039528","-0.0821250161182648","0.467273650163752","0.477774181628106","1","1"
"GO:0071222","cellular response to lipopolysaccharide","0","0.0669","0.261975672773852","-0.255367222809847","0.399219742059629","0.429939954395905","1","1"
"GO:0002764","immune response-regulating signaling pathway","0","0.2165","0.457437072030117","-0.473289143442545","0.318003453282806","0.429939954395905","1","1"
