"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","0","0.5983","0.753255500733276","-0.794285603513774","0.213514591579998","0.370312795563739","1","1"
"GO:1902600","proton transmembrane transport","0","0.273","0.517974738556793","-0.527052729947113","0.299078485716133","0.370312795563739","1","1"
"GO:0009410","response to xenobiotic stimulus","4","0.2715","0.519436936954956","7.17796470512323","3.53784098374077e-13","3.57715032800456e-12","1e-04","0.00092"
"GO:0001701","in utero embryonic development","2","0.1929","0.433253229458343","4.1710018001695","1.51631733100418e-05","8.62405482008627e-05","0.0142","0.08165"
"GO:0000244","spliceosomal tri-snRNP complex assembly","0","0.0519","0.226741110416958","-0.228895412501774","0.409475103109","0.438379228034341","1","1"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","0","0.4223","0.649157030682907","-0.650535972098684","0.257673036790398","0.370312795563739","1","1"
"GO:0000395","mRNA 5'-splice site recognition","0","0.0134","0.115852415504459","-0.115664398896234","0.453959261195844","0.463997645540537","1","1"
"GO:0002250","adaptive immune response","0","0.4677","0.672756991934695","-0.695199017783526","0.243465293901298","0.370312795563739","1","1"
"GO:0007186","G protein-coupled receptor signaling pathway","0","1.7593","1.27754715086069","-1.37709203047007","0.0842418981753347","0.207189533350148","1","1"
"GO:0006468","protein phosphorylation","0","0.5321","0.725963010234835","-0.732957454440931","0.23179218948475","0.370312795563739","1","1"
"GO:0043066","negative regulation of apoptotic process","11","0.6274","0.784876323432111","13.2155852971111","3.56646542576764e-40","8.11370884362138e-39","0","0"
"GO:0045892","negative regulation of DNA-templated transcription","2","0.6936","0.820479346867344","1.59223995702992","0.0556653991758932","0.144730037857322","0.1515","0.480620689655172"
"GO:0008284","positive regulation of cell population proliferation","2","0.6323","0.788897297431414","1.73368574648832","0.0414869284534231","0.121784209331016","0.128","0.452923076923077"
"GO:0006915","apoptotic process","22","0.9304","0.947230470665115","22.2433722863725","6.53754186330578e-110","2.97458154780413e-108","0","0"
"GO:0030154","cell differentiation","1","0.9041","0.92918756392501","0.103208441140673","0.458898770314817","0.463997645540537","0.6051","1"
"GO:0001525","angiogenesis","0","0.2468","0.492253990739679","-0.501367189789867","0.308056363239088","0.370312795563739","1","1"
"GO:0006914","autophagy","4","0.2835","0.524170988821923","7.09024360228874","6.69380666642267e-13","6.09136406644463e-12","4e-04","0.00334545454545455"
"GO:0051607","defense response to virus","4","0.2594","0.507678455069126","7.36804952554207","8.65712355930825e-14","9.84747804871313e-13","1e-04","0.00092"
"GO:0045087","innate immune response","0","0.6371","0.776958143271335","-0.81999269267908","0.206110136444199","0.370312795563739","1","1"
"GO:0034220","monoatomic ion transmembrane transport","0","0.3469","0.589062890962375","-0.58890146590843","0.277963687168382","0.370312795563739","1","1"
"GO:0045944","positive regulation of transcription by RNA polymerase II","3","1.1002","1.02501952493728","1.85342810920235","0.0319105107488024","0.103709159933608","0.0966","0.3703"
"GO:0016567","protein ubiquitination","0","0.7047","0.829075778602093","-0.849982617015054","0.197667375365482","0.370312795563739","1","1"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","1","0.3855","0.619457926587659","0.991996346523532","0.160599653816157","0.356452890177324","0.3218","0.74014"
"GO:0015031","protein transport","0","0.8694","0.912483919140644","-0.952783914064788","0.170349783092023","0.360997127233024","1","1"
"GO:0030030","cell projection organization","0","0.2044","0.449266985302068","-0.45496332178197","0.32456781313025","0.370312795563739","1","1"
"GO:0060271","cilium assembly","0","0.2353","0.481411555437311","-0.488770984706122","0.312501921083037","0.370312795563739","1","1"
