"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","2","3.1776","1.72776061874195","-0.681575900750334","0.247753578887558","0.296652311562734","0.8326","1"
"GO:1902600","proton transmembrane transport","0","1.3748","1.1589906323731","-1.1862045831941","0.117770758363468","0.167455297048057","1","1"
"GO:0009410","response to xenobiotic stimulus","6","1.342","1.15636054800036","4.02815541230186","2.81080898430443e-05","8.85494729738208e-05","0.0028","0.0092"
"GO:0001701","in utero embryonic development","3","1.0069","0.990631376977585","2.01194919353448","0.0221126464786578","0.0457329733990423","0.0801","0.174158139534884"
"GO:0000244","spliceosomal tri-snRNP complex assembly","1","0.2489","0.492517052806023","1.52502333821895","0.0636266383331111","0.109245737515342","0.2228","0.386747169811321"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","17","2.2241","1.47210594034192","10.0372531589459","5.22724227276223e-24","6.58128004325201e-23","0","0"
"GO:0000395","mRNA 5'-splice site recognition","1","0.062","0.249724320448815","3.75614196612564","8.62764172770604e-05","0.000261705132407083","0.0599","0.141302564102564"
"GO:0002250","adaptive immune response","1","2.5009","1.56359958888695","-0.959900482621908","0.168552651648134","0.222294076811307","0.919","1"
"GO:0007186","G protein-coupled receptor signaling pathway","2","9.1546","2.92098477490135","-2.44937942213054","0.00715513072098207","0.017134655147615","0.9993","1"
"GO:0006468","protein phosphorylation","21","2.7246","1.6143777319903","11.3203989610715","5.19987728476343e-30","1.18297208228368e-28","0","0"
"GO:0043066","negative regulation of apoptotic process","13","3.2927","1.78604191008231","5.43509082580971","2.73842637621601e-08","1.24598400117829e-07","0","0"
"GO:0045892","negative regulation of DNA-templated transcription","16","3.6227","1.84669589769779","6.70240293241043","1.0250988208829e-11","5.83024954377152e-11","0","0"
"GO:0008284","positive regulation of cell population proliferation","12","3.3455","1.79684518399931","4.81649731266069","7.30500658598266e-07","2.76981499718509e-06","1e-04","0.000418181818181818"
"GO:0006915","apoptotic process","20","4.8699","2.12819804357848","7.10934776284229","5.82963135152236e-13","3.53664301992356e-12","0","0"
"GO:0030154","cell differentiation","9","4.6696","2.11065897959211","2.05168150888916","0.0201003124759906","0.0435506770313131","0.0447","0.108221052631579"
"GO:0001525","angiogenesis","4","1.2371","1.09772678313369","2.51692865879862","0.00591913985076035","0.0149007485808342","0.0348","0.0889333333333333"
"GO:0006914","autophagy","3","1.4741","1.19660869846317","1.27518712003326","0.101121509518093","0.15734315971959","0.1864","0.336250980392157"
"GO:0051607","defense response to virus","0","1.3952","1.16385240268752","-1.19877743670783","0.115307249135764","0.166554915418326","1","1"
"GO:0045087","innate immune response","4","3.3855","1.80172538735434","0.341061964444168","0.366528467142595","0.416926131374702","0.4444","0.681413333333333"
"GO:0034220","monoatomic ion transmembrane transport","2","1.8327","1.33966047154415","0.124882388899004","0.45030833041817","0.471012161701764","0.5513","0.818058064516129"
"GO:0045944","positive regulation of transcription by RNA polymerase II","30","5.7841","2.3211260096331","10.4328243703701","8.7794981876875e-26","1.59786867015912e-24","0","0"
"GO:0016567","protein ubiquitination","7","3.7113","1.89053159745403","1.73956362561137","0.0409678354828796","0.0730994711557264","0.0814","0.174158139534884"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","8","1.9691","1.38720496818688","4.34751903165583","6.88430633593227e-06","2.40950721757629e-05","9e-04","0.00318461538461538"
"GO:0015031","protein transport","2","4.5498","2.07589761189937","-1.22828793933966","0.109669448421042","0.160966448488949","0.9449","1"
"GO:0030030","cell projection organization","1","1.0613","1.02842018397515","-0.0596059868866607","0.476234725001691","0.481526221946154","0.654","0.929062686567164"
"GO:0060271","cilium assembly","0","1.1995","1.08453555577361","-1.10600338883715","0.134362526292739","0.186736362132727","1","1"
"GO:0006897","endocytosis","2","1.1848","1.06478276480868","0.7656021743989","0.221956525143278","0.272946537676194","0.3351","0.540863157894737"
"GO:0016192","vesicle-mediated transport","0","2.2094","1.47267393432887","-1.50026421225882","0.0667729879128877","0.112524850001348","1","1"
"GO:0007608","sensory perception of smell","0","4.5493","2.09580742218246","-2.17066699537814","0.0149781768934698","0.0340753524326437","1","1"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","0","4.4871","2.08107344336226","-2.1561468742547","0.0155360991594147","0.0344825615489448","1","1"
"GO:0010628","positive regulation of gene expression","23","2.627","1.58395766742335","12.8620861649296","3.67820483880714e-38","1.11572213443817e-36","0","0"
"GO:0030335","positive regulation of cell migration","6","1.6812","1.29156237686661","3.34385708143466","0.000413111446723718","0.00117478567662057","0.0069","0.0204774193548387"
"GO:0042981","regulation of apoptotic process","6","1.3687","1.14999676488933","4.02722872046139","2.8219062815833e-05","8.85494729738208e-05","0.0029","0.0092"
"GO:0016055","Wnt signaling pathway","6","1.3027","1.12356528510585","4.18070944543064","1.45300499889453e-05","4.89716499627416e-05","0.0024","0.00817777777777778"
"GO:0055085","transmembrane transport","2","3.4576","1.82968221658882","-0.796641070664986","0.212829758743586","0.26530832939269","0.8643","1"
"GO:0007399","nervous system development","2","2.3222","1.49432608926101","-0.215615589070882","0.414643701647247","0.454609359637343","0.6766","0.929062686567164"
"GO:0045893","positive regulation of DNA-templated transcription","20","4.3071","2.0183153741908","7.77524672341739","3.76502485744237e-15","3.11470238206596e-14","0","0"
"GO:0007165","signal transduction","24","9.3979","2.94703988680327","4.95483622918971","3.61956178266054e-07","1.49718237373686e-06","0","0"
"GO:0006511","ubiquitin-dependent protein catabolic process","3","1.8157","1.33173227830751","0.889292855096311","0.186922855202977","0.236249719770429","0.2742","0.450471428571429"
