"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","1","2.1136","1.43216624384706","-0.777563362343093","0.218413233491246","0.296650809667215","0.8816","1"
"GO:1902600","proton transmembrane transport","0","0.9131","0.938209152396929","-0.97323714831306","0.16521772593878","0.290036139626123","1","1"
"GO:0009410","response to xenobiotic stimulus","7","0.9102","0.952904382756354","6.39077761651673","8.25221322864968e-11","1.8773785095178e-09","0","0"
"GO:0001701","in utero embryonic development","3","0.674","0.80782996906892","2.87931877877826","0.00199267634764849","0.0181333547636012","0.029","0.2668"
"GO:0000244","spliceosomal tri-snRNP complex assembly","0","0.1662","0.403724979888461","-0.41166637755711","0.34029198606618","0.407454878052926","1","1"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","5","1.4913","1.21641780537269","2.88445300989735","0.00196047134783302","0.0181333547636012","0.0166","0.207511111111111"
"GO:0000395","mRNA 5'-splice site recognition","0","0.0437","0.209271807630524","-0.208819336416082","0.417294637907313","0.45751580782609","1","1"
"GO:0002250","adaptive immune response","1","1.6248","1.26498418112554","-0.493919219957419","0.310681615098067","0.387288040738687","0.8037","1"
"GO:0007186","G protein-coupled receptor signaling pathway","0","6.0711","2.36503787082005","-2.56702020500624","0.00512883176050952","0.0388936408505305","1","1"
"GO:0006468","protein phosphorylation","0","1.7891","1.29760917419572","-1.37876645416669","0.0839833863609033","0.249630835373277","1","1"
"GO:0043066","negative regulation of apoptotic process","5","2.177","1.43648089013908","1.96521932131424","0.0246944293175982","0.160513790564388","0.0675","0.477692307692308"
"GO:0045892","negative regulation of DNA-templated transcription","7","2.4251","1.52454006580386","3.00083946799244","0.00134618231797551","0.0181333547636012","0.0115","0.176333333333333"
"GO:0008284","positive regulation of cell population proliferation","0","2.2379","1.46434900956097","-1.52825589076675","0.0632245084388539","0.236052437518558","1","1"
"GO:0006915","apoptotic process","3","3.2288","1.74772881637901","-0.130912758235591","0.447922160966228","0.457987827504795","0.6327","1"
"GO:0030154","cell differentiation","0","3.1202","1.7085794931429","-1.82619539361347","0.0339104174845409","0.192512413459477","1","1"
"GO:0001525","angiogenesis","0","0.8256","0.901035974077982","-0.916278621222449","0.179760389055815","0.290036139626123","1","1"
"GO:0006914","autophagy","1","0.9705","0.978736707472574","0.0301408946601981","0.487977343156063","0.487977343156063","0.6234","1"
"GO:0051607","defense response to virus","1","0.9189","0.949954225898875","0.0853725345800328","0.465982613828875","0.471160198426974","0.6041","1"
"GO:0045087","innate immune response","3","2.2254","1.46212469401966","0.529776976729992","0.298133284932639","0.376807346234308","0.3888","1"
"GO:0034220","monoatomic ion transmembrane transport","0","1.2099","1.09442302889542","-1.10551401793978","0.134468461854067","0.290036139626123","1","1"
"GO:0045944","positive regulation of transcription by RNA polymerase II","6","3.8362","1.89882334960662","1.13954781546597","0.127237368402673","0.290036139626123","0.181","0.979529411764706"
"GO:0016567","protein ubiquitination","3","2.4467","1.53538101117766","0.360366577398016","0.359286508652103","0.424611328407031","0.4473","1"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","3","1.2797","1.11381864286648","1.54450637993696","0.0612328534403639","0.236052437518558","0.1333","0.850693333333333"
"GO:0015031","protein transport","0","3.0094","1.69440217772346","-1.77608364741559","0.0378595655500648","0.192512413459477","1","1"
"GO:0030030","cell projection organization","0","0.7073","0.828187961473694","-0.854033181961999","0.196543302120985","0.290036139626123","1","1"
"GO:0060271","cilium assembly","0","0.7874","0.863525221160771","-0.911843662124377","0.180925511099218","0.290036139626123","1","1"
"GO:0006897","endocytosis","0","0.7774","0.870703768514442","-0.892840973143331","0.185971170438389","0.290036139626123","1","1"
"GO:0016192","vesicle-mediated transport","0","1.442","1.19364084960585","-1.20806857479463","0.113510443097449","0.290036139626123","1","1"
"GO:0007608","sensory perception of smell","0","3.0202","1.70888384286318","-1.76735242281871","0.0385846127649106","0.192512413459477","1","1"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","0","2.9773","1.70284311592928","-1.74842883184527","0.0401948995135172","0.192512413459477","1","1"
"GO:0010628","positive regulation of gene expression","3","1.742","1.28600209180935","0.978225469470311","0.16398141111892","0.290036139626123","0.2491","1"
"GO:0030335","positive regulation of cell migration","0","1.1161","1.03669101608256","-1.07659850686998","0.140829835788933","0.290036139626123","1","1"
"GO:0042981","regulation of apoptotic process","2","0.9199","0.953191925839046","1.13314010612212","0.128577710686318","0.290036139626123","0.2348","1"
"GO:0016055","Wnt signaling pathway","1","0.8595","0.912821490932061","0.153918374398195","0.438837048036131","0.457987827504795","0.5837","1"
"GO:0055085","transmembrane transport","0","2.3119","1.48997999786554","-1.55163156774714","0.0603752026510917","0.236052437518558","1","1"
"GO:0007399","nervous system development","1","1.5376","1.23107180691436","-0.436692642119291","0.331167133030766","0.401816121410663","0.7842","1"
"GO:0045893","positive regulation of DNA-templated transcription","6","2.8734","1.64937699888426","1.89562483417377","0.0290048354998477","0.175962668699076","0.0662","0.477692307692308"
"GO:0007165","signal transduction","0","6.2352","2.41550500443337","-2.58132356942173","0.00492111424934385","0.0388936408505305","1","1"
"GO:0006511","ubiquitin-dependent protein catabolic process","1","1.1845","1.08359455873346","-0.170266635719959","0.432400224467339","0.457987827504795","0.6955","1"
"GO:0006954","inflammatory response","1","2.079","1.42981237802155","-0.754644467054501","0.225231167630268","0.301412297858153","0.8778","1"
"GO:0051301","cell division","2","1.6866","1.26780959694956","0.247198002566049","0.402377495533897","0.446540879190056","0.5104","1"
"GO:0035556","intracellular signal transduction","0","1.4707","1.18189728746614","-1.24435516994292","0.106684437248651","0.290036139626123","1","1"
"GO:0030036","actin cytoskeleton organization","0","0.9528","0.965746046609902","-0.986594771311416","0.161920667265193","0.290036139626123","1","1"
"GO:0030182","neuron differentiation","1","0.5476","0.737962532158569","0.613039253736518","0.269925192432382","0.350902750162097","0.4229","1"
"GO:0051726","regulation of cell cycle","4","1.0295","1.00783496820279","2.94740715863145","0.00160225481003128","0.0181333547636012","0.0203","0.207511111111111"
"GO:0007166","cell surface receptor signaling pathway","0","1.2752","1.11740315865935","-1.14121746490315","0.126889719112694","0.290036139626123","1","1"
"GO:0032259","methylation","0","0.6811","0.81772223704978","-0.832923417195193","0.202443960927419","0.290036139626123","1","1"
"GO:0008150","biological_process","0","2.1354","1.43089887384075","-1.4923486481391","0.0678038848105075","0.236052437518558","1","1"
"GO:0006629","lipid metabolic process","0","1.815","1.33242355700187","-1.36217945897323","0.0865706283462769","0.249630835373277","1","1"
"GO:0006355","regulation of DNA-templated transcription","2","4.1908","2.01131795099383","-1.08923603993963","0.138024904881718","0.290036139626123","0.9244","1"
"GO:0006357","regulation of transcription by RNA polymerase II","9","4.5399","2.07442481517923","2.15004176934446","0.0157759554859556","0.110431688401689","0.0403","0.337054545454545"
"GO:0007155","cell adhesion","0","2.2014","1.45232536468124","-1.51577604683863","0.0647879954068036","0.236052437518558","1","1"
"GO:0006397","mRNA processing","0","2.316","1.50052296114245","-1.54346188627242","0.0613593740913183","0.236052437518558","1","1"
"GO:0008380","RNA splicing","0","1.9347","1.37092080456357","-1.41124125737949","0.0790867443902623","0.249630835373277","1","1"
"GO:0006508","proteolysis","1","1.9558","1.398085056133","-0.6836493930088","0.247098293462341","0.325883256595262","0.86","1"
"GO:0007601","visual perception","0","0.5847","0.751852670570388","-0.777678956113066","0.218379150577528","0.296650809667215","1","1"
"GO:0016477","cell migration","0","1.0825","1.03276348213955","-1.04815867206828","0.147282753998542","0.290036139626123","1","1"
"GO:0007283","spermatogenesis","2","1.8246","1.3269555083318","0.132182276571206","0.447420059677177","0.457987827504795","0.5456","1"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","0","0.3093","0.562730109837435","-0.549641816908202","0.291282535576275","0.373333954048465","1","1"
"GO:0098609","cell-cell adhesion","0","0.757","0.866617621913068","-0.87351097053498","0.191192314627199","0.290036139626123","1","1"
"GO:0006396","RNA processing","0","0.7108","0.835244349464473","-0.851008450947005","0.197382329163047","0.290036139626123","1","1"
"GO:0006325","chromatin organization","9","1.7934","1.33240157962866","5.40872970295374","3.17366703635316e-08","5.77607400616276e-07","1e-04","0.00184"
"GO:0000122","negative regulation of transcription by RNA polymerase II","5","2.7662","1.61245079297198","1.38534460073835","0.0829735610091981","0.249630835373277","0.1387","0.850693333333333"
"GO:0007420","brain development","0","0.6618","0.805037619342634","-0.822073384024467","0.205517566285068","0.290036139626123","1","1"
"GO:0010629","negative regulation of gene expression","1","1.1605","1.0600245823619","-0.151411582967615","0.439825526457877","0.457987827504795","0.6928","1"
"GO:0010468","regulation of gene expression","1","1.3077","1.12015453604334","-0.274694240927571","0.391775578048325","0.445375361907828","0.7363","1"
"GO:0050821","protein stabilization","4","1.0449","1.01547383457717","2.91007005732496","0.00180673874371436","0.0181333547636012","0.0201","0.207511111111111"
"GO:0007268","chemical synaptic transmission","0","0.7973","0.892912335699269","-0.892920803222646","0.185949792837345","0.290036139626123","1","1"
"GO:0006281","DNA repair","71","1.5672","1.23005506524966","56.4469038513388","0","0","0","0"
"GO:0000398","mRNA splicing, via spliceosome","0","1.2697","1.11395062664369","-1.13981712441384","0.127181248942995","0.290036139626123","1","1"
"GO:0008285","negative regulation of cell population proliferation","1","1.5539","1.23533290846616","-0.448381157989018","0.326939068860746","0.401816121410663","0.7935","1"
"GO:0035195","miRNA-mediated post-transcriptional gene silencing","0","0.0229","0.150259268548661","-0.152403244213744","0.439434449228206","0.457987827504795","1","1"
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","0","1.0032","0.995233042498534","-1.00800511755665","0.156726002726486","0.290036139626123","1","1"
"GO:0006955","immune response","1","3.4695","1.82312976230794","-1.35453879973623","0.087782271779614","0.249630835373277","0.9715","1"
"GO:0043065","positive regulation of apoptotic process","1","1.3533","1.156984430015","-0.30536279558699","0.380044927110016","0.443385748295018","0.7419","1"
"GO:0006886","intracellular protein transport","0","1.338","1.13828184934877","-1.17545579837322","0.119906205601166","0.290036139626123","1","1"
"GO:0007507","heart development","2","0.7364","0.856380977624961","1.47551152234184","0.0700375364066052","0.236052437518558","0.1691","0.972325"
"GO:0042742","defense response to bacterium","0","0.6712","0.809169967067217","-0.829491982299739","0.203413035904511","0.290036139626123","1","1"
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","0","0.8922","0.930626545170864","-0.95870895218897","0.168852693667552","0.290036139626123","1","1"
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","0","0.7348","0.851669826957263","-0.86277566345775","0.194130411091908","0.290036139626123","1","1"
"GO:0006869","lipid transport","0","0.8349","0.912318597049437","-0.915140832051633","0.180058850763152","0.290036139626123","1","1"
"GO:0007267","cell-cell signaling","0","0.9945","0.989124656834858","-1.00543444461524","0.157343850496461","0.290036139626123","1","1"
"GO:0006811","monoatomic ion transport","0","1.1134","1.04127271398346","-1.06926839150582","0.142474374566417","0.290036139626123","1","1"
"GO:0006366","transcription by RNA polymerase II","17","0.8973","0.943950112125327","17.0588464296533","1.50214711096938e-65","4.55651290327379e-64","0","0"
"GO:0006974","DNA damage response","31","1.3638","1.15826755042686","25.5866617251585","1.07368093289831e-144","4.88524824468729e-143","0","0"
"GO:0010467","gene expression","0","0.7551","0.866717433718159","-0.871218197101069","0.191817512940796","0.290036139626123","1","1"
"GO:0043410","positive regulation of MAPK cascade","0","0.6479","0.793718204943597","-0.816284666226146","0.207168671161517","0.290036139626123","1","1"
"GO:0008283","cell population proliferation","1","0.7504","0.853799002853556","0.292340467915505","0.385013160292978","0.44349617198305","0.5317","1"
"GO:0006617","SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition","0","0.0672","0.255911525865693","-0.262590751911924","0.396433014445429","0.445375361907828","1","1"
"GO:0071222","cellular response to lipopolysaccharide","0","0.6936","0.819747667653811","-0.846114026753066","0.198744568254794","0.290036139626123","1","1"
"GO:0002764","immune response-regulating signaling pathway","0","2.2016","1.4610170762485","-1.50689546056034","0.0659187276022178","0.236052437518558","1","1"
