"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","2","1.3262","1.14259534062206","0.58971008899193","0.277692515060527","0.346164642061753","0.3877","0.89171"
"GO:1902600","proton transmembrane transport","2","0.5646","0.741270388035849","1.93640542394172","0.0264090328535061","0.126485367877319","0.1077","0.476209523809524"
"GO:0009410","response to xenobiotic stimulus","4","0.5682","0.73851425194781","4.64689745790109","1.6848227906445e-06","5.11062913162166e-05","0.0019","0.0483"
"GO:0001701","in utero embryonic development","0","0.4097","0.635048217558212","-0.645147862276213","0.259415684852516","0.33933802598827","1","1"
"GO:0000244","spliceosomal tri-snRNP complex assembly","0","0.1067","0.321442751581451","-0.331940911639947","0.369966938571232","0.415641869259039","1","1"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","3","0.932","0.956173324634543","2.16278779873974","0.0152787522357519","0.100177443858531","0.0656","0.3933"
"GO:0000395","mRNA 5'-splice site recognition","0","0.0241","0.154018057890027","-0.15647515836882","0.437829249393817","0.468734843468675","1","1"
"GO:0002250","adaptive immune response","1","1.0264","0.997899103247431","-0.0264555804430401","0.489446981428702","0.489446981428702","0.6486","1"
"GO:0007186","G protein-coupled receptor signaling pathway","2","3.8031","1.87890484547298","-0.959654771418776","0.168614496681554","0.33933802598827","0.9033","1"
"GO:0006468","protein phosphorylation","2","1.1258","1.03811469896771","0.842103479383631","0.199865016936483","0.33933802598827","0.31","0.864242424242424"
"GO:0043066","negative regulation of apoptotic process","4","1.36","1.14303571819314","2.30963911099226","0.010454071200281","0.0864836799295978","0.0461","0.353433333333333"
"GO:0045892","negative regulation of DNA-templated transcription","4","1.5231","1.20855800491541","2.04946720796687","0.0202082256051456","0.111408889684507","0.0684","0.3933"
"GO:0008284","positive regulation of cell population proliferation","3","1.3846","1.16431026871714","1.38743086220469","0.0826552098224897","0.279665732245637","0.1633","0.577830769230769"
"GO:0006915","apoptotic process","3","2.036","1.39846328874125","0.689328070147405","0.245308418660052","0.33933802598827","0.3306","0.869005714285714"
"GO:0030154","cell differentiation","3","1.937","1.37113784934272","0.775268511849166","0.219090505855158","0.33933802598827","0.304","0.864242424242424"
"GO:0001525","angiogenesis","1","0.5138","0.710394275035068","0.684408668659385","0.246858571806259","0.33933802598827","0.4029","0.904068292682927"
"GO:0006914","autophagy","2","0.6183","0.785408681311626","1.75921151990906","0.0392707941559566","0.16243828491782","0.1294","0.5176"
"GO:0051607","defense response to virus","1","0.581","0.751329121986466","0.557678369889604","0.288532015235184","0.35008551181869","0.4439","0.924088888888889"
"GO:0045087","innate immune response","1","1.4244","1.15491039557283","-0.367474395959092","0.356632593503724","0.405669575110486","0.7678","1"
"GO:0034220","monoatomic ion transmembrane transport","1","0.7695","0.869508685715936","0.265092234024334","0.395469204871508","0.438874361503747","0.5408","1"
"GO:0045944","positive regulation of transcription by RNA polymerase II","6","2.4168","1.49890040704612","2.39055242306686","0.00841152363784172","0.0765448651043596","0.0291","0.353433333333333"
"GO:0016567","protein ubiquitination","4","1.5385","1.20824820975395","2.03724696641699","0.0208126497212815","0.111408889684507","0.0659","0.3933"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","3","0.8157","0.877046424679506","2.49051810546767","0.00637784982647602","0.0644871482454798","0.043","0.353433333333333"
"GO:0015031","protein transport","4","1.8902","1.3539303057127","1.5582781411259","0.0595836641696724","0.225921393310008","0.1195","0.499727272727273"
"GO:0030030","cell projection organization","0","0.4449","0.664987376437389","-0.66903525655406","0.251736494014819","0.33933802598827","1","1"
"GO:0060271","cilium assembly","0","0.5006","0.708272408738684","-0.706790203632929","0.239848431658754","0.33933802598827","1","1"
"GO:0006897","endocytosis","4","0.4848","0.690084474291493","5.09386912900633","1.75414492349985e-07","7.98135940192433e-06","0.0014","0.0483"
"GO:0016192","vesicle-mediated transport","2","0.8972","0.940276859258594","1.17284604969387","0.120428773843309","0.322735813465169","0.2261","0.7429"
"GO:0007608","sensory perception of smell","0","1.8913","1.35678605418824","-1.39395595507618","0.0816654527708411","0.279665732245637","1","1"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","0","1.8652","1.34640641747732","-1.38531722352803","0.0829777447322221","0.279665732245637","1","1"
"GO:0010628","positive regulation of gene expression","3","1.0922","1.03489432340991","1.8434732482771","0.0326299720477602","0.148466372817309","0.0938","0.476209523809524"
"GO:0030335","positive regulation of cell migration","1","0.6924","0.81550520836748","0.377189497803171","0.353016392219122","0.405669575110486","0.5075","0.993404255319149"
"GO:0042981","regulation of apoptotic process","1","0.5768","0.751503982573334","0.563137401548904","0.286670662429736","0.35008551181869","0.4426","0.924088888888889"
"GO:0016055","Wnt signaling pathway","0","0.5395","0.732047361400841","-0.736974174686753","0.230569027258853","0.33933802598827","1","1"
"GO:0055085","transmembrane transport","4","1.4492","1.19656280079803","2.13177277306196","0.0165127654711865","0.100177443858531","0.0587","0.3933"
"GO:0007399","nervous system development","1","0.9535","0.961992875768476","0.0483371563046702","0.480723771350462","0.486065146587689","0.6179","1"
"GO:0045893","positive regulation of DNA-templated transcription","6","1.818","1.31417225083719","3.18223124657812","0.000730725401554173","0.0110826685902383","0.0083","0.15272"
"GO:0007165","signal transduction","5","3.8883","1.87946171752307","0.591499145545301","0.277093013745676","0.346164642061753","0.3454","0.869989743589744"
"GO:0006511","ubiquitin-dependent protein catabolic process","3","0.7315","0.84491368666497","2.68488963524095","0.00362768799218522","0.0412649509111069","0.0354","0.353433333333333"
"GO:0006954","inflammatory response","2","1.2799","1.12484777559091","0.640175511412388","0.261029250760207","0.33933802598827","0.3673","0.869989743589744"
"GO:0051301","cell division","1","1.0604","1.01027417337599","-0.0597857508305532","0.476163137232753","0.486065146587689","0.6615","1"
"GO:0035556","intracellular signal transduction","1","0.9215","0.949751521607246","0.0826531974038388","0.467063650266496","0.482986274707399","0.6047","1"
"GO:0030036","actin cytoskeleton organization","1","0.5972","0.766035796215887","0.525823991502456","0.299505251784895","0.35861813042665","0.452","0.924088888888889"
"GO:0030182","neuron differentiation","1","0.3546","0.5942172577559","1.08613472863006","0.13870969479596","0.33933802598827","0.2994","0.864242424242424"
"GO:0051726","regulation of cell cycle","2","0.6573","0.79945019986376","1.67952925676774","0.0465244709451539","0.184075080696044","0.1404","0.5382"
"GO:0007166","cell surface receptor signaling pathway","1","0.8106","0.883858450531564","0.214287706234061","0.415161352192826","0.454797795594942","0.5596","1"
"GO:0032259","methylation","0","0.4114","0.631498154385188","-0.651466670398315","0.257372642699152","0.33933802598827","1","1"
"GO:0008150","biological_process","0","1.3382","1.14173163007403","-1.17207929144717","0.120582611624349","0.322735813465169","1","1"
"GO:0006629","lipid metabolic process","3","1.128","1.04332394417326","1.79426534822163","0.0363854130746421","0.157670123323449","0.1031","0.476209523809524"
"GO:0006355","regulation of DNA-templated transcription","6","2.6398","1.56291401875567","2.1499583212359","0.0157792558618016","0.100177443858531","0.0445","0.353433333333333"
"GO:0006357","regulation of transcription by RNA polymerase II","5","2.8403","1.62925177800597","1.3255778076506","0.0924897905542702","0.300591819301378","0.1541","0.567088"
"GO:0007155","cell adhesion","0","1.3612","1.15085490254014","-1.18277290820554","0.118449580148318","0.322735813465169","1","1"
"GO:0006397","mRNA processing","0","1.44","1.18471108462587","-1.21548622165104","0.11209035035532","0.322735813465169","1","1"
"GO:0008380","RNA splicing","0","1.209","1.08657124189184","-1.11267439573957","0.132924147970477","0.336002707369816","1","1"
"GO:0006508","proteolysis","0","1.2291","1.07755709961482","-1.14063561034432","0.127010795943147","0.330228069452181","1","1"
"GO:0007601","visual perception","0","0.3597","0.599292770841196","-0.600207473711234","0.274183986708484","0.346164642061753","1","1"
"GO:0016477","cell migration","1","0.6648","0.810004055950997","0.41382508832805","0.339501104489723","0.396084621904677","0.487","0.974"
"GO:0007283","spermatogenesis","1","1.1436","1.03965721692915","-0.13812244811242","0.445071822393032","0.470948091136813","0.6913","1"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","0","0.1929","0.438758294376401","-0.439649808271238","0.330095380069251","0.390112721900024","1","1"
"GO:0098609","cell-cell adhesion","1","0.4587","0.677008230388968","0.799547148324921","0.211986609650062","0.33933802598827","0.366","0.869989743589744"
"GO:0006396","RNA processing","0","0.4551","0.662591799518587","-0.68684822288875","0.246089188909095","0.33933802598827","1","1"
"GO:0006325","chromatin organization","2","1.1091","1.04187606776145","0.855092105065978","0.196250079966137","0.33933802598827","0.306","0.864242424242424"
"GO:0000122","negative regulation of transcription by RNA polymerase II","7","1.7451","1.29857407161161","4.04666943140052","2.59757626553311e-05","0.000590948600408783","0.0021","0.0483"
"GO:0007420","brain development","0","0.412","0.639606839934478","-0.644145706825471","0.259740476896868","0.33933802598827","1","1"
"GO:0010629","negative regulation of gene expression","3","0.7295","0.842734104019179","2.69420685501097","0.00352781805730077","0.0412649509111069","0.0337","0.353433333333333"
"GO:0010468","regulation of gene expression","6","0.8136","0.878482904342095","5.90381437631293","1.77595897528396e-09","1.6161226675084e-07","1e-04","0.0092"
"GO:0050821","protein stabilization","0","0.6543","0.797028879968317","-0.820923829041187","0.205844828471836","0.33933802598827","1","1"
"GO:0007268","chemical synaptic transmission","0","0.4879","0.704771778894439","-0.692280841275112","0.244380489630961","0.33933802598827","1","1"
"GO:0006281","DNA repair","0","0.9783","0.986877146685577","-0.991308799971321","0.160767408650305","0.33933802598827","1","1"
"GO:0000398","mRNA splicing, via spliceosome","0","0.8024","0.894558138650777","-0.896979151305051","0.184865021068202","0.33933802598827","1","1"
"GO:0008285","negative regulation of cell population proliferation","2","0.9903","0.98706805253439","1.02292845706788","0.153170836731685","0.33933802598827","0.2653","0.841641379310345"
"GO:0035195","miRNA-mediated post-transcriptional gene silencing","0","0.014","0.117496300103679","-0.119152688107169","0.452577194475451","0.473385341347885","1","1"
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","0","0.6288","0.786938680742486","-0.799045739379235","0.212131945328038","0.33933802598827","1","1"
"GO:0006955","immune response","1","2.1458","1.41482950713272","-0.809850228754463","0.209013130079846","0.33933802598827","0.8909","1"
"GO:0043065","positive regulation of apoptotic process","0","0.8655","0.926442431863932","-0.934218868039841","0.175095502427004","0.33933802598827","1","1"
"GO:0006886","intracellular protein transport","2","0.8455","0.915048349186061","1.2616819657966","0.10353162438103","0.322735813465169","0.2034","0.693066666666667"
"GO:0007507","heart development","1","0.455","0.66484524659517","0.819739635337809","0.206182274902972","0.33933802598827","0.3688","0.869989743589744"
"GO:0042742","defense response to bacterium","0","0.4237","0.645461053819051","-0.656430000684101","0.255773746348259","0.33933802598827","1","1"
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","0","0.5577","0.749484411237665","-0.7441115407311","0.228404498978975","0.33933802598827","1","1"
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","3","0.4575","0.669356821027011","3.79842248578117","7.28099773194569e-05","0.00132514158721411","0.0113","0.173266666666667"
"GO:0006869","lipid transport","1","0.5331","0.720525020822014","0.647999703698472","0.258492570961727","0.33933802598827","0.4175","0.91452380952381"
"GO:0007267","cell-cell signaling","0","0.6275","0.777177039299954","-0.807409339531214","0.209715343942036","0.33933802598827","1","1"
"GO:0006811","monoatomic ion transport","0","0.7172","0.842434050542208","-0.851342606033547","0.197289531932924","0.33933802598827","1","1"
"GO:0006366","transcription by RNA polymerase II","2","0.5639","0.739304705209371","1.9425008252765","0.02603825006449","0.126485367877319","0.1087","0.476209523809524"
"GO:0006974","DNA damage response","0","0.8599","0.916163700215501","-0.9385877216023","0.17397122961696","0.33933802598827","1","1"
"GO:0010467","gene expression","0","0.4586","0.680832132936838","-0.673587478930794","0.250286807894284","0.33933802598827","1","1"
"GO:0043410","positive regulation of MAPK cascade","1","0.3952","0.624064023631037","0.969131334443938","0.166239832749388","0.33933802598827","0.3285","0.869005714285714"
"GO:0008283","cell population proliferation","2","0.4649","0.677505639378108","2.2658113981296","0.0117314666071867","0.0889636217711655","0.0788","0.426447058823529"
"GO:0006617","SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition","0","0.0407","0.201115774506814","-0.202370997997579","0.419813349779946","0.454797795594942","1","1"
"GO:0071222","cellular response to lipopolysaccharide","0","0.4504","0.663915595834169","-0.678399487564531","0.248759216961897","0.33933802598827","1","1"
"GO:0002764","immune response-regulating signaling pathway","0","1.3915","1.14811130381884","-1.21199050594799","0.112758007451498","0.322735813465169","1","1"
