"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","36","45.6987","5.94493503204648","-1.63142237008792","0.0514006139302772","0.0742453312326226","0.9614","1"
"GO:1902600","proton transmembrane transport","25","19.9644","4.02745014562161","1.2503196359797","0.105591404109908","0.145588148090934","0.1312","0.803977777777778"
"GO:0009410","response to xenobiotic stimulus","11","19.8458","3.96340676934906","-2.23186781341972","0.0128118503670821","0.0215903404334162","0.9934","1"
"GO:0001701","in utero embryonic development","3","14.4789","3.38893837068897","-3.38716693678508","0.000353092019254606","0.000973677992489974","1","1"
"GO:0000244","spliceosomal tri-snRNP complex assembly","16","3.5795","1.72828772137187","7.18659274518302","3.32140861728556e-13","5.12763184173906e-12","0","0"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","38","32.3183","5.14729390781771","1.10382272738897","0.134835021972682","0.172816718303015","0.1573","0.803977777777778"
"GO:0000395","mRNA 5'-splice site recognition","0","0.8908","0.844243231932283","-1.05514615493116","0.14567924288824","0.183052942291064","1","1"
"GO:0002250","adaptive immune response","108","35.6578","5.25711545301115","13.7608162968086","2.19273529822464e-43","6.65129707128141e-42","0","0"
"GO:0007186","G protein-coupled receptor signaling pathway","51","132.9078","10.0694904848191","-8.13425466993442","2.07240208021768e-16","4.71471473249521e-15","1","1"
"GO:0006468","protein phosphorylation","33","39.6762","5.57541586666041","-1.19743534108765","0.115568457810231","0.154657789128397","0.9038","1"
"GO:0043066","negative regulation of apoptotic process","24","47.8192","6.21093945686912","-3.83503979799009","6.27719822875933e-05","0.000220200498797586","1","1"
"GO:0045892","negative regulation of DNA-templated transcription","24","52.782","6.48697803976619","-4.43688876755275","4.56342123493662e-06","2.96622380270881e-05","1","1"
"GO:0008284","positive regulation of cell population proliferation","11","48.3487","6.19823766283711","-6.02569666276791","8.41913650549562e-10","6.96492201818274e-09","1","1"
"GO:0006915","apoptotic process","52","70.3202","7.33322913762815","-2.49824458723043","0.00624050232756359","0.0120826747193253","0.9958","1"
"GO:0030154","cell differentiation","46","67.9108","7.35822381460163","-2.97772948364526","0.00145196081303366","0.00344369901041068","0.9992","1"
"GO:0001525","angiogenesis","4","17.8648","3.84353980593723","-3.60729970288915","0.000154700106099895","0.000485438263968634","1","1"
"GO:0006914","autophagy","11","21.4424","4.21336652639532","-2.47839819644977","0.00659868833986096","0.0125100133109864","0.997","1"
"GO:0051607","defense response to virus","4","19.979","4.07266714350267","-3.92347310422658","4.36407566900087e-05","0.000172665602556121","1","1"
