"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","1","2.0064","1.39267835313813","-0.722636348681858","0.234951665247084","0.309863790398329","0.8692","1"
"GO:1902600","proton transmembrane transport","2","0.8831","0.932159472476793","1.19818553903909","0.11542239691012","0.214355879975937","0.2214","0.50922"
"GO:0009410","response to xenobiotic stimulus","7","0.8693","0.90779949327591","6.75336354052874","7.22281854008951e-12","5.47730405956787e-11","1e-04","0.000613333333333333"
"GO:0001701","in utero embryonic development","3","0.6381","0.786250729106754","3.00400357362252","0.00133226097638278","0.00484942995403332","0.0253","0.0862074074074074"
"GO:0000244","spliceosomal tri-snRNP complex assembly","0","0.149","0.386023187632737","-0.385987175831932","0.349753083228706","0.418783297023845","1","1"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","2","1.422","1.17066350643749","0.493737095947358","0.310745931595623","0.377038397002689","0.4212","0.790824489795918"
"GO:0000395","mRNA 5'-splice site recognition","0","0.0399","0.198272340965953","-0.201238356321478","0.420256100455068","0.457006904604942","1","1"
"GO:0002250","adaptive immune response","7","1.5599","1.23303042395662","4.41197548276505","5.12158573651658e-06","2.33032151011504e-05","5e-04","0.00270588235294118"
"GO:0007186","G protein-coupled receptor signaling pathway","8","5.8629","2.32934458048127","0.917468380551258","0.179448627307147","0.267702050572957","0.2311","0.518565853658537"
"GO:0006468","protein phosphorylation","3","1.7444","1.30515860488233","0.962028672456404","0.16801760066008","0.259145790848597","0.2561","0.528693333333333"
"GO:0043066","negative regulation of apoptotic process","6","2.1127","1.4171801402627","2.7429822713148","0.00304419862464426","0.0106546951862549","0.0152","0.055936"
"GO:0045892","negative regulation of DNA-templated transcription","10","2.3154","1.50271376345114","5.11381487739323","1.57858389730209e-07","9.57674231029934e-07","2e-04","0.00115"
"GO:0008284","positive regulation of cell population proliferation","3","2.14","1.4527253839264","0.591990757176423","0.276928388861967","0.346357971334583","0.3655","0.700541666666667"
"GO:0006915","apoptotic process","6","3.1022","1.70471280999952","1.69987576969098","0.0445771477382998","0.11590058411958","0.0856","0.2461"
"GO:0030154","cell differentiation","2","2.9968","1.69164887834112","-0.589247575405537","0.277847603378292","0.346357971334583","0.808","1"
"GO:0001525","angiogenesis","3","0.7907","0.87633915068922","2.52105591569478","0.00585016289567265","0.0190130294109361","0.0437","0.140537931034483"
"GO:0006914","autophagy","1","0.9463","0.958909933636148","0.0560010884404667","0.477670470036823","0.477670470036823","0.6171","0.978848275862069"
