"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","1","2.5393","1.58256309845644","-0.972662639171455","0.165360499762759","0.208997298311265","0.9209","1"
"GO:1902600","proton transmembrane transport","0","1.121","1.03849258383711","-1.07944921075704","0.140193761716726","0.19041242263018","1","1"
"GO:0009410","response to xenobiotic stimulus","10","1.1218","1.05141585851211","8.44404231505869","1.53274074020773e-17","1.16232839465753e-16","0","0"
"GO:0001701","in utero embryonic development","4","0.816","0.89633941251863","3.55222581483197","0.000190993444554296","0.000416744044402356","0.0083","0.0177581395348837"
"GO:0000244","spliceosomal tri-snRNP complex assembly","0","0.2009","0.450288203206119","-0.446158701404039","0.327741306233467","0.359330829725849","1","1"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","10","1.8198","1.33345632496046","6.13458412313771","4.26911272239443e-10","1.84994884637092e-09","0","0"
"GO:0000395","mRNA 5'-splice site recognition","0","0.0466","0.21548337130352","-0.216257986489182","0.414393328036312","0.428520373310277","1","1"
"GO:0002250","adaptive immune response","3","2.0054","1.39261077709375","0.714198120795561","0.237552339371698","0.270215786035306","0.3243","0.48121935483871"
"GO:0007186","G protein-coupled receptor signaling pathway","14","7.4486","2.62805036193572","2.49287460198232","0.00633567942535642","0.0120113922439049","0.0167","0.0341422222222222"
"GO:0006468","protein phosphorylation","23","2.2365","1.47376556768533","14.0887400650911","2.22718932507189e-45","2.02674228581542e-43","0","0"
"GO:0043066","negative regulation of apoptotic process","17","2.7177","1.63782629039094","8.72027765324911","1.38760205824581e-18","1.14792533909426e-17","0","0"
"GO:0045892","negative regulation of DNA-templated transcription","9","2.9713","1.69804730395376","3.55037223401413","0.00019234340510878","0.000416744044402356","0.0032","0.00718048780487805"
"GO:0008284","positive regulation of cell population proliferation","19","2.7444","1.62583300904408","9.99832080513459","7.75015118660354e-24","8.81579697476152e-23","0","0"
"GO:0006915","apoptotic process","19","3.9262","1.923102543376","7.83827157419178","2.28395129605262e-15","1.38559711960526e-14","0","0"
"GO:0030154","cell differentiation","11","3.8261","1.90237238522567","3.77102824647499","8.12881337116828e-05","0.000189672311993926","0.0014","0.00357777777777778"
"GO:0001525","angiogenesis","4","0.9904","0.986815697342747","3.04980961298459","0.00114493237088663","0.00236792831251552","0.0166","0.0341422222222222"
"GO:0006914","autophagy","3","1.2084","1.08382974156039","1.65302716035512","0.0491626680219032","0.0758271659320881","0.1198","0.200392727272727"
"GO:0051607","defense response to virus","2","1.116","1.05823248182928","0.835355193852962","0.201758874771513","0.238442306548151","0.3092","0.474106666666667"
"GO:0045087","innate immune response","6","2.7652","1.62755456233742","1.98752169349968","0.0234323071690955","0.0402328292903338","0.0573","0.103364705882353"
"GO:0034220","monoatomic ion transmembrane transport","1","1.4942","1.21577718822864","-0.406488956023297","0.342191685017628","0.370220565670468","0.777","1"
"GO:0045944","positive regulation of transcription by RNA polymerase II","28","4.709","2.13480086599986","10.9101510922853","5.15424368731281e-28","1.56345391848489e-26","0","0"
"GO:0016567","protein ubiquitination","1","3.0106","1.71066661802579","-1.17533128829061","0.119931100755353","0.165359548011169","0.9536","1"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","2","1.5826","1.24311374104597","0.335769758002026","0.36852224855253","0.389947960677677","0.47","0.665230769230769"
"GO:0015031","protein transport","1","3.7258","1.8846138959887","-1.44634399958619","0.0740403702341759","0.110453667070656","0.9765","1"
"GO:0030030","cell projection organization","1","0.8538","0.918972258014952","0.159090765499062","0.436798681812758","0.436798681812758","0.5751","0.789689552238806"
"GO:0060271","cilium assembly","0","0.9607","0.97265107567488","-0.987712884945315","0.161646641149619","0.207180906262188","1","1"
"GO:0006897","endocytosis","3","0.9584","0.964967645185902","2.11571860485196","0.0171843736369401","0.0300726538646453","0.0702","0.121856603773585"
"GO:0016192","vesicle-mediated transport","1","1.7647","1.32140399607845","-0.578702654350535","0.281394912328032","0.316135024961122","0.8315","1"
"GO:0007608","sensory perception of smell","0","3.7178","1.88221078302702","-1.97523042239772","0.0241210024880822","0.0406483560447311","1","1"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","0","3.6688","1.87121797385301","-1.96064811863986","0.0249600425329337","0.0412975249181267","1","1"
"GO:0010628","positive regulation of gene expression","11","2.1226","1.43442497102489","6.18882142971699","3.03078509737599e-10","1.37900721930608e-09","0","0"
"GO:0030335","positive regulation of cell migration","13","1.354","1.15767785752435","10.0597933391457","4.15863779513541e-24","5.40622913367603e-23","0","0"
"GO:0042981","regulation of apoptotic process","8","1.1111","1.05577850746531","6.5249481319133","3.40125351250808e-11","1.62902141914861e-10","0","0"
"GO:0016055","Wnt signaling pathway","2","1.0578","1.00635999326464","0.936245485021216","0.174573404586852","0.214678105640589","0.2852","0.452386206896552"
"GO:0055085","transmembrane transport","7","2.8172","1.62937093535036","2.56712569817663","0.00512727161995657","0.00992727058332016","0.0198","0.0393446808510638"
"GO:0007399","nervous system development","9","1.9044","1.33365606655179","5.32041219468668","5.17662043408863e-08","1.74471281297061e-07","1e-04","0.000353846153846154"
"GO:0045893","positive regulation of DNA-templated transcription","18","3.5227","1.85095308226094","7.82153807070894","2.60908923072586e-15","1.48391949997534e-14","0","0"
"GO:0007165","signal transduction","29","7.6616","2.67514505776939","7.97653941719053","7.52465608755059e-16","4.89102645690789e-15","0","0"
"GO:0006511","ubiquitin-dependent protein catabolic process","0","1.4608","1.20291648122639","-1.21438189832655","0.112300962266469","0.157221347173057","1","1"
"GO:0006954","inflammatory response","14","2.5376","1.55699346911485","7.36188059062084","9.06685758822972e-14","4.85343553252297e-13","0","0"
"GO:0051301","cell division","4","2.0938","1.40755095110905","1.35426713931602","0.0878255829508801","0.128858344958701","0.1527","0.250864285714286"
"GO:0035556","intracellular signal transduction","15","1.8299","1.32903823280688","9.90949671341302","1.89274110175963e-23","1.91377155844585e-22","0","0"
"GO:0030036","actin cytoskeleton organization","4","1.1653","1.07893110031731","2.62732254095403","0.00430298585951476","0.00851242854817051","0.0286","0.0548166666666667"
"GO:0030182","neuron differentiation","5","0.658","0.813573715295069","5.3369472469071","4.72622632838512e-08","1.65417921493479e-07","6e-04","0.00167272727272727"
"GO:0051726","regulation of cell cycle","12","1.285","1.13503472650974","9.4402398003706","1.85963616149824e-21","1.6922689069634e-20","0","0"
"GO:0007166","cell surface receptor signaling pathway","14","1.5794","1.2254165840972","10.1358184320237","1.91575719670811e-24","2.90556508167397e-23","0","0"
"GO:0032259","methylation","1","0.8224","0.897295243426258","0.197928163891572","0.421550634232872","0.431023682193161","0.5663","0.789387878787879"
"GO:0008150","biological_process","1","2.6349","1.5951979361965","-1.02488848744261","0.152707903681231","0.204359106396941","0.9293","1"
"GO:0006629","lipid metabolic process","8","2.2487","1.47853539581968","3.88986291181182","5.01504335323652e-05","0.000120097090827506","0.0022","0.00518974358974359"
"GO:0006355","regulation of DNA-templated transcription","14","5.1699","2.21551909097716","3.98556710071294","3.36595745694923e-05","8.50839246062167e-05","8e-04","0.00216470588235294"
"GO:0006357","regulation of transcription by RNA polymerase II","14","5.6001","2.29606340955952","3.65839199606925","0.000126901327109092","0.000288700519173184","0.0017","0.00411578947368421"
"GO:0007155","cell adhesion","9","2.6632","1.59575073305332","3.97104627229287","3.57788389115106e-05","8.79966038093909e-05","0.0015","0.00372972972972973"
"GO:0006397","mRNA processing","0","2.863","1.68062888566903","-1.70352897323925","0.0442345603455131","0.0706200875691524","1","1"
"GO:0008380","RNA splicing","0","2.3977","1.53602429898251","-1.56097791004236","0.0592644814988927","0.089884463606654","1","1"
"GO:0006508","proteolysis","3","2.4018","1.50810616284791","0.396656425612875","0.345810418483405","0.370220565670468","0.4334","0.6230125"
"GO:0007601","visual perception","0","0.7056","0.833665484360473","-0.846382647761032","0.19866965769726","0.237880774348036","1","1"
"GO:0016477","cell migration","8","1.3294","1.13605664580172","5.87171425355516","2.1565585203762e-09","8.53247066757538e-09","2e-04","0.000593548387096774"
"GO:0007283","spermatogenesis","5","2.2598","1.48186489004741","1.84915643686809","0.0322176135193559","0.0523536219689534","0.0788","0.134251851851852"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","1","0.3831","0.615769686839749","1.00183561026859","0.158211497640553","0.207180906262188","0.3196","0.48121935483871"
"GO:0098609","cell-cell adhesion","3","0.9016","0.942765252134413","2.22579268301334","0.0130140355783232","0.0236855447525483","0.0613","0.108453846153846"
"GO:0006396","RNA processing","0","0.8751","0.922596937189177","-0.948518214970577","0.171432852172628","0.213703966406974","1","1"
"GO:0006325","chromatin organization","7","2.2046","1.47355216249631","3.25431302810225","0.000568334777632155","0.00120275499452386","0.008","0.0175238095238095"
"GO:0000122","negative regulation of transcription by RNA polymerase II","12","3.3705","1.80120908986673","4.79094850706004","8.29973634667401e-07","2.36023752358542e-06","2e-04","0.000593548387096774"
"GO:0007420","brain development","2","0.8047","0.888277441839749","1.34563813477506","0.0892096234329469","0.128858344958701","0.1921","0.310056140350877"
"GO:0010629","negative regulation of gene expression","15","1.4218","1.18980095925002","11.4121609118208","1.81791491505918e-30","8.27151286351927e-29","0","0"
"GO:0010468","regulation of gene expression","8","1.5963","1.26684126814683","5.05485585369942","2.1535797775254e-07","6.53252532516038e-07","2e-04","0.000593548387096774"
"GO:0050821","protein stabilization","7","1.2809","1.1254873887282","5.08144298841286","1.87289219781076e-07","5.877006551751e-07","2e-04","0.000593548387096774"
"GO:0007268","chemical synaptic transmission","0","0.9859","0.990454082695908","-0.995402025418975","0.159770386959466","0.207180906262188","1","1"
"GO:0006281","DNA repair","3","1.9061","1.36947812579599","0.798771429345894","0.212211479994111","0.247580059993129","0.3008","0.46904406779661"
"GO:0000398","mRNA splicing, via spliceosome","0","1.5646","1.24353587730625","-1.25818645730531","0.104162165766449","0.148105579449169","1","1"
"GO:0008285","negative regulation of cell population proliferation","13","1.8964","1.36823033346895","8.11530027393009","2.42292543871051e-16","1.69604780709736e-15","0","0"
"GO:0035195","miRNA-mediated post-transcriptional gene silencing","0","0.0336","0.182960070613082","-0.183646627853879","0.427145340713169","0.431891400054427","1","1"
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","7","1.242","1.1014342085352","5.22772940533375","8.58022056913739e-08","2.78857168496965e-07","2e-04","0.000593548387096774"
"GO:0006955","immune response","13","4.2371","1.9854162731724","4.41363361346797","5.08249666072961e-06","1.3214491317897e-05","0","0"
"GO:0043065","positive regulation of apoptotic process","9","1.6658","1.2772131722421","5.74234603854349","4.66868819257789e-09","1.77021093968578e-08","0","0"
"GO:0006886","intracellular protein transport","1","1.636","1.2771323763458","-0.497990663912035","0.30924531129494","0.343186869851701","0.803","1"
"GO:0007507","heart development","5","0.8902","0.9310374015389","4.41421579112393","5.0688400047551e-06","1.3214491317897e-05","0.0023","0.00529"
"GO:0042742","defense response to bacterium","0","0.8169","0.897025560107151","-0.910676391319797","0.181232953481899","0.219895983558037","1","1"
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","12","1.0857","1.02423650395873","10.6560349663536","8.1708368213237e-27","1.48709230148091e-25","0","0"
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","7","0.8899","0.927504186729979","6.58767915813065","2.23377372638149e-11","1.1292967172262e-10","1e-04","0.000353846153846154"
"GO:0006869","lipid transport","4","1.0517","1.01878893942284","2.89392619600903","0.00190228788146071","0.00384684882695387","0.0201","0.0393446808510638"
"GO:0007267","cell-cell signaling","2","1.2156","1.09143747579802","0.718685236116227","0.236167441016922","0.270215786035306","0.344","0.502349206349206"
"GO:0006811","monoatomic ion transport","4","1.3915","1.18438508383156","2.20240868920888","0.0138182263249505","0.0246560508935391","0.0541","0.101575510204082"
"GO:0006366","transcription by RNA polymerase II","6","1.1004","1.03953254051534","4.71327236910838","1.21885005799688e-06","3.36107137205201e-06","0.001","0.00262857142857143"
"GO:0006974","DNA damage response","8","1.689","1.27162915351544","4.96292490821959","3.47197171565807e-07","1.01919169717705e-06","1e-04","0.000353846153846154"
"GO:0010467","gene expression","6","0.8869","0.926603609654604","5.51810930448019","1.71333143315377e-08","6.23652641667974e-08","5e-04","0.0014375"
"GO:0043410","positive regulation of MAPK cascade","6","0.7706","0.879234294880795","5.94767518788492","1.35988806855962e-09","5.62499155631481e-09","1e-04","0.000353846153846154"
"GO:0008283","cell population proliferation","11","0.9122","0.936364692779362","10.7733664861465","2.29936166368549e-27","5.23104778488448e-26","0","0"
"GO:0006617","SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition","0","0.0763","0.273652697008193","-0.278820566485101","0.390191265171893","0.408131093455659","1","1"
"GO:0071222","cellular response to lipopolysaccharide","3","0.8841","0.926689303545978","2.28328954688859","0.0112066591745147","0.0208123670383844","0.0559","0.102856"
"GO:0002764","immune response-regulating signaling pathway","0","2.7227","1.62014419010151","-1.68052943474705","0.0464271761510783","0.0728426384439332","1","1"
