"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","49","50.5634","6.23304624774698","-0.250824386320752","0.400974943292832","0.424287439995904","0.6229","1"
"GO:1902600","proton transmembrane transport","24","22.1739","4.22654056581922","0.432055476946795","0.332850546490631","0.373943206551202","0.3689","1"
"GO:0009410","response to xenobiotic stimulus","12","21.9779","4.10181594899234","-2.43255673196434","0.00749632130392197","0.0126326896047574","0.9973","1"
"GO:0001701","in utero embryonic development","1","15.993","3.54065031038961","-4.23453283596091","1.14513659874237e-05","4.96225859455026e-05","1","1"
"GO:0000244","spliceosomal tri-snRNP complex assembly","16","3.9623","1.77064740398051","6.79847380847175","5.28666150012432e-12","6.01357745639142e-11","0","0"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","39","35.7583","5.26551551848131","0.615647221743442","0.269063688914698","0.309934122673893","0.2957","1"
"GO:0000395","mRNA 5'-splice site recognition","0","0.9893","0.897031758968243","-1.10285950314388","0.135044091510302","0.175557318963393","1","1"
"GO:0002250","adaptive immune response","110","39.5982","5.52463654197198","12.7432455447776","1.69976340843607e-37","5.15594900558942e-36","0","0"
"GO:0007186","G protein-coupled receptor signaling pathway","52","147.2433","10.3742694999101","-9.18072351993796","2.14102270942089e-20","4.87082666393252e-19","1","1"
"GO:0006468","protein phosphorylation","42","43.9273","5.86321178495571","-0.328710623236435","0.371187211987584","0.402119479653216","0.6513","1"
"GO:0043066","negative regulation of apoptotic process","24","53.0137","6.3772077893008","-4.54959301289775","2.68748858587595e-06","1.60216169571683e-05","1","1"
"GO:0045892","negative regulation of DNA-templated transcription","25","58.5702","6.75409755210675","-4.97034574064284","3.34168084246386e-07","2.82096683204278e-06","1","1"
"GO:0008284","positive regulation of cell population proliferation","23","53.6941","6.51304592082051","-4.71271051565581","1.22221669361283e-06","8.55551685528982e-06","1","1"
"GO:0006915","apoptotic process","52","77.853","7.75087082848502","-3.3354961748283","0.000425736626264489","0.00110691522828767","0.9998","1"
"GO:0030154","cell differentiation","56","75.2166","7.59850367939745","-2.5289979199594","0.00571943525556488","0.0102052668285569","0.9974","1"
"GO:0001525","angiogenesis","5","19.8021","3.9171762810731","-3.77876790266508","7.8803117095352e-05","0.000256110130559894","1","1"
"GO:0006914","autophagy","8","23.7265","4.36380591115176","-3.60384955705998","0.00015676929147437","0.00044581267263024","1","1"
"GO:0051607","defense response to virus","4","22.2124","4.17023084763089","-4.3672402477063","6.29131497345813e-06","3.18060923658161e-05","1","1"
"GO:0045087","innate immune response","74","54.4684","6.47822492507153","3.01496169489428","0.00128505856196574","0.00292350822847205","0.0025","0.0255555555555556"
"GO:0034220","monoatomic ion transmembrane transport","25","29.3223","4.82913602681438","-0.895046231044206","0.185381187518512","0.231091617317597","0.8418","1"
"GO:0045944","positive regulation of transcription by RNA polymerase II","59","92.8071","8.35094386380016","-4.0482968813319","2.57958398135416e-05","9.32433807309909e-05","1","1"
"GO:0016567","protein ubiquitination","67","59.6341","6.76198119111277","1.08931092705211","0.138008397875357","0.176884002910669","0.157","0.962933333333333"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","32","31.5813","4.95266021389712","0.0845404251285265","0.466313381629619","0.47679233402579","0.4985","1"
"GO:0015031","protein transport","49","72.7684","7.49745174164274","-3.17019713084438","0.000761677750557595","0.00187331554866868","0.9995","1"
"GO:0030030","cell projection organization","2","16.9701","3.63908371475957","-4.11370036344137","1.9468338818501e-05","7.3817451353483e-05","1","1"
"GO:0060271","cilium assembly","11","19.1909","3.87620428847198","-2.11312391979962","0.0172950814287812","0.0271353863796395","0.9915","1"
"GO:0006897","endocytosis","3","19.045","3.86132956202895","-4.15530447278608","1.6242732569115e-05","6.71858483540664e-05","1","1"
"GO:0016192","vesicle-mediated transport","19","35.183","5.28389089121786","-3.06270517941563","0.0010967302285874","0.00262638028424878","0.9998","1"
"GO:0007608","sensory perception of smell","13","73.0414","7.49293670399297","-8.01306648807057","5.59415567615593e-16","8.48446944216982e-15","1","1"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","13","72.0494","7.43875615605962","-7.93807442550705","1.02672059030297e-15","1.33473676739386e-14","1","1"
"GO:0010628","positive regulation of gene expression","23","41.9215","5.79597248783222","-3.26459451623052","0.000548104412555316","0.00138548615395927","0.9999","1"
"GO:0030335","positive regulation of cell migration","53","26.8646","4.60690668441633","5.67309081566761","7.01219164500407e-09","7.09010488550412e-08","0","0"
"GO:0042981","regulation of apoptotic process","13","21.9791","4.16638921248447","-2.15512750779365","0.015575928839761","0.0248668337617236","0.9926","1"
"GO:0016055","Wnt signaling pathway","18","20.8152","4.06707549355886","-0.692192708116314","0.244408158680116","0.292646611051192","0.7869","1"
"GO:0055085","transmembrane transport","46","55.8754","6.51205923894686","-1.51647883375168","0.0646991592248988","0.0905788229148584","0.9475","1"
"GO:0007399","nervous system development","14","37.4331","5.43007117423849","-4.31543146453992","7.96457340810308e-06","3.6238809006869e-05","1","1"
"GO:0045893","positive regulation of DNA-templated transcription","43","69.2039","7.31107857822618","-3.584136009431","0.000169097915708363","0.000452585597925325","1","1"
"GO:0007165","signal transduction","155","150.8382","10.5999932427183","0.39262289179844","0.347299014690727","0.380773618516339","0.3604","1"
"GO:0006511","ubiquitin-dependent protein catabolic process","27","28.9161","4.71805964340001","-0.406120342857553","0.342327089638957","0.379899575087135","0.6912","1"
"GO:0006954","inflammatory response","79","50.2912","6.32397041582122","4.53967968100811","2.81698759686476e-06","1.60216169571683e-05","0","0"
"GO:0051301","cell division","18","41.114","5.72023392070733","-4.04074384376607","2.66409659231403e-05","9.32433807309909e-05","1","1"
"GO:0035556","intracellular signal transduction","16","35.8653","5.31294444238454","-3.73903778129555","9.23629828412778e-05","0.000289828670295044","1","1"
"GO:0030036","actin cytoskeleton organization","7","22.9512","4.30463372973296","-3.70558821063495","0.000105450356149664","0.000309547819665143","1","1"
"GO:0030182","neuron differentiation","0","13.2629","3.21770398761216","-4.12185211910755","1.87919223662553e-05","7.3817451353483e-05","1","1"
"GO:0051726","regulation of cell cycle","14","25.1199","4.45352752104869","-2.49687465665005","0.00626466176746913","0.010963158093071","0.9974","1"
"GO:0007166","cell surface receptor signaling pathway","74","31.3404","4.96970800347103","8.58392484431781","4.58449434982363e-18","8.343779716679e-17","0","0"
"GO:0032259","methylation","6","16.2425","3.57728576540158","-2.86320430396206","0.00209690026430968","0.0044376261407484","0.9991","1"
"GO:0008150","biological_process","70","51.8955","6.40069344974931","2.82852165037041","0.00233817689519456","0.00472831327694899","0.0043","0.03956"
"GO:0006629","lipid metabolic process","27","44.0066","5.90967417586507","-2.87775594625072","0.00200257430800359","0.00442836602108646","0.999","1"
"GO:0006355","regulation of DNA-templated transcription","71","101.9718","8.61361853128058","-3.59567815634336","0.000161773806168371","0.00044610352610066","1","1"
"GO:0006357","regulation of transcription by RNA polymerase II","75","110.5861","9.07301596779567","-3.92219082676714","4.38737257040686e-05","0.00014787070515075","1","1"
"GO:0007155","cell adhesion","43","53.1075","6.44078350196713","-1.56929665419013","0.0582894157832262","0.0841958227979934","0.9529","1"
"GO:0006397","mRNA processing","49","55.8118","6.61845610064127","-1.02921284003682","0.151689834965515","0.191719096970303","0.8617","1"
"GO:0008380","RNA splicing","37","46.7364","6.06397495206089","-1.60561349230029","0.054179429550969","0.0808250506416095","0.9574","1"
"GO:0006508","proteolysis","34","47.8641","6.09815955391416","-2.27348921874325","0.011498357546999","0.0190245552141256","0.9934","1"
"GO:0007601","visual perception","14","13.9048","3.30572681009401","0.0287985080041423","0.488512645413979","0.488512645413979","0.5365","1"
"GO:0016477","cell migration","15","25.9581","4.49508230920154","-2.43779740752878","0.00738852653607105","0.0126326896047574","0.9965","1"
"GO:0007283","spermatogenesis","26","44.0418","5.91526430476099","-3.0500412273174","0.00114404977462611","0.00266944947412759","0.9994","1"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","1","7.5118","2.43631983233576","-2.67280178635536","0.00376103407828484","0.00713029377341501","0.9998","1"
"GO:0098609","cell-cell adhesion","12","17.9986","3.75569015772815","-1.5972031099681","0.0551102198580896","0.0808875807594541","0.965","1"
"GO:0006396","RNA processing","7","17.4044","3.74385660599182","-2.77905942854445","0.00272582751341363","0.00539239790697044","0.9995","1"
"GO:0006325","chromatin organization","46","43.3256","5.80420136757431","0.460769678829679","0.322481928912632","0.366823194138118","0.3489","1"
"GO:0000122","negative regulation of transcription by RNA polymerase II","35","67.1365","7.05196715633853","-4.55709723082228","2.5932709220243e-06","1.60216169571683e-05","1","1"
"GO:0007420","brain development","17","15.9689","3.61320333137112","0.285370045756247","0.387680326925255","0.415045997061156","0.4325","1"
"GO:0010629","negative regulation of gene expression","25","28.0672","4.71413899568596","-0.650638431070208","0.257639958008263","0.304483586737038","0.7754","1"
"GO:0010468","regulation of gene expression","31","31.6657","5.01153220637217","-0.132833627039962","0.44716247973613","0.46240665518168","0.5832","1"
"GO:0050821","protein stabilization","20","25.0851","4.45077958720642","-1.1425189453589","0.12661918784146","0.166990523095259","0.8944","1"
"GO:0007268","chemical synaptic transmission","9","19.014","3.91532080086643","-2.55764482894581","0.00526918324071258","0.00958991349809689","0.9982","1"
"GO:0006281","DNA repair","44","37.5961","5.44080187311597","1.17701400443249","0.119594958320638","0.160046194223207","0.1433","0.941685714285714"
"GO:0000398","mRNA splicing, via spliceosome","31","30.662","4.93448993504819","0.0684974545391792","0.472694823151129","0.477946987852808","0.5042","1"
"GO:0008285","negative regulation of cell population proliferation","23","37.6381","5.43614602069847","-2.69273487950186","0.00354342990410249","0.00686068343134737","0.9987","1"
"GO:0035195","miRNA-mediated post-transcriptional gene silencing","0","0.6049","0.692852072523017","-0.873057935436723","0.191315750058877","0.235266665612943","1","1"
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","33","24.3879","4.44297283254794","1.93836431699745","0.0262893953144387","0.0405480504002359","0.0366","0.2806"
"GO:0006955","immune response","243","83.5963","7.95348050196953","20.0420055044489","1.18511267283096e-89","5.39226266138088e-88","0","0"
"GO:0043065","positive regulation of apoptotic process","25","32.8245","5.06204130526585","-1.54572029901464","0.061086066338865","0.0868567505755736","0.9523","1"
"GO:0006886","intracellular protein transport","21","32.4296","5.05179135550846","-2.26248457144557","0.0118337405065361","0.0192298283231212","0.9922","1"
"GO:0007507","heart development","0","17.6091","3.72366536605746","-4.72896951496051","1.12831130146561e-06","8.55551685528982e-06","1","1"
"GO:0042742","defense response to bacterium","17","16.1967","3.57959361646625","0.224410948858774","0.411218775988913","0.430125386379208","0.4562","1"
