"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","5","1.5346","1.20861446081515","2.86725015491108","0.00207027794265719","0.094197646390902","0.0175","0.613333333333333"
"GO:1902600","proton transmembrane transport","2","0.8539","0.918280520272205","1.2480935560522","0.105998398930803","0.437481820030817","0.212","1"
"GO:0009410","response to xenobiotic stimulus","1","1.6067","1.2377270728358","-0.490172682908169","0.312005854653402","0.488345237929625","0.8039","1"
"GO:0001701","in utero embryonic development","2","1.4341","1.18084572644481","0.479232796737779","0.315886512435337","0.488345237929625","0.4201","1"
"GO:0000244","spliceosomal tri-snRNP complex assembly","0","0.0773","0.277006106861065","-0.279055219669834","0.390101224011364","0.488345237929625","1","1"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","5","1.9985","1.38552867850936","2.16632109212579","0.0151433295224983","0.228162478256632","0.0487","0.710072727272727"
"GO:0000395","mRNA 5'-splice site recognition","0","0.0365","0.19071283947001","-0.191387219137596","0.424111116320078","0.488533058039583","1","1"
"GO:0002250","adaptive immune response","0","1.0565","1.02176912813762","-1.03399091918708","0.1505702042382","0.437481820030817","1","1"
"GO:0007186","G protein-coupled receptor signaling pathway","0","3.2499","1.77013087830607","-1.83596593891972","0.0331813471704149","0.253627210099067","1","1"
"GO:0006468","protein phosphorylation","3","3.0328","1.70118004965851","-0.0192807339861434","0.492308576562258","0.492308576562258","0.588","1"
"GO:0043066","negative regulation of apoptotic process","3","2.8986","1.68439952510561","0.0601994945312289","0.475998374146052","0.492308576562258","0.5556","1"
"GO:0045892","negative regulation of DNA-templated transcription","7","3.2218","1.75234466677738","2.1560826883151","0.0155386045137347","0.228162478256632","0.042","0.710072727272727"
"GO:0008284","positive regulation of cell population proliferation","2","2.9036","1.66870773311262","-0.541496861355419","0.294082580212347","0.488345237929625","0.7907","1"
"GO:0006915","apoptotic process","4","4.1402","1.96385580757939","-0.0713901700210913","0.47154361641786","0.492308576562258","0.6045","1"
"GO:0030154","cell differentiation","7","4.719","2.09696893822316","1.08776050919131","0.138350423698916","0.437481820030817","0.1885","1"
"GO:0001525","angiogenesis","2","1.655","1.26969926109349","0.271717886724513","0.392919473474751","0.488345237929625","0.4931","1"
"GO:0006914","autophagy","1","1.0982","1.03434218050635","-0.0949395682112926","0.462181413779458","0.492308576562258","0.6702","1"
