"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","3","2.8796","1.65456266057221","0.0727684740319001","0.470995179251151","0.475567947981745","0.5555","1"
"GO:1902600","proton transmembrane transport","0","1.4957","1.20520818229726","-1.2410304061735","0.107297258280361","0.41904105769003","1","1"
"GO:0032981","mitochondrial respiratory chain complex I assembly","0","0.5698","0.75032276949713","-0.759406515654434","0.223804708529923","0.41904105769003","1","1"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","0","0.3989","0.627867989167454","-0.63532463333405","0.262608355464132","0.41904105769003","1","1"
"GO:0009060","aerobic respiration","0","0.6185","0.774479006670405","-0.798601375470485","0.21226079491956","0.41904105769003","1","1"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","0","0.5576","0.740092571035117","-0.753419263782263","0.225599005201612","0.41904105769003","1","1"
"GO:0001666","response to hypoxia","0","1.6149","1.27787373637954","-1.26373987822562","0.103161703369906","0.41904105769003","1","1"
"GO:0009410","response to xenobiotic stimulus","2","2.4506","1.54239992860282","-0.292142129705735","0.385088978061666","0.41904105769003","0.7096","1"
"GO:0014070","response to organic cyclic compound","0","1.1868","1.07843500601855","-1.10048356495912","0.135560743284252","0.41904105769003","1","1"
"GO:0072593","reactive oxygen species metabolic process","1","0.344","0.585916657753458","1.11961315883262","0.131439322816305","0.41904105769003","0.292","1"
"GO:0006119","oxidative phosphorylation","0","0.2211","0.465227292453231","-0.475251567538306","0.317303837761432","0.41904105769003","1","1"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","0","0.158","0.394273439575272","-0.400737113233406","0.344306841635313","0.41904105769003","1","1"
"GO:0045333","cellular respiration","0","0.3335","0.578196490060353","-0.576793539450903","0.282039467191373","0.41904105769003","1","1"
"GO:0006979","response to oxidative stress","3","1.2831","1.12742250205937","1.52285411801155","0.0638976034609575","0.376793348240293","0.1383","1"
"GO:0021549","cerebellum development","1","0.466","0.670588524280642","0.796315446305669","0.212924354924279","0.41904105769003","0.3788","1"
"GO:0022900","electron transport chain","0","0.13","0.358207804609459","-0.362917832406623","0.358333132655147","0.41904105769003","1","1"
"GO:0007595","lactation","0","0.3638","0.601569404619997","-0.604751500335705","0.272672061678385","0.41904105769003","1","1"
"GO:0015986","proton motive force-driven ATP synthesis","0","0.199","0.442061694624388","-0.450163410265816","0.326296308647462","0.41904105769003","1","1"
"GO:0006754","ATP biosynthetic process","0","0.1956","0.438132212903364","-0.446440581722628","0.327639512111872","0.41904105769003","1","1"
"GO:0022904","respiratory electron transport chain","0","0.1769","0.414757269206021","-0.426514525806006","0.334866482864582","0.41904105769003","1","1"
"GO:0009725","response to hormone","0","0.461","0.673590656435527","-0.684391916062935","0.246863859662123","0.41904105769003","1","1"
"GO:0071385","cellular response to glucocorticoid stimulus","0","0.2134","0.457035368579734","-0.46692228801275","0.320277739275235","0.41904105769003","1","1"
"GO:0001701","in utero embryonic development","3","2.2765","1.51580919569442","0.477302817567715","0.316573252452515","0.41904105769003","0.3968","1"
"GO:0035094","response to nicotine","0","0.3881","0.62379267527775","-0.62216184219732","0.26691772695574","0.41904105769003","1","1"
"GO:0045471","response to ethanol","1","1.0106","0.997891386234931","-0.0106223985357705","0.495762355797635","0.496516175902751","0.6398","1"
"GO:0042542","response to hydrogen peroxide","1","0.353","0.592812063485774","1.09140828915592","0.1375466333125","0.41904105769003","0.2971","1"
"GO:0042220","response to cocaine","0","0.4333","0.654059545751714","-0.66247790864669","0.253832494073469","0.41904105769003","1","1"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","0","0.1096","0.330149571973049","-0.331970746910273","0.369955674080194","0.41904105769003","1","1"
"GO:0007584","response to nutrient","0","0.5883","0.760171622786334","-0.773904184746655","0.219493727360164","0.41904105769003","1","1"
"GO:0009636","response to toxic substance","1","0.7317","0.852518497616842","0.314714578921178","0.376489186981266","0.41904105769003","0.5199","1"
"GO:0051592","response to calcium ion","0","0.5287","0.713881833868374","-0.740598758670027","0.229468380450068","0.41904105769003","1","1"
"GO:0000244","spliceosomal tri-snRNP complex assembly","0","0.1574","0.394259792622083","-0.399229145212065","0.344862184933443","0.41904105769003","1","1"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","5","3.4524","1.84235546715794","0.840011619683452","0.200450935770008","0.41904105769003","0.2591","1"
"GO:0060294","cilium movement involved in cell motility","0","0.1517","0.386913530660302","-0.39207726786166","0.347500561597387","0.41904105769003","1","1"
"GO:0000395","mRNA 5'-splice site recognition","0","0.0611","0.244893420243844","-0.249496290831995","0.401488454848084","0.422239078934169","1","1"
"GO:0000348","mRNA branch site recognition","0","0","0","NaN","NaN","NaN","1","1"
"GO:0002250","adaptive immune response","1","1.677","1.28173136168557","-0.528191803865745","0.298683108748321","0.41904105769003","0.8192","1"
"GO:0016064","immunoglobulin mediated immune response","1","0.2306","0.481089164997995","1.59928773287423","0.0548783419923652","0.343163303091499","0.2059","1"
"GO:0006836","neurotransmitter transport","0","0.4857","0.6887981956244","-0.705141220005244","0.240361178384218","0.41904105769003","1","1"
"GO:0007186","G protein-coupled receptor signaling pathway","1","4.8483","2.18818781794266","-1.75866987671021","0.0393167983598946","0.282509067487825","0.9911","1"
"GO:0007218","neuropeptide signaling pathway","0","0.7579","0.865195033645377","-0.875987460083648","0.190518425468941","0.41904105769003","1","1"
"GO:0031214","biomineral tissue development","0","0.26","0.500224971889899","-0.51976613446085","0.301613292891445","0.41904105769003","1","1"
"GO:0006468","protein phosphorylation","11","4.9577","2.18238103655133","2.76867325127982","0.00281425257322441","0.0405909714211053","0.0099","0.275316216216216"
"GO:0043687","post-translational protein modification","1","0.3646","0.600585472927067","1.05796764764099","0.145035096110319","0.41904105769003","0.3065","1"
"GO:0043066","negative regulation of apoptotic process","5","4.4801","2.05733498796994","0.252705564742768","0.400247873694242","0.422239078934169","0.4679","1"
"GO:0045892","negative regulation of DNA-templated transcription","6","5.4488","2.27809076416041","0.241956996916733","0.40440674237868","0.422808319016017","0.4633","1"
"GO:0045596","negative regulation of cell differentiation","0","0.3936","0.625714145452364","-0.629041236898112","0.264661029837902","0.41904105769003","1","1"
"GO:0008284","positive regulation of cell population proliferation","3","4.5463","2.08319232886162","-0.74227423871371","0.228960598374836","0.41904105769003","0.8353","1"
"GO:0006915","apoptotic process","17","6.6829","2.49815365163288","4.1298900863269","1.81468353620388e-05","0.00050504431937167","5e-04","0.0353214285714286"
"GO:0030154","cell differentiation","7","7.698","2.70487109355756","-0.258052962916603","0.398183016251939","0.422239078934169","0.6553","1"
"GO:0006935","chemotaxis","0","1.2763","1.13105536496843","-1.12841514176066","0.129572318006278","0.41904105769003","1","1"
