"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","6","2.5187","1.58167647768057","2.2010190131329","0.0138673389335085","0.244659479755472","0.0403","1"
"GO:1902600","proton transmembrane transport","3","1.293","1.12830771859045","1.51288515701416","0.065154416413045","0.426066389621436","0.1416","1"
"GO:0032981","mitochondrial respiratory chain complex I assembly","0","0.4981","0.698888570891993","-0.71270302698508","0.238014771498682","0.426066389621436","1","1"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","1","0.3382","0.575025065003725","1.1509063522226","0.124885382107563","0.426066389621436","0.2899","1"
"GO:0009060","aerobic respiration","0","0.5379","0.71639019499931","-0.750847797408113","0.226372130022898","0.426066389621436","1","1"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","0","0.4866","0.689976845122125","-0.705241057638496","0.240330117186004","0.426066389621436","1","1"
"GO:0001666","response to hypoxia","1","1.3975","1.1443009623649","-0.347373648256394","0.364155313922078","0.426066389621436","0.7647","1"
"GO:0009410","response to xenobiotic stimulus","2","2.1239","1.42328892538954","-0.087051896343597","0.465315130660068","0.467919948185391","0.6343","1"
"GO:0014070","response to organic cyclic compound","0","1.052","1.00657703119631","-1.045126172559","0.147982329554338","0.426066389621436","1","1"
"GO:0072593","reactive oxygen species metabolic process","0","0.2966","0.542455404421948","-0.54677305743882","0.292267327628639","0.426066389621436","1","1"
"GO:0006119","oxidative phosphorylation","1","0.1953","0.441109246940907","1.82426463643779","0.0340560369836176","0.371481629886184","0.1776","1"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","2","0.1382","0.365942825336338","5.08768001746945","1.8123513372782e-07","4.94817232551809e-05","0.007","1"
"GO:0045333","cellular respiration","2","0.285","0.533107325350191","3.21698824692278","0.000647719527181183","0.0345917239381086","0.0314","1"
"GO:0006979","response to oxidative stress","0","1.0953","1.0300116515847","-1.06338602899768","0.143803462938968","0.426066389621436","1","1"
"GO:0021549","cerebellum development","0","0.4092","0.639058838934227","-0.640316626685631","0.260983386734829","0.426066389621436","1","1"
"GO:0022900","electron transport chain","0","0.1165","0.34284034761153","-0.339808312561873","0.367000443759529","0.426066389621436","1","1"
"GO:0007595","lactation","0","0.3066","0.552473495016973","-0.554958749633013","0.289461437917813","0.426066389621436","1","1"
"GO:0015986","proton motive force-driven ATP synthesis","0","0.181","0.424566868352407","-0.426316826610603","0.334938499199085","0.426066389621436","1","1"
"GO:0006754","ATP biosynthetic process","0","0.1765","0.420196866409846","-0.420041209512133","0.337227674681976","0.426066389621436","1","1"
"GO:0022904","respiratory electron transport chain","0","0.1617","0.398458262429944","-0.405814147293356","0.342439581487091","0.426066389621436","1","1"
"GO:0009725","response to hormone","0","0.3997","0.629904427638666","-0.634540705640635","0.262864005252173","0.426066389621436","1","1"
"GO:0071385","cellular response to glucocorticoid stimulus","0","0.1813","0.425732820961086","-0.425853941894162","0.335107139004696","0.426066389621436","1","1"
"GO:0001701","in utero embryonic development","4","1.9762","1.37623506796486","1.47053366616558","0.0707086372967815","0.426066389621436","0.1332","1"
"GO:0035094","response to nicotine","1","0.3308","0.567100978972912","1.18003675679065","0.118992798043671","0.426066389621436","0.2848","1"
"GO:0045471","response to ethanol","0","0.8825","0.928536465625772","-0.950420400996588","0.170949340956533","0.426066389621436","1","1"
"GO:0042542","response to hydrogen peroxide","0","0.2924","0.535472607227773","-0.54605967896995","0.292512457490778","0.426066389621436","1","1"
"GO:0042220","response to cocaine","1","0.3742","0.605484121263399","1.03355311563615","0.150672563568764","0.426066389621436","0.3142","1"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","0","0.0917","0.299833453787267","-0.305836453009882","0.379864585981274","0.426066389621436","1","1"
"GO:0007584","response to nutrient","0","0.5107","0.700096081586196","-0.729471301771774","0.232856708149338","0.426066389621436","1","1"
