"","MLSP 618"
"response to gamma radiation",4.32081805420521e-17
"cell division",6.32514317414672e-16
"positive regulation of neuron apoptotic process",6.32514317414672e-16
"interstrand cross-link repair",5.97486550257677e-15
"regulation of mitotic nuclear division",6.02307804419727e-15
"mitotic spindle assembly checkpoint signaling",6.53255850511972e-15
"pyroptosis",1.11615944093881e-12
"pattern recognition receptor signaling pathway",3.21731490174565e-12
"chromosome segregation",4.08214275107e-12
"positive regulation of canonical NF-kappaB signal transduction",5.10928253843897e-12
"replicative senescence",1.99538955395229e-10
"replication fork processing",2.35722991947036e-10
"defense response to virus",4.93578603679157e-10
"DNA repair",1.79389647900897e-09
"chromosome condensation",2.25758029940789e-09
"cellular response to ionizing radiation",4.88095694335602e-09
"regulation of double-strand break repair via homologous recombination",8.30862496535462e-09
"mitotic sister chromatid segregation",8.97021929607929e-09
"mitotic cell cycle",1.18978231744562e-08
"DNA damage checkpoint signaling",1.76685623925667e-08
"G2/M transition of mitotic cell cycle",2.0358630313672e-08
"intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator",3.97117378241516e-08
"cytoplasmic pattern recognition receptor signaling pathway",6.54426329961756e-08
"mitotic chromosome condensation",6.54426329961756e-08
"positive regulation of defense response to virus by host",7.34991891273148e-08
"positive regulation of release of cytochrome c from mitochondria",7.34991891273148e-08
"cellular response to mechanical stimulus",1.18677554296434e-07
"mitotic spindle organization",1.31939057690507e-07
"DNA damage response",4.34919348957405e-07
"innate immune response",4.63242812330941e-07
"response to stress",4.59518265748004e-06
"mitotic spindle assembly",6.05306908043838e-06
"positive regulation of actin filament polymerization",6.9482141065783e-06
"chromosome organization",9.01040500540515e-06
"intrinsic apoptotic signaling pathway by p53 class mediator",1.32008013344121e-05
"intrinsic apoptotic signaling pathway in response to DNA damage",1.32008013344121e-05
"positive regulation of DNA-binding transcription factor activity",1.83502219327748e-05
"positive regulation of extrinsic apoptotic signaling pathway",5.89283849395657e-05
"cellular response to virus",6.87419275350471e-05
"double-strand break repair via homologous recombination",8.68298352356128e-05
"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process",8.97409894195913e-05
"extrinsic apoptotic signaling pathway",0.000101185313208649
"regulation of protein localization",0.000106541592160581
"positive regulation of NF-kappaB transcription factor activity",0.000161429414143214
"intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress",0.00039165503671458
"cellular response to lipopolysaccharide",0.000461574499195659
"programmed cell death",0.000584147805668147
"intrinsic apoptotic signaling pathway",0.000623012643575823
"cellular response to UV",0.000633523341087827
"double-strand break repair",0.00086993377422302
"nucleotide-excision repair",0.00104076564323153
"positive regulation of inflammatory response",0.00104207451021686
"positive regulation of type I interferon production",0.00112902323225045
"regulation of apoptotic process",0.00124612297590107
"positive regulation of interleukin-1 beta production",0.00136890386471202
"apoptotic process",0.00143373717973376
"mitotic cytokinesis",0.00181542299532566
"extrinsic apoptotic signaling pathway via death domain receptors",0.00197777818929013
"regulation of cell population proliferation",0.00286648808612963
"G1/S transition of mitotic cell cycle",0.00286648808612963
"Ras protein signal transduction",0.00296154221454859
"positive regulation of interleukin-8 production",0.00348579704574772
"protein maturation",0.00352121827517871
"regulation of inflammatory response",0.00352121827517871
"meiotic cell cycle",0.00445581332966092
"tumor necrosis factor-mediated signaling pathway",0.00480941919138159
"response to ionizing radiation",0.00567125721126873
"neural tube closure",0.00661865512967597
"negative regulation of canonical NF-kappaB signal transduction",0.0170291004549845
"anatomical structure morphogenesis",0.0175777317857922
"response to estradiol",0.0234393182307825
"positive regulation of apoptotic process",0.0279957501978396
"DNA recombination",0.0491176132495394
"cellular response to hydrogen peroxide",0.0496308497187682
