"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","3","3.4425","1.85057726496933","-0.239114577043793","0.405508369374928","0.432795656141653","0.6618","1"
"GO:1902600","proton transmembrane transport","0","1.6125","1.25319623366814","-1.28670989959822","0.0990977106410563","0.427843562782657","1","1"
"GO:0032981","mitochondrial respiratory chain complex I assembly","0","0.6663","0.805859324525747","-0.826819247133638","0.204169759568646","0.427843562782657","1","1"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","0","0.4242","0.649843511669514","-0.652772540438524","0.256951464411072","0.427843562782657","1","1"
"GO:0009060","aerobic respiration","0","0.6735","0.815821246616342","-0.825548492140127","0.204530132003561","0.427843562782657","1","1"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","0","0.641","0.795350399651514","-0.805934089277955","0.210140427061632","0.427843562782657","1","1"
"GO:0001666","response to hypoxia","0","1.4839","1.20361358357484","-1.23287076537695","0.108811992073421","0.427843562782657","1","1"
"GO:0009410","response to xenobiotic stimulus","2","2.1813","1.44763250653866","-0.125238967197203","0.450167184360954","0.459268542676183","0.6483","1"
"GO:0014070","response to organic cyclic compound","0","0.9704","0.97509944205306","-0.995180550977277","0.159824229630142","0.427843562782657","1","1"
"GO:0072593","reactive oxygen species metabolic process","1","0.3422","0.584066154923681","1.12624228343783","0.130031490198518","0.427843562782657","0.2904","1"
"GO:0006119","oxidative phosphorylation","0","0.2659","0.51246800128909","-0.518861664203698","0.301928606397115","0.427843562782657","1","1"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","0","0.1967","0.439805016848699","-0.447243647672324","0.327349574912029","0.427843562782657","1","1"
"GO:0045333","cellular respiration","0","0.3641","0.59545499130049","-0.611465191021064","0.270445827985688","0.427843562782657","1","1"
"GO:0006979","response to oxidative stress","3","1.3424","1.14721133597299","1.44489506686589","0.0742436810974965","0.427843562782657","0.1533","1"
"GO:0021549","cerebellum development","1","0.3896","0.612902443248919","0.995917061064966","0.159645222491342","0.427843562782657","0.3271","1"
"GO:0022900","electron transport chain","0","0.1557","0.391500750042357","-0.397700387504122","0.345425525877232","0.427843562782657","1","1"
"GO:0007595","lactation","0","0.297","0.542605235916688","-0.547359259256396","0.292065969532689","0.427843562782657","1","1"
"GO:0015986","proton motive force-driven ATP synthesis","0","0.2672","0.511302555274568","-0.522586866119834","0.30063089114324","0.427843562782657","1","1"
"GO:0006754","ATP biosynthetic process","0","0.2639","0.509394481982115","-0.518066075182309","0.302206084439398","0.427843562782657","1","1"
"GO:0022904","respiratory electron transport chain","0","0.2226","0.467408907819172","-0.476242528279153","0.316950802223394","0.427843562782657","1","1"
"GO:0009725","response to hormone","0","0.4152","0.637534002983759","-0.651259380765259","0.257439532170716","0.427843562782657","1","1"
"GO:0071385","cellular response to glucocorticoid stimulus","0","0.1736","0.41095003101691","-0.422435787558942","0.336353480394882","0.427843562782657","1","1"
"GO:0001701","in utero embryonic development","3","2.3433","1.49039163870564","0.440622439730221","0.329743177400334","0.427843562782657","0.4181","1"
"GO:0035094","response to nicotine","0","0.1725","0.414199114063042","-0.416466366400158","0.338534386870021","0.427843562782657","1","1"
"GO:0045471","response to ethanol","1","0.6685","0.816623804112851","0.405939672993159","0.342393463458464","0.427843562782657","0.4879","1"
"GO:0042542","response to hydrogen peroxide","1","0.3239","0.564110460868442","1.19852413117663","0.115356517196229","0.427843562782657","0.2786","1"
"GO:0042220","response to cocaine","0","0.2407","0.488044392174394","-0.493192840363567","0.310938168133085","0.427843562782657","1","1"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","0","0.132","0.363303177690331","-0.363332907901271","0.358178106807529","0.427843562782657","1","1"
"GO:0007584","response to nutrient","0","0.5003","0.699606214155855","-0.715116575406154","0.237268506276183","0.427843562782657","1","1"
"GO:0009636","response to toxic substance","1","0.6063","0.77650538057415","0.507015160292768","0.306072090670799","0.427843562782657","0.4562","1"
"GO:0051592","response to calcium ion","0","0.4144","0.645069183440926","-0.642411714336607","0.260302947836159","0.427843562782657","1","1"
"GO:0000244","spliceosomal tri-snRNP complex assembly","0","0.1562","0.39397599128395","-0.39647085978755","0.345878850430394","0.427843562782657","1","1"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","5","3.966","1.95167233481705","0.529802047994355","0.298124592565091","0.427843562782657","0.3653","1"
"GO:0060294","cilium movement involved in cell motility","0","0.1635","0.400978588434393","-0.407752445432012","0.341727714818977","0.427843562782657","1","1"
"GO:0000395","mRNA 5'-splice site recognition","0","0.0805","0.27969192472661","-0.287816675718064","0.38674353593796","0.427843562782657","1","1"
"GO:0000348","mRNA branch site recognition","0","0","0","NaN","NaN","NaN","1","1"
"GO:0002250","adaptive immune response","1","1.0582","1.01573418353089","-0.057298455583808","0.477153725299664","0.479101291525377","0.6547","1"
"GO:0016064","immunoglobulin mediated immune response","1","0.1782","0.418165333599789","1.96525138257041","0.0246925747810958","0.20856217669183","0.1646","1"
"GO:0006836","neurotransmitter transport","0","0.2676","0.506177697638051","-0.528668096695463","0.298517856149144","0.427843562782657","1","1"
"GO:0007186","G protein-coupled receptor signaling pathway","1","2.3933","1.51929126061906","-0.917072345583213","0.179552365621163","0.427843562782657","0.9109","1"
"GO:0007218","neuropeptide signaling pathway","0","0.188","0.430202867785357","-0.437003130564438","0.331054538841123","0.427843562782657","1","1"
"GO:0031214","biomineral tissue development","0","0.1716","0.411060016340319","-0.417457288908224","0.338171979400321","0.427843562782657","1","1"
"GO:0006468","protein phosphorylation","11","5.2752","2.25693915235519","2.53653271689934","0.0055978140480054","0.0663644460631002","0.0176","0.397797777777778"
"GO:0043687","post-translational protein modification","1","0.4257","0.649708951894783","0.883934257524291","0.188365851488389","0.427843562782657","0.3466","1"
"GO:0043066","negative regulation of apoptotic process","5","4.2355","2.01753483109449","0.378927782666963","0.352370746205689","0.427843562782657","0.4147","1"
"GO:0045892","negative regulation of DNA-templated transcription","6","5.6354","2.32133705018682","0.157064653739386","0.437596947006233","0.44875931622574","0.5011","1"
"GO:0045596","negative regulation of cell differentiation","0","0.3545","0.586569822285158","-0.604361128942739","0.272801786554415","0.427843562782657","1","1"
"GO:0008284","positive regulation of cell population proliferation","3","3.4795","1.82414706130019","-0.262862578447062","0.396328250158731","0.429453767111403","0.6795","1"
"GO:0006915","apoptotic process","17","7.0534","2.57511389285137","3.86258643845316","5.60964242070628e-05","0.00143373717973376","6e-04","0.0439555555555555"
