"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","1","1.0955","1.03425660194744","-0.0923368531756813","0.463215204413928","0.469206140862867","0.6718","1"
"GO:1902600","proton transmembrane transport","1","0.5121","0.70873395599621","0.688410645309351","0.245597111015922","0.463224695282687","0.404","1"
"GO:0032981","mitochondrial respiratory chain complex I assembly","0","0.2119","0.455652446405362","-0.465047431812727","0.320948744987129","0.463224695282687","1","1"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","1","0.1351","0.363952244289841","2.37641067906486","0.00874099669772419","0.149585056531489","0.1275","1"
"GO:0009060","aerobic respiration","0","0.2144","0.463739307601309","-0.462328718928278","0.32192280386606","0.463224695282687","1","1"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","0","0.1985","0.442851399157972","-0.448231619855833","0.326993022416003","0.463224695282687","1","1"
"GO:0001666","response to hypoxia","0","0.461","0.675962049577672","-0.681990949474196","0.247622336872258","0.463224695282687","1","1"
"GO:0009410","response to xenobiotic stimulus","1","0.6916","0.83352199484572","0.369996235140841","0.355692647792382","0.463224695282687","0.4975","1"
"GO:0014070","response to organic cyclic compound","0","0.3103","0.561467215911539","-0.552659160154578","0.290248411777812","0.463224695282687","1","1"
"GO:0072593","reactive oxygen species metabolic process","0","0.1121","0.329460839014965","-0.340252882057731","0.366833048566054","0.463224695282687","1","1"
"GO:0006119","oxidative phosphorylation","0","0.0833","0.288391100664868","-0.28884386448804","0.386350431526587","0.463224695282687","1","1"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","1","0.0618","0.247359816235113","3.79285534036883","7.44624604910745e-05","0.00315730559365733","0.0602","1"
"GO:0045333","cellular respiration","1","0.1211","0.347342561004937","2.53035504044524","0.00569735793686876","0.103818522405164","0.1143","1"
"GO:0006979","response to oxidative stress","0","0.4346","0.659216426243812","-0.659267552655405","0.254861987305639","0.463224695282687","1","1"
"GO:0021549","cerebellum development","0","0.1262","0.357332238446048","-0.353172723930014","0.361979477563557","0.463224695282687","1","1"
"GO:0022900","electron transport chain","0","0.0479","0.217279338711952","-0.22045354281707","0.412758974890873","0.463224695282687","1","1"
"GO:0007595","lactation","0","0.0982","0.311394374781666","-0.315355728788784","0.37624578821551","0.463224695282687","1","1"
"GO:0015986","proton motive force-driven ATP synthesis","0","0.0856","0.290312018536627","-0.294855171451334","0.384052259103323","0.463224695282687","1","1"
"GO:0006754","ATP biosynthetic process","0","0.0788","0.277485602916588","-0.283978697171136","0.38821335303251","0.463224695282687","1","1"
"GO:0022904","respiratory electron transport chain","0","0.0719","0.268956546234473","-0.26732942925776","0.394607764876367","0.463224695282687","1","1"
"GO:0009725","response to hormone","0","0.1301","0.352968056125288","-0.368588595319856","0.356217198786079","0.463224695282687","1","1"
"GO:0071385","cellular response to glucocorticoid stimulus","0","0.058","0.237995092735999","-0.243702503834135","0.403730617025179","0.463224695282687","1","1"
"GO:0001701","in utero embryonic development","2","0.7738","0.870809618079115","1.40811490197459","0.079548524545045","0.463224695282687","0.1787","1"
"GO:0035094","response to nicotine","1","0.0609","0.247784845648343","3.78998157672957","7.532922923203e-05","0.00315730559365733","0.059","1"
"GO:0045471","response to ethanol","0","0.2119","0.461106985378878","-0.459546280405811","0.322920962795935","0.463224695282687","1","1"
"GO:0042542","response to hydrogen peroxide","0","0.1055","0.32338863310389","-0.326232864115876","0.372124089187723","0.463224695282687","1","1"
"GO:0042220","response to cocaine","1","0.0833","0.290808471260202","3.15224654917215","0.000810097038406471","0.0207048178127784","0.0794","1"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","0","0.0438","0.209011790559431","-0.209557555976948","0.417006504719657","0.463224695282687","1","1"
"GO:0007584","response to nutrient","0","0.1499","0.381634058301202","-0.392784649953051","0.347239271472191","0.463224695282687","1","1"
"GO:0009636","response to toxic substance","0","0.1865","0.43073925248387","-0.432976560470267","0.332515899202876","0.463224695282687","1","1"
"GO:0051592","response to calcium ion","1","0.1338","0.371364175890881","2.33248131142977","0.0098376924726681","0.165349658429532","0.1238","1"
"GO:0000244","spliceosomal tri-snRNP complex assembly","0","0.0516","0.224816579124906","-0.229520439288117","0.40923221817181","0.463224695282687","1","1"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","0","1.2898","1.10532263788153","-1.16689910782253","0.121625558132639","0.463224695282687","1","1"
"GO:0060294","cilium movement involved in cell motility","1","0.0502","0.222901163058539","4.26108140023729","1.01720056310945e-05","0.000741426188222002","0.0492","1"
"GO:0000395","mRNA 5'-splice site recognition","0","0.0258","0.159802733679275","-0.161449052879038","0.435869867382002","0.463224695282687","1","1"
"GO:0000348","mRNA branch site recognition","0","0","0","NaN","NaN","NaN","1","1"
"GO:0002250","adaptive immune response","0","0.3358","0.573821650975905","-0.585199250374923","0.279206874442641","0.463224695282687","1","1"
"GO:0016064","immunoglobulin mediated immune response","0","0.0572","0.239862280051156","-0.238470175418164","0.405758222369952","0.463224695282687","1","1"
"GO:0006836","neurotransmitter transport","0","0.0919","0.300105641965682","-0.306225499121103","0.379716479444724","0.463224695282687","1","1"
"GO:0007186","G protein-coupled receptor signaling pathway","1","0.7582","0.858723762714218","0.281580655501751","0.389132537460749","0.463224695282687","0.5351","1"
"GO:0007218","neuropeptide signaling pathway","1","0.0611","0.245708826220647","3.82118955367466","6.64047607342103e-05","0.00297213755708642","0.0597","1"
"GO:0031214","biomineral tissue development","0","0.055","0.232336820241226","-0.236725285053379","0.406434958890821","0.463224695282687","1","1"
"GO:0006468","protein phosphorylation","0","1.7126","1.27379884453929","-1.34448229980882","0.0893962381759796","0.463224695282687","1","1"
"GO:0043687","post-translational protein modification","0","0.1392","0.371533529733686","-0.374663358377851","0.353955423128768","0.463224695282687","1","1"
"GO:0043066","negative regulation of apoptotic process","0","1.379","1.1507786186504","-1.19831910121623","0.115396406587246","0.463224695282687","1","1"
"GO:0045892","negative regulation of DNA-templated transcription","2","1.8261","1.30943890771021","0.132804973928945","0.447173810290551","0.463224695282687","0.5511","1"
"GO:0045596","negative regulation of cell differentiation","0","0.1169","0.346188351389043","-0.337677450818179","0.367803134637392","0.463224695282687","1","1"
"GO:0008284","positive regulation of cell population proliferation","0","1.1271","1.05169206311523","-1.07170153653286","0.141927055232772","0.463224695282687","1","1"
"GO:0006915","apoptotic process","4","2.2878","1.45354134383712","1.1779506701062","0.119408136456025","0.463224695282687","0.1962","1"
"GO:0030154","cell differentiation","4","2.0719","1.4187782360779","1.35898616920575","0.0870754857249405","0.463224695282687","0.1531","1"
"GO:0006935","chemotaxis","0","0.2546","0.49960364328139","-0.509603969914612","0.305164471027052","0.463224695282687","1","1"
"GO:0001525","angiogenesis","1","0.7866","0.868870492992689","0.24560622293085","0.402993535784798","0.463224695282687","0.5526","1"
"GO:0016525","negative regulation of angiogenesis","0","0.2646","0.510110636319346","-0.518711003379964","0.3019811436736","0.463224695282687","1","1"
"GO:1901800","positive regulation of proteasomal protein catabolic process","0","0.059","0.241505346697021","-0.2443010095094","0.403498850842179","0.463224695282687","1","1"
"GO:2000353","positive regulation of endothelial cell apoptotic process","0","0.0721","0.273329582932566","-0.263784107180919","0.395973140797917","0.463224695282687","1","1"
"GO:0002218","activation of innate immune response","0","0.1192","0.342349354180829","-0.348182342231142","0.363851623982479","0.463224695282687","1","1"
"GO:0032481","positive regulation of type I interferon production","0","0.1407","0.378309161641875","-0.371918034946225","0.354976938433903","0.463224695282687","1","1"
"GO:0000045","autophagosome assembly","0","0.2698","0.515785385074399","-0.523085779099931","0.300457280650734","0.463224695282687","1","1"
"GO:0006914","autophagy","0","0.7827","0.868767049109577","-0.90093195961128","0.183812248646102","0.463224695282687","1","1"
"GO:0051607","defense response to virus","0","0.7108","0.835004840290361","-0.851252550527527","0.197314538385562","0.463224695282687","1","1"
"GO:0045087","innate immune response","1","1.2855","1.12308320332385","-0.254210907219555","0.399666312297154","0.463224695282687","0.7294","1"
"GO:0034220","monoatomic ion transmembrane transport","2","0.5189","0.707737860572634","2.09272399077483","0.0181869001874141","0.277455965649852","0.0956","1"
"GO:0045944","positive regulation of transcription by RNA polymerase II","1","3.2157","1.73910205496853","-1.27404829042083","0.101323151288974","0.463224695282687","0.962","1"
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","0","0.0669","0.256575472516976","-0.260741992770075","0.397145740155343","0.463224695282687","1","1"
"GO:0051259","protein complex oligomerization","0","0.0825","0.287927143916687","-0.286530817753924","0.387235796647745","0.463224695282687","1","1"
"GO:0051091","positive regulation of DNA-binding transcription factor activity","0","0.2399","0.49170333252554","-0.487895818740539","0.312811818159269","0.463224695282687","1","1"
"GO:0032728","positive regulation of interferon-beta production","0","0.1609","0.396770629826943","-0.405523967512864","0.342546202267983","0.463224695282687","1","1"
"GO:0032092","positive regulation of protein binding","1","0.1517","0.386654962732952","2.19394571843602","0.0141196560602948","0.222299865013281","0.1419","1"
"GO:0140374","antiviral innate immune response","0","0.1897","0.431198913786115","-0.439936173155798","0.329991667911865","0.463224695282687","1","1"
"GO:0016239","positive regulation of macroautophagy","0","0.1023","0.320070233691685","-0.319617350292383","0.374629210073185","0.463224695282687","1","1"
"GO:0061709","reticulophagy","0","0.0898","0.296891856536093","-0.30246703647489","0.381148029211565","0.463224695282687","1","1"
"GO:0071360","cellular response to exogenous dsRNA","0","0.0619","0.245915508749945","-0.251712469517089","0.400631658997665","0.463224695282687","1","1"
"GO:0071407","cellular response to organic cyclic compound","0","0.1494","0.384830416475809","-0.388222951211008","0.348925524978916","0.463224695282687","1","1"
"GO:0002230","positive regulation of defense response to virus by host","0","0.1225","0.348863756489635","-0.351139944236769","0.36274168116734","0.463224695282687","1","1"
"GO:0002221","pattern recognition receptor signaling pathway","0","0.046","0.213280446489793","-0.21567846821908","0.414619193043047","0.463224695282687","1","1"
"GO:0060340","positive regulation of type I interferon-mediated signaling pathway","0","0.0611","0.245708826220647","-0.248668315826522","0.401808679699715","0.463224695282687","1","1"
"GO:0016567","protein ubiquitination","2","1.8361","1.32914011727324","0.123312807934986","0.450929699487276","0.463224695282687","0.5558","1"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","0","0.8686","0.917070412680608","-0.947146465516286","0.171782075129922","0.463224695282687","1","1"
"GO:0051056","regulation of small GTPase mediated signal transduction","1","0.399","0.637683043499195","0.942474488112617","0.172974883330607","0.463224695282687","0.3265","1"
"GO:0032956","regulation of actin cytoskeleton organization","0","0.2943","0.545818011547964","-0.53919070784299","0.294877635675032","0.463224695282687","1","1"
"GO:0060071","Wnt signaling pathway, planar cell polarity pathway","0","0.1121","0.334282462113177","-0.335345142821303","0.368682372047407","0.463224695282687","1","1"
"GO:0015031","protein transport","6","2.3749","1.49939147906101","2.41771415312445","0.00780917028731632","0.137309232895128","0.0319","1"
"GO:0006887","exocytosis","1","0.3152","0.56007171686562","1.22270055669372","0.110721408325935","0.463224695282687","0.2719","1"
