"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","0","0.1997","0.44072591702031","-0.453116080284421","0.325232578434063","0.489156541159468","1","1"
"GO:1902600","proton transmembrane transport","2","0.0841","0.290233722302141","6.60123153437525","2.03878068903059e-11","1.05641030965822e-09","0.0032","1"
"GO:0032981","mitochondrial respiratory chain complex I assembly","1","0.0328","0.181459231634201","5.33012286721105","4.9073171745442e-08","1.78935324382917e-06","0.0322","1"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","0","0.0294","0.171285066066443","-0.171643685437208","0.431858830540184","0.489156541159468","1","1"
"GO:0009060","aerobic respiration","1","0.0374","0.193403672400629","4.97715471506667","3.22628725099559e-07","1.04140321265743e-05","0.0367","1"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","1","0.0358","0.189530873989489","5.08729780908135","1.81600633784157e-07","6.06053640544075e-06","0.0351","1"
"GO:0001666","response to hypoxia","1","0.064","0.25398907662556","3.68519785352772","0.000114262521961216","0.0029603013913373","0.0617","1"
"GO:0009410","response to xenobiotic stimulus","0","0.0913","0.297948296385014","-0.306429004990922","0.379639013522893","0.489156541159468","1","1"
"GO:0014070","response to organic cyclic compound","0","0.0407","0.200118751623817","-0.203379241923854","0.419419311650941","0.489156541159468","1","1"
"GO:0072593","reactive oxygen species metabolic process","0","0.014","0.118344414908579","-0.118298780815427","0.452915461692813","0.489156541159468","1","1"
"GO:0006119","oxidative phosphorylation","0","0.0177","0.133373493801748","-0.13271002727356","0.447211356198682","0.489156541159468","1","1"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","0","0.0125","0.111107985754625","-0.112503164512455","0.45521223037792","0.489156541159468","1","1"
"GO:0045333","cellular respiration","1","0.0187","0.136206333246739","7.20451080804274","2.91263011958e-13","1.911656235151e-11","0.0186","1"
"GO:0006979","response to oxidative stress","0","0.0551","0.230367742815033","-0.239182792376626","0.40548192258516","0.489156541159468","1","1"
"GO:0021549","cerebellum development","0","0.0156","0.124732497047008","-0.125067647720712","0.450234997765828","0.489156541159468","1","1"
"GO:0022900","electron transport chain","0","0.0055","0.0753015074995393","-0.073039706410043","0.470887260364229","0.489156541159468","1","1"
"GO:0007595","lactation","0","0.0165","0.127394556152505","-0.129518878186975","0.448473544065111","0.489156541159468","1","1"
"GO:0015986","proton motive force-driven ATP synthesis","0","0.012","0.108890705381919","-0.110202243230142","0.456124491635641","0.489156541159468","1","1"
"GO:0006754","ATP biosynthetic process","0","0.0115","0.107558853148818","-0.106918209550716","0.457426933433228","0.489156541159468","1","1"
"GO:0022904","respiratory electron transport chain","1","0.0063","0.0791260772034691","12.558438824722","1.78656721928595e-36","5.02535836396291e-34","0.0063","1"
"GO:0009725","response to hormone","0","0.0091","0.0949636341405536","-0.0958261557948729","0.46182932181405","0.489156541159468","1","1"
"GO:0071385","cellular response to glucocorticoid stimulus","0","0.0065","0.0803641452364421","-0.0808818407870342","0.467767960798507","0.489156541159468","1","1"
"GO:0001701","in utero embryonic development","0","0.0663","0.254775982149236","-0.260228611192889","0.397343717884257","0.489156541159468","1","1"
"GO:0035094","response to nicotine","0","0.0157","0.126708782298431","-0.123906170631666","0.450694783572274","0.489156541159468","1","1"
"GO:0045471","response to ethanol","0","0.0316","0.176648126103974","-0.178886698075701","0.429013333854014","0.489156541159468","1","1"
"GO:0042542","response to hydrogen peroxide","0","0.0131","0.114584915980669","-0.114325693638507","0.454489807725384","0.489156541159468","1","1"
"GO:0042220","response to cocaine","0","0.0168","0.130074793658089","-0.129156460890955","0.44861692337631","0.489156541159468","1","1"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","2","0.0054","0.0732896796125742","27.2152915737101","2.14097064829383e-163","4.21557120649056e-160","0","0"
"GO:0007584","response to nutrient","1","0.0235","0.152151454171495","6.41794720475923","6.90620682917273e-11","3.39958031166028e-09","0.0234","1"
"GO:0009636","response to toxic substance","0","0.0356","0.187446401980304","-0.189920956731625","0.424685535122259","0.489156541159468","1","1"
"GO:0051592","response to calcium ion","0","0.0183","0.134040690428948","-0.13652570679424","0.445702851864037","0.489156541159468","1","1"
"GO:0000244","spliceosomal tri-snRNP complex assembly","0","0.0174","0.132283747675177","-0.131535432778377","0.447675879378133","0.489156541159468","1","1"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","0","0.1452","0.378591195261212","-0.383527144364301","0.350664473893811","0.489156541159468","1","1"
"GO:0060294","cilium movement involved in cell motility","0","0.0154","0.124757350242957","-0.123439620751879","0.450879492071646","0.489156541159468","1","1"
"GO:0000395","mRNA 5'-splice site recognition","0","0.0054","0.0732896796125742","-0.0736802238534214","0.470632417544339","0.489156541159468","1","1"
"GO:0000348","mRNA branch site recognition","0","0","0","NaN","NaN","NaN","1","1"
"GO:0002250","adaptive immune response","0","0.1558","0.388769178494662","-0.400751933585031","0.344301385369022","0.489156541159468","1","1"
"GO:0016064","immunoglobulin mediated immune response","0","0.0039","0.0623312001958232","-0.0625689861216781","0.475054863249725","0.489156541159468","1","1"
"GO:0006836","neurotransmitter transport","0","0.0186","0.13585244049541","-0.136913256266666","0.445549680263695","0.489156541159468","1","1"
"GO:0007186","G protein-coupled receptor signaling pathway","1","0.5874","0.7436508197092","0.554830290056487","0.28950537337951","0.489156541159468","0.4545","1"
"GO:0007218","neuropeptide signaling pathway","0","0.05","0.222497079744992","-0.224722050542442","0.411097754730147","0.489156541159468","1","1"
"GO:0031214","biomineral tissue development","0","0.0074","0.0857086611577835","-0.0863389988834049","0.465598468790309","0.489156541159468","1","1"
"GO:0006468","protein phosphorylation","0","0.1708","0.407484925360975","-0.41915661014624","0.337550840211084","0.489156541159468","1","1"
"GO:0043687","post-translational protein modification","0","0.0156","0.125531732329249","-0.124271367171798","0.450550208612643","0.489156541159468","1","1"
"GO:0043066","negative regulation of apoptotic process","2","0.2005","0.446004082900814","4.03471642747312","2.73341401028431e-05","0.000747512803645807","0.0163","1"
"GO:0045892","negative regulation of DNA-templated transcription","0","0.2316","0.478732031971795","-0.483777947855482","0.314271733491999","0.489156541159468","1","1"
"GO:0045596","negative regulation of cell differentiation","0","0.0491","0.220667304796022","-0.222506909419075","0.411959647570473","0.489156541159468","1","1"
"GO:0008284","positive regulation of cell population proliferation","1","0.2047","0.446562259696426","1.78093867704057","0.0374612346381399","0.489156541159468","0.1876","1"
"GO:0006915","apoptotic process","1","0.3156","0.549023480989901","1.24657692010916","0.10627633437948","0.489156541159468","0.2763","1"
"GO:0030154","cell differentiation","0","0.2986","0.531851790100083","-0.561434605576508","0.28725064930704","0.489156541159468","1","1"
"GO:0006935","chemotaxis","1","0.0839","0.28647686974639","3.19781489099277","0.000692365682171769","0.0166252198560514","0.0813","1"
"GO:0001525","angiogenesis","0","0.0846","0.285045549161024","-0.296794671058726","0.383311637071826","0.489156541159468","1","1"
"GO:0016525","negative regulation of angiogenesis","0","0.04","0.199509349149457","-0.200491857502052","0.42054796274594","0.489156541159468","1","1"
"GO:1901800","positive regulation of proteasomal protein catabolic process","0","0.0135","0.115408326858121","-0.116975961505763","0.4534395513116","0.489156541159468","1","1"
"GO:2000353","positive regulation of endothelial cell apoptotic process","0","0.0129","0.113731629234566","-0.113424911669861","0.45484684524788","0.489156541159468","1","1"
"GO:0002218","activation of innate immune response","0","0.0118","0.108912562152488","-0.108343792183301","0.456861492951527","0.489156541159468","1","1"
"GO:0032481","positive regulation of type I interferon production","0","0.011","0.10430766035532","-0.10545725944316","0.458006491421049","0.489156541159468","1","1"
"GO:0000045","autophagosome assembly","0","0.0337","0.18156983989825","-0.185603512229152","0.426377849533243","0.489156541159468","1","1"
"GO:0006914","autophagy","0","0.0989","0.310045807648296","-0.31898512271512","0.374868897151431","0.489156541159468","1","1"
"GO:0051607","defense response to virus","0","0.0872","0.293606506191617","-0.296996143345307","0.383234726767791","0.489156541159468","1","1"
"GO:0045087","innate immune response","0","0.2131","0.45487259854611","-0.468482825039632","0.319719675172166","0.489156541159468","1","1"
"GO:0034220","monoatomic ion transmembrane transport","0","0.1232","0.348186564054874","-0.35383329719921","0.361731909064062","0.489156541159468","1","1"
"GO:0045944","positive regulation of transcription by RNA polymerase II","1","0.3612","0.585293786812818","1.09141770234491","0.137544563243182","0.489156541159468","0.3101","1"
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","0","0.011","0.10430766035532","-0.10545725944316","0.458006491421049","0.489156541159468","1","1"
"GO:0051259","protein complex oligomerization","0","0.0049","0.0698317810725516","-0.070168624152793","0.472029723524764","0.489156541159468","1","1"
