"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","0","0.98","0.971542273624233","-1.00870546409084","0.1565579552509","0.470041587906387","1","1"
"GO:1902600","proton transmembrane transport","0","0.4302","0.652817414793529","-0.658989773022619","0.254951167972727","0.470041587906387","1","1"
"GO:0032981","mitochondrial respiratory chain complex I assembly","0","0.156","0.394815891218674","-0.395120873981228","0.346376842213039","0.470041587906387","1","1"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","0","0.1405","0.377324777080355","-0.372358266762002","0.354813060884266","0.470041587906387","1","1"
"GO:0009060","aerobic respiration","0","0.19","0.435107954297769","-0.436673239648412","0.331174169565997","0.470041587906387","1","1"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","0","0.1932","0.439195912213366","-0.439894804635936","0.330006649452963","0.470041587906387","1","1"
"GO:0001666","response to hypoxia","0","0.2893","0.539105345417151","-0.536629811704323","0.295761673702496","0.470041587906387","1","1"
"GO:0009410","response to xenobiotic stimulus","0","0.4325","0.652599677163469","-0.66273400851172","0.253750462386155","0.470041587906387","1","1"
"GO:0014070","response to organic cyclic compound","0","0.1943","0.434932669091049","-0.44673581408833","0.327532909961779","0.470041587906387","1","1"
"GO:0072593","reactive oxygen species metabolic process","0","0.0751","0.272887223489255","-0.275205262598002","0.391579272027781","0.470041587906387","1","1"
"GO:0006119","oxidative phosphorylation","0","0.0867","0.291533204216803","-0.297393225697627","0.383083157487465","0.470041587906387","1","1"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","0","0.0668","0.256406580323991","-0.260523735060124","0.3972299046573","0.470041587906387","1","1"
"GO:0045333","cellular respiration","0","0.0872","0.294286969609679","-0.296309415655256","0.383496898000765","0.470041587906387","1","1"
"GO:0006979","response to oxidative stress","0","0.2784","0.52490093550994","-0.530385795044421","0.297922236381585","0.470041587906387","1","1"
"GO:0021549","cerebellum development","1","0.0719","0.265212035440276","3.49946411164663","0.000233097178354069","0.00388956223880646","0.0702","1"
"GO:0022900","electron transport chain","0","0.0189","0.136911155376202","-0.138045727158367","0.445102139214577","0.470041587906387","1","1"
"GO:0007595","lactation","0","0.0834","0.287841493312773","-0.289742799205729","0.386006505520633","0.470041587906387","1","1"
"GO:0015986","proton motive force-driven ATP synthesis","0","0.0754","0.274084571319189","-0.275097571662259","0.391620638584005","0.470041587906387","1","1"
"GO:0006754","ATP biosynthetic process","0","0.068","0.261501124823256","-0.260037122386987","0.397417569380052","0.470041587906387","1","1"
"GO:0022904","respiratory electron transport chain","0","0.029","0.169593266928905","-0.170997354583405","0.43211292284858","0.470041587906387","1","1"
"GO:0009725","response to hormone","0","0.0424","0.202993498999509","-0.208873684176963","0.417273424011097","0.470041587906387","1","1"
"GO:0071385","cellular response to glucocorticoid stimulus","0","0.0389","0.196953469293909","-0.19750857976485","0.421714784000563","0.470041587906387","1","1"
"GO:0001701","in utero embryonic development","0","0.3133","0.555674353734937","-0.563819434699784","0.286438511956093","0.470041587906387","1","1"
"GO:0035094","response to nicotine","0","0.0672","0.255911525865693","-0.262590751911924","0.396433014445429","0.470041587906387","1","1"
"GO:0045471","response to ethanol","0","0.1627","0.403044606086534","-0.403677403302274","0.343224979165558","0.470041587906387","1","1"
"GO:0042542","response to hydrogen peroxide","1","0.0645","0.252083527050978","3.71107152833044","0.000103191885575673","0.00186408094218807","0.0629","1"
"GO:0042220","response to cocaine","0","0.0785","0.276668401774496","-0.283733160333875","0.388307440170829","0.470041587906387","1","1"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","0","0.0265","0.164318136689181","-0.161272520087825","0.435939382861812","0.470041587906387","1","1"
"GO:0007584","response to nutrient","0","0.1083","0.330427039152095","-0.327757680721007","0.3715474435977","0.470041587906387","1","1"
"GO:0009636","response to toxic substance","0","0.1841","0.421218390497435","-0.437065437201326","0.331031946071312","0.470041587906387","1","1"
