"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","0","0.6097","0.768651411563948","-0.793207416037219","0.213828493737109","0.477261655221364","1","1"
"GO:1902600","proton transmembrane transport","0","0.2585","0.500902026631984","-0.516068984064866","0.302903114744728","0.477261655221364","1","1"
"GO:0032981","mitochondrial respiratory chain complex I assembly","0","0.0991","0.308688708688684","-0.321035390056795","0.374091785914893","0.477261655221364","1","1"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","0","0.0867","0.290502236058374","-0.298448649402403","0.382680381492692","0.477261655221364","1","1"
"GO:0009060","aerobic respiration","0","0.1245","0.35015997943957","-0.355551768649467","0.361088134605108","0.477261655221364","1","1"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","0","0.1203","0.342986404930861","-0.35074276493335","0.362890669704097","0.477261655221364","1","1"
"GO:0001666","response to hypoxia","3","0.1732","0.417395713823455","6.77247011979535","6.33009791510218e-12","1.10300555706515e-10","9e-04","0.0202295454545455"
"GO:0009410","response to xenobiotic stimulus","4","0.264","0.511008916763006","7.31102702407963","1.32554101937972e-13","2.55881398741045e-12","0","0"
"GO:0014070","response to organic cyclic compound","3","0.115","0.337322366050435","8.55264960275016","6.01473274805977e-18","1.36126537711835e-16","3e-04","0.0086"
"GO:0072593","reactive oxygen species metabolic process","3","0.0426","0.204913247360668","14.4324490392496","1.61695468562953e-47","9.94932430001423e-46","0","0"
"GO:0006119","oxidative phosphorylation","0","0.0538","0.233903892877204","-0.230008997876082","0.409042388929547","0.477261655221364","1","1"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","1","0.0382","0.19632782396147","4.89894901595178","4.81753196591397e-07","5.21509255499781e-06","0.0373","0.393539583333333"
"GO:0045333","cellular respiration","1","0.0523","0.229281414416214","4.13334854206561","1.78757962524916e-05","0.000161456159730073","0.0508","0.45467149321267"
"GO:0006979","response to oxidative stress","2","0.1695","0.408884419667545","4.47681523665867","3.7882382092718e-06","3.69259457131493e-05","0.0116","0.196109401709402"
"GO:0021549","cerebellum development","1","0.0444","0.210316578771933","4.54362659177835","2.7647286374657e-06","2.76332522191369e-05","0.0435","0.415666666666667"
"GO:0022900","electron transport chain","0","0.0123","0.110226698183785","-0.111588210503156","0.455574960145557","0.477261655221364","1","1"
"GO:0007595","lactation","0","0.0487","0.218479022581874","-0.222904695491989","0.411804840926672","0.477261655221364","1","1"
"GO:0015986","proton motive force-driven ATP synthesis","0","0.046","0.213748845276146","-0.215205840951196","0.414803418599585","0.477261655221364","1","1"
"GO:0006754","ATP biosynthetic process","0","0.0403","0.199699519252799","-0.201803189866393","0.42003529385181","0.477261655221364","1","1"
"GO:0022904","respiratory electron transport chain","0","0.0163","0.127420302908757","-0.127923098814732","0.449104915507784","0.477261655221364","1","1"
"GO:0009725","response to hormone","0","0.0255","0.15890964485368","-0.160468548170753","0.436255997732323","0.477261655221364","1","1"
"GO:0071385","cellular response to glucocorticoid stimulus","0","0.0203","0.143143141630675","-0.14181608541453","0.443612639082393","0.477261655221364","1","1"
"GO:0001701","in utero embryonic development","2","0.1875","0.427740629593005","4.23738096080466","1.13071123448091e-05","0.000104524432896381","0.0141","0.228604918032787"
"GO:0035094","response to nicotine","2","0.0401","0.20073868486657","9.76343947507046","8.07901595172119e-23","2.27251177270557e-21","9e-04","0.0202295454545455"
"GO:0045471","response to ethanol","2","0.0971","0.314136050375971","6.05756645161398","6.90981294636568e-10","1.06292356964016e-08","0.0051","0.092548623853211"
"GO:0042542","response to hydrogen peroxide","3","0.0395","0.198352424659838","14.9254540501689","1.12549065447975e-50","7.64169344369185e-49","1e-04","0.00329666666666667"
"GO:0042220","response to cocaine","0","0.0498","0.223438923411409","-0.222879699023188","0.411814568413463","0.477261655221364","1","1"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","1","0.0182","0.134426809293034","7.30360264565826","1.40081480431605e-13","2.67786830067796e-12","0.0181","0.269186466165414"
"GO:0007584","response to nutrient","0","0.0662","0.254212553589","-0.260412001946329","0.397272993014504","0.477261655221364","1","1"
"GO:0009636","response to toxic substance","2","0.1069","0.322308514125562","5.87356497589295","2.13260871789932e-09","3.18114133753315e-08","0.0042","0.0776411214953271"
"GO:0051592","response to calcium ion","0","0.056","0.23509471910848","-0.238201862689054","0.405862266239717","0.477261655221364","1","1"
"GO:0000244","spliceosomal tri-snRNP complex assembly","0","0.0449","0.209495534171695","-0.214324377736862","0.415147054504196","0.477261655221364","1","1"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","0","0.4252","0.646255928152669","-0.657943674444024","0.25528716258046","0.477261655221364","1","1"
"GO:0060294","cilium movement involved in cell motility","0","0.0429","0.206552309078448","-0.207695572087295","0.417733337627085","0.477261655221364","1","1"
"GO:0000395","mRNA 5'-splice site recognition","0","0.0133","0.115431548738828","-0.115219800351914","0.454135452391944","0.477261655221364","1","1"
"GO:0000348","mRNA branch site recognition","0","0","0","NaN","NaN","NaN","1","1"
"GO:0002250","adaptive immune response","0","0.4724","0.680356177639951","-0.69434219240675","0.243733818490836","0.477261655221364","1","1"
"GO:0016064","immunoglobulin mediated immune response","0","0.0166","0.130866927125464","-0.126846410813065","0.449530980937152","0.477261655221364","1","1"
"GO:0006836","neurotransmitter transport","0","0.0588","0.24196779711665","-0.243007543568507","0.403999776833519","0.477261655221364","1","1"
"GO:0007186","G protein-coupled receptor signaling pathway","0","1.7773","1.28049548100245","-1.38797834617005","0.082571819470561","0.477261655221364","1","1"
"GO:0007218","neuropeptide signaling pathway","0","0.151","0.387832491423991","-0.389343346261625","0.348511087602932","0.477261655221364","1","1"
"GO:0031214","biomineral tissue development","0","0.0225","0.148983118496559","-0.151023822209224","0.439978462011002","0.477261655221364","1","1"
"GO:0006468","protein phosphorylation","0","0.5213","0.712318081832106","-0.731835977909193","0.232134343302526","0.477261655221364","1","1"
"GO:0043687","post-translational protein modification","0","0.0418","0.203117910801999","-0.205791797655633","0.418476774297178","0.477261655221364","1","1"
"GO:0043066","negative regulation of apoptotic process","11","0.6368","0.795329500836911","13.0300711706217","4.12653186655592e-39","2.08336955006375e-37","0","0"
"GO:0045892","negative regulation of DNA-templated transcription","2","0.7043","0.820688042368285","1.57879722027015","0.0571912882050019","0.345428363422235","0.1549","0.970221518987342"
"GO:0045596","negative regulation of cell differentiation","0","0.1616","0.398624296967725","-0.405394255265589","0.342593866508178","0.477261655221364","1","1"
"GO:0008284","positive regulation of cell population proliferation","2","0.6512","0.791581467773224","1.70393074485974","0.0441970131915441","0.269423897752787","0.1362","0.880403921568627"
"GO:0006915","apoptotic process","22","0.9301","0.936323480516224","22.5027999814589","1.94835119377774e-112","2.74021678610597e-110","0","0"
"GO:0030154","cell differentiation","1","0.8954","0.939120351554299","0.111380825500034","0.455657182239636","0.477261655221364","0.5977","1"
"GO:0006935","chemotaxis","0","0.2562","0.503176786714042","-0.509164982894173","0.305318292864791","0.477261655221364","1","1"
"GO:0001525","angiogenesis","0","0.2377","0.483758320043409","-0.491361058097503","0.3115855509188","0.477261655221364","1","1"
"GO:0016525","negative regulation of angiogenesis","1","0.1102","0.333866899693083","2.66513392258405","0.00384788343641144","0.0268669591712558","0.1039","0.713590972222222"
"GO:1901800","positive regulation of proteasomal protein catabolic process","0","0.038","0.195856672042589","-0.194019430656602","0.423080333763215","0.477261655221364","1","1"
"GO:2000353","positive regulation of endothelial cell apoptotic process","1","0.0433","0.207916889509473","4.60135779376601","2.09872843175618e-06","2.14113797001446e-05","0.0424","0.412002926829268"
"GO:0002218","activation of innate immune response","0","0.0338","0.181275608079544","-0.186456414947832","0.426043427636837","0.477261655221364","1","1"
"GO:0032481","positive regulation of type I interferon production","0","0.0326","0.179834574115782","-0.18127771125374","0.428074800012004","0.477261655221364","1","1"
"GO:0000045","autophagosome assembly","0","0.0993","0.315989707030933","-0.314250742320158","0.376665303202326","0.477261655221364","1","1"
"GO:0006914","autophagy","4","0.2844","0.532864930825299","6.97287395934519","1.5526541058898e-12","2.80474856375872e-11","0","0"
"GO:0051607","defense response to virus","4","0.2597","0.506834882540474","7.37972094827414","7.93108196553055e-14","1.54616835545838e-12","3e-04","0.0086"
"GO:0045087","innate immune response","0","0.6562","0.79540230480094","-0.824991323308049","0.204688258378708","0.477261655221364","1","1"
"GO:0034220","monoatomic ion transmembrane transport","0","0.3488","0.583757344505169","-0.597508542347619","0.275083952720007","0.477261655221364","1","1"
"GO:0045944","positive regulation of transcription by RNA polymerase II","3","1.1092","1.02439264836771","1.84577661994436","0.032462323351735","0.202915284697035","0.0965","0.672102112676056"
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","0","0.0275","0.164761842204027","-0.166907577823428","0.433721385275743","0.477261655221364","1","1"
"GO:0051259","protein complex oligomerization","0","0.0173","0.131918346885581","-0.131141728261688","0.447831595905092","0.477261655221364","1","1"
"GO:0051091","positive regulation of DNA-binding transcription factor activity","1","0.1232","0.347611627228346","2.52235521288829","0.00582859639655015","0.0394381659959012","0.1171","0.772079333333333"
"GO:0032728","positive regulation of interferon-beta production","0","0.0399","0.200279807270029","-0.199221282184501","0.421044826156653","0.477261655221364","1","1"
"GO:0032092","positive regulation of protein binding","0","0.0584","0.239572910651333","-0.243767126430223","0.403705590850336","0.477261655221364","1","1"
