"","MLSP 760"
"somatic stem cell population maintenance",9.37540608402013e-78
"blastocyst development",6.27169573233909e-50
"cellular senescence",1.20617594016828e-48
"negative regulation of gene expression",1.29722750858753e-41
"negative regulation of transcription by RNA polymerase II",9.0008934405858e-37
"positive regulation of gene expression",1.01299514610896e-34
"negative regulation of miRNA transcription",1.03082364122753e-33
"MAPK cascade",5.48666533747234e-32
"protein phosphorylation",9.64253357578006e-28
"thymus development",4.9968181716054e-27
"thyroid gland development",1.49123164823907e-26
"response to wounding",2.40468666648507e-26
"BMP signaling pathway",1.35629082675551e-25
"positive regulation of cardiac muscle cell proliferation",6.00237116633845e-23
"regulation of gene expression",6.66008109924558e-23
"positive regulation of transcription by RNA polymerase II",7.72340469911625e-23
"insulin-like growth factor receptor signaling pathway",1.63645332858311e-22
"chromatin remodeling",8.29842614716032e-22
"positive regulation of canonical Wnt signaling pathway",1.29548127170785e-21
"regulation of transcription by RNA polymerase II",1.92504714645588e-21
"DNA damage response",1.22694011581701e-20
"regulation of cell cycle",5.66177092700137e-19
"peptidyl-serine phosphorylation",5.74077304096813e-19
"rhythmic process",3.07165940428321e-18
"negative regulation of mitotic cell cycle",1.29895857231029e-17
"chromosome organization",9.05114127184611e-17
"positive regulation of protein serine/threonine kinase activity",4.41648178675926e-16
"regulation of signal transduction by p53 class mediator",5.44397913027146e-16
"T cell differentiation in thymus",1.83241851823916e-15
"positive regulation of blood vessel endothelial cell migration",5.40089973249672e-15
"Ras protein signal transduction",7.67476961821698e-15
"regulation of macromolecule metabolic process",1.08415529475855e-14
"negative regulation of endothelial cell apoptotic process",2.11525422753865e-14
"negative regulation of apoptotic signaling pathway",2.21615210534096e-14
"regulation of cell population proliferation",2.97664206022276e-14
"double-strand break repair via nonhomologous end joining",3.43810075219648e-14
"positive regulation of MAP kinase activity",3.46509888126916e-14
"positive regulation of DNA-templated transcription",6.01005723290566e-14
"positive regulation of Notch signaling pathway",7.56712550586137e-14
"cellular response to gamma radiation",1.53478172576637e-13
"DNA repair",3.71923733487745e-13
"regulation of DNA-templated transcription",8.05182322328071e-13
"anatomical structure morphogenesis",1.23109496961186e-12
"chromatin organization",1.38445282621138e-12
"double-strand break repair",1.50279615760731e-12
"glucose metabolic process",2.01633229521874e-12
"negative regulation of gene expression, epigenetic",3.28449540746863e-12
"heterochromatin formation",7.69144908026603e-12
"apoptotic process",1.1790504945989e-11
