"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","2","3.1373","1.72688937824415","-0.658583007300892","0.25508178885597","0.438929417496513","0.8266","1"
"GO:1902600","proton transmembrane transport","0","1.3648","1.15440643857462","-1.18225258833895","0.118552745909023","0.35282642411016","1","1"
"GO:0032981","mitochondrial respiratory chain complex I assembly","0","0.5102","0.712142313493214","-0.716429834785912","0.236862989115126","0.438929417496513","1","1"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","0","0.4596","0.674250177107973","-0.68164609458664","0.247731380376973","0.438929417496513","1","1"
"GO:0009060","aerobic respiration","0","0.6347","0.791781915593041","-0.801609619391992","0.211389405736502","0.438929417496513","1","1"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","0","0.6149","0.776181831675789","-0.792211276927755","0.21411874713097","0.438929417496513","1","1"
"GO:0001666","response to hypoxia","4","0.9294","0.961097295179359","3.194889857043","0.000699421072211674","0.00467630510024891","0.014","0.132497607655502"
"GO:0009410","response to xenobiotic stimulus","6","1.3654","1.16086933018328","3.99235286823219","3.27104622355171e-05","0.000298180093248765","0.003","0.0482439024390244"
"GO:0014070","response to organic cyclic compound","3","0.6003","0.769674703959401","3.1178106642395","0.000910999052972439","0.0058811709354188","0.0223","0.183026556016598"
"GO:0072593","reactive oxygen species metabolic process","3","0.2447","0.487283956811074","5.6544032724399","7.81943190703401e-09","1.57106749234183e-07","0.0016","0.0301409523809524"
"GO:0006119","oxidative phosphorylation","0","0.2896","0.536805976182835","-0.539487287491305","0.294775333186577","0.438929417496513","1","1"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","0","0.2129","0.461296942854544","-0.461524844891789","0.322211050319573","0.438929417496513","1","1"
"GO:0045333","cellular respiration","0","0.2879","0.538927299608608","-0.534209345507428","0.296598352024489","0.438929417496513","1","1"
"GO:0006979","response to oxidative stress","4","0.8916","0.933025451769331","3.33152755276442","0.00043185374784666","0.00310335777193458","0.0128","0.123504390243902"
"GO:0021549","cerebellum development","2","0.2247","0.477108659811711","3.72095530754067","9.9235282016771e-05","0.000814142792879259","0.0233","0.187347154471545"
"GO:0022900","electron transport chain","0","0.06","0.242911301898572","-0.247003739764456","0.402452664911462","0.438929417496513","1","1"
"GO:0007595","lactation","2","0.2769","0.528445186780562","3.26069769032738","0.000555692316562625","0.00390770775468503","0.0326","0.24150861423221"
"GO:0015986","proton motive force-driven ATP synthesis","0","0.2401","0.489771352365325","-0.490228754377833","0.311986017825295","0.438929417496513","1","1"
"GO:0006754","ATP biosynthetic process","0","0.2049","0.447812509432642","-0.457557561890352","0.323635169307687","0.438929417496513","1","1"
"GO:0022904","respiratory electron transport chain","0","0.0877","0.29430829369417","-0.297986845355888","0.382856601843581","0.438929417496513","1","1"
"GO:0009725","response to hormone","0","0.1368","0.366195535086095","-0.373570911966027","0.354361789231202","0.438929417496513","1","1"
"GO:0071385","cellular response to glucocorticoid stimulus","0","0.1242","0.351549027408507","-0.353293538928433","0.361934194409845","0.438929417496513","1","1"
"GO:0001701","in utero embryonic development","3","1.0195","1.00000987593883","1.98048044089631","0.0238247844981255","0.0971242250037454","0.0807","0.456758217270195"
"GO:0035094","response to nicotine","0","0.2071","0.449699691996001","-0.46052955713797","0.322568080490076","0.438929417496513","1","1"
"GO:0045471","response to ethanol","4","0.4817","0.685501350261341","5.13244795018811","1.42998916609542e-07","2.2706844097112e-06","0.0017","0.031722641509434"
"GO:0042542","response to hydrogen peroxide","2","0.2037","0.448136578109022","4.00837621329584","3.05688354235275e-05","0.000282582333093547","0.0156","0.14154495412844"
"GO:0042220","response to cocaine","1","0.2423","0.488891206160579","1.54983356307524","0.0605907345076179","0.202208739399152","0.2163","0.720271717171717"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","0","0.0869","0.295223823074241","-0.294352939051761","0.384244111947663","0.438929417496513","1","1"
"GO:0007584","response to nutrient","0","0.3349","0.575825622488919","-0.581599683863398","0.280418177959366","0.438929417496513","1","1"
"GO:0009636","response to toxic substance","1","0.5699","0.762346448283667","0.564179187780463","0.286316095138325","0.438929417496513","0.4306","1"
"GO:0051592","response to calcium ion","1","0.2926","0.530861018857228","1.3325521650145","0.0913394059322217","0.289609163092664","0.258","0.812617834394904"
"GO:0000244","spliceosomal tri-snRNP complex assembly","1","0.2408","0.488916418139535","1.55282165178451","0.0602328742559813","0.201355737538246","0.2144","0.716690878378378"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","17","2.2389","1.47683610955632","9.99508334369926","8.00762299624409e-24","8.29842614716032e-22","0","0"
"GO:0060294","cilium movement involved in cell motility","0","0.2194","0.469771975080312","-0.467035097107467","0.320237383929121","0.438929417496513","1","1"
"GO:0000395","mRNA 5'-splice site recognition","1","0.0652","0.25486360184529","3.66784426348746","0.000122302044161732","0.000982909081446735","0.0632","0.394976025236593"
"GO:0000348","mRNA branch site recognition","0","0","0","NaN","NaN","NaN","1","1"
"GO:0002250","adaptive immune response","1","2.4603","1.5356626374219","-0.950925004238936","0.170821223863664","0.438929417496513","0.9206","1"
"GO:0016064","immunoglobulin mediated immune response","0","0.0851","0.292346603629434","-0.291092829345365","0.385490161969516","0.438929417496513","1","1"
"GO:0006836","neurotransmitter transport","0","0.3203","0.553117079695054","-0.579081738312237","0.281267010744349","0.438929417496513","1","1"
"GO:0007186","G protein-coupled receptor signaling pathway","2","9.1282","2.889982691989","-2.46651996212963","0.0068216561766714","0.0341552860725469","0.9993","1"
"GO:0007218","neuropeptide signaling pathway","0","0.7855","0.865658527635838","-0.907401677362602","0.182097211372853","0.438929417496513","1","1"
"GO:0031214","biomineral tissue development","0","0.111","0.331798144963018","-0.334540749202717","0.368985773477071","0.438929417496513","1","1"
"GO:0006468","protein phosphorylation","21","2.7341","1.6114766134473","11.3348837008098","4.40745567201729e-30","9.64253357578006e-28","0","0"
"GO:0043687","post-translational protein modification","1","0.2221","0.469886868689621","1.65550487113917","0.0489110645742873","0.168661797104679","0.1995","0.686624"
"GO:0043066","negative regulation of apoptotic process","13","3.2687","1.78718205898873","5.44505242264261","2.58950653507802e-08","4.85594130244631e-07","1e-04","0.00329666666666667"
