"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","1","2.0971","1.42585935403522","-0.769430727438281","0.220818826600268","0.452187446854538","0.8847","1"
"GO:1902600","proton transmembrane transport","0","0.9229","0.943315734236128","-0.97835747513248","0.163948776319651","0.452187446854538","1","1"
"GO:0032981","mitochondrial respiratory chain complex I assembly","0","0.3368","0.572711585229412","-0.588079600074945","0.278239432590607","0.452187446854538","1","1"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","0","0.3031","0.543930120509611","-0.557240697970585","0.288681493423058","0.452187446854538","1","1"
"GO:0009060","aerobic respiration","0","0.4154","0.631888256163088","-0.657394714885771","0.25546357452415","0.452187446854538","1","1"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","0","0.411","0.637588936514112","-0.644615953104612","0.25958804701641","0.452187446854538","1","1"
"GO:0001666","response to hypoxia","2","0.6126","0.783315133429596","1.77119008785842","0.0382645485060258","0.401911356620382","0.1262","1"
"GO:0009410","response to xenobiotic stimulus","7","0.9062","0.964414106832198","6.31865498112242","1.31924802138694e-10","4.99538337329016e-09","1e-04","0.00412083333333333"
"GO:0014070","response to organic cyclic compound","0","0.4139","0.635159139675461","-0.651647711802565","0.257314230553761","0.452187446854538","1","1"
"GO:0072593","reactive oxygen species metabolic process","1","0.1624","0.402047763630671","2.08333455815323","0.0186103694068177","0.220745887723037","0.1502","1"
"GO:0006119","oxidative phosphorylation","0","0.1895","0.427794402493862","-0.442969797863867","0.328893790196318","0.452187446854538","1","1"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","0","0.1403","0.371523502582673","-0.377634252004771","0.35285115810005","0.452187446854538","1","1"
"GO:0045333","cellular respiration","0","0.1902","0.433869547535233","-0.438380617124447","0.330555197406821","0.452187446854538","1","1"
"GO:0006979","response to oxidative stress","6","0.5926","0.757550413017395","7.13800680071154","4.73469739166887e-13","1.82796454199922e-11","0","0"
"GO:0021549","cerebellum development","1","0.1579","0.396463501889938","2.12402906190788","0.0168338567540979","0.202108926517188","0.1461","1"
"GO:0022900","electron transport chain","0","0.0416","0.203650650278205","-0.204271383092421","0.419070715728248","0.452187446854538","1","1"
"GO:0007595","lactation","0","0.1778","0.422853450386834","-0.420476644656312","0.337068643779278","0.452187446854538","1","1"
"GO:0015986","proton motive force-driven ATP synthesis","0","0.164","0.40064953763258","-0.409335303290423","0.341146805542221","0.452187446854538","1","1"
"GO:0006754","ATP biosynthetic process","0","0.1455","0.375158399056236","-0.38783617897407","0.349068635037479","0.452187446854538","1","1"
"GO:0022904","respiratory electron transport chain","0","0.0588","0.239057053498705","-0.245966388104581","0.402854125851978","0.452187446854538","1","1"
"GO:0009725","response to hormone","0","0.0928","0.30298075802594","-0.306290077972723","0.37969189653357","0.452187446854538","1","1"
"GO:0071385","cellular response to glucocorticoid stimulus","0","0.0832","0.28720377539451","-0.289689785190722","0.386026785821502","0.452187446854538","1","1"
