"","MLSP 349"
"cell redox homeostasis",2.29995190561984e-60
"phosphatidylinositol-3-phosphate biosynthetic process",3.06584848623977e-58
"regulation of primary metabolic process",5.40681651426071e-55
"integrated stress response signaling",4.54094326337693e-50
"carbohydrate derivative metabolic process",2.97166571985098e-47
"hydrogen peroxide catabolic process",2.36241084172985e-44
"positive regulation of TOR signaling",2.6709040425364e-39
"glucose 6-phosphate metabolic process",3.67108719857435e-34
"intracellular glucose homeostasis",9.26193966857383e-30
"carbohydrate phosphorylation",6.87619958471289e-27
"embryonic digit morphogenesis",2.57153808297149e-22
"cellular response to nutrient levels",1.74764738655466e-21
"positive regulation of TORC1 signaling",4.96120378694321e-20
"glucose metabolic process",9.43323500955598e-19
"cellular response to amino acid starvation",1.11080167629588e-15
"negative regulation of autophagy",1.30526329572069e-12
"sodium ion transmembrane transport",3.07975401010057e-12
"phosphatidylinositol 3-kinase/protein kinase B signal transduction",1.35824172551385e-11
"cellular response to hydrogen peroxide",1.39681576291936e-10
"glycolytic process",1.42107426834486e-09
"cellular oxidant detoxification",3.77039116889306e-09
"cellular response to starvation",5.45053247894311e-09
"cellular response to insulin stimulus",1.08255990528129e-08
"sodium ion transport",1.2126915423884e-08
"axonogenesis",2.8312650206352e-08
"response to oxidative stress",3.95689337367767e-08
"regulation of gene expression",2.01730072313227e-07
"rhythmic process",3.23206314835073e-06
"protein localization",4.7191226494093e-06
"endocytosis",6.24505609692015e-06
"positive regulation of angiogenesis",9.29397379852809e-06
"response to xenobiotic stimulus",3.67144303436026e-05
"protein modification process",5.21187359545315e-05
"response to hypoxia",0.000189215207308013
"response to lipopolysaccharide",0.000278007998194942
"negative regulation of transcription by RNA polymerase II",0.000421491688142716
"positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",0.000913617441012045
"carbohydrate metabolic process",0.00243761641218875
"positive regulation of DNA-templated transcription",0.00837579633471241
"negative regulation of gene expression",0.0350675106960292
"ubiquitin-dependent protein catabolic process",0.0420693369923724
