"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","2","1.3276","1.12294449570495","0.598782934127023","0.27465882205478","0.46500900531067","0.3813","1"
"GO:1902600","proton transmembrane transport","2","0.5704","0.740336848917428","1.93101289242925","0.0267407290414923","0.195734183950551","0.1081","0.969309502262443"
"GO:0032981","mitochondrial respiratory chain complex I assembly","1","0.2086","0.458810517217152","1.72489507171745","0.042273191946853","0.291034667634103","0.1884","1"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","1","0.1904","0.435622332625025","1.85849057627834","0.0315496901984915","0.225895781821199","0.1738","1"
"GO:0009060","aerobic respiration","2","0.2607","0.509864203637219","3.41130047489578","0.000323269002519283","0.00448251173211597","0.028","0.626366666666667"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","1","0.2512","0.498119837325551","1.50325271930621","0.0663869436955545","0.44160774370455","0.2239","1"
"GO:0001666","response to hypoxia","3","0.3844","0.613575005544345","4.26288550929404","1.00901964283095e-05","0.000189215207308013","0.0057","0.201332142857143"
"GO:0009410","response to xenobiotic stimulus","4","0.5553","0.738509613779648","4.66439425530324","1.54763723642408e-06","3.67144303436026e-05","0.0019","0.0963641025641026"
"GO:0014070","response to organic cyclic compound","0","0.2546","0.499403424475682","-0.509808278281836","0.305092892741355","0.46500900531067","1","1"
"GO:0072593","reactive oxygen species metabolic process","1","0.1077","0.321731349274687","2.77343193944764","0.00277342209411209","0.0282946533850088","0.104","0.958780555555556"
"GO:0006119","oxidative phosphorylation","1","0.1204","0.34251360784231","2.56807315055628","0.00511327865149476","0.0477158562312473","0.1148","1"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","1","0.0892","0.294027218468835","3.09767240170161","0.00097523454786287","0.0114984241002514","0.0867","0.909461375661376"
"GO:0045333","cellular respiration","1","0.1193","0.341290430448601","2.5805001295887","0.00493286596359569","0.0464727898675594","0.1137","0.995126548672566"
"GO:0006979","response to oxidative stress","4","0.3704","0.606498659571813","5.98451446300391","1.08518152452308e-09","3.95689337367767e-08","4e-04","0.0359636363636364"
