"","MLSP 474"
"immune response-regulating signaling pathway",4.64031866204497e-267
"immune response",3.04101186438556e-86
"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",5.16274493528358e-52
"peptide antigen assembly with MHC class II protein complex",4.32916307645093e-43
"adaptive immune response",1.60208733724349e-38
"antigen processing and presentation of exogenous peptide antigen via MHC class II",2.08991995621407e-38
"eosinophil chemotaxis",7.29410520252754e-36
"positive regulation of T cell activation",4.32390893219875e-34
"positive regulation of immune response",7.61969611629477e-34
"signaling",4.37888208938275e-25
"antigen processing and presentation",5.60766537928915e-25
"cellular defense response",3.23227913646776e-22
"collagen-activated signaling pathway",3.71589077525534e-20
"chemokine-mediated signaling pathway",1.46874476551368e-18
"antimicrobial humoral immune response mediated by antimicrobial peptide",1.79497623618248e-18
"interleukin-10-mediated signaling pathway",2.18010768611562e-17
"antigen processing and presentation of endogenous peptide antigen via MHC class I",2.6844190881267e-17
"peptide transport",1.5892450631745e-14
"ganglioside catabolic process",9.83105579936851e-14
"positive regulation of interleukin-6 production",1.19133806582592e-11
"spliceosomal tri-snRNP complex assembly",1.46596353965422e-11
"positive regulation of interleukin-1 beta production",3.20505921858526e-11
"positive regulation of heterotypic cell-cell adhesion",3.72377815949997e-11
"immune system process",4.71130133705765e-11
"meiosis I",1.74341142990902e-10
"tRNA-type intron splice site recognition and cleavage",4.4356050859262e-10
"microglial cell activation",4.86239938003886e-10
"positive regulation of cellular senescence",4.98114199697764e-10
"cell communication",5.19669376735579e-10
"phospholipid metabolic process",1.83450199953481e-09
"oligosaccharide catabolic process",1.83450199953481e-09
"acetylcholine receptor signaling pathway",2.32585963902333e-09
"regulation of monoatomic ion transport",2.46510511742325e-09
"cell surface receptor signaling pathway",2.52012500672108e-09
"necroptotic signaling pathway",4.30431279610595e-09
"aminoacyl-tRNA metabolism involved in translational fidelity",5.87071655753966e-09
"positive regulation of non-canonical NF-kappaB signal transduction",9.89431797316485e-09
"negative regulation of miRNA transcription",1.00288462038673e-08
"layer formation in cerebral cortex",1.05323746481934e-08
"chemotaxis",1.70609398902812e-08
"positive regulation of T cell proliferation",2.07214243737573e-08
"positive regulation of cytokine-mediated signaling pathway",2.86312780826058e-08
"negative regulation of interleukin-10 production",3.57153134442289e-08
"positive regulation of cell migration",4.09640257864286e-08
"lysosomal transport",4.09640257864286e-08
"cell-cell signaling",1.34826086077752e-07
"positive regulation of chemokine production",1.34826086077752e-07
"NK T cell activation",1.85416335518767e-07
"thiamine pyrophosphate transmembrane transport",2.03506529324624e-07
"peptide cross-linking",2.3175976688573e-07
"alpha-tubulin acetylation",2.99626112821945e-07
