"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","36","45.7321","6.14352536255756","-1.58412302801148","0.0565828624777565","0.131261527579658","0.9565","1"
"GO:1902600","proton transmembrane transport","25","19.9954","4.04680324474148","1.23667984266423","0.108102982509858","0.168044230329157","0.1335","0.916885416666667"
"GO:0032981","mitochondrial respiratory chain complex I assembly","15","7.2787","2.44777970261771","3.15440968472067","0.000804115736856404","0.00776129355818755","0.0032","0.0445746478873239"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","15","6.55","2.33508999066984","3.61870421857963","0.000148040902662063","0.00186854190603592","0.0012","0.0196165289256198"
"GO:0009060","aerobic respiration","15","9.0088","2.73171535612309","2.19320068856034","0.0141464614821361","0.0667970807154101","0.0271","0.25404644549763"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","15","8.8717","2.71233751356256","2.25941645143959","0.0119287460031559","0.0608489660109169","0.0239","0.22948640776699"
"GO:0001666","response to hypoxia","3","13.3898","3.35144434205878","-3.10009623898978","0.000967288864746903","0.00911287930472082","0.9999","1"
"GO:0009410","response to xenobiotic stimulus","11","19.8279","4.08472154314202","-2.16119995127244","0.0153399485938078","0.0707362032346781","0.9929","1"
"GO:0014070","response to organic cyclic compound","1","8.7295","2.69106929219475","-2.87227832535522","0.00203761937729509","0.0164429203028444","1","1"
"GO:0072593","reactive oxygen species metabolic process","2","3.6121","1.7213163227566","-0.936550695933857","0.174494861776663","0.222723197031101","0.8964","1"
"GO:0006119","oxidative phosphorylation","0","4.1009","1.83299077344038","-2.2372725817397","0.0126342650401713","0.0623480397596425","1","1"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","0","3.0442","1.56744762247576","-1.9421382611763","0.0260601823585395","0.0950231464147486","1","1"
"GO:0045333","cellular respiration","0","4.0975","1.81849510377241","-2.25323675136648","0.0121221126531699","0.061309527416575","1","1"
"GO:0006979","response to oxidative stress","6","12.8247","3.2468791373276","-2.10192609929336","0.0177798749426967","0.0764379339785369","0.9936","1"
"GO:0021549","cerebellum development","0","3.3917","1.66953581722121","-2.03152275321962","0.0211009969067736","0.0844468758321896","1","1"
"GO:0022900","electron transport chain","0","0.8951","0.854733319173115","-1.04722722271543","0.147497396322067","0.19984616576577","1","1"
"GO:0007595","lactation","5","3.9382","1.79240119119661","0.592389697805959","0.276794831717141","0.312684465663254","0.3614","1"
"GO:0015986","proton motive force-driven ATP synthesis","0","3.5739","1.71546876197363","-2.08333726572104","0.0186102460941394","0.0782800407539423","1","1"
"GO:0006754","ATP biosynthetic process","1","3.0479","1.58652365117245","-1.29080962548941","0.0983848496332042","0.16195198545922","0.9653","1"
"GO:0022904","respiratory electron transport chain","0","1.2655","1.02426298452407","-1.23552253583393","0.108318047294788","0.168044230329157","1","1"
"GO:0009725","response to hormone","0","1.9783","1.28109064055707","-1.54423109292232","0.0612661794551618","0.133510224631814","1","1"
"GO:0071385","cellular response to glucocorticoid stimulus","0","1.7816","1.21410413263628","-1.46741943471642","0.0711309954070958","0.142377470014977","1","1"
"GO:0001701","in utero embryonic development","3","14.4806","3.4039362976166","-3.37274231836788","0.00037211783599096","0.00407055566147889","1","1"
"GO:0035094","response to nicotine","1","3.0375","1.56158176339261","-1.30476677415433","0.0959861380786555","0.160166699895655","0.9657","1"
"GO:0045471","response to ethanol","4","7.1074","2.40500387616412","-1.29205612963758","0.0981688535439487","0.161752696759862","0.9425","1"
"GO:0042542","response to hydrogen peroxide","0","3.0565","1.569698743522","-1.94718891928397","0.0257560448238104","0.0944048013835468","1","1"
"GO:0042220","response to cocaine","0","3.5539","1.6974047567657","-2.09372572206745","0.0181422101083074","0.0771533730091951","1","1"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","0","1.2453","1.00330881230919","-1.24119312491021","0.107267206995161","0.168044230329157","1","1"
"GO:0007584","response to nutrient","2","5.0124","2.01922112840485","-1.49186236099845","0.0678676158254155","0.142377470014977","0.9721","1"
