"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","1","2.0414","1.40145725880058","-0.743083667704053","0.228715513521762","0.453711665517123","0.8735","1"
"GO:1902600","proton transmembrane transport","2","0.8838","0.937435565009059","1.1906951705947","0.116886637254159","0.347519858271932","0.2178","0.70228664495114"
"GO:0032981","mitochondrial respiratory chain complex I assembly","2","0.3232","0.56760371510213","2.95417375782731","0.00156753717016069","0.00777451054923528","0.0426","0.271815483870968"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","2","0.2926","0.537786352947099","3.17486673033511","0.000749526660745296","0.00409949443057635","0.035","0.234677966101695"
"GO:0009060","aerobic respiration","2","0.405","0.630725599193617","2.52883346107912","0.00572211578616228","0.0247079955766525","0.0608","0.344318518518519"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","2","0.3989","0.630094034132355","2.54104929307056","0.00552601683111326","0.0240724051780133","0.0609","0.344318518518519"
"GO:0001666","response to hypoxia","9","0.5986","0.768073586125295","10.9382748629368","3.78126015545451e-28","7.44530124608993e-27","0","0"
"GO:0009410","response to xenobiotic stimulus","7","0.8758","0.925775386368962","6.61521151909221","1.85510425533744e-11","2.26875793711765e-10","0","0"
"GO:0014070","response to organic cyclic compound","6","0.3879","0.617310049464381","9.09121762211619","4.8968013467787e-20","8.24085628359594e-19","0","0"
"GO:0072593","reactive oxygen species metabolic process","1","0.1583","0.400071388269108","2.10387452009898","0.0176946970749343","0.0664901880544762","0.1458","0.540060674157303"
"GO:0006119","oxidative phosphorylation","0","0.1729","0.41160968435306","-0.420058143849926","0.337221489329557","0.453711665517123","1","1"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","0","0.1289","0.359579921258094","-0.358473853459354","0.359994365725115","0.453711665517123","1","1"
"GO:0045333","cellular respiration","2","0.178","0.418728472107326","4.35126847436588","6.76760981475249e-06","5.26696589930737e-05","0.0123","0.100120987654321"
"GO:0006979","response to oxidative stress","5","0.5645","0.749330300728563","5.91928552160166","1.61671600899616e-09","1.73951574957018e-08","4e-04","0.00549444444444444"
"GO:0021549","cerebellum development","1","0.1593","0.402914065247662","2.08654914909272","0.0184644540019626","0.068597188546914","0.1461","0.540160373831776"
"GO:0022900","electron transport chain","0","0.038","0.194318748394481","-0.19555498537309","0.422479248184881","0.453711665517123","1","1"
"GO:0007595","lactation","1","0.1743","0.416097132509187","1.98439243025009","0.0236060546202109","0.0846636093755834","0.1607","0.56964982078853"
"GO:0015986","proton motive force-driven ATP synthesis","0","0.1612","0.399788122702896","-0.403213579508455","0.343395555354423","0.453711665517123","1","1"
"GO:0006754","ATP biosynthetic process","1","0.1388","0.368711479093724","2.33570162262588","0.0097533989370368","0.0389542444361571","0.131","0.50608984375"
"GO:0022904","respiratory electron transport chain","0","0.0539","0.230651490372382","-0.233685895170153","0.407614419316276","0.453711665517123","1","1"
"GO:0009725","response to hormone","2","0.0849","0.291033434584421","6.58034360462622","2.34681153735633e-11","2.85239007225594e-10","0.0035","0.0360572916666667"
"GO:0071385","cellular response to glucocorticoid stimulus","0","0.0818","0.285511666471213","-0.286503178700222","0.387246379608517","0.453711665517123","1","1"
"GO:0001701","in utero embryonic development","3","0.6306","0.792594764457894","2.98942171491706","0.00139753031057128","0.00701973770794605","0.0267","0.187278723404255"
"GO:0035094","response to nicotine","2","0.1306","0.36077230446026","5.18166161007495","1.09958962405435e-07","1.01172521951542e-06","0.0075","0.0659333333333333"
"GO:0045471","response to ethanol","2","0.3168","0.564685440723149","2.98077456688888","0.00143760181606427","0.00718436034474757","0.0428","0.272213504823151"
"GO:0042542","response to hydrogen peroxide","2","0.1328","0.36548258200874","5.10886179510286","1.62052654169562e-07","1.47042247032197e-06","0.0084","0.0725554585152838"
"GO:0042220","response to cocaine","0","0.1626","0.40022151082341","-0.406275014217675","0.342270270921868","0.453711665517123","1","1"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","0","0.0534","0.22924592770546","-0.232937616534718","0.407904923992379","0.453711665517123","1","1"
"GO:0007584","response to nutrient","2","0.2123","0.461356689557548","3.87487607845124","5.33394866136355e-05","0.000362156721180167","0.0208","0.155842424242424"
"GO:0009636","response to toxic substance","5","0.3629","0.599032114287201","7.74098731838069","4.93238695367197e-15","7.19397771242971e-14","1e-04","0.00146518518518519"
"GO:0051592","response to calcium ion","1","0.1989","0.446272008836076","1.79509353967629","0.0363193989499188","0.123724734485104","0.1806","0.60960204778157"
"GO:0000244","spliceosomal tri-snRNP complex assembly","0","0.1634","0.401393263091405","-0.407082068945414","0.341973856304576","0.453711665517123","1","1"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","2","1.4247","1.18586278171368","0.485132014320105","0.313791351966074","0.453711665517123","0.4186","1"
"GO:0060294","cilium movement involved in cell motility","0","0.1406","0.370736273567146","-0.379245328888853","0.352252846826341","0.453711665517123","1","1"
"GO:0000395","mRNA 5'-splice site recognition","0","0.0395","0.198352424659838","-0.199140494842652","0.421076422621624","0.453711665517123","1","1"
"GO:0000348","mRNA branch site recognition","0","0","0","NaN","NaN","NaN","1","1"
"GO:0002250","adaptive immune response","7","1.5645","1.23247379248604","4.41023576577315","5.16290671769816e-06","4.0826358743565e-05","0.001","0.0120609756097561"
"GO:0016064","immunoglobulin mediated immune response","0","0.055","0.235330699344147","-0.233713664019534","0.407603639575269","0.453711665517123","1","1"
"GO:0006836","neurotransmitter transport","1","0.2124","0.458156338735013","1.71906385094353","0.0428013730752484","0.142598821633103","0.1928","0.642017508417508"
"GO:0007186","G protein-coupled receptor signaling pathway","8","5.8536","2.31164474133484","0.928516376941459","0.176569888346373","0.453711665517123","0.2291","0.72505568"
"GO:0007218","neuropeptide signaling pathway","0","0.5043","0.707411869532393","-0.712880320107362","0.237959909007069","0.453711665517123","1","1"
"GO:0031214","biomineral tissue development","0","0.0737","0.271432639098095","-0.271522246716118","0.392994695871339","0.453711665517123","1","1"
"GO:0006468","protein phosphorylation","3","1.7377","1.30309958055848","0.968690358613274","0.166349852227101","0.453711665517123","0.2501","0.777226687598116"
"GO:0043687","post-translational protein modification","0","0.1425","0.373373393225973","-0.381655475685586","0.351358464857951","0.453711665517123","1","1"
"GO:0043066","negative regulation of apoptotic process","6","2.0986","1.41289690627688","2.76127719062006","0.00287878936139094","0.0135931325001889","0.0177","0.136228015564202"
