"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","1","2.538","1.55415492784792","-0.989605329842958","0.16118353193229","0.362708999285348","0.9249","1"
"GO:1902600","proton transmembrane transport","0","1.1271","1.04108307804783","-1.08262253394173","0.139488000542654","0.31936264310289","1","1"
"GO:0032981","mitochondrial respiratory chain complex I assembly","0","0.4049","0.626733810741811","-0.646047800613716","0.259124199599585","0.443887982042178","1","1"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","0","0.3669","0.597762596698891","-0.613788821893815","0.269677442398064","0.443887982042178","1","1"
"GO:0009060","aerobic respiration","0","0.5136","0.711101685106045","-0.722259573781503","0.235067451270674","0.443887982042178","1","1"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","0","0.4997","0.691554578304184","-0.722574928540498","0.234970538011164","0.443887982042178","1","1"
"GO:0001666","response to hypoxia","6","0.7574","0.86776756222747","6.04147957149123","7.63536723756175e-10","7.91265162671531e-09","1e-04","0.00166218487394958"
"GO:0009410","response to xenobiotic stimulus","10","1.1271","1.06398251671707","8.33932875831216","3.73567127987578e-17","8.65357264714753e-16","0","0"
"GO:0014070","response to organic cyclic compound","4","0.4973","0.695443077546546","5.03664514478623","2.36880948020345e-07","1.74036786064201e-06","0.0013","0.0134628272251309"
"GO:0072593","reactive oxygen species metabolic process","2","0.2055","0.450433168188024","3.98394285043175","3.38905898589523e-05","0.000178423987786837","0.0179","0.0954345013477089"
"GO:0006119","oxidative phosphorylation","0","0.241","0.486150834889159","-0.495730918686887","0.310042134905265","0.443887982042178","1","1"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","0","0.1811","0.41942863759906","-0.431777861036558","0.332951435803149","0.443887982042178","1","1"
"GO:0045333","cellular respiration","0","0.2393","0.488527763732619","-0.489839099771152","0.312123880152739","0.443887982042178","1","1"
"GO:0006979","response to oxidative stress","6","0.7219","0.842514909741848","6.26469625518823","1.86776412983719e-10","2.10150146951396e-09","2e-04","0.003090625"
"GO:0021549","cerebellum development","2","0.1903","0.432324647065196","4.18597461950184","1.41972538821074e-05","7.80848963515906e-05","0.0148","0.0813177777777778"
"GO:0022900","electron transport chain","0","0.0466","0.216409619269411","-0.215332387521958","0.414754090126628","0.443887982042178","1","1"
"GO:0007595","lactation","5","0.2152","0.461638680167837","10.3648160467411","1.79223742103321e-25","8.40217971908188e-24","0","0"
"GO:0015986","proton motive force-driven ATP synthesis","0","0.1982","0.437648161873621","-0.452875202654762","0.32531930393622","0.443887982042178","1","1"
"GO:0006754","ATP biosynthetic process","1","0.1733","0.413623280802522","1.9986786004792","0.0228215699212056","0.0636482594544671","0.1602","0.441330919220056"
"GO:0022904","respiratory electron transport chain","0","0.0714","0.265535479567403","-0.268890621005981","0.394006927307734","0.443887982042178","1","1"
"GO:0009725","response to hormone","1","0.1098","0.327955355912275","2.71439384645427","0.00331985880584515","0.0117146989044966","0.105","0.352016949152542"
"GO:0071385","cellular response to glucocorticoid stimulus","2","0.0987","0.314592127715685","6.0436985941311","7.53103868093891e-10","7.84582812844906e-09","0.005","0.0378927203065134"
"GO:0001701","in utero embryonic development","4","0.8141","0.892424132396255","3.56993931959854","0.000178531964872892","0.000831038862493436","0.0094","0.0572098461538462"
"GO:0035094","response to nicotine","3","0.172","0.409918044589803","6.89894001331393","2.61959936266764e-12","3.76495704021357e-11","7e-04","0.007912"
"GO:0045471","response to ethanol","2","0.4013","0.632691346419392","2.52682450779131","0.00575495002372084","0.0188858276611772","0.0648","0.262652459016393"
"GO:0042542","response to hydrogen peroxide","1","0.1672","0.404549781921342","2.05858472113062","0.0197670188264742","0.0563259914172614","0.1552","0.434823796033994"
"GO:0042220","response to cocaine","2","0.1983","0.442941000216696","4.06758461988971","2.37514803991423e-05","0.000127083328548672","0.0164","0.0883901907356948"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","0","0.0771","0.274158907042305","-0.281223764829581","0.389269389091866","0.443887982042178","1","1"
"GO:0007584","response to nutrient","0","0.2909","0.53207659274775","-0.546725798437654","0.292283563728263","0.443887982042178","1","1"
"GO:0009636","response to toxic substance","3","0.4639","0.678927745999844","3.73544904438267","9.36902603342748e-05","0.000456624065837097","0.0102","0.0611381818181818"
"GO:0051592","response to calcium ion","1","0.2405","0.487938068156027","1.55655000002405","0.0597886813849883","0.147523701312083","0.2149","0.532005256570713"
"GO:0000244","spliceosomal tri-snRNP complex assembly","0","0.2018","0.447991997342551","-0.450454475073349","0.326191386529553","0.443887982042178","1","1"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","0","0","0","NaN","NaN","NaN","1","1"
"GO:0006338","chromatin remodeling","10","1.7967","1.31853819220242","6.22151110109113","2.46194656545697e-10","2.75430272010499e-09","0","0"
"GO:0060294","cilium movement involved in cell motility","0","0.1732","0.413544268351272","-0.418818523807664","0.337674382988838","0.443887982042178","1","1"
"GO:0000395","mRNA 5'-splice site recognition","0","0.0469","0.215186013723128","-0.217950968041745","0.413733657408457","0.443887982042178","1","1"
"GO:0000348","mRNA branch site recognition","0","0","0","NaN","NaN","NaN","1","1"
"GO:0002250","adaptive immune response","3","2.0097","1.39470442389884","0.710042918793972","0.238838760879259","0.443887982042178","0.3253","0.74300623556582"
"GO:0016064","immunoglobulin mediated immune response","0","0.0726","0.265586697011283","-0.273357065007348","0.392289376728243","0.443887982042178","1","1"
"GO:0006836","neurotransmitter transport","1","0.2616","0.505955570286473","1.45941668273741","0.0722252285433347","0.175138150871583","0.232","0.565142857142857"
"GO:0007186","G protein-coupled receptor signaling pathway","14","7.4452","2.61718970045979","2.50451849128416","0.00613090977929096","0.020019504735363","0.0161","0.0874884615384615"
"GO:0007218","neuropeptide signaling pathway","0","0.6412","0.798452448572401","-0.803053458157011","0.2109719184295","0.443887982042178","1","1"
"GO:0031214","biomineral tissue development","1","0.0913","0.299621907291061","3.03282229332205","0.00121139113941215","0.00464956950000491","0.0879","0.313272432432432"
"GO:0006468","protein phosphorylation","23","2.2417","1.47231038839912","14.0991330113285","1.92231985070481e-45","6.30841297672963e-43","0","0"
"GO:0043687","post-translational protein modification","3","0.1864","0.426700418707004","6.59385338436233","2.14277473310663e-11","2.75759702580846e-10","8e-04","0.00879111111111111"
"GO:0043066","negative regulation of apoptotic process","17","2.6912","1.60844685026488","8.89603532603121","2.89385823972404e-19","7.70000928921166e-18","0","0"
"GO:0045892","negative regulation of DNA-templated transcription","9","2.9773","1.70407602456867","3.53429067316668","0.000204435578824903","0.000935649948319015","0.0031","0.02666"
"GO:0045596","negative regulation of cell differentiation","1","0.6521","0.8019538035263","0.433815512153239","0.33221120809669","0.443887982042178","0.4844","1"
"GO:0008284","positive regulation of cell population proliferation","19","2.7289","1.61903271019818","10.0498896022973","4.5985197467885e-24","1.84785415947481e-22","0","0"
"GO:0006915","apoptotic process","19","3.9582","1.91599056938864","7.85066494601776","2.06918597461785e-15","4.03388830101241e-14","0","0"
"GO:0030154","cell differentiation","11","3.8235","1.88857205857813","3.79996091089214","7.23594567175884e-05","0.000357979322303848","0.0015","0.014835"
"GO:0006935","chemotaxis","6","1.1122","1.05020067232183","4.65415813264893","1.62653540435883e-06","1.04661706247795e-05","6e-04","0.00714939759036145"
"GO:0001525","angiogenesis","4","0.996","0.986854289213364","3.04401575068852","0.00116721459017689","0.00451521714746227","0.0176","0.0940886486486487"
"GO:0016525","negative regulation of angiogenesis","3","0.4697","0.681269640327736","3.71409475810893","0.000101966187500029","0.000492086821538129","0.013","0.0736790830945559"
"GO:1901800","positive regulation of proteasomal protein catabolic process","0","0.1421","0.377255645659834","-0.376667656627012","0.353210300867256","0.443887982042178","1","1"
"GO:2000353","positive regulation of endothelial cell apoptotic process","3","0.1756","0.415188966842592","6.80268558550304","5.13433007505837e-12","7.06957756488807e-11","7e-04","0.007912"
"GO:0002218","activation of innate immune response","1","0.1486","0.374342160603532","2.2743898219408","0.0114712794304304","0.0348816982634169","0.142","0.413343823529412"
"GO:0032481","positive regulation of type I interferon production","0","0.1493","0.38551831660408","-0.387270834016761","0.349277857622223","0.443887982042178","1","1"
"GO:0000045","autophagosome assembly","0","0.4261","0.63700813804597","-0.668908251795757","0.251777003024684","0.443887982042178","1","1"
"GO:0006914","autophagy","3","1.2257","1.09218990925561","1.62453432774276","0.052130910105064","0.131597130765219","0.1223","0.381872555205047"
"GO:0051607","defense response to virus","2","1.1212","1.04986703066541","0.837058383901256","0.201279875630471","0.442321512406693","0.3096","0.717082903981265"
"GO:0045087","innate immune response","6","2.792","1.63499337011868","1.96208746691563","0.0248761509230468","0.068505092541929","0.0593","0.243351452282158"
