"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","49","50.6293","6.23194714567788","-0.261443167265947","0.396875385790648","0.418696211424806","0.627","1"
"GO:1902600","proton transmembrane transport","24","22.2175","4.22695877292963","0.421697985657092","0.336622737467263","0.370491989979341","0.372","1"
"GO:0032981","mitochondrial respiratory chain complex I assembly","15","8.1243","2.52524992797146","2.72278000044267","0.00323675753012137","0.0238770977508879","0.0085","0.10574213836478"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","15","7.3409","2.40126295860733","3.1896131877377","0.000712316690706439","0.00754059980645687","0.0022","0.0334738461538462"
"GO:0009060","aerobic respiration","15","10.103","2.82531223742154","1.73325975626296","0.0415247551076695","0.112396835679306","0.0661","0.551670042194093"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","15","9.9286","2.80194345565946","1.80995800959388","0.0351511495553416","0.104018016384869","0.0573","0.499292511013216"
"GO:0001666","response to hypoxia","5","14.7912","3.41827017906743","-2.86437276373257","0.00208917990258687","0.0172116955154542","0.9994","1"
"GO:0009410","response to xenobiotic stimulus","12","21.9371","4.14985128848874","-2.39456773488835","0.00831998482537999","0.0456336014922269","0.9959","1"
"GO:0014070","response to organic cyclic compound","1","9.7217","2.79048880893281","-3.12550975731578","0.000887485907476023","0.00878193016897547","1","1"
"GO:0072593","reactive oxygen species metabolic process","5","3.9318","1.77799462498868","0.60078921780025","0.27399019324561","0.313472800988151","0.3586","1"
"GO:0006119","oxidative phosphorylation","0","4.5451","1.90570962187745","-2.38499084426215","0.00853977320939802","0.0459421132494664","1","1"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","0","3.3689","1.66309632280812","-2.02567942325292","0.0213988233240031","0.0805904584095969","1","1"
"GO:0045333","cellular respiration","0","4.5519","1.9202278816619","-2.37049989924137","0.00888202438831611","0.0475236576646587","1","1"
"GO:0006979","response to oxidative stress","5","14.2198","3.38630102965852","-2.72267583987645","0.0032377781104556","0.0238770977508879","0.9994","1"
"GO:0021549","cerebellum development","2","3.7832","1.74031624426798","-1.02464135807114","0.152766221160487","0.214143564207465","0.915","1"
"GO:0022900","electron transport chain","0","0.9871","0.890400399419906","-1.10860237781013","0.133800875953233","0.192566373182312","1","1"
"GO:0007595","lactation","5","4.3741","1.8642684194273","0.335734915357454","0.368535386945517","0.395016971636213","0.4492","1"
"GO:0015986","proton motive force-driven ATP synthesis","0","3.9928","1.75609126916985","-2.27368592401664","0.0114924385454022","0.056025449769584","1","1"
"GO:0006754","ATP biosynthetic process","1","3.3793","1.6526054037374","-1.4397266247703","0.0749723787970783","0.145153012636625","0.9748","1"
"GO:0022904","respiratory electron transport chain","0","1.3733","1.0538776854159","-1.30309239772739","0.0962716093672128","0.16020085063219","1","1"
"GO:0009725","response to hormone","0","2.1831","1.32896614144248","-1.64270550762898","0.0502219393542967","0.121301461215409","1","1"
"GO:0071385","cellular response to glucocorticoid stimulus","1","2.0023","1.25532955642314","-0.798435753282103","0.212308831112114","0.260783586063477","0.8955","1"
"GO:0001701","in utero embryonic development","1","15.9433","3.55307578651997","-4.20573635290682","1.30116731721575e-05","0.000235045729137414","1","1"
"GO:0035094","response to nicotine","3","3.3548","1.62916616041392","-0.217780118824624","0.413800217832306","0.432603769452364","0.6809","1"
"GO:0045471","response to ethanol","4","7.8884","2.53100494638076","-1.53630675655544","0.0622315815889339","0.132900199727344","0.9671","1"
"GO:0042542","response to hydrogen peroxide","0","3.3584","1.65161200716822","-2.03340735319439","0.0210056925337749","0.0800004034796959","1","1"
"GO:0042220","response to cocaine","0","3.9646","1.78035496639873","-2.22685929200934","0.0129783396123154","0.0598462545588969","1","1"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","0","1.3841","1.0553096976034","-1.31155811715109","0.0948346362204359","0.16020085063219","1","1"
