"GOID","GO Term","Genes in the GO","Expected genes per GO","Standard Deviation of the samples","Z-score","One tail p-value","FDR","Numeric p-value","Numeric FDR"
"GO:0006412","translation","5","1.5038","1.21446821831834","2.87879085451996","0.00199601489589585","0.0612607851886499","0.0173","1"
"GO:1902600","proton transmembrane transport","2","0.8428","0.919332734796127","1.25873903560784","0.104062303452223","0.437768316950698","0.2058","1"
"GO:0032981","mitochondrial respiratory chain complex I assembly","0","0.2915","0.538847646073144","-0.540969237082705","0.294264393319828","0.437768316950698","1","1"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","0","0.215","0.463461411174614","-0.463900542345253","0.321359502122088","0.437768316950698","1","1"
"GO:0009060","aerobic respiration","0","0.3308","0.578450361294768","-0.571872751984383","0.283704092538559","0.437768316950698","1","1"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","0","0.2992","0.546359964603092","-0.547624312512277","0.291974945951369","0.437768316950698","1","1"
"GO:0001666","response to hypoxia","1","1.0581","1.02216871057927","-0.0568399319981868","0.477336352102685","0.479033332531694","0.6549","1"
"GO:0009410","response to xenobiotic stimulus","1","1.6093","1.25308041683409","-0.48624173821134","0.313397890918454","0.437768316950698","0.8021","1"
"GO:0014070","response to organic cyclic compound","0","0.8068","0.892162179951344","-0.90431988502808","0.182912902817463","0.437768316950698","1","1"
"GO:0072593","reactive oxygen species metabolic process","0","0.2473","0.494739514005776","-0.499859002564151","0.308587180783978","0.437768316950698","1","1"
"GO:0006119","oxidative phosphorylation","1","0.1428","0.377388927023865","2.27139679682704","0.0115614840754408","0.184537934876002","0.1335","1"
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","1","0.0978","0.312481878662506","2.88720742419248","0.00194338950862674","0.0609545661753403","0.0932","1"
"GO:0045333","cellular respiration","1","0.1887","0.439899603507569","1.84428445384139","0.0325708479600967","0.363615794175995","0.1693","1"
"GO:0006979","response to oxidative stress","0","0.8176","0.902447605774494","-0.905980574127983","0.182473067273813","0.437768316950698","1","1"
"GO:0021549","cerebellum development","0","0.3269","0.571899551415885","-0.571603875524425","0.283795184643104","0.437768316950698","1","1"
"GO:0022900","electron transport chain","0","0.0859","0.292454685334835","-0.293720717456286","0.384485661003407","0.437768316950698","1","1"
"GO:0007595","lactation","0","0.2348","0.490604758744685","-0.478592993269745","0.316114101970279","0.437768316950698","1","1"
"GO:0015986","proton motive force-driven ATP synthesis","0","0.1135","0.335005929644969","-0.338799973243114","0.367380210717597","0.437768316950698","1","1"
"GO:0006754","ATP biosynthetic process","0","0.1011","0.31573526707653","-0.320204964545487","0.374406480005369","0.437768316950698","1","1"
"GO:0022904","respiratory electron transport chain","0","0.1061","0.325043620665802","-0.326417727511989","0.372054163398963","0.437768316950698","1","1"
"GO:0009725","response to hormone","0","0.2999","0.544416778730134","-0.550864726652114","0.290863204642678","0.437768316950698","1","1"
"GO:0071385","cellular response to glucocorticoid stimulus","0","0.1459","0.377660499318203","-0.386325814490517","0.34962769225089","0.437768316950698","1","1"
"GO:0001701","in utero embryonic development","2","1.4451","1.17410554993333","0.472615089871188","0.318243907375907","0.437768316950698","0.4254","1"
"GO:0035094","response to nicotine","0","0.2735","0.524333140783846","-0.521614940438696","0.30096922938263","0.437768316950698","1","1"
"GO:0045471","response to ethanol","0","0.6933","0.83684236300157","-0.82847144295287","0.203701780530756","0.437768316950698","1","1"
"GO:0042542","response to hydrogen peroxide","0","0.2225","0.474569564581593","-0.46884591133898","0.319589890220501","0.437768316950698","1","1"
"GO:0042220","response to cocaine","0","0.2915","0.536615826876701","-0.543219162387803","0.293489457235533","0.437768316950698","1","1"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","0","0.0713","0.26499685344025","-0.269059798538613","0.393941833053386","0.437768316950698","1","1"
