"","focusGene","background"
"ENSG00000277953",0,1
"ENSG00000278817",0,1
"ENSG00000273896",0,1
"ENSG00000281022",0,1
"ENSG00000274053",0,1
"ENSG00000273506",0,1
"ENSG00000277667",0,1
"ENSG00000277733",0,1
"ENSG00000278363",0,1
"ENSG00000275917",0,1
"ENSG00000277923",0,1
"ENSG00000280584",0,1
"ENSG00000276628",0,1
"ENSG00000109107",0,1
"ENSG00000145107",0,1
"ENSG00000104472",0,1
"ENSG00000274609",0,1
"ENSG00000276739",0,1
"ENSG00000177469",0,1
"ENSG00000157765",0,1
"ENSG00000089157",0,1
"ENSG00000276634",0,1
"ENSG00000114547",0,1
"ENSG00000274926",0,1
"ENSG00000116117",0,1
"ENSG00000159256",1,1
"ENSG00000153976",0,1
"ENSG00000111325",0,1
"ENSG00000172478",0,1
"ENSG00000122257",0,1
"ENSG00000227600",0,1
"ENSG00000265817",0,1
"ENSG00000197275",0,1
"ENSG00000126882",0,1
"ENSG00000244731",0,1
"ENSG00000105552",0,1
"ENSG00000172020",0,1
"ENSG00000011028",0,1
"ENSG00000006695",0,1
"ENSG00000273331",0,1
"ENSG00000142515",0,1
"ENSG00000164220",0,1
"ENSG00000157978",0,1
"ENSG00000114978",0,1
"ENSG00000161542",0,1
"ENSG00000228859",0,1
"ENSG00000065320",0,1
"ENSG00000007216",0,1
"ENSG00000224393",0,1
"ENSG00000155099",0,1
"ENSG00000066405",0,1
"ENSG00000160539",0,1
"ENSG00000274533",0,1
"ENSG00000259316",0,1
"ENSG00000109103",0,1
"ENSG00000163961",0,1
"ENSG00000092841",0,1
"ENSG00000277709",0,1
"ENSG00000204348",0,1
"ENSG00000153721",0,1
"ENSG00000235956",0,1
"ENSG00000166747",0,1
"ENSG00000204930",0,1
"ENSG00000166803",0,1
"ENSG00000176428",0,1
"ENSG00000242252",0,1
"ENSG00000018610",0,1
"ENSG00000175538",0,1
"ENSG00000100505",0,1
"ENSG00000174013",0,1
"ENSG00000169118",0,1
"ENSG00000112038",0,1
"ENSG00000204344",0,1
"ENSG00000104835",0,1
"ENSG00000147509",0,1
"ENSG00000275921",0,1
"ENSG00000174007",0,1
"ENSG00000153822",0,1
"ENSG00000154845",0,1
"ENSG00000143995",0,1
"ENSG00000155100",0,1
"ENSG00000163964",0,1
"ENSG00000118017",0,1
"ENSG00000173838",0,1
"ENSG00000196465",0,1
"ENSG00000269547",0,1
"ENSG00000180370",0,1
"ENSG00000164050",0,1
"ENSG00000136451",0,1
"ENSG00000066032",0,1
"ENSG00000168710",0,1
"ENSG00000188536",0,1
"ENSG00000119231",0,1
"ENSG00000166454",0,1
"ENSG00000260643",0,1
"ENSG00000125746",0,1
"ENSG00000288520",0,1
"ENSG00000106089",0,1
"ENSG00000074706",0,1
"ENSG00000181458",0,1
"ENSG00000114503",0,1
"ENSG00000158715",0,1
"ENSG00000206172",0,1
"ENSG00000169683",0,1
"ENSG00000087191",0,1
"ENSG00000069275",0,1
"ENSG00000114209",1,1
"ENSG00000110958",0,1
"ENSG00000083097",0,1
"ENSG00000284512",0,1
"ENSG00000140905",0,1
"ENSG00000123700",0,1
"ENSG00000136450",1,1
"ENSG00000126460",0,1
"ENSG00000128050",0,1
"ENSG00000266086",0,1
"ENSG00000205609",0,1
"ENSG00000099365",0,1
"ENSG00000251287",0,1
"ENSG00000278174",0,1
"ENSG00000171054",0,1
"ENSG00000079263",0,1
"ENSG00000013392",0,1
"ENSG00000118707",0,1
"ENSG00000167363",0,1
"ENSG00000276468",0,1
"ENSG00000116478",1,1
"ENSG00000174780",0,1
"ENSG00000147255",0,1
"ENSG00000114544",0,1
"ENSG00000142546",0,1
"ENSG00000116752",0,1
"ENSG00000276875",0,1
"ENSG00000114738",0,1
"ENSG00000143418",0,1
"ENSG00000106153",0,1
"ENSG00000186416",0,1
"ENSG00000204228",0,1
"ENSG00000110921",1,1
"ENSG00000206329",0,1
"ENSG00000130723",0,1
"ENSG00000185290",0,1
"ENSG00000228575",0,1
"ENSG00000163319",0,1
"ENSG00000121966",0,1
"ENSG00000139921",0,1
"ENSG00000077721",0,1
"ENSG00000275583",0,1
"ENSG00000079277",0,1
"ENSG00000163322",0,1
"ENSG00000169856",0,1
"ENSG00000264364",0,1
"ENSG00000164896",1,1
"ENSG00000167751",0,1
"ENSG00000006831",0,1
"ENSG00000274921",0,1
"ENSG00000141194",0,1
"ENSG00000135899",0,1
"ENSG00000206331",0,1
"ENSG00000255713",0,1
"ENSG00000274412",0,1
"ENSG00000175984",0,1
"ENSG00000244444",0,1
"ENSG00000108061",0,1
"ENSG00000273911",0,1
"ENSG00000206324",0,1
"ENSG00000170075",0,1
"ENSG00000142961",0,1
"ENSG00000117640",0,1
"ENSG00000154640",1,1
"ENSG00000137693",1,1
"ENSG00000251012",0,1
"ENSG00000163424",0,1
"ENSG00000164897",0,1
"ENSG00000018625",0,1
"ENSG00000166971",0,1
"ENSG00000284820",0,1
"ENSG00000198925",0,1
"ENSG00000275031",0,1
"ENSG00000126226",0,1
"ENSG00000254875",0,1
"ENSG00000147606",0,1
"ENSG00000172775",0,1
"ENSG00000151553",0,1
"ENSG00000044115",0,1
"ENSG00000010932",0,1
"ENSG00000103479",0,1
"ENSG00000175634",0,1
"ENSG00000164109",1,1
"ENSG00000114354",0,1
"ENSG00000167522",0,1
"ENSG00000136861",0,1
"ENSG00000167749",0,1
"ENSG00000136457",0,1
"ENSG00000167393",0,1
