"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.29885306129112,0.260731672025962,0.019348711487011,0.890020851702066,0.418440195724724,0.521154641109523,-0.585251560013536,0.684747148680432,-0.705755342946421,2.60438465575493,1.30778713003439,1.09103196921713,-0.224717788411286,0.523592206219697,-0.646869535319699,0.82326329133331,0.603250427535208,0.521154641109523,-0.0981701805165586,0.795664126676739,0.0795937389458305,0.982469244197423
"PTHR10003_SF33",9.906311498855,0.00298992498897423,0.150455514719076,0.700014039898159,0.0264167032911684,0.87164820715867,1.49778934673936,-0.134079169705589,-0.0949247064536792,1.39414390758603,0.700066887480707,0.584036451568152,1.07434342939015,-0.191523370271221,-0.162532160790314,0.288660622251519,0.849017102061081,0.87164820715867,-0.0247783121440603,0.959656956616507,-0.0291945905659343,0.949147439169974
"PTHR10010",63.0114396172719,5.80459609254459e-10,2.11632668778339,0.1529972299285,0.152796161984165,0.697807525780934,5.19226828029383,-0.990279282608884,0.236802950312082,1.44610070459818,0.726156900835744,0.605802255798768,3.59053021949572,-1.36372632618262,0.390891496433684,0.000841241061476439,0.179750653149719,0.697807525780934,0.0595047660215244,0.886437462846977,-0.20360985865857,0.618049267889323
"PTHR10015_SF142",20.9651856006862,3.96906252733169e-05,5.90126225710266,0.0193822084937457,0.222627555178528,0.639430693367479,0.602955746482161,0.641726655440925,0.162785974459173,0.823559870497155,0.413549126496741,0.345006696799271,0.732133470901365,1.55175434869642,0.471834245449107,0.468058991795303,0.128050818487828,0.639430693367479,0.0717685011358394,0.858664073950615,0.230280446963239,0.201419131482744
"PTHR10024_SF10",59.3561462273252,1.24849118285813e-09,4.88636540333555,0.0324397823010763,1.2418889811974,0.2712974873355,2.19242250830419,-0.593884238158951,0.229297443846759,0.491162813018635,0.246636534352897,0.205758519545037,4.46373880552925,-2.40793295168995,1.11440072738553,5.73345317756915e-05,0.0204044887030899,0.2712974873355,0.167542332015274,0.597775034934551,-0.344701164597505,0.278941662364348
"PTHR10024_SF173",3.47219828182383,0.0692469909293648,20.1037329311332,5.37967641116611e-05,11.055021543554,0.00181585479156091,2.32196439762279,1.226324629236,2.65553150871551,1.90651099294999,0.957351109537367,0.798677890524348,1.21791293426006,1.28095598053739,3.32490925343144,0.229898022583057,0.207074904395681,0.00181585479156091,0.452232504411457,0.0327963992047857,0.191720250001536,0.00219083654287469
"PTHR10024_SF185",8.11982008140238,0.00669482731191801,20.2018876758598,5.19525077092991e-05,20.31359540068,4.99340908238919e-05,2.26588929052679,0.23944570542497,1.70944384594097,0.905376237075506,0.454633069684975,0.379281308018824,2.50270461907188,0.526679032809662,4.50706061648609,0.0162050466250353,0.601123031550533,4.99340908238919e-05,0.566428257242143,0.018602228641957,0.0800599832180116,0.00219083654287469
"PTHR10024_SF188",9.84344460778767,0.00307394401371334,21.2146915840172,3.6375371063789e-05,14.741106204465,0.000400004169098225,1.89260202193998,0.496146403619116,1.52450994872973,0.947835295314049,0.475953810380881,0.397068308037711,1.9967625507266,1.04242553121295,3.83941482578596,0.0522060222925941,0.303039968723115,0.000400004169098225,0.50526880694498,0.018602228641957,0.156997047471598,0.00207302949588991
"PTHR10025_SF29",3.19593183784191,0.080870547196693,1.18806490738718,0.281790947337675,5.4003890027675,0.0249261499217352,-1.91878664869563,0.793841831301205,-2.30966564750048,2.37248920172584,1.19134123959244,0.993886045206714,-0.808765176802422,0.666342946016692,-2.32387370628602,0.423102614656702,0.508751423484358,0.0249261499217352,-0.33403201703742,0.159096537154779,0.101095735794474,0.769806709503716
"PTHR10025_SF30",5.95500334934359,0.0188713920548711,1.91135766702719,0.173951289810062,4.330747971947,0.0434201965039247,-0.418637491516266,0.231934234080848,-1.40709751946475,1.61402550665514,0.810480041988638,0.676149516931546,-0.259374768112457,0.286168964150878,-2.08104492309681,0.796583873982754,0.77612293055029,0.0434201965039247,-0.302489129067928,0.21683371587965,0.0435988610569365,0.647734596887259
