"Iteration","Removed_Species","Success","Error_Message"
1,"Nomascus_leucogenys",FALSE,"non-numeric argument to binary operator"
2,"Macaca_fascicularis",TRUE,NA
3,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
4,"Macaca_mulatta",TRUE,NA
5,"Microtus_ochrogaster",FALSE,"non-numeric argument to binary operator"
6,"Mustela_putorius_furo",FALSE,"non-numeric argument to binary operator"
7,"Neovison_vison",TRUE,NA
8,"Neovison_vison",TRUE,NA
9,"Vombatus_ursinus",FALSE,"non-numeric argument to binary operator"
10,"Myotis_lucifugus",FALSE,"non-numeric argument to binary operator"
11,"Mus_musculus",FALSE,"non-numeric argument to binary operator"
12,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
13,"Monodelphis_domestica",FALSE,"non-numeric argument to binary operator"
14,"Saimiri_boliviensis_boliviensis",FALSE,"non-numeric argument to binary operator"
15,"Tursiops_truncatus",TRUE,NA
16,"Sus_scrofa",FALSE,"non-numeric argument to binary operator"
17,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
18,"Vombatus_ursinus",FALSE,"non-numeric argument to binary operator"
19,"Saimiri_boliviensis_boliviensis",FALSE,"non-numeric argument to binary operator"
20,"Macaca_mulatta",TRUE,NA
21,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
22,"Capra_hircus",TRUE,NA
23,"Dasypus_novemcinctus",FALSE,"non-numeric argument to binary operator"
24,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
25,"Pan_troglodytes",FALSE,"non-numeric argument to binary operator"
26,"Microcebus_murinus",FALSE,"non-numeric argument to binary operator"
27,"Equus_asinus_asinus",FALSE,"non-numeric argument to binary operator"
28,"Myotis_lucifugus",FALSE,"non-numeric argument to binary operator"
29,"Callithrix_jacchus",FALSE,"non-numeric argument to binary operator"
30,"Mustela_putorius_furo",FALSE,"non-numeric argument to binary operator"
31,"Cebus_capucinus_imitator",TRUE,NA
32,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
33,"Peromyscus_maniculatus_bairdii",FALSE,"non-numeric argument to binary operator"
34,"Cavia_porcellus",FALSE,"non-numeric argument to binary operator"
35,"Equus_caballus",FALSE,"non-numeric argument to binary operator"
36,"Gorilla_gorilla",FALSE,"non-numeric argument to binary operator"
37,"Oryctolagus_cuniculus",FALSE,"non-numeric argument to binary operator"
