"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26863627343855,0.266417328673402,0.0188893697855704,0.891340892508663,0.409907718755545,0.525493987028824,-0.591159437386918,0.687722951132356,-0.707689624946474,2.64072254602844,1.32605138841633,1.1053499107567,-0.223862759938942,0.518624660507075,-0.640240360142615,0.823949487716092,0.606744385948131,0.525493987028824,-0.0983126458934585,0.788290201169475,0.0797705016248454,0.977964284601379
"PTHR10003_SF33",10.7860532101434,0.0020672718439558,0.239191272006385,0.627335223537253,0.0041046954139503,0.949220128237081,1.6773513036572,-0.224524667792054,-0.0361348164121958,1.34743671664691,0.67662175702632,0.564008156304019,1.24484607175562,-0.331831877205391,-0.0640678969059412,0.220089755478461,0.741666495498044,0.949220128237081,-0.00988540807478121,0.983415503337248,-0.0511357822086538,0.929340020633261
"PTHR10010",61.5537198769971,9.2031929509149e-10,2.07260009663748,0.157377996961293,0.152503362051606,0.698128216648489,5.20099442514198,-0.994674648591258,0.239659953571092,1.46615118138622,0.736234790220369,0.613699489156264,3.54737935021443,-1.35102913065754,0.390516788437586,0.00097233150449404,0.18391972057635,0.698128216648489,0.0601489462340427,0.881397528711279,-0.204080901945169,0.626482575006649
"PTHR10015_SF142",24.8993216821758,1.09996432550655e-05,6.28575528600388,0.0161257559952912,0.432665728309528,0.51427299473936,0.746503644532555,0.569421466962864,0.209784599819053,0.761939254476538,0.3826114211836,0.318931456166918,0.979741679073108,1.48825005066856,0.657773310730625,0.332823724326917,0.144155482081311,0.51427299473936,0.1009778431003,0.779220908817977,0.223816263088464,0.172787893255245
"PTHR10024_SF10",59.9258441506994,1.29019822958076e-09,5.11738190615787,0.0289220119465833,1.38008373008987,0.24670449302865,2.22871752852391,-0.612166068220167,0.241180697317577,0.490470421051272,0.246292055100732,0.20530041558254,4.54404064519709,-2.48552909256368,1.17476964979943,4.60942836646611e-05,0.017001331324121,0.24670449302865,0.178364132131939,0.567187205762365,-0.358092414412709,0.25740217373569
"PTHR10024_SF173",3.39137631515399,0.0726075809266342,19.6688535355864,6.51123459914571e-05,10.7655660141812,0.00208551473840797,2.32021071197291,1.22720796206892,2.65495733928511,1.93313465210633,0.970732761484784,0.809168770267086,1.20023233220967,1.26420783428783,3.28109219836646,0.236775391031508,0.213126552510712,0.00208551473840797,0.451692764287216,0.0352068937063484,0.191462661122312,0.0026499771911185
"PTHR10024_SF185",7.92867974571953,0.00737949848330805,19.7772835333367,6.26505224560207e-05,19.7955814449305,6.22448256874999e-05,2.2665923209241,0.239091588464193,1.70967402320381,0.918020067241564,0.460988143790635,0.384263542159869,2.46900084410429,0.518650190215696,4.4492225663514,0.0176998764570058,0.606726734036078,6.22448256874994e-05,0.565985649465587,0.0208282028619612,0.0797744034016532,0.00261739960482931
"PTHR10024_SF188",9.61335904658446,0.00344386759857446,20.7594458371014,4.43394594226869e-05,14.3601798109439,0.000475504817328309,1.89242321404918,0.496236469293505,1.52445140572642,0.961073580851084,0.482607670455399,0.402284821032054,1.96907214156625,1.02823991343786,3.78948278937164,0.0555658065789252,0.309722502938461,0.000475504817328309,0.504770253840336,0.0208282028619612,0.156700786361317,0.00249101626374352
"PTHR10025_SF29",3.2158400328726,0.0801316436451816,1.27492975066757,0.265251950389248,5.15353032238655,0.0283923280114641,-1.78091235968908,0.724394444134326,-2.26452460298651,2.383129367168,1.19669974827974,0.997526922047355,-0.747299909196888,0.605326812490474,-2.27013883328455,0.459046117666707,0.548218984948995,0.0283923280114641,-0.330594261817801,0.168480155890123,0.0929991597313828,0.746314331163217
"PTHR10025_SF30",5.81709178422324,0.0203198730247045,1.87288105232681,0.178421705694519,4.22421558129817,0.0461040181891012,-0.421182161329551,0.233215986255302,-1.40793066286039,1.6365573284072,0.821805047569701,0.685027853313759,-0.257358635728009,0.283785049684211,-2.05528965873382,0.798158664005064,0.777969420101667,0.0461040181891012,-0.302300079985886,0.219587289972461,0.0437470619707109,0.651325838263486
"PTHR10026_SF45",6.42378714747681,0.0150755595332772,0.0943873875950479,0.760190106283402,0.580730588861128,0.450284562108771,2.32261255783905,-0.532165707740282,0.465037961462861,1.45788761956797,0.732085203343537,0.610240539130609,1.5931355247583,-0.726917721202131,0.762056814719958,0.118628880021926,0.471308810063434,0.450284562108771,0.116783314424395,0.740019548499722,-0.111466839280654,0.957203032631678
