"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26963076739456,0.266232741205428,0.0223712817773388,0.881819559398971,0.405069529711616,0.527936279631298,-0.590506774509852,0.691090196020284,-0.703681115506152,2.63975344339903,1.33648649398261,1.10563329426691,-0.223697700247905,0.517094784819635,-0.636450728424138,0.824077093323175,0.607802615968068,0.527936279631298,-0.0977363009286182,0.79406344201388,0.0795366797554965,0.97495486749026
"PTHR10003_SF33",9.85929297697501,0.00309031506137213,0.0466655618808357,0.83001624463878,0.0150289235211809,0.903014527226703,1.44006499989196,-0.0644058452440988,-0.0721409695980915,1.40498049364921,0.711330620201159,0.588461477513565,1.02497152551323,-0.0905427707103137,-0.122592510053351,0.31124401602332,0.928286345244605,0.903014527226703,-0.01891305144125,0.970468193581551,-0.0139696895279079,0.965344434772484
"PTHR10010",61.6609841824723,9.00231295100237e-10,2.16799704142942,0.148364347601116,0.136881023683094,0.71326074764746,5.21734372735892,-1.020545363644,0.226905698655384,1.46428643026364,0.741356751428067,0.613301152685717,3.56306226673121,-1.37659144761026,0.369974355439798,0.000928854049715493,0.175933251843992,0.71326074764746,0.0569954818046897,0.892871202260864,-0.207777023511404,0.591685554316215
"PTHR10015_SF142",20.6860857741739,4.54897107551673e-05,6.20431861756071,0.0167819638736851,0.253925394884488,0.616957708288199,0.571234911425911,0.680013724134931,0.175306153521075,0.830608458286951,0.420530557148863,0.34789172006885,0.68773066988028,1.61703760303491,0.503910105955902,0.495403135331173,0.113357435866137,0.6169577082882,0.0775210305779594,0.844946053470196,0.24209208588088,0.170961090102368
"PTHR10024_SF10",58.209845952624,1.85327939394651e-09,5.02029294180392,0.0303983595064585,1.16375504598016,0.286844797764021,2.20463958244502,-0.608630254650652,0.224475377984225,0.496809829395914,0.251530925634661,0.208083633595682,4.43759251930606,-2.41970347429431,1.07877478927724,6.45731928257159e-05,0.0199407934002285,0.286844797764021,0.164199253710135,0.61324352012399,-0.349782958735466,0.260305620949715
"PTHR10024_SF173",3.52299237656461,0.0674811619171072,21.5633859490502,3.35612540206627e-05,11.6553269724542,0.00142973154995237,2.18001821688896,1.39765376237424,2.71155751171291,1.89630786470272,0.960085820115387,0.79424884041285,1.14961196832389,1.455759196825,3.41398989050263,0.256808098472493,0.15289397334158,0.00142973154995237,0.466074999585269,0.0270016880849452,0.219167198615943,0.00136261664520378
"PTHR10024_SF185",8.2706642222603,0.00630290484291758,21.7515942466953,3.14606571230462e-05,21.3060582590032,3.6674734226234e-05,2.19498453645182,0.325027790044945,1.73742987517964,0.898686021658826,0.454997694304143,0.376405299943034,2.4424376072972,0.714350411252151,4.61584859576256,0.0188772661482095,0.478962163180635,3.6674734226234e-05,0.580134800934211,0.0144019497120766,0.109563079874712,0.00132776814143795
"PTHR10024_SF188",9.98725254553927,0.00292177086847817,22.6665211452524,2.30464465738482e-05,15.470109649788,0.000308306388957661,1.82144831413171,0.582028975558276,1.55259423973589,0.942461311826736,0.477160780870382,0.394740125264263,1.93265048790308,1.21977538576537,3.93320602686765,0.0600412283757216,0.22935547408082,0.00030830638895766,0.518830720373137,0.0144019497120766,0.184967695975259,0.00122880964442008
"PTHR10025_SF29",3.16571279604402,0.0824371200579716,0.8985937776667,0.348581664358622,5.18891504372371,0.0278839891425187,-1.96504788097604,0.849679168970564,-2.29140638948447,2.40168528104268,1.21595444791893,1.00592091875535,-0.818195413232049,0.698775493131973,-2.27791901605911,0.417863593427277,0.488543929004107,0.0278839891425187,-0.331602872509556,0.167142288541242,0.107202040879139,0.811376033989441
"PTHR10025_SF30",5.83742621846239,0.0201153867575824,1.81797876059807,0.184780777698247,4.26375601796406,0.0451431538562423,-0.400450272463454,0.209982248769208,-1.41427599502428,1.63527295460751,0.827925889545889,0.684917081309011,-0.244882832150532,0.253624450473921,-2.06488644190524,0.80773968695568,0.801023172595314,0.0451431538562423,-0.303581797592154,0.216854917943575,0.0391051679157244,0.659652294394609
