"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26672041066661,0.266773392346118,0.016824297508295,0.897416268810194,0.449415651727355,0.506282278526172,-0.655265759388069,0.7044843966664,-0.748953145364505,2.64883535242316,1.32478115585217,1.11719903599717,-0.247378818312973,0.531774167796975,-0.670384704276101,0.805820404406302,0.597684136672484,0.506282278526172,-0.102893570669497,0.787911678769875,0.0817796882262965,0.980016933190252
"PTHR10003_SF33",10.5105557416097,0.00232740721293622,0.260977516722221,0.612124357366439,0.241552295076672,0.625645954715169,1.19724794118239,-0.0493554950150445,-0.280354638834361,1.35246667901415,0.676418928279867,0.570429743257031,0.885232856202489,-0.0729658691553111,-0.491479699557034,0.381071252182916,0.942179665857275,0.625645954715169,-0.075619821776537,0.852839928417053,-0.0112581645105623,0.92638049125297
"PTHR10010",61.5401858600607,9.2288706507204e-10,2.07225655839918,0.157411596260499,0.144183003702427,0.706070760987944,5.19050705138399,-0.989782786011561,0.235716296188487,1.47182774624172,0.736115840910104,0.620772649289392,3.52657236190705,-1.34460193763502,0.379714371208711,0.00103303447754968,0.185970901641135,0.706070760987944,0.0584908880001852,0.888119749396109,-0.203150196016321,0.629450050470457
"PTHR10015_SF142",20.5254866807538,4.81186979872758e-05,5.81532202935619,0.0203377754987057,0.257356008243054,0.614596013296263,0.629501968278087,0.634243182554609,0.17916462985096,0.837354835400058,0.418792321570643,0.353171069708322,0.751774446943194,1.51445752437852,0.507302679120714,0.456379062702883,0.137399897079238,0.614596013296263,0.0780397726904484,0.846758531310241,0.227555165188665,0.209246366822505
"PTHR10024_SF10",57.9872843664219,1.94331212747159e-09,4.77898663602047,0.034433794799369,1.21534480281606,0.276553415599766,2.19747580399569,-0.595308779910489,0.232415258101463,0.499849536634139,0.249993358888301,0.210821491777673,4.39627456452783,-2.38129837751601,1.10242677889103,7.35560236254098e-05,0.0218610412314617,0.276553415599766,0.167699111965039,0.609065456294267,-0.344896342732329,0.293645722247815
"PTHR10024_SF173",3.4414483204382,0.0706080002187177,19.9899900433526,5.81010944128245e-05,11.5118203418195,0.00151865830074056,2.48571822705393,1.18016185127087,2.75656537944697,1.92628573087514,0.963407195058691,0.812449350474012,1.29042030847866,1.22498758294925,3.39290735827247,0.203963892592875,0.227405815521411,0.00151865830074056,0.463817509047688,0.0294629227015738,0.185730868684529,0.00244147684592837
"PTHR10024_SF185",8.08731251623446,0.00685760054711527,20.1675819262635,5.45689148840237e-05,21.0504535179085,4.00691804033507e-05,2.35665364884137,0.213858914968959,1.76544421232529,0.912321021371774,0.456285701599185,0.384789550873401,2.58314079543831,0.468695192988579,4.58807732257298,0.01336306991478,0.641711191049268,4.00691804033507e-05,0.577812085164907,0.0159506430728987,0.072132843984871,0.00244147684592837
"PTHR10024_SF188",9.7837273375465,0.00319466148804771,21.1500941431058,3.87082664957704e-05,15.3376276290838,0.000324500136966856,1.98177927734447,0.471007023031325,1.57953109434827,0.956254510588589,0.478258474868021,0.403319374464028,2.07243914188144,0.984837797513789,3.91632833519916,0.044399293929641,0.330343396077534,0.000324500136966856,0.517200855888667,0.0159506430728987,0.150238939374833,0.00235121449704683
"PTHR10025_SF29",3.25838474551767,0.0782313235608391,1.36820032724969,0.248716587088309,6.64831658103591,0.0135207396874696,-2.31373685622461,0.905179677877239,-2.55334451810438,2.34789128222688,1.1742678244755,0.99026988398144,-0.985453148422667,0.770846019119654,-2.57843297004904,0.330044739877414,0.445113148295514,0.0135207396874696,-0.369676579804829,0.116991170182792,0.118111553773786,0.740845753855018
"PTHR10025_SF30",5.83492329626997,0.0201404365808291,1.86685551402901,0.179106720067796,4.35242720363639,0.0430670207440816,-0.477744772155162,0.248596783480366,-1.44356590235451,1.64057190153707,0.820511074041894,0.691943855704192,-0.291206238329181,0.302977974758782,-2.08624715784981,0.772326934587983,0.763402279174315,0.0430670207440816,-0.306428755775011,0.215740285074669,0.0466995108470063,0.662598742576392
"PTHR10026_SF45",6.42541398894592,0.0150636282505571,0.0939096476677825,0.76077854733412,0.591224156193566,0.446248647304938,2.33531722045859,-0.534484067522021,0.474525708614074,1.46321475901712,0.731808165402716,0.61713995048251,1.59601808693297,-0.73036089618909,0.768911019685351,0.117982774439797,0.469224212154603,0.446248647304938,0.117819187566799,0.746918721559256,-0.11198821557142,0.96607421193813
"PTHR10026_SF60",1.88828567849793,0.176684558966345,2.89257304276893,0.0963828488590753,0.957318023002324,0.333465949603281,1.24134392832562,-0.944313579370373,-1.16728247341985,2.8286047011462,1.4146904986017,1.19302033720092,0.438853802308467,-0.667505422778866,-0.978426299218456,0.663016883265868,0.508100644282038,0.333465949603281,-0.149282719522047,0.671150933118817,-0.102456294889519,0.52114585978543
"PTHR10029_SF5",20.1335272044506,5.52283227966638e-05,0.158106408176898,0.692919709685225,0.623135381160141,0.434318451623195,3.6044967757124,-0.640885297619964,0.524625324418752,1.57573237132483,0.788082411497467,0.664596493180751,2.28750569659353,-0.813221166048095,0.789389245657769,0.0272688054732105,0.420677543582232,0.434318451623195,0.120911750493215,0.73953936431187,-0.124506345254763,0.944911282313911
"PTHR10030",192.165276206597,2.86275797426379e-17,0.354771231795141,0.554620887575666,20.2366876382716,5.3256113612369e-05,0.553720549514265,0.63362120693261,-0.981654424135105,0.517384395218952,0.258763194356724,0.218217167424096,1.07023047975758,2.44865274796042,-4.49852060551817,0.290627648368574,0.0185955971438585,5.3256113612369e-05,-0.570225295352508,0.0159506430728987,0.353447675248926,0.92068069343776
"PTHR10031_SF3",15.7191760275208,0.00028012311394982,0.152255392512752,0.698361264560952,0.408322744131217,0.526291819431816,1.81846673210061,0.110540358004938,-0.520635680846213,1.93177505830148,0.966152612030746,0.8147645835833,0.941344968859628,0.114412937074811,-0.639001364733454,0.351911230570405,0.909455673652879,0.526291819431816,-0.0981242245163359,0.801326584067014,0.0176515489169618,0.946606987078311
"PTHR10032_SF11",93.0176184948672,3.2683302685266e-12,3.3993246877972,0.0722860099468547,0.060993843975388,0.806135206028374,0.736791303624615,0.281278802218642,-0.0373696809857682,0.358757343847025,0.179427901480298,0.151313050973947,2.05373162741105,1.56764248981381,-0.246969317882582,0.0462616858766896,0.124468855655911,0.806135206028374,-0.038080552175219,0.934204318333807,0.235111836086678,0.45094258995504
"PTHR10032_SF206",36.8645184050493,3.13301791909599e-07,0.006748431594131,0.934918612876158,0.0861688580384491,0.770551043493843,1.30767210794757,-0.0734765753273549,0.0721172079095603,0.582489561860345,0.291324711567007,0.24567656739913,2.24497088629563,-0.252215388568075,0.293545325356152,0.0300938475199428,0.802104792746187,0.770551043493843,0.0452486339096758,0.916818829521396,-0.0388882407227066,0.982625614419937
"PTHR10032_SF26",5.93759173911899,0.0191399138711375,4.67210470305437,0.0364040248948534,13.6951073439402,0.000619514987888277,-1.88197186541023,0.560960833976574,-2.37321669704068,1.52047430985069,0.760445798114572,0.641290305820518,-1.23775314927553,0.737673658487435,-3.70069011725383,0.222682517844267,0.464814425809561,0.000619514987888277,-0.495877265537999,0.0178199484387064,0.113095229580992,0.306030583262426
"PTHR10032_SF71",7.72617043382541,0.00810802190168445,0.422778462048911,0.519094929099118,4.20902084997938,0.0464791957982347,-1.41795150410798,1.18352481156354,-1.12455909454687,1.29961930943549,0.649987991645731,0.548140313189493,-1.09105142853247,1.82084104133513,-2.0515898347329,0.281470035968756,0.0757603680655676,0.0464791957982347,-0.301805503858791,0.225366886074442,0.270488513518567,0.908196542620115
"PTHR10033",1069.10742994266,1.67135613006021e-31,0.255393670928768,0.615944475567128,4.8093149341774,0.033896064856157,1.63899265328318,0.172830135623858,-0.177425438573872,0.191822121770317,0.0959373831840562,0.0809047981516419,8.54433596165548,1.80148894922726,-2.19301503282066,9.86347951483784e-11,0.0788075875105618,0.033896064856157,-0.32053500591468,0.189571539552815,0.267820962619076,0.92638049125297
"PTHR10036_SF6",8.58411377103657,0.00546223857348491,2.39005655077243,0.129611790727497,5.26754284687881,0.0267893141509243,1.94387639188346,-0.138576959723281,0.892340233065045,0.921830021551534,0.461041506537237,0.388800160979615,2.10871456389727,-0.300573717893853,2.29511281789781,0.0409739954090462,0.765222448355259,0.0267893141509243,0.333827819075156,0.170462466658804,-0.0463297293133553,0.586451803516285
"PTHR10037_SF133",96.0121809509352,2.05246209002258e-12,0.722747189897933,0.400064784179759,7.3988717813914,0.0094523841515754,0.877053231037636,0.363376215521267,-0.753410857815357,0.656709858410322,0.328445044531916,0.276980454853367,1.33552621421078,1.10635316796797,-2.72008672313796,0.188897111759542,0.274870525670175,0.0094523841515754,-0.387011825549557,0.0943634021776045,0.168279502509031,0.847539256040539
