"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",4.51871558041632,0.039449062350319,1.11663128873201,0.296685407789248,0.254825159414271,0.616336359638671,1.13838557984098,-0.356096185355258,-0.309981807957206,1.47332242957931,0.742216673745482,0.614066004110241,0.772665614115461,-0.479773896156595,-0.504802099256997,0.444046929781963,0.633877309801637,0.616336359638671,-0.0776574271192097,0.842143106529747,-0.0738286850333632,0.727517992048552
"PTHR10003_SF33",14.7909515358334,0.000401424168799225,0.0295759663044623,0.864281884595705,0.275245273629928,0.602593031178213,0.830367713765129,0.268953082042641,-0.248174954375804,1.13496053764137,0.571759866115047,0.473040162954181,0.731626947568383,0.470395174586325,-0.524638231193579,0.468459038324593,0.640506397363631,0.602593031178213,-0.0806894707922876,0.834304004098882,0.0723931048506916,0.965825021749784
"PTHR10010",61.6233676158563,9.07223129910377e-10,2.11325447261153,0.153460553961366,0.161060012145179,0.690217131983092,5.23398109125094,-1.0154681696575,0.246380851753811,1.47297655512334,0.7420424323282,0.613921847107784,3.55333631960806,-1.36847722639178,0.401322827839607,0.000955592051446765,0.178438849103706,0.690217131983092,0.0618070624535919,0.881908575187541,-0.206604722931656,0.577504488795312
"PTHR10015_SF142",20.6720814798302,4.57128337490448e-05,5.39829449161081,0.025070454865332,0.250319956109242,0.619461493174245,0.654015400595991,0.61089354132792,0.17451005450868,0.836865112125774,0.421588124517312,0.348796980935855,0.781506351644515,1.44902929139038,0.500319853802787,0.438888114630554,0.154755180577695,0.619461493174245,0.0769719937493871,0.844182120516863,0.218202346485726,0.236942054894772
"PTHR10024_SF10",58.1750040956742,1.8670801881506e-09,4.88480340372293,0.032596816880686,1.26852787972137,0.266437457456824,2.21549121756612,-0.607814613471075,0.234594373462121,0.499747153719997,0.251757974154876,0.20828959879334,4.43322428366934,-2.41428147613374,1.12628942981872,6.54695955991585e-05,0.0202023132852246,0.266437457456824,0.171223727989596,0.585749992873734,-0.349094787271566,0.281462285216111
"PTHR10024_SF173",3.51345636946142,0.0678387691201332,18.8492010547808,8.7353264876128e-05,11.4060124611847,0.00158795946153515,2.54265091554738,1.09305986846811,2.7062045194693,1.9225446728559,0.968521678327836,0.801297327239597,1.32254451688258,1.12858585711297,3.37727885451952,0.193143649727641,0.265478037598519,0.00158795946153515,0.462138174484646,0.026135764326338,0.171562575926653,0.00342240558215989
"PTHR10024_SF185",8.25832781180133,0.00633868544498954,18.9952639727922,8.28697649465796e-05,21.0579222062138,3.99654489255839e-05,2.39095801521082,0.163921138580985,1.73816154419675,0.908793316712878,0.457823446592989,0.378775934820537,2.63091505102497,0.358044437874134,4.58889117393449,0.0118556785821909,0.722103329453159,3.99654489255839e-05,0.577880354155623,0.0118069354825868,0.0551633333334273,0.00342240558215989
"PTHR10024_SF188",9.92713382389713,0.00299971061940343,19.9429966554296,5.90754171573601e-05,15.1898020692752,0.000343632299651933,2.00767598475266,0.426657318970612,1.55093269629912,0.954771925135137,0.480986122407514,0.397939357423469,2.1027807080403,0.8870470458379,3.89740966146429,0.041517925399186,0.380105031454642,0.000343632299651933,0.515367183138169,0.0126884965944164,0.135609927600568,0.00327353794807225
"PTHR10025_SF29",3.11940672835945,0.0846329374937851,1.16251341899494,0.28709856310681,5.27470222378008,0.0266919729365731,-1.94026064854835,0.806809218162961,-2.31459640736608,2.41801531358982,1.21812527053615,1.00780451833442,-0.802418676856023,0.662336820093923,-2.29667198872196,0.42682811666708,0.511373680776709,0.0266919729365731,-0.334029307046276,0.155490140937558,0.10167119159111,0.723078433533122
"PTHR10025_SF30",5.81913719772399,0.0202992031732383,1.73652916399256,0.194722189352506,4.3493291693727,0.0431377723818775,-0.504302218257061,0.283664124165299,-1.42676745517347,1.64143920276074,0.826908978489103,0.684135388149215,-0.307231737495287,0.343041533644488,-2.08550453592715,0.760185244205774,0.733278351286025,0.0431377723818775,-0.306329916373425,0.204842510414978,0.0528584590075887,0.634150374143278
