"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26535515096648,0.267027497662532,0.0199414187848978,0.888375971726581,0.386603002637718,0.537451143538731,-0.573746881957235,0.680499381556417,-0.699257025076689,2.66245032090904,1.33067141512443,1.12461591937655,-0.21549580754669,0.511395505924191,-0.621774076846018,0.830423874404519,0.611752347727103,0.537451143538731,-0.095503283926307,0.803562998459065,0.0786655028440658,0.97943426164003
"PTHR10003_SF33",10.5569379265146,0.0022812936977672,0.1955908998232,0.660572658310024,0.263685560075561,0.610290279225914,1.13916976762609,-0.00166934035346519,-0.297487873191765,1.37152389735396,0.68547669454574,0.579330099291016,0.830586889389135,-0.00243529848169594,-0.513503223043011,0.410903816013173,0.998068445449643,0.610290279225914,-0.078987704096019,0.839088401861193,-0.000375774687352341,0.934514566008467
"PTHR10010",61.5427659097555,9.22396981053025e-10,2.068774932564,0.157752587389361,0.148776024738625,0.701654632511655,5.1994491301678,-0.99293060217366,0.240858991239736,1.47833777438144,0.738861417551786,0.624448156733088,3.51709143895976,-1.34386581649334,0.385714952702932,0.00106188374234818,0.186206941995857,0.701654632511655,0.0594119752409171,0.883347342458988,-0.203043564929319,0.627749638972046
"PTHR10015_SF142",20.4851772007966,4.88033123881071e-05,5.75805139283497,0.0209263774996616,0.221123175178142,0.640618200526075,0.610809769894267,0.638826786163582,0.167222251636022,0.841887811541829,0.420768807125717,0.355612432560154,0.725523949296324,1.51823703502982,0.470237360466118,0.472154142412425,0.136446845535455,0.640618200526075,0.0723689447171578,0.854106967213852,0.228093545813315,0.214767983470473
"PTHR10024_SF10",57.9962182494381,1.93961118417238e-09,4.78132939434524,0.0343919284445632,1.22006411769284,0.275635998147113,2.20115644644653,-0.597108990309568,0.234230733246575,0.502030192503519,0.250910682331816,0.212056969500322,4.38451009384479,-2.37976711378084,1.10456512605316,7.63302128361229e-05,0.0219409500130185,0.275635998147113,0.168015219591891,0.601281903131045,-0.344700920743193,0.292685218203114
"PTHR10024_SF173",3.43648459559209,0.0708034644673547,19.9069084541201,5.98352933011726e-05,11.4882079677944,0.00153384169134647,2.52831745893006,1.15013477451155,2.77208825017356,1.93623556810204,0.967715079296167,0.817863652309267,1.30579021508649,1.18850558301526,3.38942590534066,0.198731173026712,0.241311268015866,0.00153384169134647,0.463443846981572,0.029234881269166,0.180382167146084,0.00238328980581575
"PTHR10024_SF185",8.1316418500889,0.00671888931052627,20.2626053396978,5.27723520584563e-05,21.406304230126,3.54272017504114e-05,2.40148690047403,0.189380239289337,1.78603498282464,0.913895208871463,0.456757529450998,0.386028273454465,2.62774864903772,0.414618757389646,4.62669474140298,0.0119505391516242,0.680531190985214,3.54272017504114e-05,0.581038120890543,0.0155135140476255,0.063846532661524,0.00238328980581575
"PTHR10024_SF188",9.78451205637228,0.00319355890500528,21.1039065463201,3.9332965760651e-05,15.3879776223267,0.000318242586124915,2.01114252683233,0.452378776478064,1.59146652738921,0.960470480955274,0.480035478611908,0.405701614220074,2.09391393771109,0.942386129013178,3.92275128224142,0.0423425040594407,0.351384356849851,0.000318242586124915,0.517821779563557,0.0155135140476255,0.143899910603447,0.00238328980581575
"PTHR10025_SF29",3.34116644444055,0.074676094215532,1.28845950970702,0.262768560652888,6.8585945573491,0.0122195883835366,-2.44655597601651,0.988705276126591,-2.60777158614912,2.35737823714859,1.17819882315739,0.995753825965832,-1.0378292025703,0.839166749018651,-2.61889185674955,0.305287872286083,0.406126903397848,0.0122195883835366,-0.374668412503368,0.110189655459541,0.128414175504088,0.752076527593611
"PTHR10025_SF30",5.85511722595134,0.0199392842291417,1.88445145829019,0.1771150474563,4.50370901775213,0.0397615489242277,-0.538093602994573,0.276039922272836,-1.47457127058312,1.644969661983,0.822142704694795,0.694833272279016,-0.327114606080883,0.335756700991844,-2.12219438736232,0.745206009953035,0.738725884155072,0.0397615489242277,-0.311201273367091,0.202031653993373,0.0517389937269766,0.652894684740869
"PTHR10026_SF45",6.42594154302553,0.0150597613343178,0.094251133525499,0.760357766197074,0.593954313077102,0.445207974443824,2.34391898120319,-0.539266624424289,0.478424890592398,1.46965207500682,0.734520374345307,0.620779327417888,1.59488019039629,-0.7341751750657,0.770684314798934,0.118237483310223,0.466921117148315,0.445207974443824,0.118087122446168,0.740500477608027,-0.112565677596479,0.961592025981042
"PTHR10026_SF60",1.88819820554161,0.176694366142756,2.88736300849614,0.0966734982429552,0.960000976549014,0.332797027360098,1.21935165573157,-0.929797506929769,-1.1758849581166,2.84122929332716,1.42002371828436,1.20013194942309,0.429163411272477,-0.654776039975676,-0.979796395456226,0.669997797191576,0.516182045183376,0.332797027360098,-0.149487092883308,0.662156298354287,-0.100522378094134,0.519981094786836
"PTHR10029_SF5",20.1148753486938,5.55930272017734e-05,0.163769806374357,0.687762904617694,0.57872080931833,0.451064142455616,3.57962596183167,-0.634657464082632,0.508812573187243,1.58343620687639,0.79138877507546,0.668841612399515,2.26066951499936,-0.801954088901648,0.76073701718684,0.0290221780471784,0.427093850062523,0.451064142455616,0.116583810097953,0.746388214216322,-0.122807521646664,0.939317387796435
"PTHR10030",194.421492109008,2.3383149950218e-17,0.365891745149186,0.548506550831278,20.9601469584527,4.13460693040859e-05,0.519360791138858,0.649541673949042,-0.999130851253798,0.516657209346446,0.258221148577354,0.218235404404951,1.00523283473743,2.51544723399936,-4.57822530665025,0.320541299563245,0.0158002992937574,4.13460693040859e-05,-0.576984697438966,0.0155135140476255,0.361841320951199,0.91422981941078
"PTHR10031_SF3",15.7144553892687,0.000280631276528928,0.149853262171469,0.700630278990488,0.396324114310213,0.532403595701562,1.82361404083955,0.111434712625179,-0.516059215513945,1.94066947616358,0.9699311111479,0.819736529918253,0.939682961595584,0.114889306409914,-0.629542781953866,0.352753354191354,0.909080374888955,0.532403595701562,-0.0966854553818676,0.800855510055181,0.0177250198067961,0.946323843061998
"PTHR10032_SF11",93.00171070583,3.27650900897202e-12,3.37957953375651,0.0730877851588405,0.0724303147844084,0.78914829992398,0.730771243793837,0.283169928890372,-0.0409680905332364,0.360381776951994,0.180115935067676,0.152224843494936,2.02776968906278,1.57215367304383,-0.269128807050469,0.0489589836158616,0.123418827887025,0.78914829992398,-0.0414917150297698,0.919243455159244,0.235750861968193,0.451855126183805
"PTHR10032_SF206",36.8620050814087,3.13516738076283e-07,0.00704446468913149,0.933509827590467,0.0825013335863109,0.77534827769037,1.30605253380159,-0.0732387140777916,0.0709873461985069,0.585096826446279,0.29242672282661,0.247144219079183,2.23219897078266,-0.250451509252858,0.28723045379331,0.0309915658524926,0.803459330533999,0.77534827769037,0.0442771553713269,0.915830946552455,-0.0386166811115921,0.985141097986657
"PTHR10032_SF26",5.96744278639835,0.0188591418467229,4.69869148457292,0.0359027348384006,13.9729102554596,0.00055444445894944,-1.94885425149585,0.595136870861923,-2.4053322889216,1.5233823955812,0.761374359620562,0.643474952345272,-1.27929419241603,0.781661298862908,-3.7380356145253,0.207816149085035,0.43879801782386,0.00055444445894944,-0.499636883475544,0.016116351720017,0.119745106718823,0.303048390391071
"PTHR10032_SF71",7.75288223197915,0.00800768771460171,0.416802423069107,0.522048603827308,4.37739093549746,0.0425015128271819,-1.46883205493676,1.20510286262694,-1.15163124748712,1.30311594592353,0.651286946545255,0.550434660158718,-1.12716912069998,1.85034088126501,-2.09222153117146,0.266069641439405,0.0713072367538608,0.0425015128271819,-0.307223555360649,0.21092670458453,0.274542887676127,0.906697654237952
