"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.2691234368392,0.266326886112887,0.0210456794230001,0.88534854780974,0.422853683911378,0.519057940815149,-0.638161603199622,0.689786874800547,-0.746903857052675,2.66620875735779,1.32357354999675,1.14860219767283,-0.239351701714475,0.521154925468434,-0.65027200763325,0.811997094812856,0.604996051523242,0.519057940815149,-0.0998378269572453,0.777348701865575,0.0801571912443784,0.97778413718053
"PTHR10003_SF33",9.78246055322111,0.00319644225729312,0.0995907021142093,0.753884189265786,0.0058362055419402,0.939467556931546,1.5594937993455,-0.139956570720602,-0.0469367180569766,1.42617210476163,0.707987951204671,0.614394656558048,1.09348219204312,-0.197682136373169,-0.0763950622876911,0.280414288271397,0.844247424094388,0.939467556931546,-0.011787195101747,0.989215329803685,-0.0304888352436928,0.965181052472581
"PTHR10010",61.4781585039368,9.34751764191201e-10,2.12539189261364,0.152313208023905,0.110381927803037,0.741362213741061,5.16022511957332,-0.987227144596329,0.211882758009836,1.48037293912199,0.734894618039796,0.637744365124642,3.48576023190066,-1.34335878963107,0.332237757943068,0.00116281103124037,0.186369655666699,0.741362213741061,0.0511981651784871,0.908633209230004,-0.202970115172964,0.618116752545555
"PTHR10015_SF142",21.1570191490951,3.86155065378639e-05,6.55225897522989,0.0141637952099059,0.56116043289629,0.457968254768595,0.738926947380004,0.628775284179754,0.268531737291238,0.832102081575825,0.413076546625118,0.35846940977468,0.888024394772133,1.5221761906284,0.749106422944224,0.379585151516829,0.135459170255201,0.457968254768594,0.114825088953102,0.737312846135814,0.228654444821104,0.153354599445473
"PTHR10024_SF10",58.4285026717371,1.76907550227029e-09,4.54478941408411,0.0389124645149618,1.37377598916593,0.247769958096585,2.22348008369377,-0.596842498339683,0.253451139479358,0.501950388831845,0.249180885118239,0.216240126788249,4.42968096681492,-2.39521782762941,1.17208190377888,6.62056636577391e-05,0.0211466000842319,0.247769958096585,0.177968993654436,0.564922897380443,-0.346670704350611,0.310698751416761
"PTHR10024_SF173",3.70895452586293,0.0609084364106424,22.3852364541021,2.5347360486244e-05,14.8319048237365,0.000395044281629898,2.88966224945278,1.17225093131563,3.09703413576805,1.86668928635788,0.926671836429668,0.804169369996286,1.54801458955755,1.26501193327742,3.85122121199711,0.1291217606528,0.212840972290442,0.000395044281629898,0.510860540748785,0.00842218117949101,0.191579972586476,0.000949716547874925
"PTHR10024_SF185",8.72993458057795,0.00511256531566452,22.4131340142553,2.51087393342065e-05,25.9831235503983,7.75610816151066e-06,2.55407959858235,0.211995336164033,1.93357148300611,0.880519667211415,0.437112262330093,0.379327695951102,2.90065025653664,0.484990594942268,5.09736437292826,0.00590318526795802,0.630203118566127,7.75610816151066e-06,0.618222948111984,0.00339930352912999,0.0746269955674625,0.000949716547874925
"PTHR10024_SF188",10.6124866028083,0.00222733615520055,23.787348816378,1.58439318162645e-05,19.5436170530975,6.80828496606687e-05,2.19177010741056,0.467650391825159,1.75717508078857,0.922650180949044,0.458026916322214,0.397477512815436,2.37551582676339,1.02101072046206,4.4208163333368,0.0221641845033976,0.313094700660895,6.80828496606687e-05,0.563522114108854,0.00339930352912999,0.155625853152567,0.000886603132364752
"PTHR10025_SF29",3.18027419576085,0.0817598536384067,1.14053507781785,0.291639414618017,5.81329998194929,0.0203582508942463,-2.17512321929921,0.818258105275254,-2.50902040807655,2.41555724656648,1.19914379218631,1.04062157711924,-0.900464363819556,0.682368628855912,-2.4110785930677,0.373007602124125,0.498752262625369,0.0203582508942463,-0.348688004970239,0.131771088730207,0.10471292287044,0.76809836555352
"PTHR10025_SF30",5.90880602611179,0.0194149271881627,1.89077752324657,0.176405453327647,4.80732220090057,0.0339311151909776,-0.60378051657639,0.249569262955617,-1.55108455707817,1.64213314185646,0.81519647932152,0.707430628004127,-0.367680610777884,0.306146149163121,-2.19256064930952,0.714957843668064,0.761005846999358,0.0339311151909776,-0.320475414006392,0.179232557381716,0.0471867557268203,0.657584550477368
"PTHR10026_SF45",6.42762006887982,0.0150474649940704,0.0920313449379743,0.763108129478681,0.620394643774375,0.435323446641319,2.36340464077701,-0.533725077342306,0.499326696630533,1.47155085093176,0.73051511003912,0.633943811302518,1.606063860641,-0.73061469914527,0.78765134658323,0.115753407707067,0.469070761817207,0.435323446641319,0.120649433331376,0.726181400442336,-0.112026643552,0.965181052472581
"PTHR10026_SF60",1.90114832971731,0.175249459551654,2.99960628504015,0.0906243970180806,1.17376575975678,0.284809426780434,1.05560785912769,-0.940294519948684,-1.32350364982336,2.83569118223191,1.40770891791708,1.22161519230055,0.372257693553514,-0.667960902982696,-1.08340470728015,0.711572810295317,0.507812756622718,0.284809426780434,-0.16488484971876,0.606313322328738,-0.102525472518736,0.49615383511441
"PTHR10029_SF5",20.1425784623842,5.50522484344423e-05,0.150901707620248,0.699637372018716,0.653902940726956,0.423277786875835,3.63279763035679,-0.637264287633538,0.552074202645646,1.58476662450835,0.786718287279034,0.682717143841627,2.29232340849166,-0.810028567961218,0.808642653294368,0.0269642533100416,0.422489666936263,0.423277786875835,0.12381613897486,0.720443179637223,-0.124025083257022,0.952383268967101
"PTHR10030",195.833358083516,2.06223263625081e-17,0.315560488879592,0.577273517461542,21.4156379228328,3.53133379135983e-05,0.502031895477332,0.631631209850028,-1.02780595411181,0.51554921405064,0.255931686352747,0.222098497963789,0.9737807406065,2.46796799119066,-4.62770330972425,0.335740737217629,0.0177443818569728,3.53133379135983e-05,-0.581122010468712,0.00339930352912999,0.355883803828969,0.922803034852001
"PTHR10031_SF3",15.9374549515934,0.000257652997553123,0.0795176497644417,0.779337029997421,0.250826939736027,0.619108057506627,1.95602337296923,0.0914636058897421,-0.418801249620293,1.94108872417391,0.96360560155821,0.836220632878564,1.00769395474268,0.0949180927776258,-0.500826257035339,0.319371907070095,0.924831302711408,0.619108057506627,-0.0770494393671966,0.838936918868918,0.0146446090600373,0.965181052472581
"PTHR10032_SF11",93.424899829471,3.0660563891285e-12,3.64560502516146,0.0630643928953369,0.0161707947377819,0.899417132717105,0.758696115830784,0.279901200951204,-0.019723784947672,0.360038616427849,0.178732287322308,0.155104563712382,2.10726316904072,1.56603602597251,-0.127164439753344,0.0411064572831232,0.124844516445725,0.899417132717105,-0.0196181227392088,0.97240380998681,0.234884200824991,0.41076272285845
"PTHR10032_SF206",37.2139277853603,2.84872906315831e-07,4.74645265242676e-05,0.994535678062117,0.169229905567509,0.682888825430823,1.3472566890926,-0.0764772362558666,0.103565269952707,0.584386390299122,0.290104203972577,0.251753539678885,2.30542105609783,-0.263619882816644,0.411375625879207,0.0261516033807833,0.793361966944499,0.682888825430823,0.0633491396472341,0.878511418208507,-0.0406438192167138,0.998825033049392
"PTHR10032_SF26",6.15035425772199,0.0172325598440009,4.85814316376909,0.0330493895338689,15.4111356904912,0.000315407271155435,-2.08248098717927,0.559791155778027,-2.54660648892508,1.50580601241021,0.747520239723217,0.648700927993851,-1.3829676399326,0.74886421267376,-3.92570193602255,0.173983481537555,0.458112684937313,0.000315407271155435,-0.518106753252876,0.00724735818610489,0.114788451571236,0.278336842804558
"PTHR10032_SF71",7.81530851006519,0.00777832725186581,0.261402947544579,0.611835430168977,5.61188332622716,0.0225134374628114,-1.64713242039846,1.19938644347082,-1.30793360580134,1.28161000653948,0.636223664552004,0.552117333651529,-1.28520564913967,1.88516477820008,-2.3689413935822,0.205762638823062,0.0663383591759262,0.0225134374628114,-0.343318049337764,0.138564847241351,0.279310197021924,0.935338069520731
"PTHR10033",1067.55621045638,1.72116287257605e-31,0.347590480033137,0.558638684410994,4.52902240326644,0.0392359909073018,1.64033223678741,0.172009245181095,-0.176980608730013,0.193040288391319,0.0958300879829446,0.0831617175038449,8.49735695308452,1.79493986493791,-2.12814999548116,1.14435213814358e-10,0.0798619441400416,0.0392359909073018,-0.31198971008638,0.193190545705479,0.266916816824295,0.91845657547616
"PTHR10036_SF6",8.30883060744481,0.00619356114231566,2.89652020509528,0.0961633068512496,7.99138951284427,0.00716829919654875,2.33050786158876,-0.212899024151059,1.16074040921308,0.953121929417219,0.473153863971505,0.410604735941117,2.44513087954417,-0.44995727682334,2.82690458148914,0.0187547363627001,0.655055136302093,0.00716829919654875,0.399819107722841,0.0683135610067411,-0.0692631738377067,0.505703909138166
"PTHR10037_SF133",97.17650514635,1.71756318183151e-12,0.738153682076871,0.39513023059718,8.05644304831542,0.0069559932469278,0.820727401549683,0.362649090537755,-0.802461661917851,0.656261806792629,0.325784980994735,0.282717454681889,1.25060973083418,1.11315472380114,-2.83838740278973,0.217999472894865,0.271972479537498,0.0069559932469278,-0.401182220423538,0.0667517124577573,0.169284479781579,0.8398418565076
"PTHR10037_SF137",21.8440236910228,3.04800704793349e-05,0.374140091779687,0.544053168853689,0.476606346485468,0.493761170649807,0.494952361749047,0.343872388792049,-0.226509907275711,0.76160852983135,0.378081762260679,0.328100801828276,0.649877650213095,0.909518583324199,-0.690366820237957,0.519310151807876,0.368266508875449,0.493761170649807,-0.105926593188776,0.760957584169447,0.138979778206101,0.91845657547616
"PTHR10037_SF161",11.8460586769832,0.00131996882198722,5.07702640042154e-05,0.994348598430783,0.305762101085429,0.58322385835223,0.681288301343743,0.175591400632222,-0.24666387200918,1.03547167929081,0.514034365350381,0.4460809916625,0.657949719890313,0.341594672396141,-0.55295759429221,0.514160753161893,0.734359204744791,0.58322385835223,-0.0850143161189,0.818280449492462,0.0526361345612732,0.998825033049392
"PTHR10037_SF188",17.6307666352761,0.000136343855777067,4.36917404002391,0.0426867511743698,4.77498095354694,0.0345055068408795,1.76437253777173,0.103522877082214,0.769264415327138,0.817173602783439,0.40566567168265,0.352038224106443,2.15911592317956,0.25519259900108,2.1851729802345,0.0366007137833352,0.799819899399864,0.0345055068408795,0.319505995553755,0.181110122200352,0.0393465802308119,0.326065652335377
"PTHR10037_SF189",1.25383021928129,0.269184938074152,0.440284080128146,0.510611343146051,4.39400566546771,0.0421296330203058,-2.8509098813785,1.0810949173817,-2.45985587482652,2.72397967982408,1.35225249898163,1.1734898994791,-1.046597337893,0.799477108155365,-2.09618836593177,0.301271357216733,0.428512309793066,0.0421296330203058,-0.307750927639728,0.201442962048537,0.122433902933727,0.906807656730239
"PTHR10037_SF200",9.40835398935849,0.00377135490187346,9.27366756803868,0.00400438107893618,17.6847994062436,0.000133648974511393,3.553134051058,-0.158454182630872,2.14429953854528,1.18361344758216,0.587575690882026,0.509900435716537,3.00193788632278,-0.269674503369961,4.20532988078743,0.00450265654702161,0.788731252947447,0.000133648974511393,0.544337431550663,0.00415618164345203,-0.0415757000130063,0.0550236549584055
"PTHR10037_SF22",19.0014931232538,8.26840219817061e-05,0.347782087521111,0.558530748640116,1.04392021207141,0.312760803956156,0.611177661266198,0.0655990889366542,-0.318896048931484,0.724502674366321,0.359661475886634,0.312115606739539,0.84358233984541,0.182391202101754,-1.02172413697211,0.403681927433274,0.856153256730068,0.312760803956156,-0.155731958127908,0.63340640885156,0.0281324343949434,0.91845657547616
"PTHR10037_SF28",13.7775848856687,0.000599394868808026,0.433427446346256,0.513904805281671,0.298282997415748,0.587850445948281,1.25922099480383,-0.100211528845852,-0.280075886010026,1.19038097398198,0.590935262377313,0.512815884731619,1.05783024286046,-0.169581230341043,-0.546152906625743,0.296179263526696,0.866153661220722,0.587850445948281,-0.0839755544660768,0.818831304192486,-0.0261579981514761,0.908337724207261
"PTHR10044_SF79",32.8049820327303,9.78493151751632e-07,2.16102251439202,0.14900252600868,0.435639907525966,0.512838008849178,2.39960752870172,-0.435476851761303,-0.34173508782886,1.20184995508068,0.596628755051422,0.517756719487596,1.99659493147015,-0.729895849092574,-0.660030232281799,0.0523776524502168,0.469505456213201,0.512838008849178,-0.101320762822523,0.775822240161009,-0.111917802082457,0.616470845710324
"PTHR10046",142.16267054701,4.57160823002629e-15,0.14075317901527,0.709421398833891,0.00212121020579868,0.963483436139265,1.91896375743164,0.0677334548259112,0.0102890325588453,0.518569769035732,0.257431166344156,0.223399752445268,3.70049291727883,0.263112877076271,0.0460565978530621,0.000619877379132666,0.793750081976374,0.963483436139265,0.00710650788174248,0.995231475591722,0.0405657799319903,0.956191452565858
"PTHR10048_SF15",8.52173451594178,0.00561950656405966,6.98189183488084,0.0115195044653144,14.415690948092,0.000465199227390269,-1.00529992920752,0.175596076440026,-1.77014421515665,1.08221967755232,0.537241255599871,0.466220019933186,-0.928924090052793,0.326847714336382,-3.79680009324853,0.358236691623139,0.745406434597539,0.000465199227390269,-0.505496061020515,0.00947814780535051,0.0503696788371319,0.129469213229729
"PTHR10048_SF35",37.8813460536532,2.37831147451618e-07,1.12695694660563,0.294491759684209,1.25257004996033,0.269422190916458,1.92759301486804,-0.430101639197453,0.273216154822078,0.566669542871534,0.281309112223002,0.244121125362112,3.40161746668116,-1.52892892732355,1.11918275985664,0.00148129712924586,0.13377935648821,0.269422190916458,0.170174723047932,0.588969440608072,-0.229615441729917,0.76809836555352
"PTHR10048_SF54",39.5668143585868,1.51823328482265e-07,0.155712533423563,0.695131718665916,2.09425947892403,0.155276510590625,0.37182106104065,0.344268373819926,-0.355648501670484,0.570466631468169,0.283194083165218,0.245756910367626,0.651784066815128,1.21566231176898,-1.44715565124282,0.518091512177584,0.230902675798472,0.155276510590625,-0.217933612668941,0.42872072617011,0.184365221079089,0.948697637265645
"PTHR10052",2.19219735656499,0.146174563067783,4.26181962152472,0.0451896962492782,1.92670891916559,0.172438516137125,1.76063527301781,-2.06094417176528,-3.37531045377566,5.64456109690583,2.80210307935863,2.43167578791902,0.311917125670397,-0.735499056743127,-1.38805940764997,0.75664674893924,0.466123266973288,0.172438516137125,-0.209432328256471,0.458077192162251,-0.112766079781415,0.3382908665102
"PTHR10055",1067.55621045638,1.72116287257605e-31,0.347590480033137,0.558638684410994,4.52902240326644,0.0392359909073018,1.64033223678741,0.172009245181095,-0.176980608730013,0.193040288391319,0.0958300879829446,0.0831617175038449,8.49735695308452,1.79493986493791,-2.12814999548116,1.14435213814358e-10,0.0798619441400416,0.0392359909073018,-0.31198971008638,0.193190545705479,0.266916816824295,0.91845657547616
"PTHR10057",39.6959493250166,1.46749864491192e-07,0.586214949602989,0.448168056797801,0.588100648361442,0.447443972791832,0.973240757918911,0.501344822307418,-0.309674433259376,0.937354848255016,0.465326685574707,0.403812280540235,1.03828423113264,1.0774039784291,-0.766877205529961,0.305078531100771,0.28744937124151,0.447443972791832,-0.117511858051721,0.730602687166707,0.163996218993416,0.875290140810164
"PTHR10060_SF15",27.2996808914382,5.11453857521444e-06,2.32964852852175,0.134426707935918,17.2851718249631,0.000154989807547348,-0.692626700530535,0.484503563136033,-1.22929313410773,0.68634600972701,0.340719541226298,0.295677723269376,-1.00915091034917,1.42200110211535,-4.15754396548768,0.318681004207819,0.162410096090746,0.000154989807547348,-0.539962760636778,0.00457884174297023,0.214320946444464,0.595013490576498
"PTHR10060_SF19",16.4998078128588,0.000208071797703986,3.65111659218291,0.0628735087412703,1.11710845195226,0.29658356382257,1.27798813397055,0.410306072454965,0.456833624651685,1.00330944565549,0.498068218051878,0.432225507866021,1.27377265259932,0.823794929256515,1.0569335134966,0.209748083710106,0.414709707608751,0.29658356382257,0.160961812862137,0.61921737504803,0.126099637550159,0.41076272285845
"PTHR10061",7.39963916868158,0.00944896737259849,0.381594236396975,0.540086467014494,0.738372010076508,0.395060947660782,0.844617450081666,0.0531594026418944,-0.676259173739393,1.8268381169233,0.906888706674922,0.787001494200337,0.462338420825235,0.0586173388759043,-0.85928575577424,0.646224942717093,0.953534912782902,0.395060947660782,-0.131440325261447,0.693356726066094,0.00904448180042335,0.91845657547616
"PTHR10063",158.078414947522,7.93119433436505e-16,0.374374300043385,0.543927708358822,8.50916375181573,0.00565177834095995,1.58248813275993,0.547658176861574,-1.02311894750378,0.814155187837301,0.404167254060775,0.350737891553317,1.94371804835342,1.35502857136274,-2.91704709454882,0.058649593022462,0.182652122747224,0.00565177834095995,-0.410448196353172,0.057575751768991,0.204659772047219,0.91845657547616
"PTHR10064_SF1",7.35728039032448,0.00963955611667773,3.55158729065917,0.0664212973170775,0.587893860726584,0.447523286218313,5.50319987417353,-2.22495626190067,0.759878284385094,2.30048326711576,1.14201815449064,0.991047729862421,2.39219295912253,-1.94826698082837,0.766742369200101,0.0213000407294934,0.0580857068892217,0.447523286218313,0.117491481748855,0.730602687166707,-0.287896184772151,0.42460353277192
