"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.28661115970906,0.263106071860041,0.0201886523398791,0.887690870069648,0.28118478560231,0.598718268297793,-0.362337318596201,0.599227782721911,-0.590626149206824,2.64654261324343,1.32401116147699,1.1138244879638,-0.136909686163014,0.452585144413319,-0.530268597601546,0.891756382745669,0.653176710614839,0.598718268297793,-0.0815496938248209,0.847770027004583,0.069665731231381,0.980632864581699
"PTHR10003_SF33",9.67722488466826,0.00334811463677973,0.147407304702705,0.702962339299415,0.031969793630047,0.858953702530364,1.47423161441858,-0.1250414235361,-0.107091639850036,1.42314051193305,0.711968102353817,0.598943219002899,1.03590025163161,-0.175627845015394,-0.178800988895607,0.306176404802233,0.861430357716539,0.858953702530364,-0.0275790971545031,0.957841065965377,-0.0270900190935776,0.943977998487786
"PTHR10010",61.5512153532006,9.20793905954253e-10,2.06727105654944,0.157900145350852,0.153102408346824,0.697566120034749,5.2045063241931,-0.994974315766852,0.24312356992846,1.47638009845909,0.738602779022224,0.621349642729097,3.52518049357689,-1.34710340121387,0.391283028442103,0.00103722221666561,0.185170508985655,0.697566120034749,0.0602665373271986,0.892953720972987,-0.203512492375359,0.594938095689551
"PTHR10015_SF142",20.4803282353789,4.88863541650618e-05,5.76488277110595,0.020855213988868,0.224162146229864,0.638338467755465,0.61214605401451,0.638200863333015,0.167532520438879,0.840775626996939,0.420622856730617,0.353849009476036,0.728073024905537,1.51727575694191,0.473457649879969,0.470608766354899,0.136688741390162,0.638338467755465,0.0728619210889231,0.866256100972404,0.227956634279907,0.204400865066252
"PTHR10024_SF10",58.0179215575777,1.93065112726008e-09,4.77627019937028,0.0344824083248009,1.24474860725764,0.270900751597571,2.20419380275657,-0.598400206415075,0.235376999961959,0.501285714053359,0.250782994074755,0.210971212398043,4.39708082828377,-2.38612753078744,1.11568302275227,7.33695551101236e-05,0.0216107477580838,0.270900751597571,0.169657919160923,0.622548127953624,-0.345512352189204,0.272694533138387
"PTHR10024_SF173",3.41716579696087,0.0715699531739623,19.7861473991908,6.24536489977929e-05,11.2000995000163,0.00173259095934491,2.46853714445027,1.17009310138122,2.73123237941427,1.93914302017563,0.970113607680116,0.816108144538322,1.27300416666879,1.20614028307399,3.34665497176156,0.210018034266269,0.234514001795294,0.00173259095934491,0.45883307677213,0.0311565052515241,0.182969656484291,0.00251094128766033
"PTHR10024_SF185",8.03636622189235,0.00702079160427493,19.9951643137588,5.7994852372285e-05,20.6669997569729,4.57940822965405e-05,2.35775550642221,0.204201925187188,1.75689026883751,0.918265038394501,0.459389225000395,0.386461219663247,2.567619813278,0.444507433074889,4.54609720056367,0.013889348971732,0.658957944195007,4.57940822965405e-05,0.574274147412185,0.0171386634955381,0.0684282163408015,0.00248657711489076
"PTHR10024_SF188",9.75250890727504,0.00323885449246937,21.0197355552216,4.04988016426175e-05,15.1763971095938,0.000345425031953718,1.99142529823896,0.458233599675784,1.57554950569418,0.960970027218353,0.480753657815719,0.404434050356471,2.0723073996422,0.953156761734786,3.89568955508441,0.0444121767622573,0.345964339595836,0.000345425031953719,0.515200111370443,0.0171386634955381,0.145509928477004,0.00236776936006188
"PTHR10025_SF29",4.33184576332883,0.0435394390630915,1.52745226161739,0.223363125905662,4.02128833560474,0.0514011557836553,-0.832334227882689,0.377032561596145,-1.74854227355483,2.07183735336896,1.03649786967293,0.871953909871992,-0.401737243770248,0.36375623397578,-2.0053150215377,0.689914428896017,0.717864796431843,0.0514011557836553,-0.295599177236718,0.242135740684736,0.0560405985399563,0.690972242891412
"PTHR10025_SF30",8.04713938765795,0.00698594146987425,2.48061120278662,0.12276101962875,2.98776964578889,0.0912417763764791,0.321590984313295,-0.052048832747375,-1.02478947551256,1.40871529701718,0.704751462251467,0.592872219980615,0.228286712719194,-0.0738541677956862,-1.72851660269402,0.820531191672976,0.941477052820596,0.0912417763764791,-0.257707064511473,0.342757481465139,-0.011395205589707,0.54420104735746
