"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.41993931932489,0.240103560619971,0.00640571560999548,0.936589004004894,0.295694790870689,0.589469129163793,-0.245291831957182,0.525043739482597,-0.577108364471033,2.53455319171325,1.27232755011988,1.06129356757281,-0.0967791217636176,0.412663971186606,-0.543778255238924,0.923362152856969,0.681951861511013,0.589469129163793,-0.0836129902070298,0.829162366841501,0.0635467364300886,0.985378909652472
"PTHR10003_SF33",9.68556466224878,0.00333582087178159,0.150218318705736,0.700284107042946,0.0232344582396323,0.879578869720311,1.51015911660944,-0.139890135700115,-0.090243759309381,1.41389377155703,0.709764547209565,0.592039800107889,1.06808527414786,-0.197093721079889,-0.152428534860217,0.291582839406367,0.844704913720298,0.879578869720311,-0.0235137305438186,0.956596951134159,-0.0303981669869801,0.9475755746734
"PTHR10010",61.5536702259021,9.20328701554006e-10,2.07095976568372,0.157538503218414,0.152887533323586,0.697767594943326,5.20109459336844,-0.994425633403788,0.240142988600197,1.46672857235416,0.736287238814176,0.614163318530514,3.54605118588537,-1.35059468775441,0.391008354544486,0.000976101881670011,0.184057819959798,0.697767594943326,0.0602243847603549,0.881240645254217,-0.204018008747443,0.618781525923344
"PTHR10015_SF142",20.4780533549911,4.89253641816448e-05,5.76687115699843,0.020834549663516,0.214976312665416,0.645288692696165,0.601366751797493,0.642473119940675,0.162184669810047,0.835372884376101,0.419351205131493,0.349795724000493,0.719878228088076,1.5320645608714,0.463655381361433,0.475587149936831,0.133005031039371,0.645288692696165,0.0713611811547148,0.856115436484813,0.230061452650858,0.212245560118971
"PTHR10024_SF10",58.0060757038237,1.93553621387037e-09,4.782447993013,0.0343719579928478,1.23058808232304,0.273604259443384,2.19786215042251,-0.596439627281302,0.231355903907633,0.498069688453342,0.250027416497207,0.208556742185084,4.41276030518449,-2.38549690124869,1.10931874694473,6.98339636576818e-05,0.0216432857485292,0.273604259443384,0.16871775218369,0.591236790521335,-0.345431934066321,0.288697509313689
"PTHR10024_SF173",3.39201682262596,0.0725816087860179,19.6564677974111,6.53999583455438e-05,10.7876003770075,0.00206590103848085,2.33236524947826,1.22143860491371,2.65946738127438,1.9337401794465,0.970723720901852,0.8097151089642,1.20614200101373,1.25827625163927,3.28444826066838,0.234513346531446,0.215242045441664,0.00206590103848085,0.452060399781359,0.0357513250843381,0.190597038485156,0.0026366117984841
"PTHR10024_SF185",7.9357961886214,0.00735520117703606,19.7595600508133,6.3046134041675e-05,19.8607730658386,6.08217170780424e-05,2.27598385618079,0.234703565647025,1.71326381419966,0.91810435136681,0.46088180904948,0.384437874751233,2.47900345183253,0.509248924645293,4.45654272568306,0.0172740802317479,0.613243024247538,6.08217170780424e-05,0.566618047234402,0.0190287271505217,0.0783373351891503,0.00263392737774109
"PTHR10024_SF188",9.60687808646087,0.00345374540928848,20.7812093454403,4.40041282619677e-05,14.3244635482398,0.000482262512183125,1.89036953753342,0.497195161284461,1.52366513580134,0.961426802042052,0.482629369019039,0.402578286395956,1.96621264720134,1.03018007854563,3.78476730437154,0.0559064559679128,0.308821720910525,0.000482262512183125,0.504301954420281,0.0190287271505217,0.156989181498571,0.00250365906188961
"PTHR10025_SF29",3.41391755459579,0.0716997329338805,1.14675061000762,0.290345792279618,6.56514909374985,0.01407563119646,-2.27322814071453,0.960348361237015,-2.44379279031011,2.27775999260738,1.14341920328619,0.953766540206187,-0.998010390950952,0.839891754902289,-2.56225468947758,0.32398973884365,0.405724829796349,0.01407563119646,-0.36767147170676,0.115052985431934,0.128523288288753,0.77523846859102
"PTHR10025_SF30",6.36993614949213,0.0154762794088206,2.20005487894662,0.145471681324456,4.06607479483302,0.0501770992852086,-0.215103371785472,0.136319694691352,-1.33007648620968,1.57526931104048,0.790773912280917,0.65961258673448,-0.136550220510164,0.17238769839808,-2.01645103953283,0.892038777938498,0.863960766205373,0.0501770992852086,-0.297096186571773,0.226512583064903,0.0265905937987151,0.601069804153798
"PTHR10026_SF45",7.51067669212925,0.00896819754244537,0.16689952891815,0.684957665159443,0.947625366435625,0.335897924294508,2.55763995955665,-0.642381669117059,0.554267134868138,1.35977379445844,0.682596706305879,0.569378139756978,1.88093046797927,-0.941085216472171,0.973460510979066,0.0669263156718152,0.352042757665088,0.335897924294508,0.148541826829531,0.654604120133082,-0.14370536970317,0.94119099770746
"PTHR10026_SF60",1.90394806287024,0.1749389287276,2.84252840358048,0.0992159610958234,1.04585172020778,0.312318995949273,1.12307860714195,-0.874994410160629,-1.19456093466513,2.78958197741467,1.40035017406103,1.16808178203827,0.402597455903696,-0.624839719641794,-1.02266892013387,0.689286265642848,0.535456336745813,0.312318995949273,-0.155872465494702,0.635079334929298,-0.0959698343409357,0.515524139563223
"PTHR10029_SF5",20.8938926163933,4.23100264529316e-05,0.132926330913208,0.71724636423633,0.483273526219082,0.490771773286138,3.4216666167098,-0.561354711360773,0.447365441307983,1.53685115401574,0.771488272600032,0.643525750182114,2.22641379926033,-0.727625721994351,0.695178772848454,0.0314059752732598,0.470879734110986,0.490771773286138,0.106656546111576,0.770334745469247,-0.111574054500022,0.954331096689199
"PTHR10030",190.387419448823,3.36229533373401e-17,0.357801211156859,0.552942114142182,19.66141404783,6.52849403577862e-05,0.582774657493499,0.626930814924436,-0.961823552438735,0.518028807006449,0.260046751066414,0.216914224759959,1.12498503869157,2.41083886783235,-4.43411930915599,0.266983515978389,0.0203699659440073,6.52849403577862e-05,-0.564677696676018,0.0190287271505217,0.348657550725007,0.917930057552755
"PTHR10031_SF3",15.8026882777152,0.00027129169053061,0.137916905756241,0.712227633442657,0.437109792490129,0.512131421734633,1.77102561327584,0.13884011452312,-0.530952197995676,1.91790032616945,0.962772227999614,0.803082486516505,0.923419006248904,0.144208682474766,-0.661142792814177,0.361063770462967,0.886025439188161,0.512131421734633,-0.101489793498255,0.781461502149811,0.0222463758758554,0.953633373881137
"PTHR10032_SF11",93.0029661739296,3.2758627509374e-12,3.38326333836418,0.072937452625918,0.0725628296210105,0.788960226390478,0.731357355889993,0.283118050076661,-0.0403319955882724,0.357567867230299,0.179496508497892,0.14972440850836,2.04536655252343,1.57729001218977,-0.269374886767513,0.0471162689747571,0.12223202299659,0.788960226390478,-0.041529587853254,0.920317215003216,0.236478071343174,0.444394250083305
"PTHR10032_SF206",36.8603497742155,3.13658388848759e-07,0.00698940585204116,0.933769556029781,0.0829390835922692,0.774769683698294,1.30469937522876,-0.0728548863673021,0.0700083554245294,0.580545332162366,0.291429598959959,0.243091772042022,2.24736864280541,-0.249991375712362,0.287991464443426,0.0299279173182182,0.803812782179153,0.774769683698294,0.0443942358042259,0.915757002862657,-0.0385458394329321,0.985378909652472
"PTHR10032_SF26",6.17732047951928,0.0170057926672138,4.70738187951522,0.0357405106142187,14.6753650550108,0.000420023306350936,-1.94227297390876,0.609688897443292,-2.37012998532085,1.47755476260249,0.741721908783157,0.618696569641376,-1.31451843482791,0.821991221000235,-3.83084390898543,0.195805235981155,0.415724037629407,0.000420023306350936,-0.508858804835086,0.0190287271505217,0.125827917040937,0.297430084306657
"PTHR10032_SF71",8.84858122105535,0.00484561424051042,0.603513591558205,0.441594129159205,5.58938059800221,0.0227690788052875,-1.60826140138638,1.27893389153739,-1.18894785227303,1.20101060757204,0.602898723528941,0.502899223646325,-1.33909008900233,2.12130801016035,-2.36418709031291,0.187743873837439,0.0398402948343527,0.0227690788052875,-0.342710030324221,0.143337762463727,0.311083874791687,0.868902625215258
"PTHR10033",1068.80491949745,1.68094930002156e-31,0.246899588668335,0.621857756852766,4.82734060507843,0.0335807906205915,1.64068215764472,0.172734262911749,-0.175899973234772,0.191195505998605,0.0959787746954722,0.0800593024950426,8.58117532143613,1.79971314970224,-2.19712098098362,8.78013465577862e-11,0.0790923131269052,0.0335807906205915,-0.321073323980756,0.180611378422323,0.267575871165847,0.924910991955507
"PTHR10036_SF6",7.97365834668275,0.00722735501624912,2.57556582344102,0.116019420463414,6.40191439635249,0.0152369623976802,2.15258438942366,-0.198882798524358,1.0192430902827,0.96203023773291,0.482932289414127,0.402830963048885,2.23754337960975,-0.411823360922158,2.53020046564546,0.0306130574099859,0.68256314748746,0.0152369623976802,0.363683553396206,0.118458790369935,-0.0634178107506438,0.555389262773938
"PTHR10037_SF133",95.5668970430435,2.19804525829781e-12,0.720803160576646,0.400693895112977,7.1657842718398,0.0105538634182656,0.904228514038753,0.356741917703179,-0.735340546393233,0.656028227814773,0.329321471979386,0.274698728202811,1.37833781489972,1.08326346156229,-2.67689825578781,0.175397560575607,0.28487137015095,0.0105538634182656,-0.381768752756397,0.09965931300901,0.164863937650246,0.845008105185595
"PTHR10037_SF137",21.7984566170688,3.09594162029911e-05,0.313622061450337,0.578440927945005,0.564061536834902,0.456816030379435,0.480369924057054,0.345774122497557,-0.237304118611825,0.754584553184697,0.378796041468287,0.315967222587026,0.636601852012038,0.912824012514147,-0.751040303069617,0.527838770839288,0.366545399894554,0.456816030379435,-0.115117596083883,0.746558639288147,0.139475058989955,0.92375640932204
"PTHR10037_SF161",11.7575218757065,0.00136976941162834,0.00525488624463583,0.942555610856281,0.388403919101494,0.536509410935233,0.653044113576227,0.17908759356021,-0.267770368932076,1.02609268909498,0.515091181191452,0.429655836078106,0.636437741459998,0.347681342837134,-0.623220602276187,0.527944659595474,0.729815962991036,0.536509410935233,-0.0957234338866359,0.799928955886129,0.0535713580984092,0.987127684655002
"PTHR10037_SF188",16.5244250439627,0.000206145427427216,3.56571021193996,0.0659046483887512,3.18097111939076,0.0817275953342821,1.57613264898409,0.119933346105188,0.621248895029498,0.831862686446254,0.417589110910263,0.34832589866953,1.8947029054968,0.287204198988228,1.7835277175841,0.0650300697110847,0.775368241443858,0.0817275953342821,0.265339607476599,0.30100207863098,0.0442731160733991,0.421300812574768
"PTHR10037_SF189",1.28250063345542,0.263858642823296,0.52449673459829,0.472944888101261,5.49658872276543,0.0238567920783983,-3.12910123339405,1.2458885877816,-2.52876567661781,2.57589315411204,1.29307991517297,1.0786038518158,-1.21476359700669,0.963504709308661,-2.34448048035496,0.231241763004427,0.34080927818222,0.0238567920783983,-0.340185197119906,0.148155693748131,0.147055674500803,0.881470096312244
