"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26870902624682,0.266403819520104,0.0188473295798756,0.89146109939427,0.410414238936925,0.525239479122684,-0.586910274769518,0.683907509885797,-0.708895674999613,2.63546115335792,1.32339463930186,1.10655018930069,-0.222697372724207,0.516782741576304,-0.640635808347399,0.824850537128766,0.6080185640125,0.525239479122684,-0.0983727818215206,0.787383630600794,0.0794889863362168,0.979856260971387
"PTHR10003_SF33",9.67993542625785,0.00334411373466731,0.150740886069518,0.699789415571733,0.0276794032585114,0.868663133243904,1.49587885451048,-0.135046257860085,-0.0985417117055275,1.41067588630342,0.708369730036692,0.59230001058527,1.06039868479664,-0.190643744550024,-0.166371281351414,0.295023368565111,0.84972325892079,0.868663133243904,-0.0256631909926733,0.95684159807936,-0.0294042485832567,0.948465716228387
"PTHR10010",69.0425240283058,2.07997123676867e-10,1.80627458501318,0.186171227089107,0.326236807343388,0.570927351159323,5.24151911359098,-0.965348588434558,0.330046209824157,1.37623872161747,0.691077136260427,0.577840889814825,3.80858279254832,-1.39687530925748,0.571171434285178,0.000449056583416346,0.169788724089357,0.570927351159323,0.0877933559421303,0.813168722108891,-0.210703608245304,0.657180039022488
"PTHR10015_SF142",20.4931700465617,4.86667530063689e-05,5.75768299620435,0.0209302225669123,0.223272412709995,0.63900394224203,0.604295186112772,0.6424046776704,0.16532184459002,0.833293917710784,0.418437851856103,0.349874837354794,0.725188523843885,1.53524513812703,0.47251710308728,0.472357709409832,0.132223283162534,0.63900394224203,0.0727179434650006,0.852277602245869,0.230513708288952,0.210779054025425
"PTHR10024_SF10",57.9987081453838,1.93858103873148e-09,4.81756755887695,0.0337513268919614,1.18742849465541,0.282061722271042,2.19139798553138,-0.594402849971452,0.22735778442609,0.496925859458235,0.249530909495513,0.208644093710623,4.40990933319615,-2.38208104628473,1.08969192648904,7.04641780718164e-05,0.0218202991539552,0.282061722271042,0.165815475401336,0.597774433425419,-0.344996210684074,0.282786927137304
"PTHR10024_SF173",3.41726770856674,0.0715658856394446,19.9004292080145,5.99728053085291e-05,11.087211328496,0.0018177367588334,2.33859981916993,1.23474545339851,2.68702622311057,1.92196840618477,0.965114846186093,0.806976229182484,1.21677328911572,1.27937670659397,3.32974643606626,0.230484007544499,0.207787379879734,0.0018177367588334,0.457000006795945,0.0308344772328337,0.193674288010706,0.00227731597405506
"PTHR10024_SF185",8.02314347382066,0.00706381912349632,20.1407039632437,5.5088664609872e-05,20.4375776884074,4.96249444929641e-05,2.2759140189442,0.244520207146539,1.72842298377044,0.910585697480434,0.457249855166767,0.382327310967058,2.49939574632194,0.534762787529715,4.52079392235561,0.0164347080647456,0.595633837386734,4.96249444929641e-05,0.572126003870793,0.0165512835314282,0.0822361979801765,0.00221407732167696
"PTHR10024_SF188",9.70210489429358,0.00331158008158538,21.0449227658725,4.01461784940944e-05,14.7930138517556,0.000401100309912925,1.90172458831584,0.500764232337451,1.54178108440511,0.95472849215259,0.479416123016513,0.400861531340027,1.99190094770095,1.04452939376885,3.84616872377637,0.0529099188256036,0.302215342362677,0.000401100309912925,0.510364988677099,0.0165512835314282,0.159120879124155,0.00214000441617464
"PTHR10025_SF29",3.12863142846523,0.084190334895584,1.17598646773788,0.284360462446825,5.34857549975205,0.02570959490851,-1.92906239827684,0.788640263062212,-2.32912002665998,2.39860263595735,1.20445633061098,1.00710048315225,-0.804244258452129,0.654768664516182,-2.31269874816243,0.425784894328103,0.516186747523567,0.02570959490851,-0.336097751083529,0.161230323221702,0.100521257241872,0.765457655509564
"PTHR10025_SF30",6.23791070127334,0.0165078739024869,1.58190201793349,0.21543519249493,4.04191383639225,0.0508334177920253,-0.37016383291117,0.25647152365122,-1.31532563204217,1.55820739134291,0.782452553321201,0.654244014055504,-0.237557487512719,0.327779010449387,-2.01045115245117,0.813379377607729,0.744707147429154,0.0508334177920253,-0.296289896120799,0.232229046623833,0.0505128328595087,0.69379592680018
