"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26870186056263,0.266405150046031,0.0196486348889346,0.88919292577439,0.408049628258871,0.526429519532773,-0.584815226226646,0.68356521443227,-0.706645350942055,2.63543243195814,1.32662595738438,1.10622893222533,-0.221904845343398,0.515265972769,-0.638787623752113,0.825463436969426,0.609068741045234,0.526429519532773,-0.0980917185903129,0.783544787420945,0.0792571520737904,0.983833585561809
"PTHR10003_SF33",9.67805085524711,0.00334689492337407,0.144864978104626,0.705409993580278,0.0261034122366121,0.872422746524805,1.49815680257883,-0.135074528429614,-0.095674221263243,1.41076010044323,0.710149479150035,0.592169854409759,1.06195008074593,-0.190205769905348,-0.161565504476086,0.29432670103978,0.850064252405024,0.872422746524805,-0.0249223550378238,0.956242379409832,-0.0293367550552337,0.953154018928841
"PTHR10010",71.1516989771173,1.39370064620251e-10,1.35686842617394,0.250654575880745,0.328800871280094,0.569423841329565,5.14721299821702,-0.868234227769875,0.328704064782389,1.36566905303663,0.687451513833278,0.573242781713587,3.7690046404522,-1.26297522123202,0.57341160720733,0.000505531546439512,0.213564878057195,0.569423841329565,0.0881350179032917,0.810661489586751,-0.191282817032057,0.731164171469767
"PTHR10015_SF142",20.6113231447293,4.66942679469548e-05,6.00988974929681,0.0184674947740612,0.249227020687421,0.620224946221543,0.597405124403859,0.656762095121046,0.174107806916676,0.830859434176623,0.41823864613271,0.348755192336931,0.719020690901686,1.57030466025526,0.499226422264908,0.476109832866768,0.123848336443488,0.620224946221543,0.0768047675528021,0.838297823823955,0.23548897936026,0.190877414419779
"PTHR10024_SF10",58.0383590960038,1.92225329034027e-09,4.85764450227654,0.0330579193047316,1.17920935363476,0.28371052083347,2.19383079445871,-0.597698982025471,0.226424904576615,0.496747407257934,0.250053083031284,0.20851088696224,4.4163910317494,-2.3902883930877,1.08591406365088,6.90393698292947e-05,0.0213971670632768,0.28371052083347,0.165256334208946,0.596933441191435,-0.346042756140195,0.276452376112525
"PTHR10024_SF173",3.45460031696377,0.0700929848768381,20.4500269552969,4.94086589486111e-05,11.333090465044,0.0016376622522031,2.29960466092963,1.28689233994854,2.70113958454241,1.91152385865765,0.962224315942951,0.802366614087292,1.20302168895999,1.33741407136175,3.36646557461144,0.235705725076324,0.188285545843295,0.0016376622522031,0.460973333156685,0.0285231982904992,0.202108686336915,0.00188330944893997
"PTHR10024_SF185",8.07563200565032,0.00689465537548402,20.4590272601032,4.9252910654236e-05,20.6481239927624,4.60972066448016e-05,2.25520813739496,0.268378648681091,1.73123063389113,0.907656457668329,0.456896789509301,0.380990922710861,2.48464947099957,0.587394472544499,4.54402068577625,0.0170378667541881,0.560083639131509,4.60972066448016e-05,0.574098304812931,0.0152121265327507,0.0902669194256986,0.00188330944893997
"PTHR10024_SF188",9.80805621951093,0.00316066466535772,21.5966052958307,3.31800455870713e-05,15.0867999469068,0.000357663311231043,1.88101241832549,0.527540143564637,1.54814974054424,0.949557507658694,0.47798897153029,0.398578986524556,1.98093575497441,1.10366593161283,3.88417300681971,0.0541715726919968,0.276021518107223,0.000357663311231043,0.514080009615074,0.0152121265327507,0.16788229976718,0.00177578150938212
"PTHR10025_SF29",3.12808550792241,0.0842164559748447,1.17581190962963,0.284395719827291,5.34193956363721,0.0257962229943168,-1.9102299265388,0.770663513982248,-2.32711914609546,2.39870039951718,1.2074596090568,1.00686010747571,-0.796360365355882,0.638252002966998,-2.31126362919447,0.430301161933505,0.526774670632486,0.0257962229943168,-0.335912729464818,0.158534445519127,0.0980102595072154,0.759992898984845
"PTHR10025_SF30",6.41077612496699,0.0151713479711525,1.24625892121167,0.270614433318264,4.06242948263386,0.0502755237216693,-0.457066804710393,0.336030966362044,-1.32871166661738,1.57052445735003,0.790571781147702,0.659231317191167,-0.291028135583198,0.425048015088794,-2.01554694379314,0.772462205242507,0.672971512926696,0.0502755237216693,-0.296974730934116,0.228583951674495,0.0654457240855505,0.746881237742182
"PTHR10026_SF45",6.42334652593647,0.0150787928026202,0.0949907933021184,0.759449209151273,0.576616598976958,0.45188265357505,2.31662538425157,-0.528505632760445,0.463769403953541,1.45500805285306,0.732423046673972,0.610743036007558,1.5921735826197,-0.721585202923991,0.759352750029232,0.118845130938569,0.474547692015134,0.45188265357505,0.116374545196617,0.731628046314351,-0.110659191191897,0.961558866467086
"PTHR10026_SF60",1.88989750895034,0.176503961720956,2.94714442727204,0.0933969829219789,0.942081301887404,0.337299907431354,1.3259651655369,-0.995763292847871,-1.14528047203611,2.81108861961099,1.41504790108123,1.17996102816133,0.47169098700289,-0.703695819828442,-0.970608727493939,0.639588700951889,0.485505399288128,0.337299907431354,-0.148116229223957,0.6478500802987,-0.107948122873374,0.500332527009736
"PTHR10029_SF5",23.4549690489981,1.76931159385509e-05,0.00430687364948135,0.947986362790278,0.970816027614563,0.330119067806985,3.5216824672513,-0.498689564743157,0.603636238465677,1.45953229367324,0.734700462416726,0.612642096681982,2.41288423868183,-0.678765823969631,0.985299968341907,0.0202702068573631,0.501009557698433,0.330119067806985,0.150307851924882,0.644031146107716,-0.10416606889661,0.991193691501096
"PTHR10030",190.500606735008,3.32791925767554e-17,0.344689802446697,0.560277621585503,19.6970056684127,6.44635529629977e-05,0.592563901021207,0.618291623895948,-0.962482890967162,0.516653988749282,0.260073672976588,0.216866721139734,1.14692601610546,2.37737106112854,-4.43813087553902,0.257904148330063,0.0220665159671702,6.44635529629977e-05,-0.565025517133732,0.0152121265327507,0.344395043253294,0.924696980112212
"PTHR10031_SF3",16.9778588510775,0.000173827874670154,0.461664109805642,0.500575016202231,0.599949569366839,0.442936086724187,1.89806735736002,-0.0274011363341126,-0.597963991761403,1.83918125847435,0.92580844351759,0.772000638323795,1.0320175614091,-0.0295969825356124,-0.774564115723701,0.307970268303609,0.976528667566037,0.442936086724187,-0.118673248445808,0.725740327167601,-0.00456686592938788,0.905995873876736
