"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.2579047453258,0.268419654421379,0.0190987215588543,0.890744306524098,0.424023863298033,0.518483141740911,-0.667021660035727,0.72331073745783,-0.728989250761158,2.71585260970236,1.35901967832704,1.11950483923153,-0.245603041068134,0.532229774883193,-0.651171147470489,0.807185760396052,0.597371359452785,0.518483141740911,-0.0999744952373952,0.793848929148376,0.0818492852501634,0.980387902867578
"PTHR10003_SF33",9.91506423236728,0.00301562189144729,0.213349073624292,0.646538705502727,0.00577068321299303,0.939807638625755,1.67208810151813,-0.216280188193723,-0.0453999877648844,1.44984755510648,0.725507470812266,0.597643387675438,1.15328545792894,-0.298108836772665,-0.0759650130849263,0.255314496720896,0.76708990926531,0.939807638625755,-0.011720850820419,0.983835091941978,-0.0459506038247502,0.929975300766668
"PTHR10010",61.4477818041883,9.4062048367533e-10,2.1998545080776,0.14548955621788,0.20885331276778,0.650022690673797,5.35643907582,-1.06770385523642,0.283449941426097,1.50465145398134,0.752931483718528,0.620234168110275,3.55992018061509,-1.41806243771786,0.457004718539952,0.000937412614607196,0.163549907282848,0.650022690673797,0.0703426794590502,0.867624256849403,-0.213754478761881,0.602055881286003
"PTHR10015_SF142",20.4556167557867,4.9311867873548e-05,5.76365624800425,0.0208679716497985,0.194283797856095,0.661635454919026,0.579227611469489,0.652917078845506,0.156043934259266,0.858833192589579,0.429762353435517,0.354020653315964,0.67443552073597,1.51925145054259,0.440776358095684,0.503730063533719,0.136191949488534,0.661635454919026,0.0678565042509319,0.874287208346558,0.22823801085557,0.208377282126249
"PTHR10024_SF10",58.5897762447036,1.70954476571237e-09,5.13696311218383,0.0286337727714189,1.50104691296936,0.227336984350027,2.28934189406833,-0.639592380085545,0.256835823690906,0.508555889622404,0.254482684022277,0.209632429027277,4.50165250424714,-2.51330412732348,1.22517219727243,5.27302037087035e-05,0.0158836918535408,0.227336984350027,0.185757893859001,0.557044513968438,-0.361573358106584,0.260158278323177
"PTHR10024_SF173",3.42340562366624,0.0713213798140001,19.8916867877377,6.01588764526748e-05,10.5107823685212,0.00232717951510041,2.32852789130519,1.22322922063013,2.65739643987149,1.98847002486034,0.995035549386764,0.819669597512492,1.17101483160086,1.22933217952263,3.24203367788201,0.248193886450017,0.225790063760699,0.00232717951510041,0.447397216152606,0.0398841620974039,0.186366750155638,0.00227187517496552
"PTHR10024_SF185",7.6156544003791,0.00853760719581235,21.1084494447592,3.92710547533087e-05,18.6800571100666,9.28658691616669e-05,2.15360834563489,0.292398510731233,1.67754067935242,0.94159508358231,0.471176617992018,0.388136030983852,2.28719157861515,0.620570927261477,4.32204316383659,0.0272887688361154,0.538235085890711,9.28658691616669e-05,0.55483788734154,0.0239039175936178,0.0953201632061329,0.00204507680114593
"PTHR10024_SF188",9.4946944237363,0.00362957399403724,21.345229878664,3.61818470484098e-05,13.8143687863555,0.000590644848292208,1.85628013181163,0.513276166627199,1.51418955720924,0.988313995753718,0.494554882616598,0.40739408941923,1.87822912534591,1.0378548158529,3.71676859467408,0.0673037288941384,0.305276085975736,0.000590644848292208,0.49749934585573,0.0239039175936178,0.158129595805428,0.00204507680114593
"PTHR10025_SF29",3.18833067630295,0.0813878127231827,1.2902020424503,0.26245087686454,5.07493699086212,0.029557653095138,-1.87669862700834,0.773992703559369,-2.29770688487548,2.4743408207062,1.23816655374245,1.0199509770128,-0.758464077100224,0.625111945739385,-2.25276208039423,0.452408580254434,0.535279386875605,0.029557653095138,-0.328337474653259,0.182375131187016,0.0960112605108729,0.747453568979188
"PTHR10025_SF30",5.85087855302568,0.0199813258113619,2.0024209255712,0.164420282436786,4.06400790076105,0.0502328800197409,-0.389505253002713,0.218195181959147,-1.39881997371298,1.68331260249298,0.842333985059145,0.693880292950373,-0.231392108884503,0.259036422404144,-2.01593846651158,0.818133820555456,0.79687254055258,0.0502328800197409,-0.29702732961303,0.239072589850312,0.0399382974415198,0.627568142405339
"PTHR10026_SF45",6.48552788518925,0.0146297734381464,0.1184157671672,0.732476102273065,0.665276356724074,0.419305076173746,2.45819180311155,-0.595923465543764,0.503314613193856,1.49698937149564,0.749097357802477,0.617075771962158,1.64209035142019,-0.795522049753243,0.815644749093669,0.108039029149528,0.430783077959095,0.419305076173746,0.124871624928072,0.726799877557631,-0.121837228530674,0.94946748703617
"PTHR10026_SF60",1.88461745768662,0.177096383991141,2.99230691741676,0.0910045626838371,0.826198314631022,0.368560733009812,1.44021221928811,-1.0242056881878,-1.0863951592311,2.89951854741321,1.45092658914235,1.19521399418888,0.496707365632472,-0.705897662812298,-0.90895451736103,0.621985409173995,0.484149098958038,0.368560733009812,-0.138895248939952,0.697952391325041,-0.10828193509281,0.488495244595881
"PTHR10029_SF5",19.4527897719237,7.03261314596616e-05,0.0960863212954955,0.758110625531817,0.471503343815768,0.496070248710086,3.40359493715541,-0.552558036087174,0.456277415051491,1.61200656316149,0.806652258337724,0.664487145541396,2.1114026548876,-0.685001536133842,0.686661010845794,0.0407296554267203,0.497106193998778,0.496070248710086,0.105364320720311,0.780390317709898,-0.105112500300966,0.956376574775637
"PTHR10030",189.623754170829,3.60416895486451e-17,0.430964732124263,0.515096886145989,19.5719498259819,6.73985718704645e-05,0.54887197189146,0.642934335716707,-0.970703754064182,0.532291932559097,0.266360261369936,0.219416691559384,1.03114839492805,2.41377723692711,-4.42401964575,0.308372821806235,0.0202267911819035,6.73985718704645e-05,-0.563800677576069,0.0239039175936178,0.349030759429274,0.898624096626063
"PTHR10031_SF3",15.2957683805111,0.000329801094987957,0.102778379722406,0.750110301762919,0.490726196991013,0.487466315821472,1.60708480197004,0.216302279375655,-0.570043279847597,1.97409673580334,0.98784311832443,0.813744766909573,0.81408614523444,0.218964201261578,-0.700518520091377,0.420187395273425,0.827738539981539,0.487466315821472,-0.107466361392665,0.776626824931726,0.0337676414592595,0.95619981112794
"PTHR10031_SF4",1.68267148898305,0.201650465272768,2.60529650623912,0.11399632425498,0.843849875446003,0.363543656968835,1.31135689905512,-0.978814656033607,-1.20959951597398,3.1943995114587,1.59848578711583,1.31676722762535,0.410517499251776,-0.612338666957868,-0.918613017241756,0.683513188993915,0.543614923912153,0.363543656968835,-0.140342222827697,0.693051444454574,-0.0940669452196046,0.538583776537242
"PTHR10032_SF11",92.721335720416,3.42423381484491e-12,3.26742462765023,0.0778340550310807,0.0684549781149053,0.794878624037642,0.733198231276476,0.282252883014483,-0.0396546670956966,0.367681697477129,0.18398887349298,0.151562510480868,1.99411130961199,1.53407582565177,-0.261639022538507,0.052658698011738,0.132510256502076,0.794878624037642,-0.0403389172367749,0.930237274694254,0.230347457654159,0.460323295419868
"PTHR10032_SF206",36.6288862139667,3.34141936261069e-07,0.00994382933960207,0.921042078538679,0.0957735057858494,0.758491984582226,1.32661835961188,-0.0831942133274224,0.0761277817326234,0.596761372840849,0.29862093622417,0.245991716330658,2.22302987423028,-0.278594710670152,0.30947294839105,0.0316506521580872,0.781922985039376,0.758491984582226,0.0476983598279268,0.91523813901428,-0.0429484316088402,0.985691996883917
"PTHR10032_SF26",5.95543722523958,0.0189715272845609,4.94497134080613,0.0315999520701762,12.7217327150889,0.000918894627606082,-1.76096630717091,0.524493356351272,-2.30269091933458,1.56618383307089,0.783722445546955,0.645598503389032,-1.12436756783404,0.669233552428413,-3.56675380634673,0.267242286309993,0.50700884498298,0.000918894627606082,-0.482162258939695,0.0247088371701245,0.102718752661464,0.27853774383392
"PTHR10032_SF71",7.81555874306937,0.00777742208459111,0.363308477026015,0.549915450417383,4.13258084505148,0.0484180137905699,-1.42699139931843,1.19385379921098,-1.11648511833348,1.33236274692407,0.666717768582487,0.549214834952613,-1.07102318990292,1.7906434408509,-2.03287501953551,0.290275232498402,0.0805600700615805,0.0484180137905699,-0.299300059677321,0.232744266290949,0.26632328288798,0.905717319532056
"PTHR10033",1060.76404321921,1.95827221257097e-31,0.228340167078389,0.635235042637334,4.88937518873485,0.0325198860555673,1.62888881345675,0.178299843175733,-0.179059992751413,0.196450031192538,0.0983041042966907,0.0809789013592064,8.29161901155565,1.81375787360422,-2.21119315952606,2.19968730485172e-10,0.0768639431424443,0.0325198860555673,-0.322915922030389,0.189081869133214,0.269512867193786,0.923595503303784
