"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26861447925984,0.266421375710348,0.0188157498359442,0.891551486256554,0.411563461327014,0.524662860586376,-0.599668314781536,0.691507738473272,-0.710859664690162,2.64900569699266,1.32930366902345,1.10806558586743,-0.226374867922074,0.520202986411129,-0.641532120261342,0.822008005146706,0.605653537254691,0.524662860586376,-0.0985090802548414,0.792669961721991,0.0800117146888066,0.982699356657351
"PTHR10003_SF33",9.71615852681807,0.00329113031197231,0.118577502314507,0.732300726386807,0.0537325312986442,0.817816908965155,1.38057253334698,-0.079111543154213,-0.136425886085252,1.40700473348293,0.706052296027737,0.588542911060917,0.981213851306297,-0.112047710345673,-0.231802785355664,0.332105928040151,0.91131938210692,0.817816908965155,-0.0357450884516969,0.934647895960177,-0.0172867535666173,0.950558661303132
"PTHR10010",61.5502202660148,9.20982547608017e-10,2.07673612914618,0.156974137549275,0.156979293187436,0.693958758331086,5.21183042250823,-0.999452749253012,0.243729021363855,1.47063021813264,0.737980347478992,0.615157127106022,3.54394351363599,-1.35430808241335,0.396206124621309,0.000982113908373318,0.182879980422921,0.693958758331086,0.0610220006804821,0.882161710493014,-0.204555505925198,0.620070418698956
"PTHR10015_SF142",21.048993628121,4.00894896272445e-05,5.64574051426622,0.0221346160911948,0.298676514109721,0.587605139816458,0.678965384305051,0.606082712688721,0.189697554306159,0.829809915984843,0.416408831118399,0.347105259818133,0.818217969231225,1.45549918108339,0.546513050264787,0.417850859630941,0.152965553609083,0.587605139816458,0.0840305386648839,0.82523331812094,0.219129932634554,0.221884716047987
"PTHR10024_SF10",84.0686580397595,1.40086950278152e-11,5.84261079098684,0.0200636049540304,0.89552284450053,0.349397971888999,2.00351046604813,-0.50529586683864,0.162412221724308,0.410296486789512,0.205891827977538,0.171624929885921,4.88307974978095,-2.45418126499788,0.94632068798084,1.55471578766054e-05,0.0183482527298329,0.349397971888999,0.144488190316544,0.672672730926485,-0.354145695298068,0.206139781572582
"PTHR10024_SF173",3.39161641615651,0.0725978437843376,19.6841690648527,6.47585378287763e-05,10.7582428752815,0.00209207691523934,2.33592941976166,1.21977587484236,2.66047589233737,1.93912623071267,0.973077413956619,0.811126622092536,1.20462989090873,1.25352398210811,3.27997604797374,0.235090621929734,0.216948216724996,0.00209207691523934,0.451570446021142,0.0374754647425482,0.189903197297505,0.00261915499108843
"PTHR10024_SF185",7.92167644283399,0.00740349298322944,19.8182835816911,6.1745314903285e-05,19.7678719163309,6.28602762016476e-05,2.2746213798692,0.235350881379717,1.71253548440025,0.920824880337662,0.46208126065964,0.385176355668475,2.4701997398627,0.509327907051986,4.44610750166153,0.0176483433981149,0.613188146106,6.28602762016476e-05,0.565716231638992,0.0208178989131177,0.0783494104091983,0.00258754516613802
"PTHR10024_SF188",9.61116317246834,0.00344721103141626,20.7838753571361,4.39632340931463e-05,14.3493052689028,0.000477551702713676,1.90108492981591,0.49216843067565,1.52751336328579,0.964022135931075,0.48375817529114,0.403245547585019,1.97203451970509,1.01738524703887,3.78804768566907,0.0552147915755077,0.314795269024574,0.000477551702713676,0.504627779427192,0.0208178989131177,0.15508656074305,0.00246595065171965
"PTHR10025_SF29",3.1500844704563,0.0831710004736528,1.20490471752834,0.278596976511365,5.15722841481709,0.0283387346781183,-1.8665179598212,0.769330963898915,-2.29115966543779,2.41192943270985,1.21033588110692,1.0088977924663,-0.773869224575169,0.635634269716369,-2.27095319520616,0.44334248734349,0.528463244063858,0.0283387346781183,-0.330699887587362,0.172971239813107,0.0976121171627375,0.766169448918964
"PTHR10025_SF30",5.81974404446534,0.0202930750596782,1.87969785535956,0.177650493821326,4.21771790331699,0.0462640470974417,-0.427661517765433,0.236165958954597,-1.41029251959765,1.64167756515942,0.823814011875246,0.686705360848771,-0.26050274843337,0.286673879723183,-2.05370832966052,0.795748981939524,0.775771521042258,0.0462640470974417,-0.302088724747545,0.224552446986182,0.0441915260673099,0.6541677812875
"PTHR10026_SF45",6.42426767345091,0.0150720342936067,0.0948932664420293,0.759568783157222,0.586756844096028,0.447959786599897,2.33214468620886,-0.536437739002546,0.46856461472885,1.4623718944702,0.73383621900206,0.611702712395743,1.59476853666814,-0.73100471891677,0.766000550976321,0.118262500141511,0.468835010283431,0.447959786599897,0.117379376423959,0.741860634530466,-0.112085694966498,0.956665323683507
"PTHR10026_SF60",1.88556000051604,0.176990457377725,2.89111182967186,0.0964642651823013,0.896391080494897,0.349166910466,1.31965970879837,-0.96733840654197,-1.1202944509326,2.82879090530514,1.41952209977928,1.18326882246493,0.466510163873712,-0.681453572785081,-0.946779319849614,0.643261178811259,0.49932504915523,0.349166910466,-0.144556753184979,0.672542155736288,-0.104574039495605,0.508153941641515
"PTHR10029_SF5",20.1153873562782,5.55829820696136e-05,0.164079638474814,0.687483806392591,0.602172454361948,0.442098356797909,3.59198122481784,-0.641345930470811,0.511296019088118,1.5751771172512,0.790443268468974,0.658888562321113,2.28036656035615,-0.811375029751405,0.775997715436037,0.0277257613912643,0.421724836120794,0.442098356797909,0.118889792656562,0.735937466669651,-0.124228063717229,0.940382895862375
"PTHR10030",190.416972310082,3.35328410963697e-17,0.363818222259281,0.54963689619752,19.6591037278218,6.53386370597369e-05,0.577995775367266,0.629165181421973,-0.963321004845129,0.519405564969866,0.260644106582892,0.217264701357392,1.1128024309882,2.41388608271441,-4.43385878528194,0.272122052342921,0.0202215050811977,6.53386370597369e-05,-0.564655097697856,0.0208178989131177,0.349044580983478,0.911347298082535
"PTHR10031_SF3",15.9177741365017,0.000259598861692146,0.17625436133933,0.676752063643592,0.330491676955181,0.568436663749212,1.95824221826324,0.0509807175607345,-0.462731600357952,1.92427138170055,0.96562306785347,0.80491291443903,1.0176538698677,0.0527956707517996,-0.574884055227818,0.314669053161453,0.958145032085661,0.568436663749212,-0.0883595726861146,0.818003435973658,0.00814627854596995,0.937166168407174
