"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26694955590616,0.266730773611794,0.0185515789357805,0.892310638952862,0.411838732924307,0.524524913355064,-0.585496596775796,0.684711289562833,-0.709670321788491,2.63509816074512,1.32320839422365,1.10584191988715,-0.222191569747913,0.517462927647587,-0.641746626733875,0.8252416863427,0.607547890050776,0.524524913355064,-0.0985416985421439,0.795063583407472,0.0795929468641698,0.980664505769581
"PTHR10003_SF33",10.0801023399401,0.00280558478399292,0.178946243157742,0.674438600963686,0.0424862765565575,0.837691546341966,1.49614449535082,-0.134319880196663,-0.121204674916944,1.40119566190715,0.703607132897481,0.58802397724068,1.06776272295508,-0.190901817102861,-0.206121994354211,0.291726649929219,0.849522345261706,0.837691546341966,-0.0317892396459266,0.947665882829596,-0.0294440183389672,0.940646127595718
"PTHR10010",61.3825235726053,9.53359222850972e-10,2.08829775243751,0.155851643981041,0.141959539396712,0.70823761476664,5.19192362674256,-0.990329719825368,0.231296383262342,1.46281801423738,0.73455065336661,0.61388433471198,3.54926147764819,-1.34821161112098,0.376775184157226,0.000967012454018463,0.184816760295337,0.70823761476664,0.0580396691187216,0.893212105089954,-0.203672971866375,0.623255263648456
"PTHR10015_SF142",20.480004156851,4.88919095185813e-05,5.73896028796232,0.0211266425699303,0.215856372095333,0.644615049765131,0.602936195018254,0.641723794244767,0.162473598606644,0.833305238101267,0.418442281366227,0.349703809171706,0.723547827914869,1.53360170045321,0.464603456826714,0.473354155832767,0.132626758879887,0.644615049765131,0.0715063540657312,0.860670790918176,0.23028004168208,0.212245465233031
"PTHR10024_SF10",57.8875760584814,1.98512310276552e-09,4.82075020647983,0.0336956877520945,1.18528104177802,0.282491308783042,2.19227650484431,-0.593905604566135,0.226964730783573,0.496765532306482,0.249449653185993,0.208471987177975,4.41310107540186,-2.38086362109837,1.08870613196492,6.97590059256056e-05,0.0218837022275997,0.282491308783042,0.16566958864364,0.608487131392197,-0.344840863076494,0.284994944252314
"PTHR10024_SF173",3.4045942634911,0.0720736891978458,19.7049233775032,6.42823088374683e-05,10.9226254114535,0.00194989433703127,2.3229853663001,1.22647403961642,2.67184363565231,1.92642128111309,0.967347952327945,0.808439488043658,1.20585532825814,1.26787267876557,3.30493954732209,0.234622709061703,0.211827283385233,0.00194989433703127,0.454300097034403,0.0350725535992656,0.191997265354485,0.00254335637425548
"PTHR10024_SF185",7.91748858789018,0.00741788097652964,19.9911293572788,5.80776836043012e-05,20.2491133624562,5.30236047423999e-05,2.26672771797077,0.239568402395155,1.72283949185786,0.912316566849468,0.458117635778383,0.382861602219931,2.48458462811711,0.522940798793102,4.49990148363897,0.0170405628510079,0.603763478913322,5.30236047423999e-05,0.570343400795058,0.0194132641871057,0.0804300968862279,0.00250642671756444
"PTHR10024_SF188",9.60787246889293,0.00345222789445072,20.9032139111039,4.2172992178274e-05,14.6470569082504,0.000424715417305132,1.89332381883692,0.49625203266666,1.53604217578735,0.95638268526655,0.480245334343452,0.401354333048046,1.97967178620475,1.03333025264075,3.82714735909794,0.0543186633276343,0.307362979937289,0.000424715417305132,0.508494791639743,0.0194132641871057,0.157457352422725,0.0024314454302471
"PTHR10025_SF29",3.23442514656615,0.0792952465727944,1.21802128065677,0.276032635621777,5.46509058138149,0.0242386543368963,-1.92100881698311,0.793516635223632,-2.34516947047326,2.39044798700035,1.20035788020112,1.00317234124871,-0.803618747377008,0.661066710446951,-2.33775331918949,0.426142166747393,0.512179724876811,0.0242386543368963,-0.339321614943089,0.158164503908437,0.101478234628189,0.765636112839948
"PTHR10026_SF45",6.54131051709069,0.0142391436703865,0.106279259907304,0.746039395427361,0.54691885598217,0.463693035456821,2.3161502148487,-0.529409444912976,0.450913002996212,1.45289777865882,0.7295692302129,0.60972122135197,1.59415909974531,-0.725646618564883,0.739539624348939,0.118399124736686,0.472079707931552,0.463693035456821,0.113377634282963,0.756417762435981,-0.111274341668772,0.959978004920865
