"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.1941565741844,0.280721277900624,0.0216866476155609,0.883628415073842,0.423601749445014,0.518690355719747,-0.702210421568118,0.741516544098483,-0.723762427848614,2.77831081088611,1.39050116809333,1.11203168472769,-0.252747251609389,0.533272866728518,-0.650846947788045,0.801696479241823,0.596655560610535,0.518690355719747,-0.0999252178891586,0.791036498678426,0.0820086199824484,0.980325341174729
"PTHR10003_SF33",9.83939736317558,0.00311743319807402,0.2929985345714,0.591165216025066,0.00836200812811637,0.927574545505905,1.76202611600414,-0.262334194070548,-0.0542425907491626,1.48200203086509,0.74171886995514,0.593178131365059,1.18894986599687,-0.353684131140433,-0.0914440163603741,0.241138273175824,0.725344935070548,0.927574545505905,-0.0141087136380783,0.981012802087623,-0.0544935550143349,0.928963459883226
"PTHR10010",143.728861315828,3.82230972373622e-15,0.326947334717244,0.570509927522494,0.306712407877621,0.582641318906021,2.48953241565042,0.321572414399014,-0.179312541374049,0.808925750057064,0.404854703781819,0.323776253229445,3.07757840008778,0.794290918186572,-0.553816222114901,0.00366711587780332,0.431491396816615,0.582641318906021,-0.0851453693245431,0.832915550641156,0.12165146858105,0.928127423304896
"PTHR10015_SF142",18.6888066221382,9.25719233195779e-05,9.81200189425043,0.00315518727496336,0.044658402271675,0.833655486153808,0.000830379086544153,0.933985767906457,0.0700822454014402,0.828552600025123,0.41467763565094,0.331631990229913,0.0010022044303753,2.2523176742829,0.211325346969253,0.999205101892167,0.0295880069601341,0.833655486153808,0.0325908867045039,0.948072987084328,0.328279683874685,0.0450490371017905
"PTHR10024_SF173",3.32616621654328,0.0753067253842197,21.902819665341,2.98730563983791e-05,10.1117601173918,0.00276709774632434,1.70981248676937,1.52345041706641,2.56128408457627,2.01237094823534,1.0071602295878,0.805460730705458,0.849650750657437,1.51261971264484,3.17989938793538,0.400336694883931,0.137865242514672,0.00276709774632434,0.440499589554637,0.0461970343258295,0.227293298634991,0.00117686039341957
"PTHR10024_SF185",7.50850012655053,0.00897736667788428,22.6512997371407,2.3165162947969e-05,18.9302985548457,8.48332839204231e-05,1.95657793775742,0.389578993824513,1.66182200936957,0.95426598159286,0.477595219684366,0.381949349594397,2.05034861925132,0.815709575321921,4.35089629327633,0.0466056552368929,0.41926840278522,8.48332839204231e-05,0.557393729360779,0.0262819319933807,0.124881394766748,0.00114528038904885
"PTHR10024_SF188",9.27533477325655,0.00400140497760395,23.4547432408667,1.76944465703386e-05,13.5994670855433,0.000643741327784414,1.56712294413327,0.654127169015749,1.47439891558482,0.99889013684709,0.499928912431432,0.399810373045219,1.56886416866599,1.30844036571993,3.68774552884866,0.124183786107662,0.197839289894204,0.000643741327784414,0.494567564814525,0.0262819319933807,0.197903518023658,0.00114528038904885
"PTHR10025_SF29",3.55917155230131,0.0661432921457714,1.82299687523456,0.184188436379465,4.84707897299487,0.033239209098479,-1.30512542645262,0.495983455157721,-2.21518584850759,2.51381774546964,1.25812651980951,1.00616711839428,-0.519180608381292,0.394223829915625,-2.20160826965082,0.606360042765283,0.695410411774392,0.033239209098479,-0.32166128269971,0.19306026521074,0.0607178243605731,0.675412418045056
"PTHR10025_SF30",5.87456081461681,0.0197476476078527,2.35767203723327,0.132167842047296,3.94185215133188,0.0536536797942415,-0.140975844112126,0.0971630534759742,-1.36434849820692,1.71687556191112,0.85926940389614,0.687187342790817,-0.0821118590302489,0.113076356536626,-1.98540981949115,0.934947841690527,0.910508785393697,0.0536536797942415,-0.292917902466985,0.249836352511281,0.0174454053227769,0.5764609939864
"PTHR10026_SF45",5.23141037592144,0.0272864749655794,0.00469578390606498,0.945692300131794,0.45963930682567,0.501510785220865,1.99884825650253,-0.374912918090726,0.414203164359271,1.52640049825422,0.763939609450607,0.610948822209513,1.30951756029211,-0.490762507209631,0.67796703963074,0.19747763863803,0.626148900647786,0.501510785220865,0.104044812106052,0.779073705092967,-0.0755101030983945,0.98783975917643
"PTHR10026_SF60",1.54054796196135,0.22142407398041,2.73750901674175,0.10547281248094,0.891453996828852,0.350483642434519,1.31903157051073,-0.967116786446252,-1.12140463106466,2.96740308769814,1.48513889931991,1.1877167385123,0.444507042531225,-0.651196185682782,-0.944168415500567,0.65895822422262,0.518467140276269,0.350483642434519,-0.144166409978373,0.675157748348297,-0.0999783009375669,0.511929190900852
"PTHR10029_SF5",17.7012360173914,0.000132840360856728,0.0401550220437445,0.842144970059702,0.490829587079285,0.48742072412871,3.29927565101287,-0.499623334403391,0.461963537687862,1.64742631439528,0.824511140200229,0.659389961945051,2.00268480731651,-0.605963109585225,0.700592311604463,0.0516940175423231,0.547800363120722,0.48742072412871,0.107477550970023,0.772351729984984,-0.0930960701895533,0.976168136251919
"PTHR10030",181.876607474643,7.3900424807006e-17,0.104671966238356,0.747899032299641,21.8131317231229,3.08041817048718e-05,0.351123913999646,0.739493882632056,-0.995696479442544,0.532637363134078,0.266576681307974,0.213190555194216,0.659217580857653,2.774038145436,-4.67045305330467,0.513354456135319,0.00822569593936874,3.08041817048718e-05,-0.584660806858403,0.0158140967827386,0.393509140246621,0.955988496023701
"PTHR10031_SF3",13.5418151860352,0.000658825918367024,0.0162836063371087,0.899068834742442,0.537238824895076,0.467650660352203,1.28008094767276,0.378374440621484,-0.58870552065251,2.00667980704037,1.00431190230621,0.803182825257923,0.637909916261499,0.376749931722028,-0.732965773344893,0.52699517205357,0.708256242230592,0.467650660352203,-0.112382592772693,0.767109934115027,0.0580357922542947,0.983085786799935
"PTHR10032_SF11",89.2334623194203,5.97385270386066e-12,3.43197327519445,0.0709816351297237,0.094707304289649,0.759796971270203,0.690452671632399,0.302997869822952,-0.0462624469183703,0.375578332487556,0.18797108947934,0.150326955568426,1.83837195042468,1.61193867983754,-0.307745518715787,0.073086482102926,0.114465637853158,0.759796971270203,-0.0474327157227999,0.913120711294942,0.241373250466032,0.413415503023159
"PTHR10032_SF206",39.5883824892747,1.50963327920594e-07,0.210509485396402,0.648733990149978,0.201040481746274,0.656186983984441,1.54970650750667,-0.191794218015805,0.107471391595063,0.598845487657442,0.299712813567289,0.23969066165023,2.58782363639209,-0.639926654229432,0.448375380397133,0.0132079084155739,0.525695932603793,0.656186983984441,0.0690208301928092,0.866825327508556,-0.0982649397742753,0.941297953838294
"PTHR10032_SF26",5.67462976300404,0.0218168097328422,5.23935112980557,0.0271763658168353,12.667226106395,0.000939646256398667,-1.59844148440721,0.445436219160752,-2.27928485933265,1.60000563249467,0.800777829543905,0.640409615837534,-0.999022410886755,0.556254435034068,-3.55910467763945,0.32350503540623,0.580988639223819,0.000939646256398667,-0.481368029094024,0.0276070851639993,0.0855174920377901,0.237981523261712
"PTHR10032_SF71",7.43353060170196,0.00929937313342561,0.419007370198005,0.520955310182649,4.28955501573594,0.0445280365329189,-1.53939739113249,1.24897805874329,-1.12845220220121,1.36125884447845,0.681288790983383,0.544850115489073,-1.1308630958591,1.8332579007215,-2.0711240947215,0.264529071283865,0.073858109536679,0.0445280365329189,-0.304413997483711,0.228920745360377,0.272196820132577,0.914684189726957
"PTHR10033",1013.26375710858,4.94077681942121e-31,0.234756725366487,0.63053628740274,4.90472422715045,0.032263040752226,1.6232504917454,0.181226833556064,-0.178129274714756,0.200951693228121,0.100573183917791,0.0804318397688837,8.07781445216627,1.80193990581228,-2.21466119917934,4.35803511813301e-10,0.0787354203689265,0.032263040752226,-0.323369461509406,0.189834252678215,0.267883194255133,0.928963459883226
"PTHR10036_SF6",7.42948133013559,0.00931711261559475,2.93585743040591,0.0940058986505138,6.12512307999802,0.0174476792256406,2.04902816723652,-0.1487409159973,1.0015428017502,1.01105730461279,0.506018389866537,0.404680337923103,2.02661922117386,-0.29394369646631,2.47489859994264,0.0490816123202478,0.770248714439068,0.0174476792256406,0.356756162206976,0.13597271077743,-0.0453099149635466,0.479010205654665
"PTHR10037_SF133",90.6826644735244,4.73206014300135e-12,0.844628451514447,0.363324595527991,7.01914078439103,0.0113165367934533,0.918715680218108,0.349795428892448,-0.731883656270695,0.690182176314361,0.345425399707612,0.276248591514171,1.33112055301709,1.01265115185083,-2.6493661099197,0.190330214039468,0.317025301556748,0.0113165367934533,-0.37840697183478,0.11145567532545,0.154382151141986,0.842143935226884
