"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.2663641954541,0.266839662123183,0.0192123240832445,0.890421970348397,0.414799775223744,0.52304516089472,-0.619849972108784,0.703318366500403,-0.71425111654372,2.67055981181113,1.34354377481144,1.10900032078657,-0.232104882791752,0.523480053040407,-0.644049513021898,0.817583805536632,0.603391526770831,0.52304516089472,-0.0988918600517037,0.798158372842685,0.0805124986894228,0.98370886794052
"PTHR10003_SF33",9.75851820004408,0.00323029760080978,0.183907743459482,0.670227930020708,0.0166910205563053,0.897821077375248,1.57238171773119,-0.174117746203958,-0.076608261921842,1.42792303840861,0.718380131640884,0.592971968143166,1.10116699250372,-0.2423755036296,-0.129193732651028,0.277094911601219,0.809668899061622,0.897821077375248,-0.0199310657804458,0.972258267269753,-0.0373732241120423,0.936495395612479
"PTHR10010",61.6115448553248,9.09432376455096e-10,2.14673834532439,0.1503195710918,0.17285514825582,0.679703391405685,5.26932085977277,-1.03163841299773,0.255723508531305,1.48115371528314,0.745160188851161,0.615077010489886,3.5575786668202,-1.38445186475708,0.415758521567292,0.000943839684438902,0.17353202965547,0.679703391405685,0.0640213248823703,0.885380431580726,-0.208911802768591,0.589660073242737
"PTHR10015_SF142",20.4940640693284,4.86515034394715e-05,5.83712522833139,0.0201183973618903,0.195920661552978,0.660305204117787,0.571825496087517,0.658436285330231,0.155141821350296,0.844032954997303,0.424628281084361,0.350500600550731,0.677491906805161,1.55061806917053,0.442629259711757,0.501809055761586,0.128496652282521,0.660305204117787,0.0681404324935038,0.875576201142882,0.232697521289859,0.196920789416026
"PTHR10024_SF10",62.0343354527706,8.33821263541333e-10,5.93370264943244,0.0191768234569326,1.63432047353218,0.20812620860322,2.31710886324734,-0.66081151362042,0.259914659438998,0.489590296441871,0.246310152681608,0.203311602835738,4.7327507920134,-2.68284318135524,1.27840544176414,2.52299362513212e-05,0.0103955246997,0.20812620860322,0.193532765317073,0.532762233741499,-0.382492672302964,0.189509426037139
"PTHR10024_SF173",3.35442466949927,0.0741235914822004,21.3902052746717,3.56245040416552e-05,10.3271441212561,0.00251965274693674,2.0116552827765,1.39288771159566,2.57933390815354,1.93280520248687,0.972383537803372,0.802633807374726,1.04079566848649,1.43244682519226,3.21358742237645,0.303924890689672,0.159417271951187,0.00251965274693674,0.444249146989979,0.0424520182076104,0.215822226023511,0.00208703650822788
"PTHR10024_SF185",7.89054239132862,0.00751117394089893,20.6797806544539,4.55900248960743e-05,19.3412272475674,7.31883599325682e-05,2.1873399901146,0.28160822327537,1.69015576212109,0.9254551018633,0.465591309910667,0.384312682419919,2.36352902016601,0.60483994714034,4.39786621528753,0.022804668667037,0.548539405711761,7.31883599325682e-05,0.561520716441094,0.0232836927504528,0.09292500650895,0.00208703650822788
"PTHR10024_SF188",9.59791544642917,0.00346745514720552,21.5479219731982,3.37402779141898e-05,13.9898741226238,0.000550711990431372,1.81452844827281,0.538053567987389,1.50533868144781,0.969165521420425,0.487581778662065,0.402464258391435,1.87225856488725,1.10351451086589,3.74030401473246,0.0681443358789482,0.276086475591007,0.000550711990431372,0.499864342641802,0.0232836927504528,0.167859915699376,0.00208703650822788
"PTHR10025_SF29",3.14463174493236,0.0834287693193008,1.24352726546203,0.271132572293938,5.17670536398893,0.0280582724136968,-1.87279706718158,0.769156232048968,-2.29837272829649,2.43256455033799,1.22380968363975,1.01016830056666,-0.769885866716821,0.628493337102391,-2.27523743024523,0.4456763727832,0.533083994660822,0.0280582724136968,-0.331255364110916,0.179605226640869,0.0965257841219167,0.741600801530526
"PTHR10025_SF30",5.9098066537889,0.0194052964018048,2.07294150394146,0.157344614411544,4.05417852501357,0.050499085091286,-0.314288869205578,0.175923542352822,-1.38147431259904,1.65219771411659,0.831211472494081,0.686106256394053,-0.190224733105641,0.211647153792232,-2.01349907499695,0.850049487642682,0.833406019621083,0.050499085091286,-0.29669956826209,0.241987984930501,0.0326404633618391,0.601155864169014
"PTHR10026_SF45",6.42737409892106,0.015049266217483,0.101301989913899,0.751850047961435,0.598435791263338,0.443508005880504,2.35900674015969,-0.551889132181824,0.4735085405586,1.47397349507213,0.741547860033954,0.612095288649352,1.6004404068638,-0.744239396977768,0.77358631791374,0.116997105591134,0.460875540031845,0.443508005880504,0.118525543070606,0.747238283678178,-0.114088799718013,0.956312423253878
"PTHR10026_SF60",1.88654311403052,0.176880051569149,2.96033892840437,0.0926907832025999,0.864576621280187,0.357774840469101,1.40148170253607,-1.01160112507399,-1.10075229956959,2.85074581186348,1.43419434837577,1.18382595508824,0.491619314743446,-0.705344520580239,-0.929826124219032,0.625548067659766,0.484489625462438,0.357774840469101,-0.142020970025511,0.678344753647478,-0.108198078949372,0.478708303700865
"PTHR10029_SF5",20.2073976538444,5.38084353688756e-05,0.191694929015473,0.663753156483348,0.636689550788409,0.429400693847122,3.65956799532108,-0.679070614102532,0.52557827613709,1.58614973265177,0.797983100695981,0.658678586619408,2.30720210077703,-0.850983703176499,0.797928286745375,0.0260428078470526,0.399604218559083,0.429400693847122,0.122200257916413,0.733998441748656,-0.13019203318859,0.935180056490343
"PTHR10030",190.117882820624,3.44566253733581e-17,0.389190869624637,0.536098855085974,19.5975702232901,6.67860261629147e-05,0.57411938054578,0.63211158520599,-0.962888011604686,0.523775647413192,0.263508612451777,0.217507714462119,1.09611697943809,2.39882704145645,-4.42691430042305,0.279273078148034,0.0209648232313791,6.67860261629147e-05,-0.564052234454741,0.0232836927504528,0.347130177644466,0.903231091790785
