"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",4.51871558041631,0.0394490623503193,1.11663128873203,0.296685407789244,0.254825159414267,0.616336359638674,1.13838557984099,-0.356096185355266,-0.309981807957204,1.47332242957932,0.742216673745484,0.614066004110242,0.772665614115467,-0.479773896156604,-0.504802099256993,0.44404692978196,0.633877309801631,0.616336359638674,-0.0776574271192091,0.842957558276878,-0.0738286850333646,0.728633477823893
"PTHR10003_SF33",14.7909515358334,0.000401424168799225,0.0295759663044622,0.864281884595705,0.275245273629925,0.602593031178215,0.830367713765132,0.26895308204264,-0.248174954375803,1.13496053764137,0.571759866115047,0.473040162954181,0.731626947568386,0.470395174586323,-0.524638231193577,0.468459038324591,0.640506397363632,0.602593031178215,-0.0806894707922872,0.835110874509036,0.0723931048506913,0.965977342608291
"PTHR10010",61.6233676158563,9.07223129910374e-10,2.11325447261153,0.153460553961366,0.161060012145179,0.690217131983093,5.23398109125094,-1.0154681696575,0.24638085175381,1.47297655512334,0.7420424323282,0.613921847107784,3.55333631960806,-1.36847722639178,0.401322827839607,0.000955592051446764,0.178438849103706,0.690217131983093,0.0618070624535919,0.882761484834725,-0.206604722931656,0.578063003774805
"PTHR10015_SF142",20.6720814798302,4.57128337490448e-05,5.39829449161082,0.0250704548653319,0.250319956109241,0.619461493174246,0.65401540059599,0.61089354132792,0.17451005450868,0.836865112125774,0.421588124517312,0.348796980935855,0.781506351644514,1.44902929139038,0.500319853802786,0.438888114630555,0.154755180577694,0.619461493174246,0.076971993749387,0.844998544231097,0.218202346485726,0.236633402630472
"PTHR10024_SF10",58.1750040956741,1.86708018815066e-09,4.88480340372292,0.0325968168806862,1.26852787972137,0.266437457456825,2.21549121756612,-0.607814613471075,0.23459437346212,0.499747153719997,0.251757974154876,0.20828959879334,4.43322428366933,-2.41428147613374,1.12628942981872,6.54695955991597e-05,0.0202023132852248,0.266437457456825,0.171223727989596,0.586316482228543,-0.349094787271566,0.281147545595918
"PTHR10024_SF173",3.51345636946142,0.0678387691201331,18.8492010547809,8.7353264876127e-05,11.4060124611847,0.00158795946153516,2.54265091554737,1.09305986846811,2.7062045194693,1.9225446728559,0.968521678327836,0.801297327239597,1.32254451688257,1.12858585711297,3.37727885451952,0.193143649727642,0.265478037598517,0.00158795946153516,0.462138174484646,0.0261610406941588,0.171562575926653,0.00342571545216196
"PTHR10024_SF185",8.25832781180132,0.00633868544498958,18.9952639727923,8.28697649465787e-05,21.0579222062137,3.99654489255849e-05,2.39095801521081,0.163921138580988,1.73816154419675,0.908793316712879,0.457823446592989,0.378775934820538,2.63091505102496,0.35804443787414,4.58889117393448,0.0118556785821912,0.722103329453154,3.99654489255849e-05,0.577880354155622,0.0118183541822801,0.0551633333334282,0.00342571545216196
"PTHR10024_SF188",9.92713382389713,0.00299971061940343,19.9429966554296,5.90754171573594e-05,15.1898020692752,0.00034363229965194,2.00767598475266,0.426657318970615,1.55093269629912,0.954771925135138,0.480986122407515,0.397939357423469,2.10278070804029,0.887047045837905,3.89740966146429,0.0415179253991865,0.380105031454639,0.00034363229965194,0.515367183138168,0.0127007678677188,0.135609927600569,0.00327670384550753
"PTHR10025_SF29",3.11940672835942,0.0846329374937862,1.16251341899492,0.287098563106814,5.27470222378009,0.026691972936573,-1.94026064854837,0.806809218162973,-2.31459640736609,2.41801531358982,1.21812527053615,1.00780451833442,-0.802418676856031,0.662336820093931,-2.29667198872196,0.426828116667075,0.511373680776703,0.026691972936573,-0.334029307046276,0.155640518249876,0.101671191591111,0.724218526031635
"PTHR10025_SF30",5.81913719772397,0.0202992031732385,1.73652916399257,0.194722189352505,4.3493291693727,0.0431377723818774,-0.504302218257062,0.283664124165298,-1.42676745517347,1.64143920276074,0.826908978489103,0.684135388149215,-0.307231737495288,0.343041533644488,-2.08550453592715,0.760185244205773,0.733278351286025,0.0431377723818774,-0.306329916373425,0.205276296162037,0.0528584590075887,0.634763672377457
