"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26535515096649,0.267027497662532,0.0199414187848969,0.888375971726584,0.386603002637714,0.537451143538732,-0.573746881957223,0.680499381556411,-0.699257025076685,2.66245032090903,1.33067141512443,1.12461591937655,-0.215495807546685,0.511395505924186,-0.621774076846015,0.830423874404522,0.611752347727106,0.537451143538732,-0.0955032839263066,0.803272798748532,0.0786655028440651,0.97969426542597
"PTHR10003_SF33",10.5569379265147,0.00228129369776718,0.195590899823199,0.660572658310024,0.263685560075562,0.610290279225913,1.13916976762609,-0.0016693403534645,-0.297487873191765,1.37152389735396,0.685476694545739,0.579330099291016,0.830586889389135,-0.00243529848169493,-0.513503223043012,0.410903816013173,0.998068445449644,0.610290279225913,-0.0789877040960191,0.838809634950278,-0.000375774687352186,0.934831780728765
"PTHR10010",61.5427659097556,9.22396981053018e-10,2.068774932564,0.157752587389361,0.148776024738624,0.701654632511656,5.1994491301678,-0.992930602173661,0.240858991239736,1.47833777438144,0.738861417551786,0.624448156733088,3.51709143895976,-1.34386581649334,0.385714952702931,0.00106188374234817,0.186206941995857,0.701654632511656,0.059411975240917,0.88307860277464,-0.20304356492932,0.627749638972045
"PTHR10015_SF142",20.4851772007966,4.88033123881067e-05,5.75805139283497,0.0209263774996617,0.221123175178142,0.640618200526075,0.610809769894268,0.638826786163582,0.167222251636022,0.841887811541829,0.420768807125717,0.355612432560154,0.725523949296326,1.51823703502982,0.470237360466118,0.472154142412424,0.136446845535455,0.640618200526075,0.0723689447171579,0.853832069573939,0.228093545813315,0.213707400836051
"PTHR10024_SF10",57.9962182494382,1.93961118417236e-09,4.78132939434523,0.0343919284445633,1.22006411769284,0.275635998147114,2.20115644644652,-0.597108990309567,0.234230733246575,0.502030192503519,0.250910682331816,0.212056969500322,4.3845100938448,-2.37976711378084,1.10456512605316,7.63302128361229e-05,0.0219409500130185,0.275635998147114,0.168015219591891,0.601916836502885,-0.344700920743193,0.291485688620315
"PTHR10024_SF173",3.43648459559208,0.0708034644673551,19.9069084541201,5.98352933011722e-05,11.4882079677944,0.00153384169134647,2.52831745893006,1.15013477451155,2.77208825017356,1.93623556810204,0.967715079296167,0.817863652309267,1.30579021508648,1.18850558301526,3.38942590534066,0.198731173026713,0.241311268015865,0.00153384169134647,0.463443846981572,0.0291007763092157,0.180382167146085,0.00236101606931282
"PTHR10024_SF185",8.1316418500889,0.00671888931052628,20.2626053396978,5.27723520584565e-05,21.4063042301259,3.54272017504118e-05,2.40148690047403,0.189380239289338,1.78603498282464,0.913895208871463,0.456757529450998,0.386028273454466,2.62774864903772,0.414618757389648,4.62669474140297,0.0119505391516242,0.680531190985212,3.54272017504118e-05,0.581038120890543,0.0153786139254723,0.0638465326615243,0.00236101606931282
"PTHR10024_SF188",9.78451205637228,0.00319355890500528,21.1039065463201,3.9332965760651e-05,15.3879776223266,0.00031824258612492,2.01114252683232,0.452378776478066,1.59146652738921,0.960470480955274,0.480035478611908,0.405701614220074,2.09391393771109,0.942386129013182,3.92275128224141,0.0423425040594409,0.35138435684985,0.00031824258612492,0.517821779563556,0.0153786139254723,0.143899910603447,0.00236101606931282
"PTHR10025_SF29",3.34116644444053,0.0746760942155328,1.28845950970702,0.262768560652888,6.85859455734906,0.0122195883835368,-2.4465559760165,0.988705276126588,-2.60777158614912,2.3573782371486,1.1781988231574,0.995753825965835,-1.0378292025703,0.839166749018646,-2.61889185674954,0.305287872286084,0.40612690339785,0.0122195883835368,-0.374668412503367,0.110189655459541,0.128414175504087,0.752596995778794
"PTHR10025_SF30",5.85511722595131,0.0199392842291419,1.8844514582902,0.177115047456298,4.50370901775213,0.0397615489242276,-0.538093602994571,0.276039922272833,-1.47457127058312,1.644969661983,0.822142704694795,0.694833272279017,-0.327114606080882,0.33575670099184,-2.12219438736232,0.745206009953036,0.738725884155075,0.0397615489242276,-0.311201273367091,0.202031653993373,0.051738993726976,0.652894684740863
"PTHR10026_SF45",6.42594154302551,0.015059761334318,0.094251133525497,0.760357766197076,0.593954313077109,0.445207974443821,2.34391898120319,-0.539266624424291,0.478424890592402,1.46965207500683,0.734520374345309,0.62077932741789,1.59488019039629,-0.7341751750657,0.770684314798939,0.118237483310222,0.466921117148314,0.445207974443821,0.118087122446169,0.741096453847552,-0.112565677596479,0.962180155660542
"PTHR10026_SF60",1.88819820554159,0.176694366142758,2.88736300849613,0.0966734982429561,0.960000976549018,0.332797027360097,1.21935165573156,-0.929797506929764,-1.17588495811661,2.84122929332717,1.42002371828437,1.2001319494231,0.429163411272471,-0.654776039975671,-0.979796395456228,0.66999779719158,0.516182045183379,0.332797027360097,-0.149487092883308,0.663112710918108,-0.100522378094133,0.518647809928414
"PTHR10029_SF5",20.1148753486937,5.55930272017758e-05,0.163769806374359,0.687762904617692,0.578720809318334,0.451064142455614,3.57962596183168,-0.634657464082636,0.508812573187246,1.58343620687639,0.791388775075462,0.668841612399516,2.26066951499936,-0.801954088901652,0.760737017186842,0.0290221780471784,0.427093850062521,0.451064142455614,0.116583810097953,0.746388214216328,-0.122807521646664,0.939627291256614
"PTHR10030",194.421492109007,2.33831499502188e-17,0.365891745149184,0.548506550831279,20.9601469584527,4.13460693040863e-05,0.519360791138858,0.649541673949042,-0.999130851253797,0.516657209346447,0.258221148577354,0.218235404404951,1.00523283473743,2.51544723399936,-4.57822530665024,0.320541299563245,0.0158002992937575,4.13460693040863e-05,-0.576984697438966,0.0153786139254723,0.361841320951199,0.915336188696065
"PTHR10031_SF3",15.7144553892686,0.000280631276528931,0.149853262171468,0.700630278990489,0.39632411431022,0.532403595701559,1.82361404083953,0.111434712625184,-0.51605921551395,1.94066947616358,0.9699311111479,0.819736529918253,0.939682961595577,0.114889306409918,-0.629542781953872,0.352753354191357,0.909080374888951,0.532403595701559,-0.0966854553818685,0.800564395729458,0.0177250198067967,0.946632796324508
"PTHR10032_SF11",93.00171070583,3.27650900897202e-12,3.37957953375652,0.07308778515884,0.0724303147844089,0.789148299923979,0.730771243793837,0.283169928890373,-0.0409680905332366,0.360381776951993,0.180115935067676,0.152224843494936,2.02776968906278,1.57215367304384,-0.26912880705047,0.0489589836158617,0.123418827887025,0.789148299923979,-0.04149171502977,0.919502032783765,0.235750861968194,0.450508315077443
"PTHR10032_SF206",36.8620050814087,3.13516738076286e-07,0.00704446468913152,0.933509827590467,0.0825013335863103,0.77534827769037,1.30605253380159,-0.0732387140777915,0.0709873461985066,0.585096826446279,0.29242672282661,0.247144219079183,2.23219897078266,-0.250451509252858,0.287230453793309,0.0309915658524926,0.803459330534,0.77534827769037,0.0442771553713267,0.916090978053465,-0.038616681111592,0.985391515144254
"PTHR10032_SF26",5.96744278639836,0.0188591418467228,4.69869148457293,0.0359027348384005,13.9729102554596,0.000554444458949433,-1.94885425149585,0.595136870861923,-2.4053322889216,1.5233823955812,0.761374359620562,0.643474952345271,-1.27929419241604,0.781661298862908,-3.73803561452531,0.207816149085034,0.43879801782386,0.000554444458949433,-0.499636883475545,0.0160052044667757,0.119745106718823,0.30181648636509
"PTHR10032_SF71",7.75288223197909,0.00800768771460194,0.416802423069104,0.522048603827309,4.37739093549746,0.0425015128271819,-1.46883205493676,1.20510286262695,-1.15163124748712,1.30311594592354,0.651286946545257,0.55043466015872,-1.12716912069998,1.850340881265,-2.09222153117146,0.266069641439404,0.0713072367538611,0.0425015128271819,-0.307223555360649,0.21092670458453,0.274542887676126,0.907840550440771
"PTHR10033",1076.34080036435,1.45826331544442e-31,0.245123128798841,0.62311052537712,5.13688296828709,0.0286349461481052,1.62729917801642,0.177471938161324,-0.183836712093901,0.192025849246793,0.0959729864444787,0.0811114954141234,8.47437563431894,1.8491863672909,-2.26646927362519,1.23073377263381e-10,0.071477243738968,0.0286349461481052,-0.33011815218627,0.171643677200817,0.274384487932077,0.927429845132673
