"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26565340359596,0.26697195977107,0.0189218674380348,0.891248064356501,0.409437885614421,0.525730260114774,-0.588845142260051,0.68540628478026,-0.707317698048423,2.63843808884589,1.32347077312396,1.10540267689539,-0.223179442697336,0.517885471065148,-0.639873335601993,0.824477783128509,0.607255584041784,0.525730260114774,-0.0982568313969015,0.797401339833756,0.0796575276446829,0.982511020086367
"PTHR10003_SF33",9.76382462136481,0.00322276148135764,0.142815338622095,0.70740131852514,0.0213295871978387,0.884583383744421,1.51753701730652,-0.137701294278074,-0.0863391581771219,1.41105187641889,0.707799787191142,0.591175714156695,1.07546507868859,-0.194548369143388,-0.146046524086808,0.288306011066864,0.846684533914987,0.884583383744421,-0.0225297478071002,0.963298587633874,-0.0300059479288042,0.953200071657107
"PTHR10010",61.4495534823994,9.40277140677653e-10,2.0639303258326,0.158228512687193,0.151475600129478,0.699095564685806,5.19702953836885,-0.99115259421345,0.238872967174131,1.4649474941632,0.734834446516903,0.613755876404715,3.54758758185901,-1.34881074085665,0.389198664090047,0.000971741646871559,0.184625729579892,0.699095564685806,0.059946654302474,0.888114196556133,-0.203759724799374,0.633399604365904
"PTHR10015_SF142",20.4805153938406,4.8883146197271e-05,5.77894574152204,0.0207095368630857,0.225032991303942,0.637688689880798,0.609810565002607,0.640469342254623,0.165766193069473,0.834063782111311,0.418375948714569,0.349440201513549,0.731131812796092,1.53084646529615,0.474376423638382,0.468758201733747,0.133305404275757,0.637688689880798,0.0730025613281642,0.858371031138925,0.229888208557615,0.210828198732105
"PTHR10024_SF10",58.4359527095044,1.7662781593431e-09,4.75989629102623,0.0347770209345442,1.266773808909,0.266763460026264,2.20342567935316,-0.595902443602282,0.23408121092019,0.496413305580811,0.249006601331108,0.207977818071731,4.43869182107259,-2.39311905956221,1.12551046592602,6.43495066990132e-05,0.0212529566532829,0.266763460026264,0.171108774636271,0.595671963773584,-0.346403404505122,0.293222203094327
"PTHR10024_SF173",3.47634521287548,0.0692506050364386,19.8719419624958,6.05813562530505e-05,11.0659603360126,0.00183425443436473,2.37921399411888,1.21582388842567,2.68042149120023,1.92324641997101,0.964722438289359,0.805765255570335,1.23708224251094,1.26028362166176,3.32655382280411,0.222928930407387,0.214524370992706,0.00183425443436473,0.456653237076524,0.0342095841732671,0.190890032937825,0.0025540805467508
"PTHR10024_SF185",7.76320823899368,0.00796925681416744,19.6684973846236,6.5120597667893e-05,19.7086243018322,6.41977748495532e-05,2.25552636042328,0.241346477652421,1.70493843167514,0.916657172552287,0.45980573960637,0.38404361149057,2.46059969633262,0.524887918665463,4.4394396382688,0.0180648382964826,0.602420950997178,6.41977748495532e-05,0.565138927498722,0.0203154862051457,0.0807276225735636,0.0025540805467508
"PTHR10024_SF188",9.46067597396776,0.00368474927557387,20.6629032246519,4.58596897200593e-05,14.3142264499543,0.000484218032409507,1.88626560167675,0.497308632017598,1.52175511028509,0.96003534629742,0.48156472852708,0.402217374816461,1.96478766011224,1.03269322389676,3.78341465477342,0.0560768852652407,0.307657584929266,0.000484218032409507,0.504167539273357,0.0203154862051457,0.157362687371252,0.00241746666983829
"PTHR10025_SF29",3.14795159704032,0.0832717223638747,1.15290716582006,0.289071829114197,5.24935159633848,0.0270383790989381,-1.91285043588607,0.792753009092432,-2.30708480428238,2.4034612437552,1.20560369557035,1.00695654140721,-0.795873218615919,0.657556883746442,-2.29114634982981,0.430581164749814,0.514410715970922,0.0270383790989381,-0.333315035474938,0.171243067626608,0.100944956997552,0.783908906173199
"PTHR10025_SF30",5.84786932276339,0.020011230973364,1.85768682350421,0.180155086121865,4.20769364896207,0.0465121244543785,-0.414262355034599,0.231131745032617,-1.40519537382423,1.6350876980289,0.820178722018968,0.685037987436904,-0.253357881374799,0.281806560969612,-2.05126635251546,0.801227765382077,0.779475770969122,0.0465121244543785,-0.301762250592562,0.228339894212352,0.0434426444274165,0.665572957061335
