"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.24767343135362,0.270346629148283,0.0188815607790317,0.891363210728128,0.408706760159629,0.52609831557971,-0.585436558617553,0.684709548165828,-0.70575354446783,2.63658865379734,1.32337807772417,1.10394428971197,-0.222043191217704,0.517395262692679,-0.639301775501702,0.825356439446182,0.607594705182323,0.52609831557971,-0.0981699107327351,0.79767216050383,0.079582604980315,0.980072588272652
"PTHR10003_SF33",10.3667329925889,0.0024767785695751,0.138771441590297,0.711378707392442,0.0264563117970016,0.871570968073808,1.53638897134627,-0.126233890243079,-0.0952999557636658,1.39934007020113,0.702368179244811,0.585906139601563,1.09793823821928,-0.179726095192419,-0.162653963360877,0.278486147989141,0.858231921755828,0.871570968073808,-0.0250901503795092,0.960003518333696,-0.0277216804815574,0.946016849735187
"PTHR10010",70.4218881138157,1.59941313556849e-10,2.1630731878509,0.148814554949092,0.162059738240996,0.689308911252385,5.28227910909087,-0.971984801412339,0.235927902905756,1.3997064448775,0.702552073010057,0.586059541320598,3.77384781532042,-1.38350570548872,0.402566439536378,0.000498269011380252,0.173819714963919,0.689308911252385,0.0619978539819761,0.882623000091371,-0.208775253834731,0.59319238151985
"PTHR10015_SF142",20.6455520423157,4.6138672340736e-05,5.81655041831468,0.0203253475687952,0.218002816361591,0.642979047584556,0.613772348197889,0.643925103331513,0.16268082000828,0.832147901179099,0.41767846048284,0.348421784482533,0.737576033452964,1.54167658678671,0.466907717179306,0.464873138561925,0.130653778908205,0.642979047584556,0.071859172188816,0.858003258333023,0.231427758374775,0.206857970823305
"PTHR10024_SF10",60.4945390655152,1.14585494608946e-09,4.81443095260741,0.0338062587681826,1.24102315497786,0.271608670056185,2.2085539697559,-0.590605558002961,0.229140620565691,0.491255430284528,0.246574931612927,0.205689509537838,4.49573446643986,-2.3952376429332,1.11401218798443,5.3728285636633e-05,0.0211455982222615,0.271608670056185,0.16941113868506,0.58820074668352,-0.346673227632437,0.286518465472542
"PTHR10024_SF173",3.35407179665252,0.0741382374878096,19.6510077256015,6.55271719297913e-05,10.8000930023663,0.00205486762034976,2.32833711995198,1.22761986949076,2.65546955579029,1.92984665065019,0.968644368229982,0.808030174497141,1.20648815239674,1.26735870227998,3.28634949485996,0.234381343413458,0.212009141180733,0.00205486762034976,0.452268565858105,0.035231174304088,0.191922300021643,0.00259482603196782
"PTHR10024_SF185",7.7617582117866,0.00797464158023472,19.7275952452844,6.37662846306921e-05,19.8411599843269,6.12462305132084e-05,2.26597211997588,0.239462540308277,1.70944304070792,0.916571452251464,0.460053017686476,0.383770073260653,2.47222637625223,0.520510747897038,4.45434170044541,0.0175615405881423,0.605440936141733,6.12462305132084e-05,0.5664280030465,0.0199913976605234,0.0800587477560916,0.00259482603196782
"PTHR10024_SF188",9.45695534214637,0.00369083760201998,20.7268128565409,4.48473083236324e-05,14.3991587805187,0.000468243563527502,1.89445279711295,0.496522569154458,1.5244919562722,0.959515066048252,0.481607626515985,0.401750639611905,1.97438567058172,1.03096907485949,3.79462235018437,0.0549375658400652,0.308455918547928,0.000468243563527502,0.505280161571388,0.0199913976605234,0.157106450087361,0.00242888458931583
"PTHR10025_SF29",3.06135528473082,0.0874788184384372,1.16179924519806,0.287244659416432,5.27488661420795,0.0266894709606938,-1.92220579866173,0.793146897418259,-2.30963240796308,2.40177058629529,1.2055162784108,1.00562555335287,-0.800328644888068,0.657931304307101,-2.29671213133208,0.428024351550915,0.514172469590087,0.0266894709606938,-0.334034493976723,0.166336190059708,0.101001850031667,0.752972871718372
"PTHR10025_SF30",6.21939569831038,0.0166583450194116,1.85632835167811,0.180311037915982,4.27918496109418,0.0447741778901231,-0.382689958833954,0.239240482334617,-1.40744698625289,1.62497520118421,0.815620804176418,0.680379964347962,-0.235505107127213,0.293323173108847,-2.06861909521646,0.814961293080471,0.770719653436921,0.0447741778901231,-0.304079875217776,0.219984426922698,0.0452144602161347,0.640073203323743
