"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26964108611374,0.266230826810756,0.0183812299911104,0.89280309805387,0.408961710380391,0.525969918381017,-0.594630841049874,0.6892749979368,-0.709117375302802,2.65123427917795,1.33070326709477,1.10886021765686,-0.224284532574107,0.517977985762104,-0.639501141813204,0.823623442413778,0.607191593141555,0.525969918381017,-0.0982002298507074,0.796531620898963,0.0796716672917481,0.980968638522509
"PTHR10003_SF33",9.96399608088343,0.00295166369544835,0.0975667369230256,0.75631500878645,0.0847973492789836,0.772331790841177,1.29062449301385,-0.0340703070590079,-0.169183590330989,1.38911564448218,0.697222701517746,0.580987914945288,0.929097946697553,-0.048865745456713,-0.291199844228982,0.35814764494257,0.961257929663364,0.772331790841177,-0.044887820414953,0.91858617860756,-0.00753993388833266,0.959170614736109
"PTHR10010",61.5671477492604,9.17779062524589e-10,2.07914342168075,0.156739639220098,0.158636587897287,0.69243244216181,5.21561392158681,-1.00154939426865,0.245171267787946,1.47176745917921,0.738707168097117,0.61555645909639,3.54377581122463,-1.35581382924523,0.398292088670221,0.000982593792830226,0.182404030016892,0.69243244216181,0.0613420663467044,0.883639705318007,-0.20477340332231,0.622145055483998
"PTHR10015_SF142",20.4817600515845,4.8861817913835e-05,5.7673972399426,0.0208290860288316,0.212200012433995,0.647424891612341,0.599435448375263,0.643426079853496,0.161524112692408,0.838370455396317,0.420793557473738,0.350642586718549,0.715000683190697,1.52907778274065,0.460651725747332,0.47856443713426,0.13374251604878,0.647424891612341,0.0709012201144226,0.863001482871955,0.229636618122089,0.211149754449136
"PTHR10024_SF10",58.0649369358735,1.91138961602033e-09,4.80500170987021,0.033971980099216,1.25941441234815,0.268136814121836,2.20691261836526,-0.600879340855048,0.234491468706885,0.499590326956492,0.250753577498282,0.208950164472076,4.41744465272135,-2.39629418989711,1.12223634424668,6.88104447097429e-05,0.0210922411833398,0.268136814121836,0.170625529189959,0.598858431082112,-0.346807757478539,0.289707442660531
"PTHR10024_SF173",3.3930687902711,0.0725389746283554,19.6902790308346,6.46179543677275e-05,10.7542812119019,0.00209563601820931,2.3394018067741,1.21790671748425,2.661782002069,1.94067626155033,0.974061123869831,0.811674290229624,1.20545701162194,1.25033910874673,3.27937207585567,0.23477472462743,0.218097286402866,0.00209563601820931,0.451504246452955,0.0371997878597154,0.189438039836062,0.00261176489864702
"PTHR10024_SF185",7.93842641516422,0.00734624250842916,19.8016762908766,6.21103062035706e-05,19.8398045160207,6.12756836512084e-05,2.28499079333766,0.230224452222016,1.71629083882421,0.921283925419105,0.462409353675535,0.385320566381916,2.4802243155368,0.497880179957521,4.4541895464855,0.0172227520609896,0.621165498854644,6.12756836512084e-05,0.566414862202835,0.0205730427859622,0.0765988683205292,0.00260931093502501
"PTHR10024_SF188",9.61245467791928,0.00344524417155924,20.802644315812,4.3676463497427e-05,14.3279041590544,0.000481607147196126,1.90083428849161,0.492172275768629,1.52746083018917,0.9648283407248,0.484265096929197,0.403532713913663,1.97012692129635,1.01632820306393,3.78522181107718,0.0554406045364191,0.315292269331286,0.000481607147196126,0.504347111317506,0.0205730427859622,0.154929298376318,0.00249299027297993
"PTHR10025_SF29",3.12780968520224,0.0842296569267572,1.10885002334111,0.298352726320012,5.60253622603681,0.0226192471186957,-2.10598516502193,0.88421194172411,-2.376767535856,2.40085357508687,1.20503258473818,1.00414023714967,-0.87718184352235,0.73376600178511,-2.3669677281359,0.385377972572305,0.467167868091432,0.0226192471186957,-0.343065693272702,0.151876200610323,0.112503736335891,0.777289575742036
"PTHR10025_SF30",5.83498020557702,0.0201398666465025,1.91241877481951,0.174003376258587,4.1463426779151,0.0480625205412559,-0.396252604904917,0.221127926880498,-1.39907358748215,1.6427794652747,0.824541240555724,0.687081036079372,-0.241208642596867,0.26818297982459,-2.03625702648637,0.810567125713154,0.789871294114422,0.0480625205412559,-0.299753285904173,0.231147191812366,0.0413461461168874,0.651471347993686
"PTHR10026_SF45",6.53300329014062,0.0142966014418515,0.116941270814406,0.734081184332205,0.676463377606611,0.415452429513355,2.42228699543366,-0.580164243401714,0.500943377639332,1.45625623731394,0.730921800438421,0.609068998901445,1.66336591965542,-0.793743247299124,0.822473937341853,0.103684729455745,0.431806718274399,0.415452429513355,0.125900638857369,0.728603875549246,-0.121568828854842,0.954622763450512
"PTHR10026_SF60",1.88067525508659,0.177540242267753,2.86799021737919,0.0977629467415321,0.918159311445091,0.343442401130202,1.28012684864527,-0.948323861842723,-1.13444285007556,2.83070690622634,1.42078388088399,1.1839233902536,0.452228680344668,-0.667465245490179,-0.958206299000946,0.653431381521751,0.508126042717413,0.343442401130202,-0.146264347379557,0.673531422984597,-0.102450192753663,0.518855384358106
"PTHR10029_SF5",20.472737355117,4.90166514207427e-05,0.197583430706494,0.65896070848254,0.706902634404922,0.405235321803516,3.70163181304312,-0.694574292895646,0.550694411398147,1.56603755548155,0.786023063989108,0.654984268371984,2.36369287574645,-0.883656376914241,0.840775020088562,0.0227958023238692,0.381912138049895,0.405235321803516,0.128656212660183,0.720958378165544,-0.135101048160937,0.935484580565461
"PTHR10030",190.51509085534,3.32354693803477e-17,0.364943656905964,0.549022838751198,19.6839871947606,6.47627273801933e-05,0.575129273951513,0.63072525456583,-0.964404648587572,0.519725543203843,0.260859813018259,0.217371578017442,1.10660190069962,2.4178705307961,-4.43666397135963,0.274764160806775,0.0200288575200636,6.47627273801933e-05,-0.564898365002027,0.0205730427859622,0.349550380950371,0.915101128232696
"PTHR10031_SF3",15.7111831947714,0.000280984088093254,0.13993687098915,0.710225724924917,0.419057921293413,0.520930293180732,1.78944304491597,0.130980233484952,-0.522764197129825,1.93081254826334,0.969110344680013,0.807548861048123,0.926782377981474,0.135155128829215,-0.647346832303529,0.359334826927646,0.893134892015735,0.520930293180732,-0.0993931644212212,0.793579260624496,0.0208503554507784,0.951960990953385
"PTHR10032_SF11",93.007297960762,3.27363396879554e-12,3.38248228312073,0.0729692979911519,0.0743091566047616,0.786498767807156,0.72964771707773,0.283964614665477,-0.0409121528925104,0.358841341237916,0.180109071802596,0.15008288436612,2.0333435232424,1.57662582913486,-0.272597059053765,0.0483686318025645,0.122384967349399,0.786498767807156,-0.0420254787137197,0.918939290746542,0.236384057807789,0.449874926153738
"PTHR10032_SF206",36.8575801432573,3.13895546563178e-07,0.00710951191999874,0.933204294857666,0.0840358934465599,0.773327216150954,1.30652512872428,-0.073751214301497,0.0706398120039174,0.582624076520795,0.292429744215094,0.243678450213496,2.24248392982031,-0.252201480049342,0.289889450388523,0.0302668153332201,0.802115471126582,0.773327216150954,0.0446862303286027,0.91858617860756,-0.0388860994579399,0.984389859651334
