"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.2686814360196,0.266408942526608,0.0190578312324756,0.890860567998344,0.409243981768462,0.525827827812046,-0.585194437146094,0.685857007926708,-0.706246005144028,2.63515595375374,1.32352343197904,1.10398927287141,-0.222072031946532,0.518205413939032,-0.639721800291706,0.825334134278027,0.607034298058475,0.525827827812046,-0.0982337867080825,0.800848277527726,0.0797064264743047,0.982712835132874
"PTHR10003_SF33",9.77047128150389,0.00321334825268262,0.143201211521646,0.707025178280987,0.0269131678460941,0.870476894394746,1.4980135846702,-0.129722376147004,-0.0968508190748475,1.40916665250745,0.707762696739191,0.590365388371136,1.06304927242257,-0.183285127550041,-0.164052332644477,0.293833791766796,0.855456265302286,0.870476894394746,-0.0253057179727261,0.959215954962536,-0.0282702055652519,0.953137166422432
"PTHR10010",61.401134314937,9.49707986045179e-10,2.06531744609759,0.158092072539513,0.149072025167864,0.701372738794124,5.19228249702797,-0.990003060938871,0.236680834348197,1.46320940867747,0.734906006423713,0.613006410054546,3.54855734677174,-1.34711521240184,0.3860984656378,0.000968999111935472,0.18516673603444,0.701372738794124,0.0594708392135015,0.889519890935325,-0.203514202835887,0.634549943627084
"PTHR10015_SF142",20.6950998493642,4.53466999711926e-05,5.82360608235942,0.020254121716168,0.214025399676584,0.64601846248963,0.603144383563005,0.645391748209366,0.161165658659463,0.831536502085825,0.417644368823314,0.348369278484666,0.725337230596708,1.54531413898316,0.462628792528723,0.472267454303223,0.129772735455736,0.64601846248963,0.0712039808653978,0.864399311932031,0.231944463371642,0.211747636123575
"PTHR10024_SF10",58.1662727244397,1.87055551841614e-09,4.7575118893886,0.0348201506944274,1.20845033639237,0.27790077023256,2.19249382528758,-0.592498596699077,0.228684859966346,0.496551706677917,0.249396176359596,0.208028582451648,4.41543910896215,-2.3757324805364,1.09929538177524,6.92468398756985e-05,0.0221527587483606,0.27790077023256,0.167236110402102,0.610413032381916,-0.344185800654825,0.297841784865557
"PTHR10024_SF173",3.39197164874094,0.0725834402175854,19.6544259348117,6.54475010476535e-05,10.7921281913165,0.00206189487251971,2.32206057323454,1.22819325727865,2.65470539932822,1.92887575678378,0.968789819761161,0.808095680696858,1.20384144238837,1.26776028424973,3.28513746916571,0.235392039511757,0.211867041408249,0.00206189487251971,0.45213586973738,0.036847995945672,0.191980872494144,0.00267400974499206
"PTHR10024_SF185",7.85256463981419,0.00764478842189192,19.7201753849686,6.393468367084e-05,19.8668109887339,6.06916534101399e-05,2.26581022432622,0.237909501839616,1.71012299244508,0.915808637554961,0.45997057186926,0.383674791779758,2.4741088164177,0.517227658440806,4.45722009651014,0.0174812612951065,0.607710672168943,6.06916534101399e-05,0.566676515602796,0.020950077516134,0.0795569883047971,0.00267400974499206
"PTHR10024_SF188",9.57977302551647,0.00349538372366959,20.7254949543518,4.48679460864311e-05,14.3948138337649,0.000469047148679356,1.89261383767754,0.496375975525718,1.52440845634989,0.95904678146098,0.481687197989008,0.401789259344047,1.97343223945176,1.03049443206719,3.79404979326377,0.0550498402905954,0.308675941592356,0.000469047148679356,0.505223383045349,0.020950077516134,0.157035904685121,0.00253666153117271
"PTHR10025_SF29",3.15135102094875,0.0831112539582807,1.15464609878944,0.28871331801279,5.28858873006437,0.0265042557790358,-1.91853838997835,0.798665332732313,-2.31179808890716,2.39950396548514,1.20516575837659,1.00526370529778,-0.799556248947664,0.662701646791018,-2.29969318172324,0.428466945417896,0.511142279345735,0.0265042557790358,-0.33441959838514,0.168036169870151,0.101726614489844,0.782984066522898
"PTHR10025_SF30",5.8461747897858,0.0200280921164436,1.86066303581651,0.179813980380811,4.23953030290508,0.0457292287206951,-0.418495284859767,0.234697214646525,-1.40831901680403,1.6326144685692,0.819990749109677,0.683978061134325,-0.256334421210005,0.286219344427181,-2.05901197250164,0.798944064778222,0.776117220828548,0.0457292287206951,-0.302797416192151,0.227882713564698,0.044121594776366,0.665858567778674
"PTHR10026_SF45",6.42033910979195,0.01510088100962,0.0933887408703853,0.761422030224868,0.57674201638983,0.451833801590137,2.3169517877085,-0.528632644139976,0.462879614035637,1.45485170599608,0.730708298382722,0.609504980056461,1.5925690420263,-0.72345236164691,0.759435327325395,0.118756190342592,0.473412172369284,0.451833801590137,0.11638702915377,0.7509401600093,-0.11094201078158,0.960303878498303
"PTHR10026_SF60",1.88499746214665,0.177053668547075,2.88018548139994,0.0970755280017569,0.906213449657063,0.346567626008442,1.31461451088158,-0.964578947007425,-1.12225762298599,2.81396558385798,1.41333167842053,1.17890093540128,0.467175049482742,-0.682485903157136,-0.951952440858819,0.642789360144811,0.498678880023606,0.346567626008442,-0.14532996109124,0.67440585953918,-0.104730721829589,0.523980033803486
