"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26427908173049,0.267227996373812,0.0189707421695522,0.89110860864806,0.40863568000386,0.5261341228334,-0.585600057388198,0.684944686799474,-0.705727308554071,2.63878432579774,1.32555305217316,1.10399925640591,-0.221920394047802,0.51672370689091,-0.63924618106318,0.825451411341238,0.608059422672132,0.5261341228334,-0.0981614560241843,0.797969812760202,0.0794799632753838,0.98353786800149
"PTHR10003_SF33",10.0167158613572,0.00288435990352174,0.19789205530113,0.658711906621464,0.0284703915747856,0.866817660085098,1.54991982457767,-0.163628191551127,-0.0991182710970051,1.40408083920259,0.7053185907265,0.587431184602338,1.10386794072192,-0.231991888066617,-0.168731714786479,0.275934875704587,0.817670992198929,0.866817660085098,-0.026027048899004,0.957751247481663,-0.0357742116819466,0.937136838081457
"PTHR10010",61.4639863623883,9.37485004378078e-10,2.10633574253414,0.154119103433512,0.14777507495518,0.702610278943343,5.20814296023575,-0.999277497930243,0.235525933501783,1.46444563703759,0.735641926071389,0.612686258035741,3.5563921449288,-1.35837485944659,0.384415237672988,0.000947112607684575,0.181596702247364,0.702610278943343,0.059212482213986,0.888208756024837,-0.205143941387847,0.613663481010478
"PTHR10015_SF142",20.4646708859912,4.91555122501478e-05,5.76410056471502,0.0208633491260309,0.218452833505544,0.64263729717062,0.598453522320451,0.644278642793133,0.163148149694158,0.83433108862608,0.419113494891974,0.349062593874953,0.717285416399793,1.53724146477124,0.467389381036351,0.477168508269435,0.131734496377804,0.64263729717062,0.071932919017859,0.860656412527373,0.230797495581863,0.211957309135779
"PTHR10024_SF10",58.0069637547015,1.93516954363081e-09,4.86677113317605,0.0329021828849854,1.2088489777829,0.277822634944035,2.20032387355143,-0.598362954333864,0.228661829378817,0.497098857234394,0.24971002783247,0.207973332030874,4.4263305809893,-2.39623117873065,1.0994766836013,6.69091079743472e-05,0.0210954199215431,0.277822634944035,0.16726292031652,0.608626490576098,-0.346799734883407,0.285547933298065
"PTHR10024_SF173",3.45610928551875,0.0700341628164143,19.5242522594619,6.85547368936686e-05,10.8027383506021,0.00205253927272269,2.31489897323996,1.2303295106047,2.65609987706951,1.93157950170587,0.970299496995565,0.808123010556203,1.19844871577668,1.26798943461714,3.28675194540174,0.237461235308476,0.211785988514973,0.00205253927272269,0.452312620680751,0.0362032990869598,0.192014294150125,0.00252421221309918
"PTHR10024_SF185",8.09191215588143,0.00684306705085411,19.4715716672957,6.98559577671584e-05,19.8353119728687,6.13734091786633e-05,2.27164095592369,0.236185499620059,1.70898116112302,0.917176402358842,0.460729574464338,0.383722934950775,2.47677649586422,0.512633685160449,4.45368521259291,0.0173680651159882,0.610893260306486,6.13734091786633e-05,0.566371302094874,0.0193669833790929,0.0788547830878869,0.00252421221309918
"PTHR10024_SF188",9.61601034542814,0.00343983531873227,20.9929800546923,4.08769484278627e-05,14.5013490858851,0.000449756223748521,1.87005609931484,0.508926067029153,1.52632362448896,0.958026533608357,0.4812500147406,0.400813575547147,1.95198779335618,1.05750867831863,3.80806369246697,0.0576279502313328,0.296324200471494,0.000449756223748521,0.506611209368363,0.0193669833790929,0.1610471342631,0.00230870178991937
"PTHR10025_SF29",3.18824773224008,0.081391633349624,1.2301359646152,0.273691147337618,5.31538182006334,0.0261460881300089,-1.86667529970497,0.764303652224815,-2.31385767334992,2.39885790350079,1.20502967394043,1.00362023368003,-0.778151676671145,0.634261270700125,-2.30551118411153,0.440841448239321,0.529350039961946,0.0261460881300089,-0.335170709575312,0.164571826617548,0.0974032730675355,0.764969525094018
"PTHR10025_SF30",5.8318928309485,0.0201708111183657,1.90648661059847,0.174657931976774,4.24506846947682,0.0455945177457298,-0.398443464226304,0.220487691131612,-1.40872200023609,1.63424837663422,0.820939742016098,0.683727341771789,-0.243808389179439,0.268579628743675,-2.06035639380104,0.808566247331992,0.78956807120401,0.0455945177457298,-0.30297698278745,0.222864712330248,0.0414071932659482,0.643479874464902
"PTHR10026_SF45",6.54240255982774,0.0142316088677897,0.116132172165716,0.734966756064918,0.573577514666471,0.453068999410239,2.34722803013302,-0.546477958628863,0.460735104559998,1.45408689191022,0.730438368476312,0.60835242642771,1.61422817521551,-0.748150675283955,0.757349004532568,0.113966950068952,0.458538321662849,0.453068999410239,0.116071603962526,0.749389865345347,-0.114680517250032,0.953609273674477
"PTHR10026_SF60",1.88570514557829,0.176974152111307,2.91421308885792,0.0951861290107758,0.910285638971412,0.345497872549786,1.34206244320517,-0.980532709123469,-1.12429733273788,2.81661475233953,1.41488345419472,1.17839891716982,0.476480655400398,-0.693013057871637,-0.954088905171532,0.636201615989528,0.492115962601137,0.345497872549786,-0.145649213181031,0.672419468106689,-0.106328037549812,0.50442694425811
"PTHR10029_SF5",20.2355262956216,5.3277899229361e-05,0.183534827768131,0.670542053818687,0.585197830199129,0.448559387655389,3.59617431130306,-0.645810296265934,0.501692423974329,1.56754964526739,0.787434651783816,0.655822314023853,2.29413742790241,-0.820144623814747,0.764982241754101,0.0268503704447776,0.416764057536439,0.448559387655389,0.117225479817961,0.74680936285576,-0.125549706168673,0.93993804973908
"PTHR10030",190.108748250446,3.44852549973875e-17,0.377182262272213,0.542427743459595,19.6531336422818,6.5477609543829e-05,0.598183939737355,0.618971364114625,-0.959399273945525,0.517271554545685,0.259843474598137,0.216413067940187,1.15642148593061,2.38209316232359,-4.43318549603801,0.254044379639591,0.021819668987909,6.5477609543829e-05,-0.564596687766566,0.0193669833790929,0.344997756589523,0.908796163360901
